pmid,title,abstract,journal,pub_date
40647331,l-Carnitine and Alpha-Lipoic Acid Fail to Improve Anaerobic and Aerobic Performance in Trained Cyclists Despite a Reduction in Blood Lactate Concentration.,"Background/Objectives: This study aimed to evaluate the effects of four weeks of combined Acetyl-l-Carnitine and alpha-lipoic acid (ALA) supplementation on anaerobic and aerobic performance and fatigue resistance in trained cyclists, hypothesizing improvements in maximal aerobic power (MAP), Wingate test performance, and reduced lactate accumulation. Methods: In a double-blind, randomized trial, 41 male trained cyclists (age: 36 ± 12 years; MAP: 4.35 ± 0.60 W·kg-1) were assigned to a supplement ...",Nutrients,2025-Jul
40430006,Enhancing Nutraceutical Efficacy: The Role of M.A.T.R.I.S. Technology in Modulating Intestinal Release of Lipoic Acid and L-Carnitine.,"A major challenge in developing new functional foods is effectively protecting and releasing bioactive compounds in specific body areas. The Multiform Administration Timed Release Ingredients System (M.A.T.R.I.S.) is an innovative method that coats active ingredient particles with a permeable membrane, allowing for diffusion without the presence of inactive materials. This study aimed to test how M. A. T. R. I. S. modulated the absorption and effects of two molecules: α-lipoic acid and acetyl-L-...",International journal of molecular sciences,2025-May
40290044,Impact of Dietary Supplements on Clinical Outcomes and Quality of Life in Patients with Breast Cancer: A Systematic Review.,"Background: This systematic review aimed to evaluate the efficacy and safety of dietary supplements in breast cancer patients, focusing on their impact on clinical outcomes, treatment-related side effects, and therapy adherence. Methods: Only RCTs investigating the effects of various orally administered supplements in adult breast cancer patients were included. Well-defined substances like vitamins, minerals, antioxidants, and specific herbal extracts were explored. The review excluded studies s...",Nutrients,2025-Mar
39279185,Nutraceutical interventions for erectile dysfunction: a systematic review and network meta-analysis.,"Although nutraceutical-based treatments are often offered for erectile dysfunction (ED), their efficacy remains doubtful, and the choice of one substance over the other is challenged by the dearth of head-to-head comparative studies.",The journal of sexual medicine,2024-Oct
34890036,Proposal of a food supplement for the management of post-COVID syndrome.,"A vast majority of COVID-19 patients experience fatigue, extreme tiredness and symptoms that persist beyond the active phase of the disease. This condition is called post-COVID syndrome. The mechanisms by which the virus causes prolonged illness are still unclear. The aim of this review is to gather information regarding post-COVID syndrome so as to highlight its etiological basis and the nutritional regimes and supplements that can mitigate, alleviate or relieve the associated chronic fatigue, ...",European review for medical and pharmacological sciences,2021-Dec
33271642,Acetyl-l-Carnitine and New-Onset Psychosis During the COVID-19 Pandemic.,无摘要,The primary care companion for CNS disorders,2020-Dec
32878326,Dietary Interventions in the Management of Fibromyalgia: A Systematic Review and Best-Evidence Synthesis.,"Fibromyalgia syndrome (FMS) is characterised by chronic widespread pain alongside fatigue, poor sleep quality and numerous comorbidities. It is estimated to have a worldwide prevalence of 1.78%, with a predominance in females. Treatment interventions for fibromyalgia have limited success, leading to many patients seeking alternative forms of treatment, including modifications to their diet and lifestyle. The effectiveness of dietary changes in fibromyalgia has not been widely researched or evalu...",Nutrients,2020-Aug
32723265,Electrophysiological and Clinical Improvement in Non-Invasive Treatment of Carpal Tunnel Syndrome.,"Carpal tunnel syndrome (CTS) is the most common form of nerve entrapment. Clinically, various signs and symptoms compare due to overexposure to mechanical vibrations transmitted to the wrist bones and cartilage, resulting in compression of the sensory and motor nerve fibers of the median nerve. Early symptoms include nocturnal paresthesia and electromyography reveals reduced sensory nerve conduction velocity. Aim of this study was to evaluate the efficacy of a dietary integrator composed of acet...","Endocrine, metabolic & immune disorders drug targets",2021
32428983,Dietary interventions for multiple sclerosis-related outcomes.,"Multiple sclerosis (MS) is a common demyelinating disease of the central nervous system. Although the exact pathogenesis remains unknown, the leading theory is that it results from immune system dysregulation. Approved disease-modifying therapy appears to modulate the immune system to improve MS-related outcomes. There is substantial interest in the ability of dietary interventions to influence MS-related outcomes. This is an update of the Cochrane Review 'Dietary interventions for multiple scle...",The Cochrane database of systematic reviews,2020-May
32330373,"Dietary supplementation with a novel l-carnitine multi-micronutrient in idiopathic male subfertility involving oligo-, astheno-, teratozoospermia: A randomized clinical study.","To study the influence of a multi-component nutrient dietary supplement on sperm parameters and pregnancy rates in idiopathic male infertility (IMI) with oligo-, astheno-, and teratozoospermia.",Andrology,2020-Sep
