pmid,title,abstract,journal,pub_date
40647331,l-Carnitine and Alpha-Lipoic Acid Fail to Improve Anaerobic and Aerobic Performance in Trained Cyclists Despite a Reduction in Blood Lactate Concentration.,"Background/Objectives: This study aimed to evaluate the effects of four weeks of combined Acetyl-l-Carnitine and alpha-lipoic acid (ALA) supplementation on anaerobic and aerobic performance and fatigue resistance in trained cyclists, hypothesizing improvements in maximal aerobic power (MAP), Wingate test performance, and reduced lactate accumulation. Methods: In a double-blind, randomized trial, 41 male trained cyclists (age: 36 ± 12 years; MAP: 4.35 ± 0.60 W·kg-1) were assigned to a supplement ...",Nutrients,2025-Jul
40632831,The effect of vitamin supplementation on neurodevelopmental and clinical outcomes in very low birth weight and very preterm infants: A systematic review and meta-analysis.,"Nutrition is vital for preterm infant development. Vitamins play key roles as cofactors and gene regulators for metabolic and immune functions and are common added components of preterm infant nutrition. However, information on how vitamins impact in-hospital and neurodevelopmental outcomes is sparse. We aimed to determine the effect of fat- and water-soluble vitamin supplementation on clinical outcomes during neonatal care and later neurodevelopment of very preterm (≤32 weeks' gestation) and ve...",PloS one,2025
40572644,Effect of Daily Lactococcus cremoris spp. Consumption Immobilized on Oat Flakes on Blood and Urine Biomarkers: A Randomized Placebo-Controlled Clinical Trial.,"Background and Objectives: The development of non-dairy probiotic products is a challenge for the food industry, while cereals, as probiotic carriers, provide the means to incorporate probiotics, prebiotics, and fiber into the human diet. The present study investigated the effects of Lactococcus cremoris spp. immobilized on oat flakes on blood and urine biomarkers in a randomized placebo-controlled single-blind clinical trial. Materials and Methods: Fifty-four eligible participants were randomiz...","Medicina (Kaunas, Lithuania)",2025-May
40499198,Vitamin B12 supplementation attenuates endoplasmic reticulum stress and neuronal cell death in the cerebral cortex of high-fat high-sucrose-fed male mice.,"Increased consumption of a high-calorie diet results in the development of metabolic disorders and associated neurological impairments, ultimately leading to cognitive decline. Metabolic disturbances such as hyperglycaemia, systemic insulin resistance, and hyperhomocysteinemia (HHcy) are linked to neurodegenerative diseases. These conditions share a common pathogenic feature of increased susceptibility to protein misfolding and aggregation, which triggers endoplasmic reticulum (ER) stress. Vitam...","Nutrition (Burbank, Los Angeles County, Calif.)",2025-Oct
40498939,Nutritional content of vitamin and mineral supplements aimed at children in the peruvian market: analysis of compliance with recommendations.,We described the nutritional content of vitamin and mineral dietary supplements for children on the Peruvian market and their compliance to the recommended dietary intake. A cross-sectional study was carried out with the information declared on the packaging of 34 products sold in pharmacies during 2022. The daily doses of each micronutrient were calculated according to the manufacturer's instructions; we also estimated the compliance with the recommended dietary allowance (RDA) and the tolerabl...,Revista peruana de medicina experimental y salud publica,2025-Jun
40409469,"Maternal multiple micronutrient supplementation in rural Pakistan increased some milk micronutrient concentrations, but not infant growth, at three-months postpartum: a randomized controlled trial substudy.","In Pakistan, maternal micronutrient deficiencies are highly prevalent, and stunting affects 43% of infants by 6-mo postpartum. Human milk composition for some micronutrients can be negatively affected by suboptimal maternal nutrition; however, it is unknown whether this affects infant growth.",The American journal of clinical nutrition,2025-Jul
40373355,"Nutritional supplementation in pregnant, lactating women and young children following a plant-based diet: A narrative review of the evidence.","Plant-based diets are increasingly popular in contemporary society. While they are suitable for all life stages, there is a potential risk of nutrient deficiencies, particularly in omega-3 fatty acids, vitamins A, D, and B12, zinc, iodine, selenium, choline, and creatine. During pregnancy and lactation, the nutritional demands increase significantly, making proper supplementation essential. Breastfeeding remains the optimal feeding method for infants, provided key nutrient needs are met through ...","Nutrition (Burbank, Los Angeles County, Calif.)",2025-Aug
40332575,Updated Meta-Analysis on Vitamin Supplementation for Chronic Pruritus: Expanding Evidence Beyond Vitamin D.,"Chronic pruritus is a distressing condition associated with various dermatological and systemic diseases, significantly impairing patients' quality of life. While conventional treatments such as antihistamines and corticosteroids offer relief, their efficacy varies, and long-term use may lead to adverse effects. Emerging evidence suggests that certain vitamins, including vitamin D, vitamin E, vitamin B12, and niacinamide (B3), may play a role in alleviating pruritus through their anti-inflammato...",International journal of molecular sciences,2025-Apr
40250530,Towards defining optimal concentrations of micronutrients in adults to optimize health.,"Micronutrients are essential for maintaining physiological homeostasis and optimizing healthspan, defined as the years lived in good health without chronic diseases or disabilities. Despite increasing global life expectancy, improvements in healthspan have not kept pace, partly due to subclinical micronutrient deficiencies that often precede clinical symptoms. The triage theory highlights how micronutrient insufficiencies compromise long-term health by prioritizing critical metabolic functions. ...",Mechanisms of ageing and development,2025-Jun
40249981,"The effects of methyl nutrients on cognition and one carbon metabolism in older adults with mild cognitive impairment, A systematic review and meta-analysis.","Methyl nutrients can influence the one-carbon metabolic cycle and are important for cognitive function in older adults. We aimed to evaluate the effects of methyl nutrient supplementation, including the combination of folate and vitamin B12, and folate or vitamin B12 alone, on cognitive function and one-carbon metabolism in older adults with mild cognitive impairment.","Geriatric nursing (New York, N.Y.)",2025
40218924,"The Role of Vitamin B Complex in Periodontal Disease: A Systematic Review Examining Supplementation Outcomes, Age Differences in Children and Adults, and Aesthetic Changes.","Background and Objectives: Among nutritional factors implicated in periodontal health, the vitamin B complex-particularly folate (vitamin B9), cobalamin (B12), thiamine (B1), and riboflavin (B2)-has gained attention for its role in immunomodulation and tissue repair. This systematic review aims to synthesize current evidence on whether adequate vitamin B complex intake or status is associated with improved periodontal outcomes. Methods: A systematic search was performed in PubMed, Scopus, and We...",Nutrients,2025-Mar
