pmid,title,abstract,journal,pub_date
40944284,Coenzyme Q10 and Cognition: A Review.,"Background and Objective: With an increase in the number of older citizens in most Western countries, cognitive decline is becoming an increasingly significant issue. Numerous age-related metabolic and physiological changes, such as increased inflammation and oxidative stress, decreased adenosine triphosphate (ATP) production, poorer cardiovascular function, and reduced cerebral blood flow, have been implicated in cognitive decline, prompting research into interventions. Among these, Coenzyme Q1...",Nutrients,2025-Sep
40871615,Balancing the Cellular Inflammatory-Homeostatic Axis Through Natural Ingredient Supplementation.,"Dietary supplements are sources of nutrients or other substances that added to a healthy lifestyle help to preserve human homeostasis. Since inflammation is one of the major contributors to the alteration of homeostasis, this work investigated the effects of a multi-ingredient dietary supplement on human macrophages, cells involved in the inflammatory response.",Nutrients,2025-Aug
40367843,Can coenzyme Q10 supplementation reduce exercise-induced muscle damage and oxidative stress in athletes? A systematic review and meta-analysis.,Coenzyme Q10 (CoQ10) has been widely recognized for its potential antioxidative and cytoprotective properties. Oxidative stress and muscle damage can impair recovery in athletes. This meta-analysis evaluates the impact of CoQ10 supplementation on oxidative stress and muscle damage biomarkers in athletes.,Complementary therapies in clinical practice,2025-Aug
40151031,"Effects of Coenzyme Q10, Tryptophan, and Magnesium Supplementation on Fatigue in Patients with Fibromyalgia - A Randomized Trial.","Fibromyalgia (FM) is a prevalent and multifactorial condition requiring pharmacological and non-pharmacological interventions for its management. Coenzyme Q10 (CoQ10), magnesium, and tryptophan are associated with FM symptoms, but their combined effects in this condition are poorly understood. The objective of the study was to assess the effects of CoQ10, tryptophan, and magnesium supplementation in patients with FM. This single-center, randomized, double-blind, placebo-controlled, two-period, t...",Journal of dietary supplements,2025
40116591,Trends in Coenzyme Q10 Supplement Use and Associations With All-Cause and Cardiovascular Mortality: A Population-Based Cohort Study.,"Coenzyme Q10 (CoQ10) is a fat-soluble nutrient, which has antioxidant and anti-inflammatory properties. However, there is insufficient evidence on its daily use and the association with mortality. We aimed to evaluate the trends of CoQ10 supplement use among US noninstitutionalized adults and explore its associations with all-cause and CVD mortality. A prospective cohort study used data from the National Health and Nutrition Examination Survey (1999-2018). The association of CoQ10 supplementatio...",Molecular nutrition & food research,2025-May
39940333,Dietary Supplementation for Fatigue Symptoms in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)-A Systematic Review.,"Background/Objectives: Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) is a complex neuroimmunological disorder with limited treatment options. Despite the widespread use of Dietary Supplements (DSs) among ME/CFS patients to alleviate fatigue and associated symptoms, evidence remains inconclusive. This systematic review aims to provide an updated synthesis of the efficacy of DS interventions and explore possible mechanisms underlying their therapeutic effects. Methods: This systemati...",Nutrients,2025-Jan
39904656,Effects of Coenzyme Q10 Supplementation on Metabolic Indicators in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis.,Coenzyme Q10 (CoQ10) is a naturally occurring antioxidant that has been suggested to have beneficial effects on lipid profiles and blood pressure. This systematic review and meta-analysis aim to evaluate the effects of CoQ10 supplementation on these parameters in patients with Type 2 Diabetes (T2D).,Clinical therapeutics,2025-Mar
39901256,Effects of coenzyme q10 supplementation on metabolic and reproductive outcomes in obese rats.,"Obesity, a global epidemic, is linked to adverse reproductive outcomes, including infertility and ovulation dysfunction. The cafeteria diet (CAF) serves as an animal model mirroring Western diet habit. Coenzyme Q10 (CoQ10), known for enhancing reproductive outcomes in various pathologies, is not fully understood for its effects on obesity treatment. Here, obesity was modeled using CAF-fed rats to assess CoQ10's impact on metabolic and ovarian disruptions caused by obesity. Wistar rats were divid...",Journal of ovarian research,2025-Feb
39806632,Renoprotective effects of coenzyme Q10 supplementation in patients with chronic kidney disease: a protocol for a systematic review.,Coenzyme Q10 (CoQ10) is a fat-soluble vitamin-like quinone. The plasma levels of CoQ10 are reduced in patients with chronic kidney disease (CKD). CoQ10 supplementation can improve mitochondrial function and decrease oxidative stress in these patients. This systematic review will assess the renoprotective effects of CoQ10 supplementation in patients with CKD.,BMJ open,2024-Dec
39796491,The Role of Nutrient Supplements in Female Infertility: An Umbrella Review and Hierarchical Evidence Synthesis.,"Nutrient supplements are commonly used to improve fertility outcomes by women with infertility trying to conceive spontaneously or utilising medically assisted reproduction (MAR). However, despite their widespread use and perceived safety, there is a lack of clear guidance on the efficacy and safety of these supplements for female infertility. The aim of this umbrella review was to identify the best available and most recent evidence on the efficacy and safety of nutrient supplements for female ...",Nutrients,2024-Dec
39667129,Coenzyme Q10 supplementation in multiple sclerosis; A systematic review.,"Multiple Sclerosis (MS) is a chronic and progressive inflammatory disease of the central nervous system (CNS). Oxidative stress is a crucial mediator in multiple conditions, including the MS. Coenzyme Q10 (CoQ10) is a potent antioxidant, present in enzyme complexes of mitochondria, and involved in oxidative phosphorylation to produce adenosine triphosphate (ATP). The objective of this systematic review was to investigate the outcomes of CoQ10 supplementation in oxidative stress, inflammatory, an...",Multiple sclerosis and related disorders,2025-Jan
39599590,The Effects of Antioxidant Supplementation on Soccer Performance and Recovery: A Critical Review of the Available Evidence.,"Background Soccer is linked to an acute inflammatory response and the release of reactive oxygen species (ROS). Antioxidant supplements have shown promising effects in reducing muscle damage and oxidative stress and enhancing the recovery process after eccentric exercise. This critical review highlights the influence of antioxidant supplements on performance and recovery following soccer-related activity, training, or competition. Methods: English-language publications from the main databases th...",Nutrients,2024-Nov
39404918,Effects of selected dietary supplements on migraine prophylaxis: A systematic review and dose-response meta-analysis of randomized controlled trials.,The existing evidence on the effect of dietary supplements for preventing migraines has generated conflicting results.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2025-Feb
39374829,Nutritional factors and physical frailty: Highlighting the role of functional nutrients in the prevention and treatment.,"Physical frailty, an age-related decline in the physiological capacity and function of various organs, is associated with higher vulnerability to unfavorable health outcomes. The mechanisms proposed for physical frailty including increased inflammation and oxidative stress are closely related to nutritional status. In addition to traditional nutritional factors such as protein malnutrition and nutrient deficiencies, emerging evidence has focused on the role of functional nutrients including poly...",Ageing research reviews,2024-Nov
38878123,"Modulation of toxic effects of ammonia on growth, pathology of liver and kidney tissues and relative expression of GH and IGF-1 Genes by CoQ10 Supplementation in Oncorhynchus mykiss.","Reducing the negative impact of environmental and stressful factors is a crucial step in achieving sustainable aquaculture. Therefore, a study was aimed at evaluating the impacts of Coenzyme Q10 (CoQ10) supplementation on growth, relative gene expression of Growth Hormone (GH) and Insulin-like growth factor-1 (IGF-1), liver and kidney histopathology against stress induced by ammonia in Rainbow trout (Oncorhynchus mykiss). The fish were given feed containing different levels of CoQ10 for 8 weeks:...",Fish physiology and biochemistry,2024-Aug
38794708,Examining the Effects of Nutrient Supplementation on Metabolic Pathways via Mitochondrial Ferredoxin in Aging Ovaries.,"As women age, oocytes are susceptible to a myriad of dysfunctions, including mitochondrial dysfunction, impaired DNA repair mechanisms, epigenetic alterations, and metabolic disturbances, culminating in reduced fertility rates among older individuals. Ferredoxin (FDX) represents a highly conserved iron-sulfur (Fe-S) protein essential for electron transport across multiple metabolic pathways. Mammalian mitochondria house two distinct ferredoxins, FDX1 and FDX2, which share structural similarities...",Nutrients,2024-May
38700042,Use of Dietary Supplements Among People With Atherosclerotic Cardiovascular Disease in the United States: A Population-Based Analysis From NHANES.,"Dietary supplement use is prevalent in the general US population, but little is known regarding the driving reasons for their use among those with atherosclerotic cardiovascular disease (ASCVD).",Journal of the American Heart Association,2024-May
38643378,"The Effect of Coenzyme Q10 Supplementation on Bile Acid Metabolism: Insights from Network Pharmacology, Molecular Docking, and Experimental Validation.","Bile acids play a crucial role in lipid absorption and the regulation of lipid, glucose, and energy homeostasis. Coenzyme Q10 (CoQ10), a lipophilic antioxidant, has been recognized for its positive effects on obesity and related glycolipid metabolic disorders. However, the relationship between CoQ10 and bile acids has not yet been evaluated.",Molecular nutrition & food research,2024-May
38630421,Effect of Coenzyme Q10 Supplementation on Vascular Endothelial Function: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Coenzyme Q10 (CoQ10) has gained attention as a potential therapeutic agent for improving endothelial function. Several randomized clinical trials have investigated CoQ10 supplementation's effect on endothelial function. However, these studies have yielded conflicting results, therefore this systematic review and meta-analysis were conducted.",High blood pressure & cardiovascular prevention : the official journal of the Italian Society of Hypertension,2024-Mar
38431600,Coenzyme Q10 supplementation in burn patients: a double-blind placebo-controlled randomized clinical trial.,"Burn injuries are important medical problems that, aside from skin damage, cause a systemic response including inflammation, oxidative stress, endocrine disorders, immune response, and hypermetabolic and catabolic responses which affect all the organs in the body. The aim of this study was to determine the effect of coenzyme Q10 (CoQ10) supplementation on inflammation, oxidative stress, and clinical outcomes in burn patients.",Trials,2024-Mar
37049426,Systematic Review on Protocols of Coenzyme Q10 Supplementation in Non-Surgical Periodontitis Therapy.,"This systematic review focuses on the different study protocols on CoQ10 as an adjunct in non-surgical periodontitis therapy. The study protocol was developed following PRISMA guidelines and was registered in PROSPERO (CRD42021156887). A sensitive search up to January 2022 considered MEDLINE via PubMed and Web of Science, Embase, Web of Science Core Collection via Web of Science, Google Scholar, Cochrane CENTRAL, WHO (ICTRP), ClinicalTrials.gov, and grey literature. Randomized controlled (SRP wi...",Nutrients,2023-Mar
36337001,Effects of Coenzyme Q10 Supplementation on Lipid Profiles in Adults: A Meta-analysis of Randomized Controlled Trials.,"Previous meta-analyses have suggested that the effects of coenzyme Q10 (CoQ10) on lipid profiles remain debatable. Additionally, no meta-analysis has explored the optimal intake of CoQ10 for attenuating lipid profiles in adults.",The Journal of clinical endocrinology and metabolism,2022-Dec
35297269,Coenzyme Q10 supplementation for the treatment of statin-associated muscle symptoms.,"Aim: To determine the association of coenzyme Q10 (CoQ10) use with the resolution of statin-associated muscle symptoms (SAMS). Patients & methods: Retrospective analysis of a large, multicenter survey study of SAMS (total n = 511; n = 64 CoQ10 users). Univariate and multivariate logistic regression models assessed the association between CoQ10 use and the resolution of SAMS. Results: The frequency of SAMS resolution was similar between CoQ10 users and non-users (25% vs 31%, respectively; unadjus...",Future cardiology,2022-Jun
35254637,Review on Headache Related to Dietary Supplements.,"The lifetime prevalence of headaches is 96%. Approximately 11% of the adult population worldwide has a migraine headache. Migraine is a complex disorder that is more than a simple headache. So far, many underlying mechanisms, i.e. inflammatory, vascular, neurogenic have been hypothesized. In recent years evidences proposed that an energy deficit due to changes in mitochondrial function contributes to migraine pathophysiology as an upstream disorder. Recent insights suggested that the coexistence...",Current pain and headache reports,2022-Mar
34444817,"Effect of Dietary Coenzyme Q10 Plus NADH Supplementation on Fatigue Perception and Health-Related Quality of Life in Individuals with Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Prospective, Randomized, Double-Blind, Placebo-Controlled Trial.","Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complex, multisystem, and profoundly debilitating neuroimmune disease, probably of post-viral multifactorial etiology. Unfortunately, no accurate diagnostic or laboratory tests have been established, nor are any universally effective approved drugs currently available for its treatment. This study aimed to examine whether oral coenzyme Q10 and NADH (reduced form of nicotinamide adenine dinucleotide) co-supplementation could improve...",Nutrients,2021-Jul
34290862,Effect of coenzyme Q10 supplementation on oxidative stress and clinical outcomes in patients with low levels of coenzyme Q10 admitted to the intensive care unit.,"Today, trauma is known to be the third leading cause of death in most countries. Studies have demonstrated below-normal plasma levels of antioxidants in trauma patients. The present study aimed to assess the efficacy of Coenzyme Q10 (CoQ10) on oxidative stress, clinical outcomes and anthropometrical parameters in traumatic mechanical ventilated patients admitted to the intensive care unit. Patients were randomised to receive sublingual CoQ10 (400 mg/d) or placebo for 7 d. Primary and secondary o...",Journal of nutritional science,2021
34129891,Coenzyme Q10 supplementation - In ageing and disease.,"Coenzyme Q10 (CoQ10) is an essential component of the mitochondrial electron transport chain. It is also an antioxidant in cellular membranes and lipoproteins. All cells produce CoQ10 by a specialized cytoplasmatic-mitochondrial pathway. CoQ10 deficiency can result from genetic failure or ageing. Some drugs including statins, widely used by inter alia elderly, may inhibit endogenous CoQ10 synthesis. There are also chronic diseases with lower levels of CoQ10 in tissues and organs. High doses of C...",Mechanisms of ageing and development,2021-Jul
34067632,Coenzyme Q10: Clinical Applications beyond Cardiovascular Diseases.,"Coenzyme Q10 (CoQ10) is an essential cofactor in oxidative phosphorylation (OXPHOS), present in mitochondria and cell membranes in reduced and oxidized forms. Acting as an energy transfer molecule, it occurs in particularly high levels in the liver, heart, and kidneys. CoQ10 is also an anti-inflammatory and antioxidant agent able to prevent the damage induced by free radicals and the activation of inflammatory signaling pathways. In this context, several studies have shown the possible inverse c...",Nutrients,2021-May
