pmid,title,abstract,journal,pub_date
40723851,A Novel GABA-Producing Levilactobacillus brevis Strain Isolated from Organic Tomato as a Promising Probiotic.,"Gamma-aminobutyric acid (GABA) is a non-protein amino acid playing a significant role in the central nervous system and the gut-brain axis. This study investigated the potential to produce GABA by lactic acid bacteria (LAB) isolated from different varieties of organic tomatoes. The isolated LAB were taxonomically identified by 16S rRNA gene sequencing, the presence of the gadB gene (glutamate decarboxylase) was detected, and GABA production was quantified using HPLC. Levilactobacillus brevis CRA...",Biomolecules,2025-Jul
40647242,"Psychobiotics in Depression: Sources, Metabolites, and Treatment-A Systematic Review.","Background: Depression and other stress-related mental disorders are the leading causes of disability worldwide, making them a significant global health challenge. This systematic review aimed to determine the effects of psychobiotic microorganisms on mental health outcomes, with particular focus on their sources, metabolites, and therapeutic potential for depression. Methods: A systematic review following PRISMA guidelines was conducted using publications from 2020 to 2024 in Web of Science, Sc...",Nutrients,2025-Jun
40613302,Lactobacillus reuteri E9 Regulates Sleep Disorders Through Its Metabolite GABA.,"Insomnia, the most prevalent sleep disorder, is clinically defined as difficulty initiating or maintaining sleep. Although many medications are effective for insomnia treatment, they carry risks of drug dependence and abuse. The microbiota-gut-brain axis (MGBA) facilitates bidirectional signaling between the gastrointestinal tract and the central nervous system via gut microbes. Probiotics that provide mental and behavioral benefits through MGBA (psychobiotics) offer broad therapeutic potential.",Frontiers in bioscience (Landmark edition),2025-Jun
40598488,Alternating magnetic field-responsive engineered probiotics for anxiety therapy via gut-brain axis modulation.,"The discovery of the gut-brain axis demonstrated bidirectional regulation between the gut and the brain. The gastrointestinal branches of the vagal nerve have been proven to directly modulate multiple functions of the central nervous system (CNS), providing great opportunities to develop novel tools to remotely regulate CNS function from the gut. Engineered bacteria, acting as oral live biotherapeutics, offer a durable and controllable way of modulating neuronal function non-invasively and with ...",Journal of nanobiotechnology,2025-Jul
40566993,GABA-Producing Levilactobacillus brevis LAB6 Mitigates Pentylenetetrazol-Induced Gut-Brain Dysregulation in SD Rats.,"Understanding the communication between the gut and brain has emerged as a new research avenue in neurological disorders like epilepsy, with increasing evidence pointing towards the influence of intestinal microbes on the central nervous system. Here, the protective effects of a psychobiotic strain Levilactobacillus brevis LAB6 MTCC 25662 supplementation against pentylenetetrazole (PTZ)-induced kindling in male Sprague Dawley rats was studied. Two GABA-producing strains Levilactobacillus brevis ...",Journal of neurochemistry,2025-Jun
40544762,Dietary gamma-aminobutyric acid enhances endurance exercise capacity through mechanisms involving activation of peroxisome proliferator-activated receptor gamma coactivator-1 alpha.,"Dietary gamma-aminobutyric acid (GABA) provides physiological benefits and has been extensively studied for its metabolic effects such as reducing stress, hypertension, improving sleep and cognitive function. However, its effects, when combined with exercise training, on endurance exercise capacity remain unclear. In this study, we aimed to investigate the combined effects of dietary GABA supplementation and exercise training on endurance performance in mice and explore its underlying mechanisms...",Biochemical and biophysical research communications,2025-Aug
40472638,Genomic and phenotypic analysis of probiotic properties of GABA-producing Enterococcus lactis A1 in Micropterus salmoides aquaculture.,"Aquaculture contributes substantially to global food and nutrition security. Dysfunction of the fish intestinal mucosal barrier increases susceptibility to pathogens and affects aquaculture production. Indigenous probiotics, specifically those targeting intestinal health, are promising agents for disease control and growth promotion. Gamma-aminobutyric acid (GABA), derived from microorganisms, is a postbiotic with multiple beneficial functions. However, there is a lack of reports on GABA-produci...",Microbiological research,2025-Oct
40442580,"Probiotic attributes, antioxidant and neuromodulatory effects of GABA-Producing Lactiplantibacillus plantarum SY1 and optimization of GABA production.","Γ-aminobutyric acid (GABA), a major inhibitory neurotransmitter in the central nervous system, has been shown to alleviate various physiological disorders including insomnia, hypertension, depression, and memory loss. Lactic acid bacteria (LAB), recognized as safe GABA producers, have attracted increasing attention. This study aimed to screen GABA-producing LAB from naturally fermented dairy products and evaluate their probiotic potential, antioxidant and neuromodulatory activities, while optimi...",BMC microbiology,2025-May
40435883,"Probiotic potential, safety assessment, and functional properties of lactic acid bacteria from camel milk.","Camel milk is one of the most valuable food sources in the Algerian desert. Furthermore, it is a strong candidate for use as a functional food because it contains beneficial microorganisms that promote health. The present study investigates 144 lactic acid bacteria isolated from camel milk, examining their probiotic, safety, technological, and antioxidant properties. Of these, 19 lactic acid bacteria showed very high tolerance to the simulated gastric environment and were selected for further an...",Enzyme and microbial technology,2025-Sep
40431374,"Long-Term Supplementation of GABA Regulates Growth, Food Intake, Locomotion, and Lipid Metabolism by Increasing Ghrelin and Growth Hormone in Adolescent Mice.","Background/Objectives: The amino acid γ-aminobutyric acid (GABA) is the primary neurotransmitter in the central nervous system (CNS) and acts as an autocrine and/or paracrine signaling molecule in various types of non-neuronal cells. On the other hand, GABA is a nutrient found in a variety of foods and is marketed as a health supplement based on a growing number of studies reporting health benefits in humans and recuperations in animal models of diseases. The present study sought to examine whet...",Nutrients,2025-May
40429678,Lactobacillus brevis GKJOY Supplementation Ameliorates Oxidative Stress and Reproductive Dysfunction in Male Rats with Polystyrene Microplastics-Induced Reproductive Toxicity.,"The growing demand for plastic products has led to an increase in human exposure to microplastics (MPs). MPs have been shown to have detrimental effects on reproductive function, while probiotics have demonstrated promise in enhancing fertility. This study aimed to determine the protective effects of Lactobacillus brevis GKJOY against reproductive damage induced by polystyrene microplastics (PS-MPs) in male rats. In the cell study, LC540 cells were treated with L. brevis GKJOY postbiotic (PGK), ...",International journal of molecular sciences,2025-May
40345658,Effects of combined gamma aminobutyric acid supplementation and exercise training on the body composition of women: A randomized double-blind trial.,Preclinical and clinical investigations have revealed the metabolic health benefits of gamma-aminobutyric acid (GABA) supplementation. Exercise training is widely acknowledged for its positive effects on the health of individuals with obesity.,Clinical nutrition ESPEN,2025-Aug
40281288,"Probiotic Bactolac alleviates depression-like behaviors by modulating BDNF, NLRP3 and MC4R levels, reducing neuroinflammation and promoting neural repair in rat model.","Depression, a prevalent psychiatric disorder, exerts severe and debilitating impacts on an individual's mental and physical well-being, and it is considered a chronic mental illness. Chronic stress plays an important role in the pathophysiology of depression. Lactobacillus plantarum and Streptococcus thermophilus are psychobiotic bacteria and synthesize some neurotransmitters that play a role in the pathogenesis of depression. In this study, we aimed to investigate the therapeutic effects of Bac...",Pflugers Archiv : European journal of physiology,2025-Jun
40271906,GABA-Enriched Lactiplantibacillus plantarum DPUL-F233 Powder and Its Effect on Blood Pressure in Spontaneously Hypertensive Rats.,"Hypertension is a common chronic disease driven by multiple physiological mechanisms, primarily the overactivation of the renin-angiotensin system (RAS). Gamma-aminobutyric acid (GABA), a nonprotein amino acid, has well-documented health benefits, including antihypertensive and calming effects. This study evaluates the blood pressure-lowering effects of Lactiplantibacillus plantarum DPUL-F233 bacterial powder in spontaneously hypertensive rats (SHRs). The bacterial powder was produced using opti...",Journal of food science,2025-Apr
