pmid,title,abstract,journal,pub_date
42360656,Effects of tryptophan combined with Limosilactobacillus reuteri M6 on the growth performance and intestinal barrier function of heat-stressed broilers.,"This study investigated the effects of Tryptophan (Trp) combined with Limosilactobacillus reuteri M6 (L. reuteri M6) on growth performance and intestinal barrier function of broilers subjected to heat stress (HS). A total of 250 21-day-old male broilers (676.24 ± 1.43 g) were randomly assigned to five groups (5 replicates of 10 birds each). The thermoneutral (TN) group was raised at 23 ± 1 °C and fed a basal diet. The other four groups were exposed to cyclic HS (34 ± 1 °C for 8 h/day, and 23 ± 1...",Veterinary research communications,2026-Jun
42360434,The chemotaxis disruption of Aeromonas veronii by Lactococcus lactis and its probiotic effect on loach (Misgurnus anguillicaudatus).,"Aeromonas veronii is a pathogen that is widely found in aquaculture environments. It has been observed to colonize the gastrointestinal tract of fish and other aquatic animals, with the potential to cause severe infections. Previous studies have demonstrated that probiotics, such as Lactococcus lactis 01, Lactococcus lactis 02, Enterococcus pseudoavium 03, and Bacillus sp. 04, can reduce the colonization capability of A. veronii. In this study, we sought to ascertain whether these four probiotic...",Archives of microbiology,2026-Jun
42356406,Evaluation of the Safety and Tolerability of L-Tyrosine Supplementation in Healthy Adult Men: A Randomized Crossover Trial.,"L-tyrosine, classified as a dispensable amino acid, is widely consumed as a component of commonly consumed foods and as a dietary supplement. However, 4-week safety data on supplementation with this amino acid remain limited.",Nutrients,2026-Jun
42356402,Preliminary Assessment of Red Beetroot Supplementation and Cultivar Effects in Low-Protein-Fed WKY Rats.,"Background/Objectives: Red beetroot (Beta vulgaris L.) is recognized for its antioxidant, anti-inflammatory, and metabolic properties. This study evaluated the effects of two beetroot cultivars (Boldor and Wodan) on blood serum parameters, body composition, and organ weights in male WKY rats fed a low-protein diet (LPD, 8.8% protein). Methods: Five-week-old male rats were maintained on an LPD for 8 weeks and subsequently continued on the LPD diet supplemented with 4% dried beetroot for 45 days. ...",Nutrients,2026-Jun
42356395,Lepidium Meyenii Walp. (Maca) and Blood Biomarkers of Muscle Damage and Post-Exertion Protein Degradation: A Systematic Review and Meta-Analysis of Preclinical Studies.,"Background: Lepidium meyenii Walp (L. meyenii), traditionally known as maca, is widely recognized for its health-promoting properties, including potential protection against exercise-induced muscle damage (EIMD). However, its precise effect on post-exercise blood biomarkers remains unclear. Objective: This study aimed to qualitatively review research published until April 2026 examining L. meyenii supplementation to reduce blood markers of muscle damage and protein degradation post-exertion in a...",Nutrients,2026-Jun
42356301,The Relative Bioavailability of Lutein and Zeaxanthin in the Presence of Omega-3 Supplements and Their Effect on Oxidative Stress Levels in Humans: A Pilot Study.,"Introduction: Lutein+Zeaxanthin (L+Z) are the major constituents of macular pigments of the retina. There is a lack of information on the bioavailability of the two compounds in the presence and absence of omega-3 fatty acids in L+Z supplements which are commonly prescribed to treat macular degeneration. Despite growing interest in L+Z supplementation, there remains a limited understanding of their short-term bioavailability dynamics and the potential added value of omega-3 co-supplementation. T...",Nutrients,2026-Jun
42356296,Effects of a Plant-Based Multi-Strain Limosilactobacillus fermentum Probiotic on Weight Loss Outcomes in Overweight and Obese Adults: A Preliminary Study.,"Multi-strain Limosilactobacillus fermentum supplementation has been reported to promote weight loss outcomes in free-living conditions, but limited evidence exists on these probiotic strains added to an energy-restricted diet and walking program in overweight adults.",Nutrients,2026-Jun
42343776,[Screening of novel uric acid-lowering probiotics and evaluation of their probiotic properties].,"To address the growing health challenge of hyperuricemia while circumventing or compensating for the limitations of existing clinical treatment options, through a combination of large-scale screening and laboratory-based adaptive evolution, we identified a Lactobacillus acidophilus strain D801 exhibiting robust capacity for uric acid degradation. We then systematically evaluated the probiotic properties of the strain by assessing the in vitro uric acid degradation capacity, gastrointestinal tole...",Sheng wu gong cheng xue bao = Chinese journal of biotechnology,2026-May
42319540,Postbiotic Lactobacillus reuteri LRE02 Enriched with Sodium Selenite Demonstrates Antidepressant- and Anxiolytic-Like Effects in Mice.,"Postbiotics, including inactivated microorganisms and their bioactive components, have emerged as innovative candidates for microbiota-targeted therapies. Among them, Lactobacillus reuteri-derived postbiotics represent a promising and underexplored strategy for modulating host physiology without the risks associated with live bacteria. Selenium enrichment may further enhance these benefits by strengthening antioxidant defenses and regulating inflammation, two central mechanisms to microbiota-gut...",Molecular neurobiology,2026-Jun
42314418,Compound probiotics alleviate aflatoxin B1-induced reproductive toxicity in mice by remodeling gut microbiota and testicular metabolome via NRF2 pathway action.,"This study aimed to investigate the protective effects of compound probiotics (CP) comprising Saccharomyces cerevisiae, Lactobacillus casei, and Bacillus subtilis against aflatoxin B₁ (AFB₁) -induced reproductive toxicity in mice. Kunming mice (n = 60; male) were randomly assigned to six groups and treated via gavage for 28 d with control, AFB₁ alone (150 μg/kg), medium-dose CP (MCP) alone, or AFB₁ combined with low-, medium-, or high-dose CP. Notably, AFB₁ exposure significantly increased the i...",Ecotoxicology and environmental safety,2026-Jul
