pmid,title,abstract,journal,pub_date
41309379,Modulation of the Gut Microbiome and Metabolomes by Fermentation Using a Probiotic Complex in a Dysbiosis-Associated Fecal Model.,"Inflammatory bowel disease (IBD), affecting up to 0.5% of the global population, is frequently associated with gut microbiota dysbiosis and metabolic imbalances, which contribute to chronic constipation and abdominal discomfort. This study investigated the modulatory effects of an eight-strain probiotic complex comprising Lactobacillus, Bifidobacterium, and Streptococcus species on the gut microbiome and metabolome using an in vitro fecal fermentation model derived from a single IBD patient with...",Journal of microbiology and biotechnology,2025-Nov
41309364,Limosilactobacillus fermentum 2L Ameliorates Chronic Stress-Induced Neuroinflammation through Gut-Brain Axis Modulation in Mice.,"Chronic stress contributes to neuroinflammation and psychiatric disorders through gut-brain axis dysregulation. This study investigated the therapeutic potential of Limosilactobacillus fermentum 2L in ameliorating stress-induced neuroinflammation using an unpredictable chronic mild stress (UCMS) model. Five L. fermentum strains were screened for probiotic properties, with strain 2L selected based on superior acid and bile tolerance, cellular adhesion, and antioxidant activity. C57BL/6J mice unde...",Journal of microbiology and biotechnology,2025-Nov
41305606,Lactiplantibacillus plantarum Lp20 Alleviates High Fat Diet-Induced Obesity in Mice via Its Bile Salt Hydrolase Activity.,"Background: Obesity is a highly prevalent chronic disease characterized by excessive weight gain and fat accumulation. There is growing evidence that Lactiplantibacillus plantarum strains with bile salt hydrolase (BSH) activity are effective in preventing and alleviating obesity. Methods: Initially, we screened bacterial strains with high hydrolytic activity against glycochenodeoxycholic acid (GDCA), and constructed an isogenic bsh1 knockout mutant. Subsequently, male C57BL/6J mice fed a high-fa...",Nutrients,2025-Nov
41305585,Dietary Copper on the Onset of Puberty in Rats: Possible Mechanism.,"Background/Objectives: Copper is an essential trace element for physiological processes related to reproduction, but its impact on the hypothalamic-pituitary-ovarian (HPOA) axis and its specific mechanism remain unclear. Methods: In vivo study: 21-day-old female Sprague Dawley (SD) rats were randomly assigned to five groups (n = 10 per group), with all groups fed a basal diet and supplemented with CuSO4·5H2O to achieve copper ion concentrations of 0, 15, 30, 45, or 60 mg/kg in the diet. During t...",Nutrients,2025-Nov
41305576,Postbiotics from Lacticaseibacillus rhamnosus IOB820 Combat Obesity in HFD Mice by Modulating Gut Microbiota and Enhancing SCFA Production.,"Aims: To evaluate whether Lacticaseibacillus rhamnosus (L. rhamnosus) IOB820 and its postbiotics can combat high-fat diet (HFD)-induced obesity, improve metabolic parameters, and modulate gut microbiota and systemic inflammation in a mouse model. Methods: Seventy 4-week-old male C57BL/6J mice were divided into a normal diet group, an HFD control group, two postbiotic dose groups, two live bacteria dose groups, and an orlistat control group. After 10 weeks of intervention with live L. rhamnosus I...",Nutrients,2025-Nov
41303688,Probiotic Modulation in Aging: Strain-Specific Geroprotective Effects in Caenorhabditis elegans.,"Elderly individuals are more vulnerable to disease due to their increased frailty. Emerging evidence highlights the potential of probiotics as geroprotective agents by maintaining gut health and modulating key physiological processes involved in aging, such as inflammation, cognitive functions, and metabolism. Here, we investigated the geroprotective potential of four probiotic strains (Lacticaseibacillus paracasei LPC1114, Limosilactobacillus reuteri PBS072, Bifidobacterium breve BB077, and Bif...",International journal of molecular sciences,2025-Nov
41303631,Lactobacillus rhamnosus GG and Lactobacillus paracasei IMPC2.1 Mitigate LPS-Induced Epithelial Barrier Dysfunction: A Focus on Autophagy Regulation.,"The intestinal epithelial barrier is critical for maintaining gut homeostasis, yet its integrity can be compromised by inflammation and microbial dysbiosis. Here, we demonstrate that Lactobacillus rhamnosus GG (LGG) and Lactobacillus paracasei IMPC2.1 (L. paracasei) show their effectiveness in enhancing epithelial barrier function and modulating autophagy, counteract the epithelial barrier dysfunction, induced by Lipopolysaccharide (LPS), in Caco-2 cells by modulating tight junction (TJ) protein...",International journal of molecular sciences,2025-Nov
41298724,Modelling the influence of vitamin D and probiotics on inflammation and the intestinal microbiota in older adults.,"The relationship between the intestinal microbiota and human health during ageing is an area of increasing interest due to increasing health challenges experienced by ageing populations. This paper develops a mathematical model describing the age-related biological changes associated with alterations to the microbiota, vitamin D levels, immunosenescence and inflammageing to determine the likely impact of manipulating the intestinal microbiota with dietary components. Age-dependent parameters are...",Scientific reports,2025-Nov
41296071,"A probiotic containing L. plantarum and P. acidilactici strains for treating upper respiratory infection in children aged 6 months to 5 years: a randomized, double-blind trial.","Upper respiratory infections (URIs) are highly prevalent, especially among young children. We aimed to investigate the efficacy and safety of a specific probiotic formula in shortening the duration of pediatric URIs of likely viral origin. A randomized, double-blind clinical trial was conducted in children aged 6 months to 5 years, with URI with pharyngitis as diagnosed by a specialist. Participants were allocated to probiotic (strains L. plantarum KABP022, KABP023, and KABP033 and P. acidilacti...",European journal of pediatrics,2025-Nov
41295411,"Characterization and Valorization of the Microalgal Co-Product Spirugrass®: Protein Profile, Iron Speciation, and Potential Use as a Supplement for Honeybees.","Microalgae are used as dietary supplements for humans and animals, due to their excellent nutritional profile. This research aims to characterize Spirugrass®, a co-product obtained after the extraction of phycocyanin from Limnospira platensis, and to evaluate whether a stabilization treatment involving high-pressure processing (HPP) affects its proteomic profile. The research also aims to evaluate the possible use of Spirugrass® as feed integration for honeybee health. Proteins were extracted an...",Marine drugs,2025-Nov
