pmid,title,abstract,journal,pub_date
42760849,Effects of Lactobacillus acidophilus on hepatic and microbial dysregulation in MASLD and diabetes.,"Gut microbial dysbiosis has been implicated in metabolic dysfunction-associated steatotic liver disease (MASLD) and diabetes, but the metabolic effects of candidate probiotic strains across this disease continuum remain incompletely understood. Based on the validation of disease-associated microbial patterns in a clinical cohort, Lactobacillus acidophilus as selected as a candidate strain, and its effects were systematically investigated across multiple complementary models, including Western di...",Gut microbes,2026-Dec
42757668,Sodium Bicarbonate Supplementation Enhances Repeated High-Intensity Interval Training Performance and Time Above 90% of  V ˙ O 2   max in Well-Trained Cyclists.,"This study investigated the effects of sodium bicarbonate (SB) supplementation on physiological responses and performance during submaximal exercise, high-intensity interval training (HIT) and repeated Wingate sprints in well-trained cyclists. Twenty-four participants (♂ = 15, maximal oxygen uptake [  V ˙ O 2   max] = 72 ± 5 mL·min-1 kg-1; ♀ = 9,  V ˙ O 2   max = 57 ± 6 mL·min-1 kg-1) performed one screening and familiarisation session and two experimental sessions in a randomised, double-blind ...",European journal of sport science,2026-Oct
42755864,Microbial metabolite-mediated modulation of enteroendocrine and immune pathways by Lactiplantibacillus pentosus CECT 8039 in early diet-induced obesity.,"The gut microbiota-enteroendocrine axis contributes to the regulation of host energy homeostasis through microbial metabolites and satiety-related signaling. This study evaluated whether Lactiplantibacillus pentosus CECT 8039 (L. pentosus BB) modulates microbial fermentation, enteroendocrine responses, and metabolic and immune parameters associated with early diet-induced obesity.",Frontiers in endocrinology,2026
42753171,"""Single-Cell Encapsulation of Lactiplantibacillus Plantarum Via Layer-by-Layer Technique for Enhanced Viability and Shelf Life: Insights on Multilayer Assembly on Bacteria"".","The efficacy of probiotics depends on their ability to survive gastrointestinal transit; however, conventional formulations often experience losses of 2-3 log units before reaching the intestine. Here, we report the single-cell encapsulation of Lactiplantibacillus plantarum C8 using the layer-by-layer (LbL) assembly of poly-L-lysine (PLL) and alginate (Alg), resulting in a protective two-layer coating. Coating assembly was monitored by flow cytometry and validated by quartz crystal microbalance ...",Macromolecular bioscience,2026-Sep
42747600,"Effects of a multi-strain probiotic on production performance, antioxidant indices, intestinal morphology, and fecal microbiota in heat-stressed quails.","This experiment aimed to assess the impact of a multi-strain probiotic cocktail containing spore-forming and lactic acid-producing species on the growth performance, intestinal morphometry, antioxidant indices, and fecal bacterial populations of Japanese quails reared under heat stress (HS) conditions. A total of 400 one-day-old unsexed Japanese quails were randomly allocated to four experimental groups (100 birds per group; four replicates of 25 birds each): (1) Control (normal temperature), (2...",Tropical animal health and production,2026-Sep
42746921,Vitamin D supplementation for prevention of vitamin D deficiency in preterm and low birth weight infants.,"Infants born prematurely or low birth weight (LBW) are at increased risk of vitamin D deficiency, poor bone health and rickets. Uncertainty exists regarding the need, dose and duration of vitamin D supplementation in preterm and LBW infants.",The Cochrane database of systematic reviews,2026-Sep
42742757,Effect of Lactiplantibacillus plantarum SCS6 on pancreatic oxidative damage in mice with type 2 diabetes based on gut-pancreas axis.,"Type 2 diabetes (T2D) is a metabolic disorder closely associated with oxidative stress. In recent years, Lactiplantibacillus plantarum (L. plantarum), a probiotic lactic acid bacterium, has garnered significant attention due to its potent antioxidant properties and has been utilized in mitigating various chronic diseases mediated by oxidative stress. In this study, L. plantarum SCS6 was isolated from traditional Sichuan fermented sausages. We systematically evaluated the effects of different dos...",Antonie van Leeuwenhoek,2026-Sep
42739097,Investigating the Impact of Protein Supplementation from Different Sources on Advanced Glycation End Products in Older Adults in Singapore Following a Healthy Dietary Pattern.,"Background/Objectives: Protein supplementation may elevate advanced glycation end products (AGEs) through higher dietary AGE (dAGE) content and increase amino acid-driven endogenous formation. Protein supplementation from different sources may differentially affect AGE levels, possibly through differences in amino acid composition, digestion and metabolism, but evidence from randomized controlled trials (RCTs) remains limited. This study aimed to examine the effect of protein supplementation fro...",Nutrients,2026-Sep
42739024,The Nutraceutical Potential of Blackcurrant (Ribes nigrum) for Glycemic Control and Metabolic Health: Mechanistic and Translational Insights.,"Diabetes mellitus is a pervasive global health crisis, with type 2 diabetes (T2D) representing the majority of cases. While conventional pharmacological therapies exist, suboptimal efficacy, adverse effects, and inadequate glycemic control in a substantial proportion of patients highlight the need for complementary strategies. There is growing scientific and clinical interest in plant-based functional foods, including Ribes nigrum L. (blackcurrant), which is rich in bioactive phytochemicals such...",Nutrients,2026-Sep
42738968,"Comprehensive In Vitro, Genomic, Microbiota, and Subacute Toxicological Safety Characterization of Lactiplantibacillus plantarum ATA-LPC98052.","Lactiplantibacillus plantarum is a widely studied probiotic species; however, probiotic characteristics and safety profiles are strain-specific, requiring independent evaluation. This study characterized Lactiplantibacillus plantarum ATA-LPC98052 as a candidate probiotic raw material.",Nutrients,2026-Aug
