pmid,title,abstract,journal,pub_date
40782206,"Effects of high-protein nutritional supplementation on nutritional status, physical function, and quality of life in older gastric cancer patients receiving neoadjuvant chemotherapy: a randomized trial.","This study aimed to evaluate the effects of high-protein oral nutritional supplements (ONS) on nutritional status, physical function, and quality of life in older gastric cancer patients undergoing neoadjuvant chemotherapy (NAC).",Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2025-Aug
40772315,Ketone Supplements and Alcohol-Related Responses in Rodents.,"While alcohol use disorder can be treated with pharmacological interventions, ketosis is a recently proposed treatment option. Ketosis, defined by elevated concentrations of ketone bodies such as β-hydroxybutyrate (BHB), can be induced by a ketogenic diet or by supplements. As a supplement, both the salt and ester formulation of BHB rapidly increase blood ketone levels. Although preclinical studies have revealed that a ketogenic diet or a mix of ketone supplements reduces alcohol intake and alle...",Addiction biology,2025-Aug
40639301,Lifestyle-based interventions targeting neurocognition in bipolar disorders - a systematic review of randomized controlled trials.,"A substantial proportion of individuals with bipolar disorder (BD) show some degree of cognitive impairment. Emerging evidence suggests that lifestyle-based interventions (LBIs) can improve clinical outcomes in BD, although few studies have assessed their efficacy on cognition.",Psychiatry research,2025-Sep
40490846,"Safety and efficacy of docosahexaenoic acid supplementation during neoadjuvant breast cancer therapy: Findings from the phase II, double-blind, randomized controlled DHA-WIN trial.","There is limited clinical evidence of docosahexaenoic acid (DHA) efficacy during breast cancer neoadjuvant chemotherapy (NAC). This randomized, double-blind, placebo-controlled trial aimed to investigate the safety and efficacy of DHA supplementation in breast cancer patients undergoing NAC. Participants (n = 49) were assigned to receive either DHA 4.4 g/day orally (algae triacylglycerol) or a placebo (corn/soy oil) over six cycles (18 weeks) of NAC. The primary outcome was the evaluation of cha...",International journal of cancer,2025-Oct
40315249,Exploratory outcomes of the DHA WIN randomized controlled trial: Supplementing women with docosahexaenoic acid did not reduce the impact of neoadjuvant breast cancer chemotherapy on quality of life or exercise behaviour.,Supplementation of omega-3 (n-3) polyunsaturated fatty acids has been associated with reduced side effects and improved quality of life (QoL) in breast cancer patients receiving chemotherapy. The current study reports secondary outcomes from the DHA WIN randomized controlled trial which was designed to evaluate docosahexaenoic acid (DHA) supplementation (4.4 g/day) in conjunction with six cycles of neoadjuvant chemotherapy (NAC) (3 weeks/cycle) in women with non-metastatic breast cancer (n = 49)...,PloS one,2025
39796491,The Role of Nutrient Supplements in Female Infertility: An Umbrella Review and Hierarchical Evidence Synthesis.,"Nutrient supplements are commonly used to improve fertility outcomes by women with infertility trying to conceive spontaneously or utilising medically assisted reproduction (MAR). However, despite their widespread use and perceived safety, there is a lack of clear guidance on the efficacy and safety of these supplements for female infertility. The aim of this umbrella review was to identify the best available and most recent evidence on the efficacy and safety of nutrient supplements for female ...",Nutrients,2024-Dec
39599590,The Effects of Antioxidant Supplementation on Soccer Performance and Recovery: A Critical Review of the Available Evidence.,"Background Soccer is linked to an acute inflammatory response and the release of reactive oxygen species (ROS). Antioxidant supplements have shown promising effects in reducing muscle damage and oxidative stress and enhancing the recovery process after eccentric exercise. This critical review highlights the influence of antioxidant supplements on performance and recovery following soccer-related activity, training, or competition. Methods: English-language publications from the main databases th...",Nutrients,2024-Nov
39189388,"N-Acetylcysteine Supplementation Improves Testicular Haemodynamics, Testosterone Levels, Seminal Antioxidant Capacity and Semen Quality in Heat-Stressed Goat Bucks.","Heat stress (HS) disrupts testicular homeostasis because of oxidative stress. N-acetylcysteine (NAC) is a thiol compound with antioxidants, anti-inflammatory and anti-apoptotic properties. As a sequel, this research aimed to assess the ameliorative effects of NAC supplementation on the reproductive performance of goat bucks kept under environmental HS. Primarily, Doppler examination as well as semen collection and evaluation were conducted on 12 mature bucks for 2 weeks (W) as pre-heat stress co...",Reproduction in domestic animals = Zuchthygiene,2024-Aug
39046019,Lycopene supplementation promoted increased survival and decreased parasitemia in mice with severe malaria: comparison with N-acetylcysteine.,"Oxidative stress is involved in the pathogenesis of malaria, causing anemia, respiratory complications, and cerebral malaria. To mitigate oxidative stress, we investigated the effect of nutritional supplementation whit lycopene (LYC) on the evolution of parasitemia and survival rate in mice infected with Plasmodium berghei ANKA (Pb), comparing to the effects promoted by N-acetylcysteine (NAC). Therefore, 175 mice were randomly distributed into 4 groups; Sham: untreated and uninfected animals; Pb...",Anais da Academia Brasileira de Ciencias,2024
39012492,Anticandidal Activity of Various Probiotic Lactobacillus Strains and Their Efficacy Enhanced by Prebiotic Supplementation.,"Probiotics and prebiotics have been considered as alternative approaches for promoting health. This study aimed to investigate the anticandidal potential of various probiotic Lactobacillus strains and their cell-free supernatants (CFSs). The study assessed the impact of inulin and some fruits as prebiotics on the growth of selected probiotic strains in relation to their anticandidal activity, production of short-chain fatty acids, total phenolic content, and antioxidant activity. Results reveale...",Current microbiology,2024-Jul
38775255,Antioxidant supplementation for sickle cell disease.,"Sickle cell disease (SCD) refers to a group of genetic disorders characterized by the presence of an abnormal haemoglobin molecule called haemoglobin S (HbS). When subjected to oxidative stress from low oxygen concentrations, HbS molecules form rigid polymers, giving the red cell the typical sickle shape. Antioxidants have been shown to reduce oxidative stress and improve outcomes in other diseases associated with oxidative stress. Therefore, it is important to review and synthesize the availabl...",The Cochrane database of systematic reviews,2024-May
37367942,Gut microbiota associated with the mitigation effect of synbiotics on adverse events of neoadjuvant chemotherapy in patients with esophageal cancer: A retrospective exploratory study.,"Introduction. Our synbiotics (Lacticaseibacillus paracasei strain Shirota, Bifidobacterium breve strain Yakult, and galacto-oligosaccharides: LBG) helps mitigate serious adverse events such as febrile neutropenia (FN) and diarrhoea in oesophageal cancer patients receiving neoadjuvant chemotherapy (NAC). Unfortunately, LBG therapy does not benefit all patients.Hypothesis/Gap Statement. Identification of the gut microbiota species involved in adverse events during chemotherapy could help predict t...",Journal of medical microbiology,2023-Jun
36963867,"N-acetylecysteine, a powerful agent in the reinforcement of anti-oxidant profile: A systematic review and dose-response meta-analysis of controlled clinical trials.","Several studies have been conducted to evaluate the effect of N-acetylecysteine (NAC) supplementation on antioxidant status, while no dose-response meta-analysis summarized the efficacy of NAC supplementation.",Clinical nutrition ESPEN,2023-Apr
36759944,Physiological and performance effects of dietary nitrate and N-acetylcysteine supplementation during prolonged heavy-intensity cycling.,"The purpose of this study was to investigate effects of concurrent and independent administration of dietary nitrate (NO3-), administered as NO3--rich beetroot juice (BR; ~12.4 mmol of NO3-), and N-acetylcysteine (NAC; 70 mg·kg-1) on physiological responses during prolonged exercise and subsequent high-intensity exercise tolerance. Sixteen recreationally active males supplemented with NO3--depleted beetroot juice (PL) or BR for 6 days and ingested an acute dose of NAC or maltodextrin (MAL) 1 h p...",Journal of sports sciences,2022-Dec
