pmid,title,abstract,journal,pub_date
42234350,Targeted Supplementation and Nutritional Strategies for Healthy Aging: A Review of Physiological and Molecular Benefits.,"Aging is marked by progressive physiological decline driven by chronic inflammation, mitochondrial dysfunction, and impaired metabolic and musculoskeletal resilience. As the global population ages, dietary supplements have gained attention as potential tools to support healthy longevity. This review summarizes current evidence on nutritional compounds that target aging-related pathways, focusing on interventions that influence mitochondrial health, cognitive performance, immune function, metabol...",Current nutrition reports,2026-Jun
42229426,Metabolically engineered probiotic OMVs as nanovaccine mediating sequential immunomodulation for chronic bone infection immunotherapy.,"Chronic, drug-resistant bone infection caused by methicillin-resistant Staphylococcus aureus (MRSA) features an immunosuppressive niche enabling persistent infection and impaired bone healing. A specific treatment requires initial antibacterial immune activation against infection, followed by reshaping an anti-inflammatory microenvironment for later bone repair. Here, we screen Lactococcus lactis outer membrane vesicles (Lac-OMVs) with first-stage dendritic cell (DC) activation and later stage i...",Cell reports. Medicine,2026-Jun
42212397,Transcriptional Modulation of the Nrf2 Antioxidant Pathway and Tight Junctions by a Plant Sterol Food Supplement in an Intestinal Inflammation Coculture Model.,"There is growing evidence supporting the anti-inflammatory activity of plant sterols (PS) in preclinical models of intestinal inflammation. However, the underlying mechanisms driving these beneficial effects remain incompletely understood. This study investigates the transcriptional modulatory activity of a PS food supplement (PS-FS) on genes associated with the cellular antioxidant defense system and tight junction (TJ) proteins. A double-chamber coculture model with differentiated Caco-2 cells...",Journal of food science,2026-Jun
42193899,Combined Histidine and Proline Supplementation (HISPRO) Enhances Oxidative and Mitochondrial Function in Skeletal Muscle Through SIRT1-Associated Signaling.,"Amino acids are key regulators of metabolism, their coordinated effects on skeletal muscle signaling and metabolic remodeling under physiological conditions remain incompletely understood. Here, we investigated whether 14 weeks of combined histidine and proline supplementation (HISPRO; 700 mg/kg) enhances skeletal muscle function through metabolic reprogramming in normal ICR mice. HISPRO significantly improved muscle performance compared with the control group, including grip strength, rota-rod,...",Cells,2026-May
42141362,Effect of Sevelamer and B. longum on Insulin Sensitivity in Participants With Obesity: A Randomized Clinical Trial.,"This study evaluated whether two interventions with putative lipopolysaccharide (LPS)-lowering properties, the phosphate binder sevelamer or a synbiotic, improve insulin sensitivity in humans.","Obesity (Silver Spring, Md.)",2026-Jul
42009009,"Safety and efficacy of individualised exercise and NAD+ precursor supplementation in patients with Friedreich's ataxia in the USA: a single-centre, 2 × 2 factorial, randomised controlled trial.","Friedreich's ataxia is a rare, chronic, progressive, neurodegenerative condition affecting multiple organ systems, including neurological, musculoskeletal, cardiac, and endocrine systems, and is marked by low cardiopulmonary fitness. We tested the effect of exercise and NAD+ precursor supplementation with nicotinamide riboside, which have each shown benefits in animal and early clinical studies, on cardiopulmonary fitness in individuals with Friedreich's ataxia.",The Lancet. Neurology,2026-May
41655607,NAD⁺ supplementation for anti-aging and wellness: A PRISMA-guided systematic review of preclinical and clinical evidence.,"Nicotinamide adenine dinucleotide (NAD⁺) declines with age, motivating ""NAD⁺-boosting"" strategies ranging from lifestyle interventions to supplementation with NAD⁺ precursors (e.g., nicotinamide riboside [NR], nicotinamide mononucleotide [NMN]) and, in some wellness settings, parenteral NAD⁺ administration. We conducted a PRISMA-guided systematic review of peer-reviewed human and rodent intervention studies (January 2010-October 2025) evaluating NAD-related compounds administered orally or paren...",Ageing research reviews,2026-Apr
41637226,Vitamins and nutraceuticals in glaucoma research.,"Glaucoma is a leading cause of irreversible blindness worldwide. There is no current cure for glaucoma, and it is managed by lowering intraocular pressure, a major modifiable risk factor. Nutraceuticals have long been studied to protect retinal ganglion cells and the optic nerve from degeneration by targeting the metabolic and neurodegenerative aspects of glaucoma, and even contributing to pressure lowering. A range of vitamins, minerals and nutraceuticals have been and are undergoing investigat...",European journal of ophthalmology,2026-May
41634693,Super-resolution mapping reveals NAD⁺-delivering probiotic extracellular vesicles as nanotherapeutics for organelle protection and inflammation control.,"Lactobacillus plantarum (L. plantarum) is a probiotic bacterium with diverse health-promoting effects. Recent evidence suggests that these benefits are mediated by extracellular vesicles (EVs) secreted by the bacterium; however, the underlying molecular mechanisms in the context of pathogenic inflammation remain poorly understood.",Journal of nanobiotechnology,2026-Feb
41436848,Promising Results With NAD Supplementation in Rare Diseases With Premature Aging and DNA Damage.,"Nicotinamide adenine dinucleotide (NAD) has garnered significant attention in recent years due to its central role in cellular metabolism and its potential as a supplement to promote health and longevity. While numerous human studies indicate that NAD supplementation offers benefits with minimal or no side effects, some studies show no observable advantages. This discrepancy highlights the importance of identifying individuals who are most likely to benefit from NAD-based interventions. One crit...",Aging cell,2026-Jan
41350554,Microbiome modulation and behavioural improvements in children with fragile X syndrome following probiotic intake: A pilot study.,"The gut microbiome (GM) is increasingly recognized as a key modulator of neurodevelopment via the microbiome-gut-brain axis. Fragile X syndrome (FXS), the most common inherited monogenic cause of intellectual disability, shares behavioural and molecular features with other neurodevelopmental disorders (NDDs), yet the role of the GM in FXS remains largely unexplored. In this open-label, single-arm trial, 15 children with genetically confirmed FXS received a daily probiotic formulation containing ...",Scientific reports,2025-Dec
41228388,Natural Compounds Targeting SIRT1 and Beyond: Promising Nutraceutical Strategies Against Atherosclerosis.,"Background/Objectives: Atherosclerosis remains a leading cause of morbidity and mortality worldwide, with an urgent need for novel preventive and therapeutic strategies. Sirtuin 1 (SIRT1), an NAD+-dependent deacetylase, has emerged as a central regulator of vascular homeostasis, modulating oxidative stress, inflammation, lipid metabolism, and endothelial function. Increasing evidence highlights that some natural activators of SIRT1 may be interesting in mitigating the development of cardiovascul...",Nutrients,2025-Oct
41097225,Effects of Nicotinamide Mononucleotide Supplementation and Aerobic Exercise on Metabolic Health and Physical Performance in Aged Mice.,"Background/Objectives: Aging is characterized by progressive physiological and metabolic decline. Aerobic exercise mitigates age-related impairments, and nicotinamide mononucleotide (NMN), a precursor in the NAD+ salvage pathway, has emerged as a nutritional intervention to promote healthy aging. This study investigated whether NMN supplementation combined with aerobic exercise provides synergistic benefits on physical performance and metabolic regulation in aged mice. Methods: Forty male C57BL/...",Nutrients,2025-Oct
41083806,NAD+ precursor supplementation in human ageing: clinical evidence and challenges.,"Nicotinamide adenine dinucleotide (NAD+) is an essential molecule involved in cellular metabolism, and its decline has been implicated in ageing and age-related disorders. However, evidence for an age-related decline in NAD+ levels in humans has been consistently observed only in a limited number of studies. Similarly, although preclinical studies support the idea that supplementation with NAD+ precursors is a promising therapeutic strategy to promote healthy ageing, human clinical trials have s...",Nature metabolism,2025-Oct
40762769,Alpha-ketoglutarate supplementation differently modifies hematological parameters and oxidative stress in mice fed a standard diet and high-fat high-fructose diet.,"Long-term consumption of high-calorie diets can lead to metabolic disorders. In this study, we evaluated the effects of an eight-week standard (control), high-fat high-fructose (HFFD), alpha-ketoglutarate (AKG)-supplemented (1% in drinking water), and combined diet (HFFD + AKG) on hematological and oxidative stress parameters across tissues of male C57BL/6J mice. Both HFFD and AKG decreased erythrocyte count and altered leukocyte profile, increasing neutrophils and monocytes while decreasing lym...",Journal of physiology and biochemistry,2025-Nov
40736668,Anti-melanogenic and Antioxidant Activities of Lactiplantibacillus plantarum Strains in Skin Cells via the CREB/MITF and Nrf2/HO-1 Pathways.,"This study evaluated the probiotic characteristics of Lactiplantibacillus plantarum strains, revealing strong acid and bile salt tolerance and significant adhesion to HT-29 cells. In addition, the anti-melanogenic and antioxidant properties of their cell-free supernatants (CFS) were investigated in vitro. Melanogenesis assays were performed in α-melanocyte-stimulating hormone (α-MSH)-stimulated B16F10 melanoma cells, while antioxidant activity was evaluated in H2O2-stimulated HaCaT keratinocytes...",Probiotics and antimicrobial proteins,2025-Dec
40583368,Nicotinamide Riboside Supplementation Alleviates Heat Stress-Induced Testicular Damage and Improves Semen Quality in Boars.,"Rising global temperatures and increasing extreme weather events have profound and widespread health impacts, particularly on vulnerable populations and sensitive organs. This study aimed to investigate the impact of HS on testicular NAD+ metabolism and assess the potential of NAD+ precursor supplementation in alleviating heat stress (HS)-induced reductions in semen quality. This study aimed to investigate the impact of HS on testicular NAD+ metabolism and assess the potential of NAD+ precursor ...",Molecular nutrition & food research,2025-Oct
40573093,Vitamin B3 Ameliorates Sleep Duration and Quality in Clinical and Pre-Clinical Studies.,"NAD+ is a fundamental molecule participating as a redox cofactor in several metabolic reactions and has a neuroprotective role associated with oxidate stress. Despite its critical role, NAD+ levels sharply decline with age, contributing to the pathogenesis of aging-related diseases. Supplementation with nicotinamide riboside (NR), also known as a form of vitamin B3, a biochemical precursor of NAD+, may replenish this depletion. Background/Objectives: Mounting evidence suggests that dietary suppl...",Nutrients,2025-Jun
40507126,Nicotinamide Adenine Dinucleotide Supplementation to Alleviate Heart Failure: A Mitochondrial Dysfunction Perspective.,"Heart failure represents the terminal stage in the development of many cardiovascular diseases, and its pathological mechanisms are closely related to disturbances in energy metabolism and mitochondrial dysfunction in cardiomyocytes. In recent years, nicotinamide adenine dinucleotide (NAD+), a core coenzyme involved in cellular energy metabolism and redox homeostasis, has been shown to potentially ameliorate heart failure through the regulation of mitochondrial function. This review systematical...",Nutrients,2025-May
40479886,Effects of NAD+ supplementation with oral nicotinamide riboside on vascular health and cognitive function in older adults with peripheral artery disease: Results from a pilot 4-week open-label clinical trial.,"Peripheral artery disease (PAD) significantly contributes to increased morbidity and mortality among older adults. Characterized by generalized endothelial dysfunction, PAD is associated with a heightened risk for cerebral small vessel disease and vascular cognitive impairment. Together, these conditions exemplify the phenomenon of accelerated systemic vascular aging, highlighting the interconnections between vascular health and cognitive functions in the elderly. This pilot trial investigated t...",The Journal of pharmacology and experimental therapeutics,2025-Jul
40459998,Nicotinamide Riboside Supplementation Benefits in Patients With Werner Syndrome: A Double-Blind Randomized Crossover Placebo-Controlled Trial.,"Werner syndrome (WS) is a rare hereditary progeroid syndrome caused by mutations in the WRN gene. Patients frequently develop various age-associated diseases prematurely, often leading to early mortality (≤ 60 years of age). Depletion of nicotinamide adenine dinucleotide (NAD)+ has been reported in patients with WS, suggesting a key role in the pathogenesis of WS. NAD+ supplementation may improve the condition of WS and other accelerated aging diseases. Therefore, we conducted a double-blind, ra...",Aging cell,2025-Aug
40110863,Nicotinamide riboside supplementation protects against maternal diabetes-associated decline in oocyte quality.,"NAD+ levels were reduced in streptozotocin (STZ)-induced diabetic mice, but nicotinamide riboside (NR) supplementation improved these levels in diabetic ovaries and oocytes, enhancing oocyte quality and early embryo development by improving mitochondrial function and lowering reactive oxygen species (ROS) levels.","Reproduction (Cambridge, England)",2025-May
39805404,Maternal Supplementation of Dietary Choline and DHA During Gestational Nutrition Restriction Alters Hepatic mRNA and miRNA Expression Patterns in Full-Term Fetal Pigs.,"Supplementing choline and DHA to pregnant gilts modified fetal pig hepatic global DNA methylation induced by gestational malnutrition, suggesting that gene expression and regulation and its associated metabolic pathways are affected in the liver of offspring during growth and development.",The Journal of nutrition,2025-Mar
39796470,Oral Carnosine Supplementation Preserves Vascular Function of Sprague Dawley Rats on a High-Salt Diet via Restored Antioxidative Defence.,"Backgrounds/Objectives: Following previous findings on high-salt (HS)-intake-related increase of oxidative stress, this study explored whether carnosine (CAR; β-alanyl-L-histidine), a reactive oxygen species (ROS) scavenger, enhanced antioxidative defence and vascular function following HS, potentially via the NRF2 or HIF-1α signalling pathway. Methods: Sprague Dawley rats (64, 8-10 weeks old, both sexes) were divided into four groups (n = 6/group): CTRL (0.4% NaCl), HS (4% NaCl for 7 days), CTR...",Nutrients,2024-Dec
39203931,NAD+ and Niacin Supplementation as Possible Treatments for Glaucoma and Age-Related Macular Degeneration: A Narrative Review.,"Glaucoma and age-related macular degeneration (AMD) are progressive retinal diseases characterized by increased oxidative stress, inflammation, and mitochondrial dysfunction. This review investigates the potential therapeutic benefits of NAD+ and niacin supplementation in managing glaucoma and AMD. A literature search was conducted encompassing keywords such as ""niacin"", ""NAD"", ""glaucoma"", ""AMD"", and ""therapeutics"". NAD+ depletion is associated with increased oxidative stress and mitochondrial d...",Nutrients,2024-Aug
