pmid,title,abstract,journal,pub_date
41305653,Nutritional Supplements for Muscle Hypertrophy: Mechanisms and Morphology-Focused Evidence.,"Nutritional supplementation is widely used in resistance training, yet assessment of ""hypertrophy"" is often confounded by body-composition surrogates. This narrative review, anchored in mechanistic plausibility, integrates trials reporting morphology-direct outcomes (ultrasound/MRI). Across 46 eligible trials, protein/essential amino acids (EAA) showed consistent benefits when daily intake was <1.6 g·kg-1·day-1 or when per-meal leucine provision was <2-3 g; effects plateaued once intakes exceede...",Nutrients,2025-Nov
41305557,Dietary Bioactive Compounds and Their Role in Allergy Prevention: A Comprehensive Review.,"Background/Objectives: Allergic diseases are highly prevalent worldwide and represent a significant public health burden. Current therapies mainly alleviate symptoms without addressing underlying immune dysfunction, which has increased interest in nutritional bioactive compounds as preventive or modulatory agents. This review summarizes evidence on omega-3 polyunsaturated fatty acids, vitamin D, curcumin, ginger bioactives, quercetin, and epigallocatechin gallate (EGCG) in allergy prevention and...",Nutrients,2025-Nov
41295400,Native Collagen and Total Lipid Extract Obtained from Caranx hyppos By-Products: Characterization for Potential Use in the Biomedical and Nutraceutical Fields.,"The processing of fishery products generates a substantial amount of by-products, which can be utilized to promote a circular economy. The objective of the present study was to extract and characterize native collagen and total lipid extract from the fish skin and bones of crevalle jack (Caranx hippos). Physicochemical, structural, and morphological properties were evaluated for collagens. Chemical composition and functional properties were evaluated for lipid extracts. Native type I collagens w...",Marine drugs,2025-Nov
41289279,Predicting IVF outcomes using a logistic regression-ABC hybrid model: A proof-of-concept study on supplement associations.,"Machine learning models are increasingly applied to assisted reproductive technologies (ART), yet most studies rely on conventional algorithms with limited optimization. This proof-of-concept study investigates whether a hybrid Logistic Regression-Artificial Bee Colony (LR-ABC) framework can enhance predictive performance in in vitro fertilization (IVF) outcomes while producing interpretable, hypothesis-driven associations with nutritional and pharmaceutical supplement use. A retrospective datas...",PloS one,2025
41219779,Effect of n-3 polyunsaturated fatty acids on the treatment of schizophrenia: an updated systematic review and meta-analysis.,"Schizophrenia is a chronic disorder, and treatment options for its negative and cognitive symptoms are limited. Omega-3 fatty acids have potential neuroprotective effects, but evidence of their efficacy in schizophrenia and ultra-high risk group is inconsistent. This study aimed to provide an updated meta-analysis of randomized controlled trials evaluating the effectiveness of omega-3 fatty acid supplementation in patients with schizophrenia and ultra-high risk group.",BMC psychiatry,2025-Nov
41189775,Reducing the risk of age-related macular degeneration progression - five-year follow-up study in Ukraine and Moldova.,"This open prospective study aimed to evaluate the dynamics of progression of early and intermediate age-related macular degeneration (AMD) against the background of continuous use of the nutraceutical formula AREDS2, which includes omega-3 polyunsaturated fatty acids (PUFAs), vitamin D, resveratrol, and photobiomodulation (PBM), over a 5-year follow-up in patients from Ukraine and Moldova. Examining 126,400 patients, 163 patients (304 eyes) with early and intermediate stages of AMD were treated ...",Romanian journal of ophthalmology,2025
41175260,Metabolomic characterization of algal nutraceuticals to elucidate their biological activities.,"Algal nutraceuticals have emerged as the valuable bioresources due to their various chemical compositions and potential health benefits. Algae contain many bioactive compounds, including polyphenols, polysaccharides, omega-3 fatty acids, pigments, and vitamins, which are vital for the various biological processes in the human body. Understanding these complex metabolites is essential for their application in functional foods, dietary supplements, and pharmaceuticals. In this context, metabolomic...",Metabolomics : Official journal of the Metabolomic Society,2025-Nov
41156531,Marine-Based Omega-3 Fatty Acids and Metabolic Syndrome: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Metabolic syndrome (MetS) is a set of cardiometabolic abnormalities, including central obesity, dyslipidemia, hypertension, and hyperglycemia, that substantially increases the risk of cardiovascular disease and type 2 diabetes. Marine-derived omega-3 polyunsaturated fatty acids (n-3 PUFAs), especially eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), may improve MetS components through triglyceride-lowering, anti-inflammatory, and insulin-sensitizing effects; however, randomized contro...",Nutrients,2025-Oct
41155474,Navigating the Effects of Anti-Atherosclerotic Supplements and Acknowledging Associated Bleeding Risks.,"Several nutraceuticals demonstrate potential cardiovascular benefits through lipid-lowering, antithrombotic, and vascular protective mechanisms. Omega-3 fatty acids, berberine, garlic, and nattokinase exert favorable metabolic and vascular effects, yet their clinical efficacy depends on formulation, dosage, and patient characteristics and may be limited by bleeding risk or drug interactions. Antioxidant agents such as vitamin C, vitamin E, resveratrol, astaxanthin, and coenzyme Q provide additio...",International journal of molecular sciences,2025-Oct
41145344,Risk reduction and precision prevention across the Alzheimer's disease continuum: a systematic review of clinical trials combining multidomain lifestyle interventions and pharmacological or nutraceutical approaches.,"To effectively combat dementia onset and progression, lifestyle-based interventions targeting multiple risk factors and disease mechanisms through a multidomain approach - tailored and implemented early in the disease process - have emerged as promising. Electronic databases and relevant websites (clinicaltrials.gov, euclinicaltrials.eu, PubMed and EMBASE) were systematically searched for randomized controlled trials (RCTs) testing the combination of multidomain lifestyle and pharmacological int...",The journal of prevention of Alzheimer's disease,2025-Dec
