pmid,title,abstract,journal,pub_date
38908296,"The impact of six-week dihydrogen-pyrroloquinoline quinone supplementation on mitochondrial biomarkers, brain metabolism, and cognition in elderly individuals with mild cognitive impairment: a randomized controlled trial.","To assess the impact of medium-term supplementation with dihydrogen and pyrroloquinoline quinone (PQQ) on mitochondrial biomarkers, brain metabolism, and cognition in elderly individuals diagnosed with mild cognitive impairment.","The journal of nutrition, health & aging..",2024-Aug
38155410,Pyrroloquinoline quinone supplementation attenuates inflammatory liver injury by STAT3/TGF-β1 pathway in weaned piglets challenged with lipopolysaccharide.,This study is aimed to evaluate the effect and underling mechanism of dietary supplementation with pyrroloquinoline quinone (PQQ) disodium on improving inflammatory liver injury in piglets challenged with lipopolysaccharide (LPS). A total of seventy-two crossbred barrows were allotted into four groups as follows: the CTRL group (basal diet + saline injection); the PQQ group (3 mg/kg PQQ diet + saline injection); the CTRL + LPS group (basal diet + LPS injection) and the PQQ + LPS group (3 mg/kg P...,The British journal of nutrition,2024-Apr
34415830,"Effect of Dietary Pyrroloquinoline Quinone Disodium Salt on Cognitive Function in Healthy Volunteers: A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study.","Cognitive dysfunctions are increasing alarmingly around the world, and researchers are exploring preventive measures for improving brain performance. Pyrroloquinoline quinone (PQQ), a naturally occurring coenzyme in foods, exhibits potent antioxidant activity, and improves diverse functions which include mitochondrial activation, growth, repair, protection of nerve cells by increased expression of nerve growth factor (NGF) and NGF receptors; and suppression of fibril formation and aggregation of...",Journal of the American Nutrition Association,2022
33142455,"Effects of dietary pyrroloquinoline quinone disodium supplementation on inflammatory responses, oxidative stress, and intestinal morphology in broiler chickens challenged with lipopolysaccharide.","This study was conducted to investigate the effects of pyrroloquinoline quinone disodium (PQQ·Na2) on inflammatory responses, oxidative stress, and intestinal morphology of broiler chickens challenged with lipopolysaccharide (LPS). A 2 × 2 factorial arrangement in a complete randomized design experiment was used to study the effect of dietary PQQ·Na2 (0 or 1 mg/kg) on broiler chickens with or without a challenge with LPS. A total of two hundred eighty-eight 1-day-old Arbor Acre broiler chickens ...",Poultry science,2020-Nov
32808626,Effect of dietary pyrroloquinoline quinone disodium in sows on intestinal health of the offspring.,"The objective of this study was to investigate the effects of dietary pyrroloquinoline quinone disodium (PQQ·Na2) supplementation in sows during gestation and lactation on intestinal health in offspring. A total of 40 cross-bred (landrace × large white crossed with Duroc boar) multiparity gestation sows with an average parity of 4.3 were used in this study. Forty sows were allotted to 2 dietary treatments after breeding. One group was the control sows, which were fed a corn-soybean meal control ...",Food & function,2020-Sep
30688182,Effect of pyrroloquinoline quinone disodium in female rats during gestating and lactating on reproductive performance and the intestinal barrier functions in the progeny.,"The objective of this study was to investigate the effects of dietary pyrroloquinoline quinone disodium (PQQ·Na2) supplementation on the reproductive performance and intestinal barrier functions of gestating and lactating female Sprague-Dawley (SD) rats and their offspring. Dietary supplementation with PQQ·Na2 increased the number of implanted embryos per litter during gestation and lactation at GD 20 and increased the number of viable fetuses per litter, and the weight of uterine horns with fet...",The British journal of nutrition,2019-Apr
28283693,Genetically engineered Escherichia coli Nissle 1917 synbiotic counters fructose-induced metabolic syndrome and iron deficiency.,"Consumption of fructose leads to metabolic syndrome, but it is also known to increase iron absorption. Present study investigates the effect of genetically modified Escherichia coli Nissle 1917 (EcN) synbiotic along with fructose on non-heme iron absorption. Charles foster rats weighing 150-200 g were fed with iron-deficient diet for 2 months. Probiotic treatment of EcN (pqq) and EcN (pqq-glf-mtlK) was given once per week, 109 cells after 2 months with fructose in drinking water. Iron levels, bl...",Applied microbiology and biotechnology,2017-Jun
27760187,Genetically Engineered Escherichia coli Nissle 1917 Synbiotics Reduce Metabolic Effects Induced by Chronic Consumption of Dietary Fructose.,To assess protective efficacy of genetically modified Escherichia coli Nissle 1917 (EcN) on metabolic effects induced by chronic consumption of dietary fructose.,PloS one,2016
27526146,Effects of Antioxidant Supplements (BioPQQ™) on Cerebral Blood Flow and Oxygen Metabolism in the Prefrontal Cortex.,"Pyrroloquinoline quinone (PQQ) is a quinone compound originally identified in methanol-utilizing bacteria and is a cofactor for redox enzymes. At the Meeting of the International Society on Oxygen Transport to Tissue (ISOTT) 2014, we reported that PQQ disodium salt (BioPQQ™) improved cognitive function in humans, as assessed by the Stroop test. However, the physiological mechanism of PQQ remains unclear. In the present study, we measured regional cerebral blood flow (rCBF) and oxygen metabolism ...",Advances in experimental medicine and biology,2016
27209211,Amelioration of cadmium- and mercury-induced liver and kidney damage in rats by genetically engineered probiotic Escherichia coli Nissle 1917 producing pyrroloquinoline quinone with oral supplementation of citric acid.,"Antioxidants, chelating agents, and probiotics are used to manage the toxic effects of cadmium (Cd) and mercury (Hg). The aim of this study was to investigate the combined effects of antioxidants, chelating agents, and probiotics against heavy metal toxicity.","Nutrition (Burbank, Los Angeles County, Calif.)",2016
