pmid,title,abstract,journal,pub_date
41374094,Oral Supplementation with Prunus domestica L. Extract Restores Recognition Memory Impairment Caused by D-Galactose in Rats.,"Background/Objectives: Aging-related cognitive decline, linked to oxidative stress and impaired hippocampal neurogenesis, is a major contributor to neurodegenerative disorders. In rodents, this condition can be modeled by D-galactose (D-gal) administration, which induces oxidative stress and recognition memory deficits. Prunus domestica L. (PD), rich in phenolic and flavonoid compounds with antioxidant properties, may counteract such impairments. This study evaluated the effects of PD extract on...",Nutrients,2025-Dec
41305568,Limosilactobacillus fermentum IOB802 Protects Against Blue Light-Induced Retinopathy via Gut Microbiota Modulation.,Blue light-induced retinal photodamage represents a growing public health concern globally. Lactic acid bacteria and their bioactive metabolites represent a promising therapeutic strategy for mitigating such damage.,Nutrients,2025-Nov
41296112,Protective effect of organic selenium and organic chromium dietary supplementation against aflatoxicosis in mice.,"Aflatoxins are highly toxic mycotoxins linked to serious health issues, including hepatotoxicity, immunosuppression, and oxidative stress. This study investigated the protective effects of chromium-methionine (Cr-Met) and selenium-methionine (Se-Met) supplementation, both alone and in combination, against aflatoxin-induced toxicity in mice. Five dietary treatments were implemented: a control diet (T1), an aflatoxin-contaminated diet containing 2 mg of aflatoxins per kg of diet (T2), and aflatoxi...",Mycotoxin research,2025-Nov
41272135,"Fermented rice polishings dietary supplementation sustainably enhanced growth performance, gut morphology, immune response and antioxidant status of Nile tilapia.","Fermentation of plant-derived by-products, including rice polishings (RP), is suggested for the sustainability of the aquafeed industry. In this study, fermented rice polishings (FRP) were incorporated into Nile tilapia diets at various levels: 0, 100, 200, 300, and 400 g/kg. Nile tilapia with an average initial weight of 19.25 ± 0.25 g/fish were divided into five groups (triplicates) and fed five test diets (R0, R10, R20, R30, and R40) for 85 days. Dietary FRP substantially increased final body...",Scientific reports,2025-Nov
41267419,Investigation of the Protective Effects of Synbiotic Buffalo Kefir in Rats With Type 1 Diabetes Mellitus.,"The aim of this study is to determine the effects of synbiotic buffalo kefirs on streptozotocin (STZ)-induced in vivo type 1 diabetes mellitus markers. Kefir was produced by adding Lactobacillus acidophilus, Bifidobacterium bifidum, and fructooligosaccharide (FOS) to buffalo milk using DVS kefir culture. For the in vivo study, 70 male rats were fed buffalo kefir samples for 28 days. Physicochemical (pH, titration acidity, dry matter, fat, protein) and microbiological analyses were performed on k...",Molecular nutrition & food research,2025-Dec
41253208,"Probiotics and Spirulina platensis enhance growth, antioxidant response and immunity in rohu (Labeo rohita) under thermal stress.","Climate change-induced high-water temperature is continuously posing several detrimental effects on physiology and production of aquaculture species. To overcome the constraints of rising water temperature, this study aimed to evaluate whether probiotics and Spirulina platensis supplementation mitigate thermal stress-induced physiological impairment in Labeo rohita. Fingerlings were reared at four different groups such as 30 °C as ambient temperature, 36 °C as elevated temperature, and two suppl...",Fish & shellfish immunology,2026-Jan
41253197,Neuroprotective and antioxidant potential of probiotics in countering nickel-induced oxidative stress in the brain.,"Oxidative stress can cause cellular damage and the onset of neurodegenerative diseases. Heavy metals including nickel could trigger oxidative stress, impacting brain health. Probiotics show antioxidant potential in mitigating oxidative stress, offering a promising avenue for brain protection against oxidative stress. The aim of current study is to investigate the precise effects of native potential probiotics on nickel-induced oxidative stress in the brain.",Neuroscience,2025-Dec
41246851,Lactobacillus Johnsonii RS-7 Prevents Nrf2-Mediated Intestinal Oxidative Damage by Modulating Microbial Metabolites.,"Oxidative stress is a crucial pathological basis for diverse intestinal diseases, such as inflammatory bowel disease (IBD). Previous studies show that Lactobacillus johnsonii RS-7 alleviates colitis in mice, but its effect on intestinal oxidative stress remains unclear. Considering this, the research aimed to explore the role and mechanism of this strain in alleviating oxidative damage in a colitis model. Colitis was induced in the mice using dextran sulfate sodium (DSS), and mice were subsequen...",Journal of food science,2025-Nov
41236682,Investigation of the Effects of Lacticaseibacillus rhamnosus GG Administration on Penicillin-Induced Epileptiform Activity in Rats.,"Excitatory/inhibitory balance, oxidative and antioxidative regulatory systems play a role in the pathophysiology of epilepsy. In addition, intestinal dysbiosis is also involved in the pathophysiology of epilepsy. The aim of this study was to investigate the effects of Lacticaseibacillus rhamnosus GG (L. rhamnosus or LBR) on epileptic seizures and gamma aminobutyric acid (GABA), malondealdehyde (MDA), superoxide dismutase (SOD, glutathione peroxidase (GPx) and catalase (CAT) levels in serum and b...",Neurochemical research,2025-Nov
41229060,Elucidating the probiotic strategy with Pediococcus acidilactici BCB1H and Lactiplantibacillus plantarum HMX2 for restoring normal functions of gut and suppressing inflammation in a DSS-induced colitis animal model.,"Several inflammatory diseases, including colitis, are treated via probiotics but still the mechanism is not clear.",Allergologia et immunopathologia,2025
