pmid,title,abstract,journal,pub_date
41577892,"Probiotic potential of mangrove sediment-derived purple non-sulfur bacteria: effects on Artemia growth, vibrio resistance, and nutritional profile.","Aquaculture plays a vital role in ensuring global food security. However, the use of Artemia as crucial live food in the hatchery industry is often limited by cost, availability, and nutritional variability. This study investigated the potential of Purple Non-Sulphur Bacteria isolates, specifically Rhodopseudomonas sp. strain AZR1 and Rhodopseudomonas sp. strain AZW1, isolated from a mangrove ecosystem in Terengganu, Malaysia, as a sustainable feed supplement for Artemia. Following 16 S rRNA gen...",World journal of microbiology & biotechnology,2026-Jan
41516256,From Ecological Threat to Bioactive Resource: The Nutraceutical Components of Blue Crab (Callinectes sapidus).,"Native to the western Atlantic, the Atlantic blue crab Callinectes sapidus (CS) has spread to the Mediterranean, affecting local ecosystems and mussel aquaculture and leading to severe ecological and financial losses in Italy and other areas. Given its rapid spread and socio-economic impacts, several countries have begun to exploit CS commercially, but the consumers' interest is still limited. In this study, we analysed both nutrient and nutraceutical profiles of CS meats, evaluating potential d...",International journal of molecular sciences,2025-Dec
41515196,"Nutraceutical Potential of Astaxanthin in Muscle Metabolism, Exercise Adaptation, and Obesity.","Astaxanthin (AX), a naturally occurring xanthophyll carotenoid, has attracted growing scientific interest due to its potent antioxidant, anti-inflammatory, and metabolic-regulatory properties. This review provides a critical appraisal of the current evidence regarding the nutraceutical potential of AX in muscle metabolism, exercise adaptation, and obesity management. Preclinical and clinical findings indicate that AX enhances lipid utilization, promotes mitochondrial biogenesis through AMPK acti...",Nutrients,2025-Dec
41515122,Nutritional Supplementation for Myopia Prevention and Control: A Systematic Review of Randomized Controlled Trials.,"Nutritional supplementation has been proposed as a potential adjunct strategy in myopia prevention and control through antioxidative, anti-inflammatory, and extracellular matrix-regulating mechanisms. This systematic review aimed to evaluate randomized controlled trial (RCT) evidence on the effects of carotenoids, anthocyanins, polyunsaturated fatty acids, and combined nutraceutical formulations on refractive outcomes, axial length, macular pigment optical density (MPOD), visual function, and sy...",Nutrients,2025-Dec
41495023,Stress-trained microalgae robots with probiotics backpack and intestinal brake for inflammatory bowel disease management.,"Inflammatory bowel disease (IBD) involves elevated intestinal reactive oxygen species (ROS) and microbial imbalance. A key challenge is that current delivery systems cannot adequately protect active agents, such as antioxidants and probiotics, through the harsh gastric environment nor precisely deliver them to inflamed intestinal sites. Here, we present the EcN@PDA@HP biohybrid robot, composed of stress-trained microalgae, probiotics, and an intestinal braking system, enabling rapid gastric pass...",Nature communications,2026-Jan
41437050,Effects of carotenoid supplementation on liver enzymes in adults: a GRADE-assessed systematic review and dose-response meta-analysis of randomized controlled trials.,"Carotenoids are known for their beneficial effects in improving chronic diseases through their antioxidant properties. However, there has been no meta-analysis on the effects of carotenoids on liver enzymes and the evidence is inconsistent. So, this study aimed to evaluate the effects of carotenoid supplementation on liver enzyme levels in adults.",BMC complementary medicine and therapies,2025-Dec
41169386,Comprehensive evaluation of individual and combined dietary carotenoids in Penaeus vannamei and response surface analysis for optimizing combinations.,"Carotenoids are essential in crustacean aquaculture, supporting pigmentation, antioxidant defense, immune function, and sensory quality. However, intensive culture restricts natural carotenoid inputs, and exclusive reliance on astaxanthin is constrained by cost and supply. Evidence to guide cost-effective formulation remains fragmented: reported optimal doses vary widely, head-to-head comparisons under a common basal diet are scarce, mixture effects are poorly defined, and rigorous multi-factor ...",Frontiers in immunology,2025
41162864,"Impact of astaxanthin on oxidative markers, uric acid, and clinical symptoms in heart failure: a randomized clinical trial.","Chronic heart failure (HF) is often linked to increased oxidative stress and metabolic issues like high uric acid, which can worsen outcomes. Astaxanthin (ASX), a strong antioxidant, may help reduce these harmful effects. This study aimed to investigate the effects of ASX supplementation on oxidative stress markers as the primary outcome and clinical symptoms in patients with HF.",BMC cardiovascular disorders,2025-Oct
41155474,Navigating the Effects of Anti-Atherosclerotic Supplements and Acknowledging Associated Bleeding Risks.,"Several nutraceuticals demonstrate potential cardiovascular benefits through lipid-lowering, antithrombotic, and vascular protective mechanisms. Omega-3 fatty acids, berberine, garlic, and nattokinase exert favorable metabolic and vascular effects, yet their clinical efficacy depends on formulation, dosage, and patient characteristics and may be limited by bleeding risk or drug interactions. Antioxidant agents such as vitamin C, vitamin E, resveratrol, astaxanthin, and coenzyme Q provide additio...",International journal of molecular sciences,2025-Oct
40671417,Benefits of Krill Oil Supplementation During Alternate-Day Fasting in Adults With Overweight and Obesity: A Randomized Trial.,To investigate the effect of krill oil (KO) supplementation during alternate-day fasting (ADF) on body composition and muscle function in healthy adults with overweight.,"Obesity (Silver Spring, Md.)",2025-Sep
