pmid,title,abstract,journal,pub_date
41627702,Preliminary clinical study on the synergistic effects of prebiotics and β-hydroxy-β-methylbutyrate in improving muscle function and intestinal barrier function in elderly patients with sarcopenia.,"To investigate the effects of prebiotics combined with β-hydroxy-β-methylbutyrate (HMB) on muscle function, intestinal barrier integrity, and inflammation in elderly patients with sarcopenia.",Aging clinical and experimental research,2026-Feb
41601674,Postbiotic effects elicited by heat-inactivated Lacticaseibacillus rhamnosus GG against cow's milk allergy in human cells.,The probiotic L. rhamnosus GG (LGG) elicits immunomodulatory actions facilitating the immune tolerance acquisition in children with cow's milk allergy (CMA). Emerging data suggest that heat-inactivated LGG postbiotic (LGGp) could improve gut health and immune function. We investigated the tolerogenic actions elicited by LGGp against CMA in human cells.,Frontiers in immunology,2025
41599883,The Differential Effects of Vitamin K Across Glycaemic Outcomes in Prediabetes and Type 2 Diabetes Mellitus.,"Background: Vitamin K has emerged as a promising regulator of glucose metabolism in preclinical studies. There is, however, scant evidence to support this promising potential in a clinical setting. Aim: The aim of this study was to confirm the effects of vitamin K supplementation on glycaemic parameters such as fasting blood glucose (FBG), fasting insulin (FI), glycated haemoglobin (HbA1c), insulin resistance (HOMA-IR), and homeostatic model of beta cell function (HOMA-β) across randomised contr...",Nutrients,2026-Jan
41599361,Antidiabetic and Anti-Inflammatory Potential of Zingiberaceae Plants in Dietary Supplement Interventions.,"Plants from the Zingiberaceae family, particularly Zingiber officinale, Curcuma longa, and Alpinia galanga, are rich sources of bioactive compounds with documented antidiabetic and anti-inflammatory properties. This review summarizes current evidence on their phytochemical profiles and pathways relevant to metabolic regulation. Key compounds, including gingerols, shogaols, curcuminoids, and phenylpropanoids, support glucose homeostasis by enhancing insulin sensitivity, promoting Glucose Transpor...","Molecules (Basel, Switzerland)",2026-Jan
41596240,Six Weeks of Baker's Yeast β-Glucan Supplementation Reveals Unique Immune Maturation mRNA Signature: Implications for Immunity?,"Baker's yeast beta-glucan (BYBG) supplementation improves various aspects of immune system function, readiness, and response. The purpose of this study was to determine if the expression of immune maturation mRNA was also changed over the course of 6 weeks of BYBG supplementation at rest. In this exploratory study, a small group of participants (N = 20) were randomized into two groups: BYBG (weeks 0-2 = 50 mg/d; 2-4 = 125 mg/d; and 4-6 = 250 mg/d) or placebo. Blood samples were collected at 0, 2...",International journal of molecular sciences,2026-Jan
41581926,"Randomized, Double-Blind, Placebo-Controlled Trial of ID-CBT5101, a Tyndallized Clostridium butyricum Postbiotic, in Adults with Mild-to-Moderate Knee Osteoarthritis.","Osteoarthritis (OA) is a common cause of chronic pain and functional impairment in older adults. Evidence suggests a gut-joint axis, where gut dysbiosis and systemic low-grade inflammation may contribute to OA pathogenesis. Postbiotics, which are non-viable microbial products such as heat-killed bacteria, have been proposed as safe and stable alternatives to live probiotics. ID-CBT5101, a tyndallized Clostridium butyricum preparation, reduced inflammation and preserved cartilage in a rat OA mode...",Journal of microbiology and biotechnology,2026-Jan
41580009,Therapeutic potential of butyrate supplementation in sepsis: a review of preclinical evidence and translational perspectives.,"Sepsis remains a major global health problem and is responsible for millions of deaths annually despite significant progress in antimicrobial therapy and organ support. Increasing evidence highlights the role of the gut-immune axis in shaping host responses during sepsis, with particular interest in microbiota-derived metabolites such as short-chain fatty acids (SCFAs). Among these, butyrate has emerged as a promising candidate due to its anti-inflammatory, immunomodulatory, and intestinal barri...",European journal of pharmacology,2026-Feb
41577892,"Probiotic potential of mangrove sediment-derived purple non-sulfur bacteria: effects on Artemia growth, vibrio resistance, and nutritional profile.","Aquaculture plays a vital role in ensuring global food security. However, the use of Artemia as crucial live food in the hatchery industry is often limited by cost, availability, and nutritional variability. This study investigated the potential of Purple Non-Sulphur Bacteria isolates, specifically Rhodopseudomonas sp. strain AZR1 and Rhodopseudomonas sp. strain AZW1, isolated from a mangrove ecosystem in Terengganu, Malaysia, as a sustainable feed supplement for Artemia. Following 16 S rRNA gen...",World journal of microbiology & biotechnology,2026-Jan
41567191,Latilactobacillus curvatus DCF0620 and postbiotics derived from soybean germ reduce colitis severity by modulating fibrosis and gut dysbiosis.,"Given that microbiota dysbiosis is closely linked to the initiation and progression of inflammatory bowel disease (IBD), extensive research is underway to utilize beneficial probiotics as a therapeutic strategy for IBD. In this study, we compared the therapeutic efficacy of Lacticaseibacillus paracasei (L. paracasei) DCF0420, Lactiplantibacillus plantarum (L. plantarum) DCF0514, and Latilactobacillus curvatus (L. curvatus) DCF0620 and also investigated the potential of soybean germ-based postbio...",Frontiers in immunology,2025
41567030,A Novel Oligosaccharide Derived from Lactobacillus plantarum as a Multifunctional Modifier: Suppressing Aβ Fibrillation and Enhancing Fmoc-F Hydrogel Processing.,"Probiotics enhance food nutrition and promote human health owing to their bioactive metabolites and regulatory effects on the gut microbiota. The oligosaccharide (OGS) shows excellent prebiotic characteristics of bioavailability, digestibility, and absorption efficiency, but probiotic-derived OGS has been rarely reported. Herein, Lactobacillus plantarum (L. plantarum) MA2 OGS was extracted, purified, and characterized, the monosaccharides of which were mainly composed of galactose, glucose, and ...",Journal of agricultural and food chemistry,2026-Feb
41563463,Management of IBD through improving intestinal barrier function by a novel Lactiplantibacillus plantarum C4 strain.,"Inflammatory bowel disease (IBD) is a globally wide spread chronic disease with remittent attacks. It causes many stressful symptoms which decrease the quality of life of the patients remarkably. IBD requires long term treatment due to its chronic nature. Probiotics are promising treatment approach for IBD due to its improve of the composition of the gut microbiota which have a great role in the development of colitis, in addition to its safety on the long term use in comparison to traditional t...",Archives of microbiology,2026-Jan
41556308,Exploiting the Endogenous Type II-A CRISPR-Cas System for Functional Engineering of Probiotic Lacticaseibacillus rhamnosus GG.,"Lacticaseibacillus rhamnosus GG (LGG) is one of the most extensively studied probiotic strains, widely used in food and health applications. However, the absence of efficient, precise genome editing methods has limited its broader potential and functional versatility. Here, we present an endogenous type II-A CRISPR-Cas genome editing workflow for LGG designed for functional strain construction. Using a plasmid interference assay together with single-nucleotide substitutions, we confirm the preci...",Microbial biotechnology,2026-Jan
41553530,WGS analysis and functional studies illustrate promising gene-signatures for probiotic attributes and molecular-targeted therapeutic prospects of Lactiplantibacillus plantarum LP-ARP2.,"Gene-signatures for probiotic attributes expedite screening of novel probiotic strains as well as identify molecular basis of probiotic benefits. Therefore, strain-specific genomic-studies correlating functional-assays are in demand. Here, we present the same for Lactiplantibacillus plantarum LP-ARP2 using genomic-metabolomic-functional approaches. Genomic-features of LP-ARP2 are further compared with clinically relevant L. plantarum strains to elucidate gene-specific commonality. We find robust...",Archives of microbiology,2026-Jan
41552721,The effect of Massa Medicata Fermentata on the cytokine secretion of colonic mucosa and visceral sensitivity in rats with IBS-D.,To study the effect of MMF(Massa Medicata Fermentata)on the secretion of cytokines of colon mucosa and visceral sensitivity in rats with IBS-D(diarrhea-predominant irritable bowel syndrome).,Frontiers in cellular and infection microbiology,2025
41548440,Limosilactobacillus reuteri alleviates psoriasis via aryl hydrocarbon receptor-mediated regulation of Interkeukin-17A.,Psoriasis is a chronic immune-mediated skin disorder characterized by keratinocyte hyperproliferation and interleukin-17A-driven inflammation. Growing evidence highlights the contribution of microbiome-derived factors to cutaneous immune regulation. The study aimed to evaluate the therapeutic efficacy of heat-killed Limosilactobacillus reuteri NCHBL-005 in an imiquimod-induced psoriasis-like mouse model.,International immunopharmacology,2026-Mar
41545110,Aqueous LC-MS/MS quantification of α-/β-nicotinamide mononucleotide in dietary supplements using a pentabromophenyl column.,"In this study, we developed an LC-MS/MS method that enables baseline separation and quantification of α- and β-nicotinamide mononucleotide (NMN) isomers under fully aqueous reversed-phase conditions. At first, three commonly used reversed-phase columns (Polar C18, F5, and PBr) were evaluated, and only the PBr phase provided sufficient stereoselectivity through enhanced π-π stacking, dipole-dipole interactions, and halogen bonding. Using 0.1 % formic acid in water as the mobile phase, the two iso...",Analytica chimica acta,2026-Feb
41541626,An open-label interventional study on efficacy and safety of 25 µg of daily calcifediol capsule versus 100 µg of cholecalciferol sachets in apparently healthy volunteers.,"Despite the multiple advantages of 25-hydroxyvitamin D (calcifediol or 25(OH)D) compared to cholecalciferol, it is used sparingly. This study was planned to assess the safety and efficacy of supplementing daily 25 µg of calcifediol capsules vis-a-vis 100 µg (4000 IU) of cholecalciferol sachets in apparently healthy individuals with vitamin D deficiency in Chandigarh, India (latitude 30.7° North, 76.8° East). It was a prospective, interventional study to evaluate the effects of calcifediol vis-a-...",Journal of nutritional science,2026
41539653,Probiotic Administration Reshapes the Sex Differentiation Trajectory of Zebrafish under Perfluorobutanesulfonate Challenge.,"Perfluorobutanesulfonate (PFBS) is an emerging pollutant with potent endocrine disrupting effects, while probiotic bacteria can significantly modulate animal endocrinology. However, whether and how probiotics interact with PFBS to maintain the host's endocrine equilibrium are unknown. Herein, juvenile zebrafish (Danio rerio) were chronically exposed to environmentally relevant concentrations of PFBS during the critical window of gonadal differentiation and maturation (from 21 days postfertilizat...",Environmental science & technology,2026-Feb
41539353,Xylanases targeting unusual glycosidic bonds: Unlocking prebiotic xylooligosaccharides from macroalgae.,"The growing interest in functional foods and prebiotics has encouraged the search for novel bioactive ingredients. Macroalgae (seaweeds) represent an underexplored source of unique xylans with β-1,3 and β-1,3/1,4 glycosidic linkages, that can be enzymatically hydrolysed into novel xylooligosaccharides (XOS). These oligosaccharides, characterized by linkage patterns different from those in terrestrial biomass, may exert distinct biological effects with potential biotechnological applications in f...",Biotechnology advances,2026
