pmid,title,abstract,journal,pub_date
41102507,[Nutrition and dietary supplements in age-related macular degeneration].,"Nutrition has an influence on the condition of our retina and appears to play a role in the complex, multifactorial pathogenesis of age-related macular degeneration (AMD).",Die Ophthalmologie,2025-Nov
40601523,"Enhanced Oral Bioavailability of Lutein and Zeaxanthin via a Self-Emulsifying Delivery System: A Randomized, Double-Blind Cross-Over Study.","This study was conducted to evaluate and verify the improved bioavailability, as determined by the plasma concentrations of lutein and zeaxanthin, of the test supplement, XanMax® 2002 plus LuZeAbility™, as compared to the reference supplement, XanMax® 2002. For this purpose, this study was designed as a randomized, double-blind, two-group, two-period cross-over clinical trial research. A total of 24 male subjects participated in the clinical trial. They were randomized 1:1 into group 1 or 2 to c...",Journal of medicinal food,2025-Aug
40565170,The Effects of Lutein-Containing Supplement Intake on Glycation Inhibition Among Diabetic Patients with Cataracts.,"Glycation is known as an important factor inducing human diseases, including diabetic complications. As oxidative stress contributes to procedures of glycation, antioxidants may inhibit glycation and delay the progression of diabetic complications. Our previous investigation of human aqueous humor after the intake of a lutein-containing supplement demonstrated increases in antioxidative activities and decreases in peroxidative products. This study enrolled 25 patients with diabetes (DM group) an...",International journal of molecular sciences,2025-Jun
40292760,Lutein and zeaxanthin for reducing morbidity and mortality in preterm infants.,"Lutein and zeaxanthin are nutrients with antioxidant properties found in the macula of the eye and brain tissue. They have been reported to play a role in reducing oxidative damage, especially in the eyes and possibly in other organ systems. Oxygen free radicals are one of the agents postulated to cause tissue damage in preterm infants, which leads to morbidities such as retinopathy of prematurity (ROP), intraventricular haemorrhage (IVH), and necrotising enterocolitis (NEC). Supplementation wit...",The Cochrane database of systematic reviews,2025-Apr
40283009,Utilization of Dietary Supplements in People with the Atopic Triad in Korea: A Cross-Sectional Study Using KNHANES (2018-2021).,"Background and Objectives: Studies investigating the types of dietary supplements associated with the atopic triad using large-scale data remain limited. We assessed the prevalence of the atopic triad, the types of dietary supplements used, and their associations in Korean adults using a 4-year national survey data. Materials and Methods: This cross-sectional study utilized data from the Korea National Health and Nutrition Examination Survey (2018-2021). Adults aged ≥ 19 years were included. Des...","Medicina (Kaunas, Lithuania)",2025-Apr
40134251,Role of Lutein Supplements in the Management of Dry Eye Syndrome: A Systematic Review.,"Dry Eye Disease (DED) significantly impacts global populations, causing discomfort and vision problems. This review explores the effects of lutein supplementation on DED symptoms and signs.",International journal for vitamin and nutrition research. Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Journal international de vitaminologie et de nutrition,2024-Dec
40054341,Protective effects of dietary supplementation of Bacillus Subtilis MZ18 against the reproductive toxicity of zearalenone in pregnant rats.,"The microbial detoxification method demonstrates significant potential for detoxifying feed contaminated with mycotoxins, but the application of degrading bacteria in mammals was rarely investigated. In this study, the effects of dietary zearalenone on the growth performance, reproductive performance, reproductive organs, hormone levels of rats and the toxicity alleviation of Bacillus subtilis MZ18 were studied. From gestation day 0-20, pregnant SD rats received either a normal diet or a diet su...",Ecotoxicology and environmental safety,2025-Mar
40033598,Nutraceutical Interventions for Mitigating Skin Ageing: Analysis of Mechanisms and Efficacy.,"Skin ageing is influenced by intrinsic factors such as genetics and hormones, as well as extrinsic factors like environmental exposure, ultraviolet (UV) radiation, and diet. These factors lead to biochemical, biological, and structural changes in the skin. Plant-derived compounds with antioxidant and anti-inflammatory properties have emerged as potential anti-ageing agents. This comprehensive review, spanning data from 1997 to 2024, explores the role of nutraceuticals in skin anti-ageing. The re...",Current pharmaceutical design,2025
39964702,Effect of lutein supplementation on blood lipids and advanced glycation end products in adults with central obesity: a double-blind randomized controlled trial.,"Central obesity poses a significant health threat. Lutein-rich fruits and vegetables may help manage obesity. Limited evidence suggests that lutein exerts health effects by inhibiting advanced glycation end products (AGEs), but data on its effects in centrally obese individuals are sparse. Thus, we aimed to investigate the effects of lutein supplementation in subjects with central obesity. A double-blind, randomized controlled trial was conducted involving patients with central obesity. Anthropo...",Food & function,2025-Mar
39804624,Oral Supplements and Photoprotection: A Systematic Review.,"Photoprotective effects of various nutritional components and supplements have been demonstrated in animal and in vitro studies. The objective of this systematic review is to assess the photoprotective effects of various dietary supplements. A systematic review of studies assessing dietary supplements on photoprotective outcomes was performed. Human studies were retrieved from PubMed, Embase, and Cochrane in February 2023. Supplement keywords included ""dietary supplements,"" ""vitamins,"" ""minerals...",Journal of medicinal food,2025-Jun
