pmid,title,abstract,journal,pub_date
41996041,Effect of Probiotics on the Clinical Outcome and Inflammatory Response in Gastric Cancer Surgery: A Double Blinded Randomized Control Trial.,"Gut dysbiosis contributes to postoperative complications and worsens the inflammatory and immune dysfunction in gastric cancer (GC) patients. Probiotics may mitigate these effects by modulating gut microbiota. This study aimed to evaluate the effect of probiotics on the length of hospital stay, other post-operative clinical outcomes, nutritional status, inflammatory and immune markers in patients undergoing gastrectomy for gastric cancer.",Journal of gastrointestinal cancer,2026-Apr
41993186,Prophylactic immune priming with heat-killed Lacticaseibacillus rhamnosus combined with therapeutic Lactiplantibacillus plantarum cell-free supernatant protects against Pseudomonas aeruginosa lung infection in mice.,"Pseudomonas aeruginosa is a leading cause of severe respiratory infections in immunocompromised individuals, and its increasing antibiotic resistance poses a major global health challenge. Antibiotic-resistant strains exhibit enhanced biofilm-forming capacity, contributing to persistent infection, immune evasion, and poor clinical outcomes. Innovative non-antibiotic strategies that simultaneously enhance host immunity and directly target bacterial virulence are urgently needed.",Frontiers in immunology,2026
41978217,"Effects of Fortified Formula Milk Supplementation on Neurocognitive Development and the Microbiota-Gut-Brain Axis in Preschool Children: A Cluster-Randomized, Double-Blind, Controlled Trial.","The preschool period is critical for neurodevelopment, yet evidence investigating fortified formula's effect and potential microbiota-gut-brain axis mechanisms in this age group is limited. To evaluate fortified formula milk's effect on neurodevelopment and explore potential microbiota-gut-brain axis mechanisms in preschool children.",Nutrients,2026-Apr
41978157,Effect of Probiotic and Synbiotic Oral Supplementation in Autoimmune Diseases: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.,Autoimmune diseases affect 5-10% of the global population. Probiotic supplementation has emerged as a potential adjunctive therapy in managing inflammation associated with these conditions. This systematic review and meta-analysis aimed to examine the effectiveness of oral probiotics in patients with autoimmune diseases for managing inflammation.,Nutrients,2026-Mar
41956665,A detoxifying multi-strain probiotic formula attenuates toxicity induced by heavy metals and phthalates.,"Environmental toxicants including heavy metals (lead, cadmium) and phthalate plasticizers (DEHP, DBP, DINP) are ubiquitous contaminants that enter the human body through multiple pathways, accumulate in tissues, and induce multi-organ toxicity. While chelation therapy for heavy-metal poisoning carries significant adverse effects, effective clinical management for phthalate exposure remains limited beyond exposure reduction. We therefore developed a composite probiotic formulation containing Lact...","Food research international (Ottawa, Ont.)",2026-Jun
41954708,Synergistic Neuroprotection of MFSD2A Overexpression and DHA Supplementation in Amyotrophic Lateral Sclerosis.,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disorder characterized by progressive motor neuron loss, with limited effective therapies. Docosahexaenoic acid (DHA) exhibits neuroprotective effects, but its limited transport across the blood-brain barrier (BBB) restricts clinical utility. Major facilitator superfamily domain-containing protein 2A (MFSD2A) is the primary transporter of DHA into the central nervous system, yet its role in ALS remains unclear. This study investiga...",Molecular neurobiology,2026-Apr
41942227,"Improvement of probiotic tolerance to hyperosmotic environments by whey protein-citrus pectin conjugate: effect on the physicochemical, structural, survival of probiotic microencapsulation.",This study aimed to enhance the processing stability of Lacticaseibacillus paracasei L21 (L. paracasei L21) in hypertonic foods like honey. A microencapsulation system was constructed using whey protein isolate (WPI) -citrus pectin (CP) Maillard conjugates (WPIC). The Fourier-transform infrared spectroscopy (FT-IR) and sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS-PAGE) confirmed the covalent conjugation between WPI and CP. Increasing the grafting degree of WPIC significantly re...,"Food research international (Ottawa, Ont.)",2026-Jun
41938523,Fermented Clostridium butyricum GKB7 Inhibits Osteoarthritis Induced by Anterior Cruciate Ligament Transection in a Preclinical Model.,"Aging-related osteoarthritis (OA) affects joints and causes functional impairment. Probiotics are recognized safe for consumption and numerous exhibit beneficial bioactivity for human health conditions. Clostridium butyricum, frequently found in the environment and reported to colonize the stomachs of adults and newborns, exhibits anti-inflammatory properties. This study investigated whether fermented Clostridium butyricum GKB7 is effective at preventing the advancement of OA. Fermented GKB7 red...",International journal of medical sciences,2026
41931124,Probiotic novel strain Lactobacillus reuteri MRD01 alleviates dextran sulfate sodium-induced colitis in male mice by promoting intestinal barrier integrity.,"Intestinal barrier dysfunction contributes to the progression of inflammatory bowel disease (IBD), yet current therapies provide limited symptom relief, are associated with substantial long-term adverse effects, and exhibit high recurrence rates. Lactobacillus reuteri (L. reuteri), a probiotic with strong colonisation capacity in the gastrointestinal tract, produces metabolites that regulate intestinal microecology. This study explored the therapeutic efficacy and underlying mechanisms of a newl...",Antonie van Leeuwenhoek,2026-Apr
41918874,Integrative multi-omics analysis reveals probiotic-induced microbiota shifts in women with gestational diabetes.,"Gestational diabetes mellitus (GDM) is a common pregnancy disorder. It is associated with impaired glucose tolerance and insulin resistance, increasing the potential risks for both maternal and fetal complications. GDM is associated with an increased risk of type 2 diabetes later in life. Management is a big issue in maternal health. New work has underscored the role of the gut microbiota in metabolism and immune function. This indicates that probiotics might exert their mode of action through m...",Frontiers in cellular and infection microbiology,2026
