pmid,title,abstract,journal,pub_date
41388744,Antihypertensive Effects of Curcumin/Turmeric Supplementation in Prediabetes and Diabetes: A Systematic Review and Meta-Analysis of Randomised Controlled Trials.,"Hypertension is a major cardiovascular risk factor in individuals with prediabetes and type 2 diabetes (T2D). Curcumin, with its anti-inflammatory and antioxidant properties, has emerged as a potential adjunct therapy, but its effect on blood pressure in this population remains unclear.","Endocrinology, diabetes & metabolism",2026-Jan
41387300,"Maternal Folic Acid Supplement Use, Folate Intake, and Preterm Birth Among Infants With Spina Bifida.",We sought to assess the extent to which folic acid supplementation and dietary folate intake are associated with preterm delivery among infants with spina bifida.,Birth defects research,2025-Dec
41385355,Effects of supplemental protein in older people: an overview of meta-analyses.,Benefits of supplemental protein in older people in different health states and settings are uncertain. This review aimed to determine the effects of supplemental protein on health outcomes in older people.,Age and ageing,2025-Nov
41384023,Vitamin D supplementation and its impact on leptin and interleukin-6 in women following religious intermittent fasting: a controlled study.,"Vitamin D deficiency is highly prevalent in populations following intermittent or religious fasting, particularly Orthodox nuns with limited sun exposure and dietary restrictions. Vitamin D may modulate adipokines and inflammatory markers, but clinical evidence remains inconsistent.",Frontiers in endocrinology,2025
41381568,"Klebsiella ARO112 promotes microbiota recovery, pathobiont clearance and prevents inflammation in IBD mice.","Precise microbiota modulation towards improving immune function and metabolic homeostasis is a major goal in clinical research. It is also critical for reducing pathogen invasion or pathobiont expansion, contributors to epidemic Inflammatory Bowel Diseases (IBD), where recurrent antibiotic treatments often exacerbate microbiota imbalances. Within the thousands of strains of a natural gut microbiota, we previously identified a specific Klebsiella strain, ARO112, capable of promoting resistance to...",Nature communications,2025-Dec
41381406,Postbiotics as Emerging Therapeutics for Skin Wound Healing and Dermatological Care: Clinical Trends and Mechanistic Insights.,"Postbiotics, non-viable microbial components or metabolites derived from probiotics, represent a promising new class of therapeutic agents in dermatological and wound-healing science. This review highlights the bioactive potential of postbiotics in modulating inflammation, enhancing tissue regeneration, and restoring microbiota balance in skin wounds. Through analysis of recent experimental and clinical studies, postbiotics were found to accelerate wound closure, stimulate collagen synthesis, an...",International wound journal,2025-Dec
41381207,Identifying priority countries for scaling up small-quantity lipid-based nutrient supplements.,"Undernutrition is a cause of nearly half of all deaths among children under 5 years old. Small-quantity lipid-based nutrient supplements (SQ-LNS) have been shown to prevent child wasting, stunting, anaemia and mortality among children 6-23 months of age in low- and middle-income countries (LMICs). Scaling up effective preventive interventions is urgent given the current global food insecurity and nutrition crisis.",BMJ global health,2025-Dec
41379772,Effects of supplementing hemp (Cannabis sativa L.) leaves in concentrate diet on carcass traits and meat characteristics of Longissimus muscle in goat kids.,"The influence of dietary hemp (Cannabis sativa L.) leaf (HL) supplementation in a concentrate diet on carcass traits, physicochemical properties, amino acids, ribonucleotides, lipid oxidation, and fatty acids of Longissimus thoracis et lumborum (LTL) muscle in goat kids was evaluated. Fifteen entire Thai native x Boer bucks (body weight: 16.28 ± 0.35 kg; age: 4 months) were randomly assigned to concentrate diets containing 0% (HL-0), 2% (HL-2), or 4% (HL-4) HL for 150 days, after which they were...",PloS one,2025
41379184,EFFICACY OF PROBIOTICS IN PREVENTING CHEMOTHERAPY-INDUCED DIARRHEA IN GASTROINTESTINAL CANCER PATIENTS.,"Chemotherapy-induced diarrhea is a common and distressing side effect experienced by patients undergoing cancer treatment, particularly those with gastrointestinal cancer. It can lead to significant health complications, including dehydration, electrolyte imbalances, and treatment interruptions. Recent studies have shown that the gut microbiome plays an important role in the development and severity of chemotherapy-induced diarrhea. Modulating the gut microbiome with probiotics has emerged as a ...",Arquivos de gastroenterologia,2025
41378857,"The Role of Gut Microbiota in Migraine: Effects of Probiotics, Prebiotics, and Their Combinations.","Migraine, a common neurological disorder affecting about 15% of the global population, severely impacts quality of life and poses a significant economic burden. While the exact causes of migraine remain unclear, factors like oxidative stress, neurogenic inflammation, mitochondrial dysfunction, and gut dysbiosis are implicated. Through the gut-brain axis, the gut microbiota appears to play a key role in migraine pathophysiology. Patients with migraine often exhibit gastrointestinal comorbidities,...",The European journal of neuroscience,2025-Dec
