pmid,title,abstract,journal,pub_date
40974460,"Coprococcus intestinalis sp. nov., Parabacteroides caecihominis sp. nov., and ""Akkermansia massiliensis"" B2-R-115 with High Probiotic Potential from the Human Gut Microbiome.","Three novel bacterial strains obtained from human fecal samples were characterized for their taxonomic classification and probiotic potential. The strains included one Gram-stain-positive (B2-R-112T) and two Gram-stain-negative (TA-V-105T and B2-R-115) strains; all were anaerobic and non-motile. Phylogenetic analysis based on 16S rRNA gene sequences placed them within the genera Coprococcus, Parabacteroides, and Akkermansia. Specifically, B2-R-112T showed 97.7% sequence similarity to Coprococcus...",Current microbiology,2025-Sep
40973277,Multi-omics analysis of a prebiotic intervention with pectin in lipid transfer proteins (LTPs) allergic patients.,"Currently, there is great interest in the use of pectins for prebiotic treatment of food allergy. Hence, the effects of two different esterified pectins - low methoxyl citrus-derived pectin (CP-DElow) and high methoxyl apple-derived pectin (AP-DEhigh) - were evaluated in peach allergic patients due to sensitization to lipid transfer proteins (LTPs). This study analyzed the systemic immune response, the gut microbiota composition (using 16S rRNA gene sequencing), and microbial-derived metabolome,...",Carbohydrate polymers,2025-Dec
40971848,Effect of Omega 3 supplementation during pregnancy and lactation on cognitive functions in rat offspring.,"This study investigates the effects of omega-3 supplementation starting in the preconception period, during the 1st, 2nd, and 3rd weeks of pregnancy, and lactation on the cognitive functions of rat offspring.",PloS one,2025
40970967,Therapeutic potential of Bacillus sonorensis PMC204 membrane vesicles against drug-resistant Mycobacterium tuberculosis.,"Tuberculosis remains a severe global health threat, exacerbated by the rising prevalence of multidrug-resistant (MDR) and extensively drug-resistant (XDR) Mycobacterium tuberculosis. Despite the urgent need for effective interventions, the development of anti-tuberculosis drugs has been slow, and the emergence of pan-drug-resistant strains underscores the critical need for innovative therapeutic strategies. This study introduces Bacillus sonorensis PMC204, a novel probiotic strain with potent an...",Medical microbiology and immunology,2025-Sep
40970779,The combined effects of Tabata training and cinnamon supplementation on metabolic changes and body composition in soldiers with overweight or obesity.,This study investigated the effect of the combining Tabata training and cinnamon supplementation on metabolic changes and body composition in overweight and obese soldiers.,Journal of the International Society of Sports Nutrition,2025-Dec
40966617,Effects of 2-year cocoa extract supplementation on inflammaging biomarkers in older US adults: findings from the COcoa Supplement and Multivitamin Outcomes Study randomised clinical trial.,To examine the long-term effect of cocoa flavanols on inflammaging biomarkers in the COcoa Supplement and Multivitamin Outcomes Study (COSMOS).,Age and ageing,2025-Aug
40966009,Fabrication of Three-Dimensional Composite for Fabric-Phase Sorptive Extraction of Aflatoxin M1 From Milk-Based Sport and Bodybuilding Supplements Followed by HPLC With Fluorescence Detection.,This study presents the first fabric-phase sorptive extraction (FPSE) approach based on three-dimensional carbonized bio-aerogel/ZnO composite for separation and preconcentration of aflatoxin M1 (AFLM1) from milk-based sport and bodybuilding supplements. The developed extraction method was combined with high-performance liquid chromatography with fluorescence detection (HPLC-FL). The synthesized composite was anchored to a cotton substrate and placed at the end of a burette to be used as a sorbe...,Journal of separation science,2025-Sep
40965861,Calcium supplementation commenced before pregnancy for preventing hypertensive disorders and related problems.,Hypertensive disorders of pregnancy are a leading cause of maternal and perinatal morbidity and mortality. Calcium supplementation commenced before pregnancy may prevent the development of these disorders. This is an update of a review last published in 2019.,The Cochrane database of systematic reviews,2025-Sep
40965691,Potential applications of lactic acid bacteria from Egyptian dairy products as novel antioxidant and anticancer agents.,"Several scientific studies have revealed the role of probiotic lactic acid bacteria and their metabolites, including antioxidant activity, which is required for reducing oxidative stress, and have implications for cancer treatment. This study evaluated the ability of isolates to exert antioxidative and in vitro anti-tumor effects against the HCT-116 colon cancer cell line, with fewer side effects compared to chemotherapy.",Biotechnology letters,2025-Sep
40964057,Microbiota composition and intestinal barrier function modulated by tamsulosin and Lactococcus lactis in a cirrhosis rat model.,The pathological progression of cirrhosis disrupts the gut-liver axis. Lactococcus lactis (L. lactis) exhibits immunomodulatory properties and an ability to enhance intestinal barrier function. It has been demonstrated that tamsulosin has antifibrotic and anti-inflammatory effects in hepatic injury models. This study evaluated the effect of a tamsulosin and L. lactis co-treatment on the recovery of microbiota and intestinal barrier integrity in a Wistar rat liver cirrhosis model.,Frontiers in cellular and infection microbiology,2025
