pmid,title,abstract,journal,pub_date
40913626,Probiotics Co-administered with LCM Enhance Antiepileptic Efficacy in the Experimental Post-traumatic Epilepsy Model.,"The aim of the presented study was to investigate the effects of prebiotic inulin, probiotic VSL#3 (mixture of bacteria from 7 different species and 8 strains) and synbiotic (inulin + VSL#3) supplements applied together with lacosamide (LCM) on post-traumatic epilepsy (PTE). In addition, effectiveness of the relevant treatments on comorbid problems related to learning and memory, anxiety, motor performance and pain threshold that may develop together with seizures due to traumatic brain injury (...",Neurochemical research,2025-Sep
40911749,"Oral Hyaluronic Acid Supplement: Efficacy in Skin Hydration, Elasticity, and Wrinkle Depth Reduction.","Hyaluronic acid (HA) is a key component naturally present in the skin and is commonly used in skincare formulations and dermal fillers. Recently, there has been growing interest in oral HA supplementation for maintaining skin health and preventing aging due to its potential systemic benefits.",Journal of drugs in dermatology : JDD,2025-Sep
40911156,Impact of In vitro Gastrointestinal Digestion on the Chemical Composition and Prebiotic Potential of Coffee Silverskin.,"The growing interest in prebiotic ingredients has led to the valorization of agri-food by-products, such as coffee silverskin, known for its richness in dietary fiber and health-promoting compounds. This study evaluated the impact of in vitro simulation of gastrointestinal digestion on the chemical composition (carbohydrates, caffeine, and chlorogenic acids) and prebiotic potential (probiotic growth, organic acid production, pH, and antioxidant activity) of milled coffee silverskin. The results ...","Plant foods for human nutrition (Dordrecht, Netherlands)",2025-Sep
40909340,Innovative applications of medicinal mushrooms in functional foods and nutraceuticals: a focus on health-boosting beverages.,"Mushrooms, which are an integral part of human nutrition and traditional medicine in various cultures, including Asia, the Americas, Africa, and Europe, appear to be an ideal food for a healthy lifestyle. Their rich range of bioactive compounds in certain macrofungi, supported by scientific research and clinical trials, has demonstrated their nutritional and medicinal value. This review covers the historical context, pharmacological efficacy, innovative biotechnological advancements in macrofung...",Frontiers in cellular and infection microbiology,2025
40908013,Assessing the impact of binge drinking and a prebiotic intervention on the gut-brain axis in young adults: protocol for a randomised controlled trial.,"Adolescence and youth are periods of significant maturational changes, which seem to involve greater susceptibility to disruptive events in the brain, such as binge drinking (BD). This pattern-characterised by repeated episodes of alcohol intoxication-is of particular concern, as it has been associated with significant alterations in the developing brain. Recent evidence indicates that alcohol may also induce changes in gut microbiota composition and that such disturbances can lead to impairment...",BMJ open,2025-Sep
40906698,"Hemoglobin response to iron-folic acid supplementation and associated factors among anemic pregnant women attending the University of Gondar Comprehensive Specialized Hospital ANC ward Northwest, Ethiopia 2023: A longitudinal follow up study.","Anemia is the most frequent complication during pregnancy. Iron and folate deficiencies are the primary causes of anemia during pregnancy resulting from low hemoglobin concentration. Globally, preventive strategies such as iron and folic acid supplementation, improved dietary practice and deworming program play a crucial role in reducing the rate of anemia. Hemoglobin is improved as a result of iron-folic acid supplementation, though some factors affect good response. Due to limited studies to t...",PloS one,2025
40906025,Assessment of the role of probiotics in prevention of ventilator-associated pneumonia in neonates.,"Ventilator-associated pneumonia (VAP) is a severe complication in NICUs. It increases morbidity, mortality, and healthcare costs. The research purpose was to evaluate the preventive value of probiotics on the incidence of VAP among ventilated neonates.",European journal of pediatrics,2025-Sep
40905354,Synbiotic diet produces antidepressant-like effects but alters ketamine activity in an avian model of treatment-resistant depression.,"Pre- and probiotics promote a diverse and functional gut microbiota and have demonstrated both anxiolytic and antidepressant effects; however, how synbiotic diet interacts with antidepressant medications has not been fully investigated. This study sought to evaluate the potential anxiolytic or antidepressant effects of a synbiotic diet in an avian model that presents homologies with treatment-resistant depression. In addition, we sought to evaluate the potential interaction of a synbiotic diet c...",Behavioural pharmacology,2025-Oct
40903738,"Probiotic, antimicrobial and anticancer properties of Lysinibacillus macroides, Kurthia huakuii, and Enterococcus faecium isolated from freshwater snail gut microbiota.","The composition and roles of intestinal microbial populations have been clarified including mammals and humans however, less is understood concerning the gut microbiota of mollusks. For the first time, we investigated non-parasite transmitting freshwater snails Lanistes carinatus (L. carinatus), Cleopatra bulimoides (C. bulimoides) and Helisoma duryi (H. duryi) gut microbiota as a source of probiotic strains with anticancer potential and explore their microbial population structure.",BMC biotechnology,2025-Sep
40903241,Human breast milk and its impact on inflammatory bowel disease.,"Inflammatory bowel disease (IBD) is a term that describes disorders involving long-standing inflammation of tissues in the digestive tract. The onset and exacerbation of IBD is linked to multiple factors, including genetic and immunological influences, diet, and gut bacteria. Additionally, it is associated with a high risk of cancer. Research shows that the longer a person is breastfed, the lower their risk of developing IBD, highlighting the impact of human breast milk components on intestinal ...",Journal of smooth muscle research = Nihon Heikatsukin Gakkai kikanshi,2025
