pmid,title,abstract,journal,pub_date
41240173,Efficacy of probiotics and synbiotics combined with phototherapy vs phototherapy alone in neonatal hyperbilirubinemia: a systematic review and meta-analysis of randomized controlled trials.,"The current gold standard for neonatal hyperbilirubinemia is phototherapy. However, phototherapy for a longer duration has side effects like fluid imbalance and diarrhea. Probiotics and synbiotics are used as adjuncts to reduce the duration of phototherapy. Three electronic databases, namely PubMed, clinicalTrials.gov, and the Cochrane Library, cover the period from inception up to May 2025. Neonates with hyperbilirubinemia treated with probiotics/synbiotics in addition to phototherapy were incl...",European journal of pediatrics,2025-Nov
41240073,Probiotic Engraftment of Akkermansia muciniphila in an In Vitro Synthetic Microbial Community.,"Akkermansia muciniphila is a specialist mucin glycan-degrader that is common in the human gut. A. muciniphila is associated with host health and therefore proposed as a next-generation probiotic. However, it is unknown if consumption of live and active A. muciniphila will be effective in terms of survival and engraftment in the gut microbiome. Furthermore, it is of interest whether introduction of A. muciniphila would influence the resident mucosal microbiota. To this end, we investigate the add...",Microbial ecology,2025-Nov
41239695,The Citizens Protein Project 2: The first publicly crowd-funded observational study on exhaustive analysis of popular whey protein supplements in India reveal poor quality and deceptive marketing claims of medical pharmaceutical- compared to nutraceutical- industry powders.,"This uniquely original, crowd‑funded laboratory study compared 18 medical‑pharmaceutical and 16 nutraceutical whey protein powders sold in India by analyzing macronutrients, amino‑acid profiles, sugars, heavy metals, mycotoxins, hormones, pesticides and undeclared additives. Nutraceutical products supplied a mean (± SD) 75.6 ± 7.3 g protein/100 g and showed tight agreement with label claims. Ninety‑four per cent met the ≥ 60 g/100 g threshold and exhibited high essential‑amino‑acid densit2y (up ...",Medicine,2025-Nov
41239457,"Modulating effects of microbiota on synbiotic intervention outcomes for microbiota-derived trimethylamine, trimethylamine N-oxide and indoxyl sulfate in healthy young medical students: insights from a 12-week randomized clinical trial.","Microbiota-derived metabolites, trimethylamine-N-oxide (TMAO) and indoxyl sulfate (IS), have been implicated in cardiovascular, renal, and metabolic diseases. Synbiotic interventions are a promising strategy to modulate these metabolites, but their efficacy may vary depending on host-microbial characteristics. This study investigated whether a multi-strain synbiotic could reduce serum concentrations of trimethylamine (TMA), TMAO, and IS in healthy young adults, and whether baseline characteristi...",Journal of translational medicine,2025-Nov
41239394,Pediococcus acidilactici attenuates chronic stress-induced depression via generating metabolite indole-3-lactic acid and downregulating neuroinflammation.,"Depression, a prevalent mental disorder worldwide, is associated with pathological mechanisms including neuroinflammation. Pediococcus acidilactici has shown the potential neuroprotective effects, yet its role in ameliorating depression and the underlying mechanisms remain unclear.",Journal of neuroinflammation,2025-Nov
41238680,Activity of lactic acid bacteria against biofilms formed by Staphylococcus aureus strains involved in acute mastitis.,"Staphylococcus aureus is the leading cause of acute mastitis during lactation. This species has a remarkable ability to form biofilms and to develop antibiotic resistance, which hampers the effectiveness of current therapeutic approaches. This study aims to evaluate the therapeutic potential of three lactic acid bacteria (LAB) strains (Limosilactobacillus fermentum I7, Limosilactobacillus reuteri 7SNG3-30 and Ligilactobacillus salivarius 22SNG3-30) to interfere with biofilms formed by two S. aur...",Scientific reports,2025-Nov
41236682,Investigation of the Effects of Lacticaseibacillus rhamnosus GG Administration on Penicillin-Induced Epileptiform Activity in Rats.,"Excitatory/inhibitory balance, oxidative and antioxidative regulatory systems play a role in the pathophysiology of epilepsy. In addition, intestinal dysbiosis is also involved in the pathophysiology of epilepsy. The aim of this study was to investigate the effects of Lacticaseibacillus rhamnosus GG (L. rhamnosus or LBR) on epileptic seizures and gamma aminobutyric acid (GABA), malondealdehyde (MDA), superoxide dismutase (SOD, glutathione peroxidase (GPx) and catalase (CAT) levels in serum and b...",Neurochemical research,2025-Nov
41236568,Essential amino acid supplementation for pressure ulcers: pathophysiological rationale and results from a pilot study.,"Pressure ulcers (PU) are a major and serious problem affecting millions of people. Malnutrition, frequently co-occurring with PU, is considered modifiable risk factor, and dietary supplements currently recommended for supporting PU healing contain a high amount of protein and some additives (zinc, vitamin C, arginine). Unfortunately, many patients with PU suffer from chronic kidney disease and would not tolerate a high-protein diet. Amino acid profiling of the blood serum of PU patients has show...",Amino acids,2025-Nov
41235749,The Microalga Chlorella vulgaris Supplements as a Factor Increasing the Survival of Potentially Probiotic Lactic Acid Bacteria Under Environmental Stress Conditions.,"Recent studies show that Chlorella vulgaris, due to its richness in nutrients, exhibits protective properties for probiotic strains of lactic acid bacteria (LAB). This creates an opportunity to produce more effective probiotics. This study aimed to evaluate the effect of two supplements of C. vulgaris on the growth and survival of LAB exposed to adverse stress factors (pH = 3, the presence of 0.2% and 0.5% bile salts). Survival was evaluated after 0 and 6 h of culture in the adverse stress envir...",Environmental microbiology reports,2025-Dec
41235517,[The effect of AntiAGE-Biom probiotic on metabolic features in individuals with type 2 diabetes].,"Despite the variety of antidiabetic therapies, many patients with type 2 diabetes (T2D) do not achieve optimal glycemic control. Therefore, there is a need to develop additional methods for managing T2D, including ones that regulate the gut microbiome.",Terapevticheskii arkhiv,2025-Nov
