pmid,title,abstract,journal,pub_date
41683312,Botulinum Toxin Effects and Its Association with Vitamin and Mineral Supplementation: A Narrative Review.,"Background: With the emerging global popularity of botulinum neurotoxin (BoNT), both for aesthetical and medical purposes, there is a rising need for achieving better outcomes. The aim of this narrative review was to comprehensively cover the effect of BoNT, as well as its possible interactions with everyday mineral and vitamin supplementation. Results: It is well established that BoNT exerts its paralytic effects through zinc-dependent cleavage of SNARE proteins, blocking acetylcholine release ...",Nutrients,2026-Feb
41615824,Combined B-vitamin supplementation on homocysteine and vascular outcomes in coronary heart disease: a meta-analysis.,"Hyperhomocysteinemia (Hcy) independently predicts coronary heart disease (CHD) and adverse cardiovascular events. Although folic acid plays a key role in Hcy metabolism, the effect of combined B-vitamin supplementation (folic acid, VB6, and VB12) on clinical outcomes in CHD remains uncertain.",Annals of medicine,2026-Dec
41599826,Vitamin Supplementation in Sports: A Decade of Evidence-Based Insights.,"Background: Vitamins are micronutrients involved in multiple physiological processes critical for athletic performance. Because athletes are often exposed to increased oxidative stress, higher metabolic turnover, and greater nutritional demands, which can potentially lead to deficiencies in vitamins, understanding vitamin supplementation as a function of sport discipline is of fundamental importance. Methods: This narrative review synthesizes research findings from the past decade, supplemented ...",Nutrients,2026-Jan
41019033,Parenteral micronutrient supplementation enhances mammary immune function and colostrum-milk quality by modulating cytokine profiles and oxidative stress in transition crossbred cows.,The transition period in dairy cattle is marked by oxidative stress and immune suppression linked to altered micromineral status. This study evaluated whether parenteral supplementation with trace elements and vitamins could enhance mammary health and improve the immunonutritional quality of colostrum and milk.,Frontiers in immunology,2025
41010447,The Role of Dietary Supplements in Modulating Menopause Onset: A Comprehensive Analysis of Nutritional and Lifestyle Influences on Menopause Timing.,"Background: The age at natural menopause (ANM) has a significant impact on women's health later in life, although the contribution of changeable dietary and lifestyle factors remains uncertain. Methods: We examined data from 3566 participants in the UK Women's Cohort Study, assessing their baseline use of dietary supplements and lifestyle habits. Associations with ANM were evaluated using multivariable Cox proportional hazards models and gradient boosting machine (GBM) analyses. We adjusted our ...",Nutrients,2025-Sep
40937940,[Liposomal technologies and the prospect of their use for creation of foods for special dietary uses].,"The most effective and expedient way to improve the supply of the population with the essential nutrients is additional enrichment of food and the use of functional food, food for special dietary uses and dietary supplements in nutrition. One of the micronutrient delivery systems is liposome - microscopic phospholipid vesicle. The purpose of the review was to characterize the methods of obtaining liposomal forms of nutrients, to analyze the range of liposomal forms of nutrients of domestic and f...",Voprosy pitaniia,2025
40806128,Role of Micronutrient Supplementation in Promoting Cognitive Healthy Aging in Latin America: Evidence-Based Consensus Statement.,"Background: Cognitive decline is a growing public health concern in Latin America, driven by rapid aging, widespread micronutrient inadequacies, and socioeconomic disparities. Despite the recognized importance of nutrition, many older adults struggle to meet daily dietary micronutrients requirements, increasing the risk of mild cognitive impairment (MCI). This study aimed to establish expert consensus on the role of Multivitamin and Mineral supplements (MVMs) in promoting cognitive healthy aging...",Nutrients,2025-Aug
40611181,Public self-reported adverse experience and knowledge about use of herbal and dietary supplements.,"Herbs and dietary supplement (HDS) use has become increasingly used among the Thai population due to greater health awareness and easier product access. However, research on adverse events from HDS and information needs relating to HDS among the Thai population is limited. This study aims to explore use, adverse experiences, self-assessed knowledge and perspectives on HDS among the general public in Thailand.",BMC complementary medicine and therapies,2025-Jul
40418248,Underestimated pyridoxine consumption and neurotoxicity: a novel manifestation with rheumatologic relevance - a case-based review.,"The impact of vitamin B complex has long been studied and utilized in clinical practice, both for healthy and diseased individuals. Its beneficial effects on physical and mental performance have been proven by multiple studies leading to widespread supplementation among the general population. As of today's knowledge, vitamin B6 (pyridoxine) in excessive doses may lead to symptoms of neuropathy. Unfortunately, many of those supplementing vitamin B complex are unaware of such a risk. This case-ba...",Rheumatology international,2025-May
40218924,"The Role of Vitamin B Complex in Periodontal Disease: A Systematic Review Examining Supplementation Outcomes, Age Differences in Children and Adults, and Aesthetic Changes.","Background and Objectives: Among nutritional factors implicated in periodontal health, the vitamin B complex-particularly folate (vitamin B9), cobalamin (B12), thiamine (B1), and riboflavin (B2)-has gained attention for its role in immunomodulation and tissue repair. This systematic review aims to synthesize current evidence on whether adequate vitamin B complex intake or status is associated with improved periodontal outcomes. Methods: A systematic search was performed in PubMed, Scopus, and We...",Nutrients,2025-Mar
39724288,Genomic insights into the probiotic potential and genes linked to gallic acid metabolism in Pediococcus pentosaceus MBBL6 isolated from healthy cow milk.,"Pediococcus pentosaceus is well known for its probiotic properties, including roles in improving health, antimicrobial production, and enhancing fermented food quality. This study aimed to comprehensively analyze the whole genome of P. pentosaceus MBBL6, isolated from healthy cow milk, to assess its probiotic and antimicrobial potentials. P. pentosaceus MBBL6, isolated from a healthy cow milk at BSMRAU dairy farm, Gazipur, Bangladesh, underwent comprehensive genomic analysis, including whole gen...",PloS one,2024
39599715,"Bidirectional Two-Sample, Two-Step Mendelian Randomisation Study Reveals Mediating Role of Gut Microbiota Between Vitamin B Supplementation and Alzheimer's Disease.",Alzheimer's disease (AD) is a devastating neurodegenerative disorder with a complex aetiology. The aims of this study were to investigate the relationship between vitamin B supplementation and AD risk and to explore the potential mediating effect of the gut microbiota in this relationship.,Nutrients,2024-Nov
39101402,"Effects of yeast-enriched functionalized canola meal supplementation on apparent total tract macronutrient digestibility and fecal characteristics, fecal microbiota, and immune function of healthy adult dogs.","Brewer's dried yeast has a high nutritional value and has long been utilized by the animal feed industry as a source of protein, B-complex vitamins, and minerals. Brewer's dried yeast is also rich in bioactive compounds and may thereby be used as a functional ingredient, providing benefits beyond that of its nutrient content. Canola meal is a high-fiber ingredient that also has unique properties, especially when it is wetted and dried using a proprietary drying system that creates a ""functionali...",Journal of animal science,2024-Jan
38904899,Clinical Evaluation of Effectiveness and Safety of Combined Use of Dietary Supplements Amberen® and Smart B® in Women with Climacteric Syndrome in Perimenopause.,"Perimenopause is a time of transition in a woman's life that links her reproductive years to the cessation of ovulation, or menopause. For many women, this time is characterized by a variety of physiological and lifestyle changes, including increasing irregularity in menstrual bleeding, frequency and severity of vasomotor symptoms, etc. Therapies evaluated specifically for the perimenopausal women are very limited. This study aimed to evaluate the effectiveness and safety of Amberen® (a succinat...",Advances in therapy,2024-Aug
38732128,Supplementation of Micro- and Macronutrients-A Role of Nutritional Status in Non-Alcoholic Fatty Liver Disease.,"Non-alcoholic fatty liver disease (NAFLD) is a condition in which the pathological cumulation of fat with coexisting inflammation and damage of hepatic cells leads to progressive dysfunctions of the liver. Except for the commonly well-known major causes of NAFLD such as obesity, dyslipidemia, insulin resistance, or diabetes, an unbalanced diet and imbalanced nutritional status should also be taken into consideration. In this narrative review, we summarized the current knowledge regarding the mic...",International journal of molecular sciences,2024-Apr
38343146,Dietary Supplement Use in Transmasculine People: Results of an Online Survey of Volunteer Adults.,"Health inequities and disparities in nutrition research exist among transmasculine people. A dearth of evidence on dietary supplement use and motivations exist, partially due to constrained collection of sex and gender identity in national surveys.",Journal of dietary supplements,2024
37563274,Evaluation of nutritional and physicochemical characteristics of soy yogurt by Lactobacillus plantarum KU985432 and Saccharomyces boulardii CNCMI-745.,"Nutritional yeast-produced soy yogurt has grown in demand, because of its unique nutritional and health benefits. It has low cholesterol, no lactose, and high levels of protein, probiotic yeast, vitamins, and minerals. In this work, Soymilk (12.5%) was prepared and fermented to produce soy yogurt. Growth curves, probiotic characteristics of Saccharomyces boulardii CNCMI-745 and Lactobacillus plantarum KU985432 were determined. The nutritional value of both yogurts was evaluated, including viable...",Scientific reports,2023-Aug
36108676,Effects of supplementation with low-dose group B vitamins on clinical and biochemical parameters in critically ill patients with COVID-19: a randomized clinical trial.,: This study aimed to check the effect of supplementation with low-dose group B vitamins on clinical and biochemical parameters on patients with coronavirus disease 2019 (COVID-19).,Expert review of anti-infective therapy,2024-Jul
35331806,"Response to Falotico et al's ""Biotin beware: Perils of biotin supplementation"".",无摘要,Journal of the American Academy of Dermatology,2022-Aug
