pmid,title,abstract,journal,pub_date
41516256,From Ecological Threat to Bioactive Resource: The Nutraceutical Components of Blue Crab (Callinectes sapidus).,"Native to the western Atlantic, the Atlantic blue crab Callinectes sapidus (CS) has spread to the Mediterranean, affecting local ecosystems and mussel aquaculture and leading to severe ecological and financial losses in Italy and other areas. Given its rapid spread and socio-economic impacts, several countries have begun to exploit CS commercially, but the consumers' interest is still limited. In this study, we analysed both nutrient and nutraceutical profiles of CS meats, evaluating potential d...",International journal of molecular sciences,2025-Dec
41516240,From Gut Dysbiosis to Skin Inflammation in Atopic Dermatitis: Probiotics and the Gut-Skin Axis-Clinical Outcomes and Microbiome Implications.,"Atopic dermatitis (AD) is a chronic inflammatory skin disease in which barrier impairment, immune dysregulation, and gut-skin dysbiosis intersect, prompting growing interest in probiotics as microbiota-modulating adjuncts. We conducted a narrative review of peer-reviewed articles indexed in PubMed, Scopus, and Google Scholar, restricted to publications from 1 January 2018 to 31 October 2025 (searches last run in December 2025). Eligible evidence included randomized controlled trials (RCTs), obse...",International journal of molecular sciences,2025-Dec
41516178,Induced Pluripotent Stem Cell-Derived Dendritic Cells Provide a Reliable In Vitro Platform for Functional Screening of Immunoregulatory Probiotics.,"The immunoregulatory effects of probiotics have been widely studied, particularly in maintaining immune balance. Conventional in vitro functional screening of probiotics relies on fresh donor-derived primary immune cells, which often exhibit significant inter-individual and temporal variability, limiting reproducibility and interpretation. As an alternative, human-induced pluripotent stem cell (iPSC)-derived dendritic cells were co-cultured with five probiotic strains in the current study to eva...",International journal of molecular sciences,2025-Dec
41516175,Biologically Informed Machine Learning Prioritizes Dietary Supplements That Protect Neural Crest Cells from Ethanol-Induced Epigenetic Dysregulation and Developmental Impairment.,"The impairment of neural crest cells (NCCs) plays a pivotal role in the pathogenesis of fetal alcohol spectrum disorders (FASD). Epigenetic regulators mediate ethanol-induced disruptions in NCC development and represent promising targets for nutritional interventions. Here, we developed a biologically informed machine learning framework to predict nutritional supplements that modulate five key epigenetic regulators (miR-34a, DNMT3a, HDAC, miR-125b, and miR-135a) and mitigate ethanol's adverse ef...",International journal of molecular sciences,2025-Dec
41516172,Modulation of Cardiometabolic Risk by Vitamin D and K2: Simple Supplementation or Real Drug? Uncovering the Pharmacological Properties.,"Vitamin D, traditionally regarded as a nutrient, is increasingly recognized as a pharmacologically active secosteroid with pleiotropic effects extending beyond calcium homeostasis and bone integrity. Together with vitamin K2, it participates in the fine-tuning of mineral metabolism and vascular health, potentially modulating cardiometabolic risk through intertwined endocrine and paracrine pathways. Despite widespread fortification and supplementation, vitamin D deficiency remains a major global ...",International journal of molecular sciences,2025-Dec
41516030,Manganese Deficiency and Mn2O3 Nanoparticles Supplementation Disrupt Bone Remodeling and Mineral Matrix Maturation in Rats.,"This study aimed to investigate the effects of dietary manganese deficiency and compare the impact of manganese macroparticles (MnCO3) and nanoparticles (Mn2O3NPs) on bone remodeling and metabolism. Twenty-seven male Wistar rats were divided into three groups (n = 9): control (standard MnCO3, 65 mg Mn/kg), manganese-deficient, and Mn2O3NPs-supplemented (65 mg Mn/kg). After a 12-week feeding period, bone-related markers and gene expression were analyzed in the femur and blood. Mn-deficient rats s...",International journal of molecular sciences,2025-Dec
41515480,Potential Nutraceutical Properties of Vicia faba L: LC-ESI-HR-MS/MS-Based Profiling of Ancient Faba Bean Varieties and Their Biological Activity.,"Vicia faba L. is a widely cultivated legume known to contain numerous specialised metabolites. In this study, the seed coats and cotyledons of two ancient V. faba L. varieties, historically consumed in southern Italy and distinguished by black and purple seed coats, were extracted using 80% methanol and 80% ethanol. Extracts were analysed for total polyphenol, flavonoid and proanthocyanidin contents, and antioxidant activity using DPPH, ABTS, and FRAP assays. The purple seed coats exhibited the ...","Molecules (Basel, Switzerland)",2026-Jan
41515313,Determination of Monacolin K and Citrinin in the Presence of Other Active Ingredients Found in Selected Food Supplements by HPLC-DAD.,"A universal HPLC method with diode array detection was developed for the separation and determination of the lactone and acid forms of monacolin K in the presence of other active ingredients (vitamins B1, B6, B12, and folic acid) found in selected dietary supplements. The method also enables the quantitative determination of citrinin in monacolin K. Chromatographic separation was performed on an ACE 5 C18-PFP column (250 × 4.6 mm) thermostated at 25 °C. The mobile phase consisted of 0.005 M phos...","Molecules (Basel, Switzerland)",2025-Dec
41515291,Effects of High-Dose Vitamin D Supplementation and Physical Exercise on Vitamin D Metabolites in Professional Football Players: A Pilot Study.,"Background/Objectives: Vitamin D plays an important role in muscle metabolism and recovery, yet its kinetics during and after football-specific physical activity remain poorly understood. Therefore, this study aimed to determine whether physical effort during a football match influences the concentration of vitamin D metabolites and to explore the effect of a single high-dose cholecalciferol supplementation combined with physical exercise on the levels of vitamin D metabolites in professional fo...",Nutrients,2026-Jan
41515290,Multi-Strain Probiotic Improves Tryptophan Metabolism and Symptoms in Chronic Fatigue Syndrome Patients with Co-Occurring Irritable Bowel Syndrome: An Open-Label Pilot Study.,"Background/Objectives: Gut dysbiosis in Chronic Fatigue Syndrome (CFS) drives low-grade inflammation and shifts tryptophan metabolism toward neurotoxic pathways. The causal link between bacterial translocation, kynurenine pathway dysregulation, and symptom severity remains under-defined. We evaluated the impact of a high-concentration multi-strain probiotic on the ""gut-kynurenine axis"" and clinical status in CFS patients with co-morbid IBS-U and confirmed dysbiosis. Methods: Forty female patient...",Nutrients,2026-Jan
41515289,The Role of Omega-3 Polyunsaturated Fatty Acid Supplementation in Postoperative Recovery of Colorectal Cancer: Systematic Review and Meta-Analysis.,"Background: China is currently developing standards for Food for Special Medical Purposes (FSMP) targeting for oncology patients. However, substantial challenges remain in defining optimal fortification levels of omega-3 polyunsaturated fatty acids (ω-3 PUFAs). Accumulating evidence suggests that ω-3 PUFA intake improves postoperative prognosis by modulating oncological parameters in colorectal cancer (CRC) patients. This meta-analysis aimed to evaluate the therapeutic efficacy of ω-3 PUFA suppl...",Nutrients,2026-Jan
41515260,Effects of Green Tea Extract Supplementation on Inflammatory Cytokines Among Postmenopausal Women with Overweight or Obesity-A Secondary Analysis of a Randomized Controlled Trial.,"Background: Excess adiposity induces low-grade inflammation, including increased C-reactive protein (CRP), interleukin-6 (IL-6), and tumor necrosis factor-alpha (TNF-α). Green tea contains epigallocatechin gallate (EGCG), with anti-inflammatory potential. EGCG metabolism is influenced by individual variations in catechol-O-methyltransferase (COMT) genotypes. Objectives: To evaluate the effect of green tea extract (GTE) supplementation on circulating inflammatory cytokines among postmenopausal wo...",Nutrients,2026-Jan
41515257,School-Age Neurodevelopmental and Atopy Outcomes in Extremely Preterm Infants: Follow-Up from the Single Versus Triple-Strain Bifidobacterium Randomized Controlled Trial.,"Background: Probiotic supplementation for very preterm infants is a common practice in many neonatal units. Assessing the effects of early postnatal exposure to probiotics on long-term neurodevelopment, growth, and atopy-related outcomes is important. Extremely preterm (EP: <28 weeks) infants enrolled in our previously reported randomized trial (SiMPro) comparing short-term effects of single (SS: B. breve M-16V) versus triple-strain (TS: B. breve M-16V, B. longum subsp. infantis-M63, B. longum s...",Nutrients,2026-Jan
41515256,Effects of a Red-Ginger-Based Multi-Nutrient Supplement on Optic Nerve Head Blood Flow in Open-Angle Glaucoma.,"Objectives: Glaucoma is an age-related neurodegenerative disease, characterized by retinal ganglion cell loss and progressive visual field deterioration. Beyond intraocular pressure (IOP), vascular and metabolic dysregulation contributes to optic nerve head (ONH) ischemia and neuronal vulnerability. Nutritional factors with antioxidative and vasodilatory properties may help preserve ocular perfusion. This study investigated the acute and subacute effects of a single dose of a dietary supplement ...",Nutrients,2026-Jan
41515249,Comprehensive Effects of Melatonin Supplementation on Cardiometabolic Risk Factors: A Systematic Review and Dose-Response Meta-Analysis.,"Background/Objectives: There is no definitive consensus regarding the effects of melatonin on cardiometabolic risk factors (CMRFs). This systematic review and dose-response meta-analysis of randomized controlled trials (RCTs) evaluated the impacts of melatonin supplementation on CMRFs, including anthropometric, lipid, glycemic, inflammatory, oxidative, and liver function parameters. Methods: A systematic search across multiple databases retrieved 63 eligible RCTs published up to October 2025. Re...",Nutrients,2025-Dec
41515240,Subcellular Localization Dictates Therapeutic Function: Spatially Targeted Delivery of Amuc_1100 by Engineered Lacticaseibacillus paracasei L9 Enhances Intestinal Barrier in Colitis.,"Background/Objectives: Impaired intestinal barrier function is a hallmark of inflammatory bowel disease (IBD). Akkermansia muciniphila and its outer membrane protein Amuc_1100 can enhance this barrier, but the clinical application of Amuc_1100 is limited by the fastidious growth of its native host. This study aimed to overcome this by utilizing the robust probiotic Lacticaseibacillus paracasei L9 for targeted Amuc_1100 delivery. Methods: We engineered Lc. paracasei L9 to express Amuc_1100 via in...",Nutrients,2025-Dec
41515236,Intermittent Fasting and Probiotics for Gut Microbiota Modulation in Type 2 Diabetes Mellitus: A Narrative Review.,"Background: Type 2 diabetes mellitus (T2DM) is a global epidemic in which gut microbiota dysbiosis contributes to impaired glucose homeostasis and chronic inflammation. Intermittent fasting (IF) and probiotic supplementation have independently demonstrated glycemic benefits in T2DM, largely through microbiota remodeling. This narrative review synthesizes evidence up to October 2025 to clarify the microbiota-dependent mechanisms of IF and probiotics, and to evaluate the biological plausibility an...",Nutrients,2025-Dec
41515234,Modulation of Peripheral Immune Cells Following Vitamin D3 Supplementation in Vitamin D-Insufficient Cancer Patients.,"Background and aims: Low vitamin D3 levels are common in cancer patients, and these patients might benefit from vitamin D3 level normalization in parallel with the conventional oncology treatment. This study aimed to examine the molecular effects of moderate-high-dose vitamin D3 supplementation in vitamin D-deficient cancer patients. Methods: Eight patients under oncological treatment (5 lung cancer, 2 colorectal cancer, and 1 urothelial carcinoma) received 30,000 IU of vitamin D3 per week for t...",Nutrients,2025-Dec
41515211,Influence of Diet on the Bioaccessibility of Zn from Dietary Supplements: Findings from an In Vitro Digestion Model and Analytical Determinations.,Zn is an essential mineral nutrient for human health. Its deficiency may result not only from insufficient intake but also from impaired absorption. Dietary components released from the food matrix during digestion can interact in ways that either enhance or inhibit mineral bioavailability.,Nutrients,2025-Dec
