pmid,title,abstract,journal,pub_date
41545110,Aqueous LC-MS/MS quantification of α-/β-nicotinamide mononucleotide in dietary supplements using a pentabromophenyl column.,"In this study, we developed an LC-MS/MS method that enables baseline separation and quantification of α- and β-nicotinamide mononucleotide (NMN) isomers under fully aqueous reversed-phase conditions. At first, three commonly used reversed-phase columns (Polar C18, F5, and PBr) were evaluated, and only the PBr phase provided sufficient stereoselectivity through enhanced π-π stacking, dipole-dipole interactions, and halogen bonding. Using 0.1 % formic acid in water as the mobile phase, the two iso...",Analytica chimica acta,2026-Feb
41544018,"The quality and safety of Rhodiola rosea supplements on the U.S. market: An analysis of biomarkers, heavy metals, and pesticide residues.","Rhodiola rosea supplements have become popular in the U.S., with a $3.4 billion market and an annual growth of about 10% in sales in the past few years. While the health benefits of this plant have been evaluated in many scientific studies, the potential differences in quality of these botanical products on the U.S. market have not been studied in detail. Using reversed-phase ultra-performance liquid chromatography, we determined the concentrations of the biomarker molecules, rosavins and salidr...",PloS one,2026
41543515,Multi-Omics Analysis Reveals the Potential Preventive Mechanism of Lactobacillus salivarius Li01 Against L-Arginine-Induced Acute Pancreatitis in Mice.,"Acute pancreatitis (AP) pathogenesis involves gut microbiota dysbiosis. Although Lactobacillus salivarius Li01 (Li01) is a well-characterised probiotic strain, its specific role in AP via the 'gut-pancreas axis' remains unclear. Li01 pretreatment via oral gavage was assessed in an L-arginine-induced AP mouse model. The gut microbiota composition and abundance were analysed via 16S rRNA sequencing, complemented by untargeted faecal metabolomics and pancreatic transcriptomics analyses. Li01 pretre...",Microbial biotechnology,2026-Jan
41543328,Therapeutic Mechanisms of Lactiplantibacillus plantarum NXU0014 Against Chronic Alcohol-Induced Liver Injury Mediated by Gut-Liver Axis Modulation.,"This study investigated the protective effects of Lactobacillus plantarum NXU0014 against chronic alcoholic liver injury (CALI) and its underlying mechanisms in a mouse model. Forty-eight male C57BL/6J mice were divided into four groups: blank control, model, silymarin, and L. plantarum NXU0014. The CALI model was induced by administering 56% Hongxing Erguotou liquor. Multi-omics analyses revealed that alcohol intake induced gut microbiota dysbiosis, characterized by an increased Firmicutes/Bact...",Molecular nutrition & food research,2026-Jan
41543066,[Analysis of the market of specialized foodstuffs for nutrition of athletes of child and youth age].,"The organization of optimal nutrition, including the use of specialized foodstuffs (SF) and dietary supplements, is an integral part of the medical support system for sports reserve training in the Russian Federation. The purpose of the research was to evaluate the existing market of SF intended for child athletes, analyze regulatory documents and promising components for the development of new SF formulations for young athletes, taking into account the special needs associated with growth, deve...",Voprosy pitaniia,2025
41543064,[Current approaches for vitamins and minerals tolerable intake levels substantiation].,The upper tolerable intake levels (ULs) for vitamins and minerals and their content in the widely consumed foods and in a specialized nutrition (SN) become very relevant due to the growing interest in both segments fortification. The substantiation of these micronutrients' tolerance limits in fortified foods and dietary supplements (DS) is complicated by the fact that such products are dedicated to eliminate micronutrient deficiencies without excessive intake at the population and individual lev...,Voprosy pitaniia,2025
41541626,An open-label interventional study on efficacy and safety of 25 µg of daily calcifediol capsule versus 100 µg of cholecalciferol sachets in apparently healthy volunteers.,"Despite the multiple advantages of 25-hydroxyvitamin D (calcifediol or 25(OH)D) compared to cholecalciferol, it is used sparingly. This study was planned to assess the safety and efficacy of supplementing daily 25 µg of calcifediol capsules vis-a-vis 100 µg (4000 IU) of cholecalciferol sachets in apparently healthy individuals with vitamin D deficiency in Chandigarh, India (latitude 30.7° North, 76.8° East). It was a prospective, interventional study to evaluate the effects of calcifediol vis-a-...",Journal of nutritional science,2026
41540398,Combined resistance training and amino acid-based supplementation for sarcopenia in older adults: a systematic review and meta-analysis.,"Resistance training is the cornerstone of sarcopenia management. However, whether combining it with amino acid-based supplementation, including essential amino acids, branched-chain amino acids, leucine, and derivatives such as HMB, provides additional benefits remains unclear.",BMC musculoskeletal disorders,2026-Jan
41540177,"Metabolomic and functional profiling of Lactiplantibacillus plantarum strains reveals distinct probiotic, immunomodulatory, and antimicrobial signatures.","Lactiplantibacillus plantarum strains are increasingly recognized for their combined probiotic and antimicrobial activities, offering potential applications in gut health management and pathogen control. This study characterized the intracellular (Met-Int) and extracellular (Met-Ext) metabolomic profiles of L. plantarum UTNGt2 (Gt2), UTNGt3 (Gt3), and UTNGt28L (Gt28L) isolated from tropical fruits and evaluated their probiotic, antimicrobial, cytotoxic, and immunomodulatory properties in vitro. ...",Applied microbiology and biotechnology,2026-Jan
41539856,Oral intake of Heat-Killed Lactiplantibacillus plantarum Alleviates Bone Loss in an Ovariectomized Mouse Model Similarly to Live L. plantarum.,"Probiotics, including Lactiplantibacillus plantarum, have therapeutic potential to alleviate osteoporosis, which is particularly common in postmenopausal women with increasing bone fracture risk. Since live probiotics may cause adverse effects under certain conditions, such as in immunocompromised individuals, postbiotics, could be a safer alternative. In this study, we investigated whether heat-killed L. plantarum KCTC 10887BP (K-Lp, postbiotic form) has comparable therapeutic effects to live L...",Journal of microbiology and biotechnology,2026-Jan
41539837,Flavonoid diversity across six Ocimum accessions: UPLC-MS/MS metabolomics and RNA-seq reveal anticancer leads and nutraceutical potential.,"Plant-specialized metabolites, particularly flavonoids, are vital sources of therapeutic agents, yet systematic profiling of their composition and pharmacological mechanisms remains limited in economically important genera like Ocimum-renowned for its culinary and medicinal value. This knowledge gap impedes the targeted development of Ocimum-based therapeutics. Here, we integrated UPLC-MS/MS-based flavonoid profiling, RNA-seq, and computational approaches across six accessions of three Ocimum sp...","Food research international (Ottawa, Ont.)",2026-Feb
41539833,Lactobacillus rhamnosus RL-H3-005 ameliorates Enterococcus faecium-induced pulmonary inflammation via gut microbiota remodeling and macrophage polarization regulation.,"Pulmonary inflammation represents a serious global health challenge with increasing incidence. Probiotic supplementation has emerged as an innovative therapeutic strategy targeting the gut-lung axis, although its underlying mechanisms remain incompletely understood. This study investigated the effects of Lactobacillus rhamnosus RL-H3-005 on pathogenic Enterococcus faecium E745-induced pulmonary inflammation in mice. RL-H3-005 supplementation significantly alleviated lung injury through suppressi...","Food research international (Ottawa, Ont.)",2026-Feb
41539822,"Sequential extraction, structural characterization, and prebiotic characteristics of polysaccharides from Rosa roxburghii Tratt fruit.","In this study, cell wall polysaccharides (CWPs) from Rosa roxburghii Tratt fruit were sequentially extracted using water (WSP), CDTA (CSP), Na2CO3 (NSP), 1 M KOH (HF1), 4 M KOH (HF4), and a cellulose-rich residue (CF), and were comprehensively characterized for their composition, architecture, and prebiotic potential. Pectin fractions (WSP, CSP, NSP) were found to be enriched in galacturonic acid and to exhibit domain-specific features: WSP and CSP were identified as high-methoxy, homogalacturon...","Food research international (Ottawa, Ont.)",2026-Feb
41539802,Molecular weight-engineered lentinan fractions as prebiotic modulators: Steering gut microbiota for precision obesity intervention.,"Lentinus edodes polysaccharides are widely recognized for their potential contributions to human health, in part due to their interactions with the gut microbiota. In this study, three molecular weight (Mw) fractions of water-soluble lentinan (WSL)-WSL-40 (2.19 × 106 Da), WSL-60 (2.96 × 105 Da), and WSL-80 (1.70 × 104 Da), derived from Lentinula edodes cultivated in Zhejiang, were systematically investigated using an in vitro fermentation model to assess their regulatory effects on gut microbiot...","Food research international (Ottawa, Ont.)",2026-Feb
41539794,Lipid nanoparticle-stabilized pickering emulsions and their applications in nutraceutical delivery.,"In recent years, there has been a significant focus on designing emulsion systems that can effectively incorporate bioactive compounds with high loading capacities and enable controlled release. These advancements have found a wide range of applications in the food, cosmetic, and pharmaceutical industries. Within this scope, particle-stabilized emulsions, known as Pickering emulsions (PEs), have been suggested as a versatile option. They stand out not only for their superior stabilization capaci...","Food research international (Ottawa, Ont.)",2026-Feb
41539774,Legumes and fermented legume products as dietary supplements: a focus on glucose and lipid metabolism mechanisms and product development.,"Glycolipid metabolic disorders, including type 2 diabetes (T2D), obesity, and dyslipidemia, are escalating public health concerns worldwide, demanding urgent, sustainable, and safer interventions. While pharmacological therapies are widely used, growing attention is now directed toward preventive and adjunctive strategies that sustainably manage these conditions. Dietary interventions, particularly those involving functional foods, have gained prominence for their potential to prevent and mitiga...","Food research international (Ottawa, Ont.)",2026-Feb
41538394,Concurrent coverage and determinants of vitamin A supplementation and deworming among children aged 12-59 months in 15 Sub-Saharan African countries.,"Vitamin A supplementation (VAS) and deworming (DW) are proven, cost-effective interventions that protect children against preventable morbidity, mortality, and the burden of micronutrient deficiencies and parasitic infections. Nevertheless, many children fail to receive both interventions simultaneously, limiting the potential health gains. Assessing co-coverage and its determinants is crucial for guiding integrated child health strategies and closing persistent gaps across Sub-Saharan Africa.",PloS one,2026
41537295,The role of intestinal microflora in prehabilitation for colorectal cancer surgery - systematic review.,"Colorectal cancer (CRC) is a global health issue that frequently necessitates surgical treatment. Prehabilitation, a strategy designed to enhance patients' health status prior to surgery, has been recognized as an effective approach to improve surgical outcomes. Probiotics, celebrated for their positive impact on gut health, have been identified as a potential component of prehabilitation regimens for CRC patients. Nonetheless, the evidence supporting their efficacy in this setting is not yet de...",Polski przeglad chirurgiczny,2025-Sep
41536004,"Acute phenylcapsaicin supplementation improves CrossFit® performance: a randomized, triple-blind, placebo-controlled crossover trial.","Phenylcapsaicin (PC) may enhance high-intensity exercise performance by reducing perceived exertion, increasing mechanical output, and limiting muscle damage, making it potentially beneficial for CrossFit® (CF) athletes.",Journal of the International Society of Sports Nutrition,2026-Dec
41533236,Probiotic Supplementation Modulates FGFR2 and TLR4 Signaling and Attenuates Chronic Neuroinflammation in an Experimental Stroke Model.,"Stroke is a major cause of mortality and morbidity. It is known to induce gut dysbiosis, which can exacerbate brain injury by increasing systemic inflammation and disrupting the gut-brain axis. This study investigated the effects of probiotics on immunomodulation and brain regeneration in a post-stroke animal model, with a particular focus on gut-brain axis. In this study, Male Wistar rats were divided into three groups: Sham, Ischemia and Ischemia + Probiotic. Focal cerebral ischemia was induce...",Neurochemical research,2026-Jan
41532096,"Oral administration of Lacticaseibacillus rhamnosus HM126 alleviates DNFB-induced atopic dermatitis in BALB/c mice by modulating immunity, gut microbiota, and metabolites.","Probiotics have emerged as a promising and safe alternative therapy for atopic dermatitis (AD) by regulating the gut microbiota-immune axis, correcting type 1/type 2 imbalance, and repairing the skin barrier.",Frontiers in immunology,2025
41529011,Therapeutical efficacy of immunobiotics in patients with newly diagnosed rheumatoid arthritis.,"Rheumatoid arthritis (RA) remission remains a key treatment goal, but remission rates vary. Emerging evidence suggests that gut microbiota modulation via probiotics may influence systemic inflammation and improve outcomes in RA. The objective was to evaluate the effects of adjunctive probiotic supplementation on clinical outcomes in patients with newly diagnosed RA receiving conventional disease-modifying antirheumatic drugs (cDMARDs) over 12 months.",Journal of infection in developing countries,2025-Dec
41528859,Lactobacillusreuteri protects against heat stress-induced testicular dysfunction by modulating oxidative stress and autophagy pathways in rats.,To investigate the potential of Lactobacillus reuteri (Lr) in ameliorating heat stress (HS)-induced testicular damage through modulation of oxidative stress and autophagy.,F&S science,2026-Jan
41527932,A novel Mediterranean diet-inspired supplement reduces hippocampal amyloid deposits and microglial activation through the modulation of the microbiota gut-brain axis in 5xFAD mice.,"Alzheimer's disease (AD) is projected to increase in prevalence, heightening the need for strategies to alleviate its neuropathological burden. The bioactive constituents of a Mediterranean-style diet are well-recognised for their neuroprotective properties. Due to their capacity to alter the gut microbiome composition, these benefits may involve modulation of the microbiota-gut-brain axis. In this study, we investigated whether a novel supplement enriched with key Mediterranean diet-derived bio...",Gut microbes,2026-Dec
41526312,Oral Probiotic Containing Streptococcus salivarius K12 and Lactobacillus brevis CD2 for Preventing Bacterial Pneumonia in Severe COVID-19: Randomized Clinical Trial.,To assess the effect of dental application of oral probiotics containing Streptococcus salivarius K12 and Lactobacillus brevis CD2 on preventing secondary bacterial pneumonia in patients with severe COVID-19.,The journal of contemporary dental practice,2025-Oct
