pmid,title,abstract,journal,pub_date
41483327,Efficacy of leucine-rich high protein supplementation on body composition and muscle function among older adults with sarcopenia: a randomized controlled trial.,"To evaluate the effect of leucine-rich high protein supplementation on body composition, muscle function and gene expression among older adults with or at risk of sarcopenia residing in Klang Valley, Malaysia.",European journal of nutrition,2026-Jan
41482855,The Efficacy and Safety of Nutritional Supplements for Cancer Supportive Care: An Umbrella Review and Hierarchical Evidence Synthesis.,"Cancer survivors experience a range of side effects during and after treatment. There is a need for a rigorous synthesis of the most recent and best available evidence on the role of nutritional supplements for supportive care in cancer, to inform shared decision-making. We searched 5 databases for umbrella reviews, meta-analyses and systematic reviews on nutritional supplements for supportive cancer care, excluding studies on pain, anxiety and depression, which are covered in recent guidelines....",Integrative cancer therapies,2026
41482829,Efficacy of Probiotic Lactobacillus spp. Isolated From Healthy Korean Indigenous Calves.,A healthy gut microbiota enhances immune function and reduces infection susceptibility in neonatal calves.,Veterinary medicine and science,2026-Jan
41481708,Bacteriocin-transport-inspired oral peptide-probiotic delivery ameliorates IBD complications via autophagy and gut homeostasis.,"Intestinal fibrosis (IF), a severe complication of inflammatory bowel disease (IBD), remains a critical unmet clinical need. Although the LL37 peptide and probiotics demonstrate therapeutic potential against IF, their clinical translation is hampered by enzymatic hydrolysis and rapid clearance. Here, inspired by the strategy of bacteriocin transport by bacteria (BTB), we developed an orally administered biotherapeutic platform [BTB-alginate (Alg)] featuring an ""all-in-one"" architecture that enab...",Science advances,2026-Jan
41481294,ω-3 Fatty Acids in Pediatric Major Depressive Disorder: A Randomized Clinical Trial.,"Meta-analyses of ω-3 fatty acids for depression have reported inconsistent results, and pediatric evidence is sparse. Promotion of unproven supplements may delay evidence-based care.",JAMA network open,2026-Jan
41479117,Silhouette of Probiotics in the Regulation of miRNAs and lncRNAs in Carcinogenesis and Metastasis: Is It a Silver Lining or a Cross to Bear.,"Cancer is a genomically complex and multifaceted disease. Wealth of information distilled through decades of high-throughput research has revealed a broad spectrum of oncogenic signaling cascades, immunological evasion, and drug resistance, which play a steering role in carcinogenesis and metastasis. Noncoding RNAs have also emerged as key players in the regulation of multiple stages of cancer progression and metastatic spread of cancer cells to secondary sites. The concept of probiotics has sta...",Experientia supplementum (2012),2026
41476955,Eubacterium limosum modulates gut microbiota and produces anti-inflammatory metabolites to alleviate DSS-induced colitis.,"Inflammatory bowel disease (IBD) is a chronic inflammatory condition of the intestine, for which no cure currently exists. The gut microbiota play a critical role in ameliorating IBD, and Eubacterium limosum has emerged as a potential probiotic with anti-inflammatory properties. However, the specific anti-inflammatory effects of E. limosum and the underlying mechanisms remain largely unexplored.",Frontiers in immunology,2025
41475897,Identifying immunostimulatory herbal supplements that may flare autoimmune skin diseases: a systematic scoping review.,To systematically identify herbal supplements with immunostimulatory properties that may trigger or exacerbate autoimmune skin diseases.,Lupus science & medicine,2025-Dec
41475722,Prebiotic low methoxyl pectin-alginate for colon-targeted Companilactobacillus crustorum MN047 delivery in alleviating ulcerative colitis: Synergy and comparative analysis.,"Probiotics and prebiotics show promise in alleviating ulcerative colitis (UC). This study compared pectin-based and alginate-based probiotic polysaccharide composite hydrogel beads (PPHB) with or without Companilactobacillus crustorum MN047, highlighted the functional properties of prebiotics used as delivery carriers. Although both systems showed different advantages in alleviating UC. Pectin-based PPHB reduced serum TNF-α (21.80 %) and enhanced the generation of acetic acid (15.78 % reduction)...",Carbohydrate polymers,2026-Mar
41475718,Gellan gum electrohydrodynamic microencapsulation of probiotics for intestine-targeted delivery.,"Microencapsulation is a promising strategy to improve time-stability, viability and targeted delivery of probiotics, thus enhancing their beneficial roles in the intestine. However, areas of improvement persist, including optimal viability protection during storage and gastrointestinal (GI) transit, control over encapsulation and targeted release. Due to pH-responsiveness, gellan gum (GG) could be ideal to face some of these criticalities. In this study, we set-up a robust electrohydrodynamic (E...",Carbohydrate polymers,2026-Mar
41474808,"Polarity effects, resistance, and probiotic enhancement of intoxication of Salmonella enterica fraB mutants in murine models.","FraB is a deglycase in a metabolic pathway that allows Salmonella to utilize fructose-asparagine (F-Asn). Some fraB mutants are sensitive to F-Asn due to the accumulation of 6-phosphofructose-aspartate (6-P-F-Asp), a toxic intermediate in this pathway. We determined that different alleles of fraB cause different amounts of 6-P-F-Asp-mediated toxicity due to effects on the expression of the downstream gene, fraD, a kinase. Mutations in fraD or fraA (a transporter) cause resistance to F-Asn intoxi...",PloS one,2025
41473738,Effect of Beetroot Extract Supplementation on Serum Fatty Acid Profiles and Oxidative Stress Markers in Chronic Coronary Artery Disease Patients: A Secondary Analysis of a Randomized Controlled Trial.,"Considering the role of a healthy diet in preventing atherogenesis, the use of beetroot as a functional food with anti-inflammatory, antioxidant, and anti-dyslipidemic effects due to its high nitrate content and bioactive compounds is one of the interesting approaches in coronary artery disease (CAD), a common worldwide chronic disease.",BioMed research international,2025
41472726,Leveraging beneficial microbiome-immune interactions via probiotic use in cancer immunotherapy.,"The gut microbiome is a critical regulator of systemic immunity and a major modulator of response to cancer immunotherapy with immune checkpoint inhibitors (ICIs). However, the clinical implementation of microbiome-inspired therapies that leverage these associations have proven challenging. Probiotics-live microorganisms thought to confer health benefits as part of food or food supplements-have gained increasing attention as readily testable, low-toxicity agents with potential of favorably influ...",Frontiers in immunology,2025
41470911,"Long-Term Effects of Multiple-Micronutrient Supplementation During Pregnancy, Lactation, and Early Childhood on the Cognitive Development of Children Aged 4-14 Years: A Systematic Review of Randomized Controlled Trials.","Background: Inadequate nutrition, poor health care, and limited stimulation constrain early childhood development and cognitive potential. Micronutrient deficiencies during pregnancy and early life are prevalent in low- and middle-income countries (LMICs) and may impair cognitive outcomes. Maternal multiple-micronutrient (MMN) and point-of-use micronutrient powder (MNP) supplements improve birth outcomes and iron status, but their long-term cognitive impact remains unclear. This systematic revie...",Nutrients,2025-Dec
41470909,Use of Weight Loss Supplements According to the Purported Mechanisms of Action Among Polish Adults Living in an Obesogenic Environment: The Role of Sociodemographic and Health-Related Factors.,"Background/Objectives: Weight loss supplements (WLS) are popular dietary agents; however, their effectiveness is rarely supported by scientific-based evidence. This cross-sectional study aimed to identify the types of WLS used among adult Poles in relation to sociodemographic factors, anthropometric indices, and physical activity (PA). Methods: The study was conducted among 1071 adults aged 19-80 years in Świętochłowice, a region in Poland with a high rate of overweightness and obesity. Body mas...",Nutrients,2025-Dec
41470903,Effects of Coenzyme Q10 Supplementation on Physical Function Adaptations to High-Intensity Interval Training in Older Adults.,"Objectives: This study investigated whether CoQ10 supplementation enhances physical adaptations to high-intensity interval training (HIIT) in muscular strength, power, and physical function in older adults. Method: In a double-blind, randomized controlled trial, 38 adults aged 65-75 were assigned to either a CoQ10 (Females: 8; Males: 11) or placebo (Females: 8; Males: 11) group and completed an 8-week supervised HIIT program. Lower- and upper-body strength (30s 5-repetition chair stand [5XSST], ...",Nutrients,2025-Dec
41470898,Beetroot Juice Supplementation as a Healthy Aging Strategy Through Improving Physical Performance and Cognitive Functions: A Systematic Review.,"Background: Findings show that beetroot-derived nitrates can improve endurance, oxygen efficiency, muscular power, recovery and cardiovascular function, particularly in recreationally active or moderately trained individuals. However, results are mixed in elite athletes, likely due to their already optimized nitric oxide utilization. Cognitive function is a crucial aspect of athletic performance enabling athletes to adapt to dynamic environments and execute skills effectively, but evidence for c...",Nutrients,2025-Dec
41470897,Dietary Supplement Interventions and Sleep Quality Improvement: A Systematic Review and Meta-Analysis.,"Sleep health impacts numerous domains of human health, and sleep deprivation has emerged as a significant public health concern. Multiple types of dietary nutrient supplementation, dietary intake, and the use of nutritional supplements to enhance sleep quality are recognized as effective methods to improve sleep quality.",Nutrients,2025-Dec
41470882,Casein Supplementation Timing and Exercise Performance in Soccer Players: Pre-Sleep vs. Post-Exercise Intake-A Randomized Controlled Trial.,"Background: Nutrient timing strategies may influence recovery and performance in athletes; however, the effects of ingesting casein protein before sleep versus immediately after exercise remain unclear. This study compared the acute effects of pre-sleep and post-exercise ingestion of casein on high-intensity anaerobic performance in highly trained soccer players. Methods: Twenty-four highly trained male soccer players (mean age: 20.6 ± 1.8 years) were randomly assigned to three groups: post-exer...",Nutrients,2025-Dec
41470876,Dietary Patterns of Docosahexaenoic Acid Intake and Supplementation from Pregnancy Through Childhood with a Focus on Low- and Middle-Income Countries: A Narrative Review of Implications for Child Health.,"Docosahexaenoic acid (DHA) is a long-chain omega-3 fatty acid essential for neurodevelopment, immune regulation, and key physiological functions during early life. In low- and middle-income countries (LMICs), limited access to DHA-rich foods contributes to disparities in intake and health outcomes. This narrative review describes the current evidence on dietary patterns of DHA intake and supplementation from pregnancy through childhood in LMICs and highlights the implications of these patterns f...",Nutrients,2025-Dec
