pmid,title,abstract,journal,pub_date
41617669,"Precise probiotic therapy: Advances, bottlenecks, and the road to microbiome-informed nutrition.","The human gut microbiome is a cornerstone of health, yet conventional probiotic therapies often exhibit limited efficacy owing to heterogeneity in host-microbe-environment dynamics. This review dissects the biological and environmental drivers of such variability and highlights emerging frameworks that integrate cross-sectional and longitudinal multi-omics data to predict probiotic treatment outcomes and host metabolic responses. We further spotlight breakthroughs in methodological development i...",Gut microbes,2026-Dec
41617515,Effect of multi-strain probiotics on enhancing apoptosis in lung cancer cells A549.,"Apoptosis is an important pathway for regulating cell proliferation and the occurrence of cancers such as lung cancer. The release of Caspase-9 and activation of Caspase-3 influence the process of apoptosis in lung cancer cells, making these proteins markers of apoptosis in lung cancer cells. Multi-strain probiotics show increased benefits due to the combined effects of different strains. The probiotic metabolites, such as short-chain fatty acids (SCFA), become important metabolites in lung immu...",The Medical journal of Malaysia,2026-Jan
41615824,Combined B-vitamin supplementation on homocysteine and vascular outcomes in coronary heart disease: a meta-analysis.,"Hyperhomocysteinemia (Hcy) independently predicts coronary heart disease (CHD) and adverse cardiovascular events. Although folic acid plays a key role in Hcy metabolism, the effect of combined B-vitamin supplementation (folic acid, VB6, and VB12) on clinical outcomes in CHD remains uncertain.",Annals of medicine,2026-Dec
41615601,Prebiotic Properties of Structurally Diverse Plant Polysaccharides.,"This study is aimed to evaluate the prebiotic potential of plant polysaccharides of various structural types and origins, including acacia gum arabinogalactan, beech wood xylan, apple pectin enriched in homogalacturonan, flaxseed mucilage (containing arabinoxylan, and rhamnogalacturonan I), and chicory inulin. All carbohydrate samples varied in their monosaccharide composition and molecular weight distribution. The prebiotic activity of the polysaccharides was assessed using in vitro models unde...",Doklady. Biochemistry and biophysics,2025-Dec
41615109,In situ degradability of king grass (Pennisetum purpureum) supplemented with banana (Musa spp.) varieties.,"The in situ degradability of forages is a critical aspect of ruminant nutrition, as it determines the efficiency of digestion and nutrient utilization. This study evaluated the degradability of King Grass (Pennisetum purpureum) supplemented with three banana (Musa spp.) varieties at different inclusion levels. The experiment was conducted at the Rumenology Laboratory of the Faculty of Animal Sciences. The experiment was conducted using a completely randomized block design under a 3 × 3 factorial...",Brazilian journal of biology = Revista brasleira de biologia,2026
41613955,Vitamin D supplementation and selected metabolic parameters in patients with type 2 diabetes and obesity: a prospective observational study.,"Vitamin D deficiency has been implicated in metabolic dysregulation, including insulin resistance and inflammation, commonly observed in patients with type 2 diabetes mellitus (T2DM) and obesity. Evidence on the metabolic impact of vitamin D supplementation in this population remains inconsistent.",Frontiers in endocrinology,2025
41612523,"Case Series of Bacteremia Associated with Probiotic Use in Children after Cardiac Surgery, China.","We examined probiotic-associated bacteremia in a cohort of postoperative pediatric cardiac surgery patients in China. Among 16,436 children who underwent cardiac surgery during 2019-2024, a total of 5,034 received probiotics; 6 developed bacteremia with probiotic strains (Bacillus subtilis, Bacillus licheniformis, Lacticaseibacillus rhamnosus). Three cases occurred in children who had not directly received probiotics, suggesting potential cross-contamination or catheter-related transmission. All...",Emerging infectious diseases,2026-Jan
41609959,Omega-3 dietary supplementation combined with exercise to keep telomere integrity in the liver of aged obese female mice.,"Telomere shortening is a key marker of cellular aging and linked to pathologies such as liver disease. Oxidative stress and inflammation (hallmarks of obesity) contribute to telomere shortening, while omega-3 (DHA) and exercise may counteract these effects by enhancing cellular homeostasis. This study aims to analyze the influence of DHA supplementation and/or exercise over one year on liver telomere length in obese aged mice. Two-month-old female mice were fed either a control or high-fat diet ...",Journal of physiology and biochemistry,2026-Jan
41609005,Enteral lipid supplements for the prevention and treatment of parenteral nutrition-associated liver disease in infants.,"Enteral lipid formulations may offer benefits according to preclinical studies, but their effectiveness and safety in preventing and treating parenteral nutrition-associated liver disease (PNALD) in infants remains unknown.",The Cochrane database of systematic reviews,2026-Jan
41608760,Microbial Primer: Ancientbiotics - making modern antimicrobials from historical infection remedies.,"The modern antibiotic era began in the early twentieth century, but humans have long used materials from the natural world to attempt to treat the symptoms of infection. In this primer, we will discuss the rationale for attempting to reconstruct historical infection remedies in order to assess their antimicrobial activity and how this approach could aid the discovery of molecular cocktails with potential for development into novel treatments for infection.","Microbiology (Reading, England)",2026-Jan
41607522,Integrating microbial genomics and neurotranscriptomics to understand the impact of probiotic strains on neurological health.,"The gut-brain axis is increasingly recognized as a key regulator of neurological health, with microbial metabolites influencing neurotransmission, synaptic plasticity, and neuroinflammation. Probiotics such as Lactobacillus rhamnosus GG and Bifidobacterium longum 1714 have been associated with neuroactive effects, yet the molecular mechanisms linking microbial genomic potential to host neuronal responses remain poorly defined.",Frontiers in cellular and infection microbiology,2025
41607062,Subacute 28-Day OECD-Guided Oral Toxicity Study of Escherichia coli 5C (LMG S-33222) in Wistar Rats and Immunocompromised Nude Mice.,"Ensuring the safety of microbial strains intended for probiotic use is essential, particularly for species such as Escherichia coli (E. coli), which include both commensal and pathogenic lineages. E. coli 5C is a recently identified polyketide synthase (pks)-negative strain isolated from healthy infant feces and characterized as free of virulence factors, plasmids, and antimicrobial resistance, suggesting suitability as a probiotic. To confirm its in vivo safety, we evaluated the subacute oral t...",Journal of microbiology and biotechnology,2026-Jan
41606912,The synergistic effects of Lactobacillus casei HDS-01-konjac glucomannan synbiotic: probiotic potential and in vitro fecal fermentation.,"The study used the mannanase-producing Lactobacillus casei HDS-01 as the probiotic component and combined it with konjac powder, which contains konjac glucomannan (KGM), to create a synergistic synbiotic. The aim was to investigate its probiotic potential and the changes in gut microbiota and short-chain fatty acids (SCFAs). The results indicated that KGM selectively stimulated the growth of L. casei HDS-01, confirming their synergistic effect. The survival rate of L. casei HDS-01 at pH levels o...","Food research international (Ottawa, Ont.)",2025-Dec
41606900,Thermally-driven phenolic remodeling in probiotic-fermented red-fleshed pitaya: A dual-strain comparative study via untargeted UPLC-ESI-QTOF-MS/MS profiling.,"Red-fleshed pitaya contains phenolics providing health benefits. Lactic acid bacterial fermentation facilitates the release and transformation of the phenolics present in pitaya, thereby further enhancing their biological activity. However, heat treatment would alter the phenolics composition of fermented red-fleshed pitaya. The effects of different heat treatment temperatures (85 °C and 121 °C) on the phenolic composition of fermented red-fleshed pitaya by Bifidobacterium breve or Lactobacillus...","Food research international (Ottawa, Ont.)",2025-Dec
41606849,Single-cell comparative genomics: A novel approach to rigorous quality control via elucidating the existence of subpopulations in probiotic products.,"Probiotics are widely recognized for their health benefits, and as the global demand for probiotic products continues to rise, ensuring their quality becomes increasingly important. Rigorous quality control is crucial for ensuring the safety, stability, and efficacy of probiotics. Recently, genome analysis has been utilized as a tool for probiotic quality control. Genome analysis has revealed that some probiotic products lack the essential genes that are responsible for their intended functions....","Food research international (Ottawa, Ont.)",2025-Dec
41605998,Metabolic and molecular evaluation of Moringa oleifera-supplemented ketogenic meal replacement in healthy C57BL/6 mice.,"Ketogenic diets, which are high in fat, hold therapeutic promises in obesity and type 2 diabetes and are to be carefully studied in their early stages on healthy mouse models. This study evaluated the physiological, biochemical, histological, and genetic impacts of a Moringa oleifera-supplemented ketogenic meal replacement (KMR) compared with a commercial non-ketogenic meal replacement (CMR) and standard chow in female C57BL/6J mice (n = 8/group) over 20 weeks. Despite similar caloric intake, KM...",Scientific reports,2026-Jan
41605802,Preventive Effects of Probiotic and Postbiotic Lacticaseibacillus paracasei HY2782 on DSS-induced Colitis in Mice: Comparable Efficacy of Live and Heat-Killed Forms.,"Ulcerative colitis is chronic inflammatory bowel disease characterized by intestinal inflammation and barrier dysfunction. Probiotics and postbiotics have been proposed as dietary interventions for intestinal health; however, their comparative preventive effects remain unclear. In this study, we evaluated the preventive effects of probiotic and postbiotic forms of Lacticaseibacillus paracasei HY2782 in a dextran sulfate sodium (DSS)-induced colitis mouse model. Male C57BL/6 mice were orally admi...",Journal of microbiology and biotechnology,2026-Jan
