pmid,title,abstract,journal,pub_date
42175407,Clinical efficacy of different supplemental doses of vitamins A and D in preventing bronchopulmonary dysplasia in preterm infants: A network meta-analysis based on randomized controlled trials.,"Bronchopulmonary dysplasia (BPD) is a prevalent and severe chronic respiratory condition in preterm infants, with vitamin deficiency recognized as a contributing factor. Although vitamins A and D are known to play protective roles in lung development, the optimal supplementation doses for BPD prevention remain unclear.",Medicine,2026-May
42174754,Effects of fecal microbiota transplantation and probiotics on the gut microbiome in antibiotic-treated septic patients: A pilot randomized controlled trial.,"Broad-spectrum antibiotics, essential for sepsis management in critically ill patients, cause significant gut dysbiosis. Restoring gut microbiota may improve outcomes, but the efficacy of interventions like fecal microbiota transplantation (FMT) and probiotics in this setting remains underexplored. This study aims to evaluate the feasibility and potential efficacy of FMT versus probiotics on gut microbiome restoration and inflammatory markers in critically ill, antibiotic-treated sepsis patients...",Virulence,2026-Dec
42171191,Evaluating the Effects of Nanocurcumin Supplementation in Type 2 Diabetes Mellitus: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Nanocurcumin has been developed to overcome the poor bioavailability of conventional curcumin and has been proposed as a potential adjunctive therapy for type 2 diabetes mellitus (T2DM). However, evidence regarding its clinical efficacy remains inconsistent. This systematic review and meta-analysis aimed to evaluate the effects of nanocurcumin supplementation on glycemic control, lipid profile, inflammatory markers and oxidative stress in patients with T2DM.","Endocrinology, diabetes & metabolism",2026-May
42170966,Effects of nifuratel-based therapy combined with vaginal lactobacillus probiotics on microecological restoration in pregnant women with abnormal vaginal flora: A retrospective cohort study.,"Imbalances in the vaginal flora during pregnancy elevate risks for adverse outcomes. While nifuratel targets pathogens, probiotics restore acidity, and robust cohort evidence supporting their combined safety and efficacy in restoring the microbiome remains limited.",Pakistan journal of pharmaceutical sciences,2026-Jul
42169402,Effect of Small-Quantity Lipid-Based Nutrient Supplementation on Children's Cortisol Concentration.,"This study investigated the role of early-life nutrition supplementation in regulating the development of hypothalamic-pituitary-adrenal (HPA) axis activity, as evidenced by hair cortisol concentration (HCC), in the iLiNS-DYAD randomized controlled trial in Ghana. Pregnant women were randomized to one of three conditions: (1) iron and folic acid (IFA) during pregnancy and placebo 0-6 mo postpartum; (2) multiple micronutrients (MMN) during pregnancy and 0-6 mo postpartum; or (3) small-quantity li...",Maternal & child nutrition,2026-Jul
42169398,Qualitative Evaluation of the Pilot Introduction of Multiple Micronutrient Supplementation in Burkina Faso.,"Effective transition from iron-folic acid (IFA) to multiple micronutrient supplementation (MMS) requires context-specific evidence. Using the MMS pilot program in Burkina Faso, this study aimed to evaluate the feasibility and acceptability of MMS and identify factors that can influence a successful scale-up. We conducted a qualitative study. In-depth interviews (n = 57) with policymakers, clinicians and community actors as well as focus group discussions (n = 12) were conducted with pregnant/lac...",Maternal & child nutrition,2026-Jul
42169360,Development and functional assessment of a broad-spectrum cryoprotectant for preserving next-generation probiotics.,"While next-generation probiotics (NGPs) are increasingly recognized for their health benefits, their incorporation into food products is severely hindered by challenges in preservation. Freeze-drying (lyophilization) is the standard method for preserving probiotics, yet oxygen exposure and freeze-drying stresses substantially reduce bacterial survival rates, particularly for anaerobic probiotics. In this study, we developed a broad-spectrum lyophilization medium (LM) for both conventional and ne...","Food research international (Ottawa, Ont.)",2026-Aug
42169331,Representative probiotic extracellular vesicles engineered with modified hyaluronic acid and tea polyphenol for enhancing bioactive stability and targeted cellular delivery.,"Curcumin (Cur) and anthocyanin (Ant) are typical plant-derived bioactives with promising biological benefits, but poor stability and bioavailability limit their applications. To address these challenges, we engineered a targeted co-delivery platform by systematically comparing two representative, probiotic-derived extracellular vesicle carriers: outer membrane vesicles (OMVs) from Escherichia coli Nissle 1917 and extracellular vesicles (EVs) from Lactobacillus plantarum. Encapsulation efficiency...","Food research international (Ottawa, Ont.)",2026-Aug
42169295,Structure-based screening of protein-bioactive compatibility of upcycled jojoba oilcake proteins for nutraceutical applications.,"The development of functional foods enriched with nutraceuticals offers a targeted strategy to enhance gut health and overall well-being. Protein-based matrices are increasingly explored for nutraceutical applications due to their biocompatibility, biodegradability, and ability to interact with diverse bioactive compounds. However, the rational selection of compatible protein-bioactive combinations, crucial to ensure nutraceutical efficacy, is constrained by inadequate structure-based screening....","Food research international (Ottawa, Ont.)",2026-Aug
42168083,Weighing the Benefits of Improving the Iron Status Against the Risk of Overload-A Narrative Review on Oral Iron Supplementation in Premenopausal Women.,"To this day, women of childbearing age remain the largest group at high risk for iron deficiency worldwide. This global health issue impairs quality of life and, if not adequately managed, can lead to serious health consequences. Menstruating women face high iron requirements that are often challenging to meet through diet alone. Consequently, oral iron supplements offer a convenient, low-cost, widely available, and commonly employed strategy to approach iron deficiency. Iron plays a key role in...","BioFactors (Oxford, England)",2026
42167926,Developmental Toxicity Evaluation of the Dietary Supplement Vinpocetine Using Mouse and Human 3D Gastruloids.,"Vinpocetine is marketed as a dietary supplement for cognitive enhancement, despite the absence of regulatory requirements for comprehensive toxicity testing. The FDA has issued a warning against vinpocetine use by individuals of childbearing potential based on animal studies demonstrating impaired embryonic development. However, the relevance of these findings to human embryogenesis, as well as the contribution of vinpocetine's activity as a cyclic nucleotide metabolism modulator, remains unclea...",Birth defects research,2026-May
42166751,Effect of Branched-Chain Amino Acid Supplementation Alone or Combined With Tryptophan or Methionine on Appetite Control and Related Health Outcomes in Older Adults: Protocol for a Randomized Controlled Trial.,"Branched-chain amino acids (BCAAs) are essential amino acids for protein metabolism. Preclinical research in mice suggested that BCAA intake relative to other amino acids, in the context of a high-carbohydrate diet, was associated with hyperphagia, obesity, and reduced lifespan. These effects were not attributed to BCAAs alone, nor did they manifest through canonical mechanistic target of rapamycin-insulin-like growth factor 1 pathways; rather, they resulted from indirect effects of other amino ...",JMIR research protocols,2026-May
42166733,Supplements and Drugs Are Associated With Biological Age in a Cohort of Exceptionally Healthy Individuals.,"In this cross-sectional cohort we analyzed data from 4260 ""health enthusiasts"" who purchased at least one saliva-based DNA epigenetic test between 2020 and 2025 and completed detailed lifestyle and supplement questionnaires. A proprietary 9-CpG clock with a mean absolute error of 5.4 years served as the primary biomarker of biological age. High prevalence (71%) of supplement use in this cohort increased our power to study the effects of supplements compared to earlier studies that focused on the...",Aging cell,2026-Jun
42165942,Effect of prebiotic intervention on glycemic control and gut microbiome profile in Indian children with type 1 diabetes mellitus (T1DM): a pilot randomised control trial.,"Type 1 diabetes mellitus (T1DM) is increasingly associated with gut microbial dysbiosis. Emerging evidence suggests that short-chain fatty acids(SCFA) producing bacteria play a role in glucose regulation and immune modulation. However, interventional data in children remain limited.",Endocrine,2026-May
42165293,Viability of probiotic C6-6 in fish feed and ability to inhibit columnaris-causing bacteria in rainbow trout Oncorhynchus mykiss.,"Probiotics are increasingly recognized as sustainable alternatives to antibiotics in aquaculture. This study evaluated the viability and disease-mitigating potential of the candidate probiotic Lelliotia amnigena strain C6-6 in rainbow trout Oncorhynchus mykiss. Viability was assessed under varying storage temperatures (-15, 4, and 17°C), time intervals (up to 24 wk), and feed preparation methods. Results showed that colder storage, particularly at -15°C, preserved higher concentrations of C6-6, ...",Diseases of aquatic organisms,2026-May
