pmid,title,abstract,journal,pub_date
42760882,Products of compound probiotics combined with zinc and vitamin B ameliorate the risk of food allergy.,"Probiotics have emerged as a promising avenue for modulating immune responses implicated in food allergies, with zinc and vitamin B also exhibiting antiallergic properties. However, the clinical efficacy of compound probiotics combined with these nutrients in mitigating food allergy risk remains to be elucidated. In this randomized controlled trial, 796 children aged 0-6 years with food allergies were assigned to either an experimental group receiving compound probiotics, zinc, and vitamin B pro...",Allergologia et immunopathologia,2026
42760849,Effects of Lactobacillus acidophilus on hepatic and microbial dysregulation in MASLD and diabetes.,"Gut microbial dysbiosis has been implicated in metabolic dysfunction-associated steatotic liver disease (MASLD) and diabetes, but the metabolic effects of candidate probiotic strains across this disease continuum remain incompletely understood. Based on the validation of disease-associated microbial patterns in a clinical cohort, Lactobacillus acidophilus as selected as a candidate strain, and its effects were systematically investigated across multiple complementary models, including Western di...",Gut microbes,2026-Dec
42760687,"Efficacy of probiotics combined with tacrolimus ointment in children with atopic dermatitis and its effects on serum IgE, IL-4, and LTB4: A single-center retrospective cohort study.","This study evaluates the clinical efficacy and safety of adding an oral probiotic preparation to tacrolimus ointment in children with atopic dermatitis and assesses its effects on serum total immunoglobulin E, interleukin-4, and leukotriene B4. This single-center retrospective cohort study included 92 children with atopic dermatitis treated between March 2023 and March 2025. Treatment exposure reflected routine clinical practice. To reduce confounding by indication, propensity scores were estima...",Medicine,2026-Sep
42758388,Protective effects of Bacillus clausii in cyclophosphamide-induced immunosuppression and intestinal mucositis in rats: histopathological and inflammatory evaluation.,"Bacillus clausii (B. clausii) is a Gram-positive, spore-forming probiotic widely used for the prevention and treatment of gastrointestinal disorders and may have protective effects against chemotherapy-induced intestinal mucositis. Cyclophosphamide (CP) can induce immunosuppression and intestinal mucosal injury, leading to inflammation and alterations in intestinal homeostasis. This study evaluated the protective effects of B. clausii on intestinal histopathology, inflammation, pro-inflammatory ...",Molecular biology reports,2026-Sep
42757668,Sodium Bicarbonate Supplementation Enhances Repeated High-Intensity Interval Training Performance and Time Above 90% of  V ˙ O 2   max in Well-Trained Cyclists.,"This study investigated the effects of sodium bicarbonate (SB) supplementation on physiological responses and performance during submaximal exercise, high-intensity interval training (HIT) and repeated Wingate sprints in well-trained cyclists. Twenty-four participants (♂ = 15, maximal oxygen uptake [  V ˙ O 2   max] = 72 ± 5 mL·min-1 kg-1; ♀ = 9,  V ˙ O 2   max = 57 ± 6 mL·min-1 kg-1) performed one screening and familiarisation session and two experimental sessions in a randomised, double-blind ...",European journal of sport science,2026-Oct
42757610,Suboptimal Safety Practices Persist Despite Widespread Dietary Supplement and Natural Product Use During the Endemic Transition: A Cross-Sectional Study.,"IntroductionDietary supplements (DS) and natural products were widely used in Malaysia before COVID-19, and post-pandemic demand remains high, raising safety concerns.MethodsThis study examined current usage practices during the endemic phase through an online cross-sectional survey among 464 predominantly young, educated Malaysian adults (2023-2024). A validated questionnaire assessed product use, reasons for consumption, frequency, and safety practices, with data analysed using descriptive sta...","Inquiry : a journal of medical care organization, provision and financing",2026
42757563,Postbiotic Intervention Improves Bowel Function and Promotes Systemic Health in Institutionalized Older Adults.,"Postbiotic interventions represent a promising strategy to modulate gut health, but clinical evidence in older adults is limited. This study aimed to evaluate the effects of a postbiotic supplement consisting of inactivated bacterial cells on bowel function, systemic inflammation, and gut microbiota composition in institutionalized older adults. In this randomized, double-blind intervention study, 48 older adults received either postbiotic or placebo for 8 weeks. Daily assessment of gastrointest...",Molecular nutrition & food research,2026-Sep
42755864,Microbial metabolite-mediated modulation of enteroendocrine and immune pathways by Lactiplantibacillus pentosus CECT 8039 in early diet-induced obesity.,"The gut microbiota-enteroendocrine axis contributes to the regulation of host energy homeostasis through microbial metabolites and satiety-related signaling. This study evaluated whether Lactiplantibacillus pentosus CECT 8039 (L. pentosus BB) modulates microbial fermentation, enteroendocrine responses, and metabolic and immune parameters associated with early diet-induced obesity.",Frontiers in endocrinology,2026
42755680,Effects of Bacillus coagulans on growth performance and intestinal mucosal barrier functions of juvenile channel catfish (Ictalurus punctatus).,"To investigate the effects of Bacillus coagulans on growth performance and intestinal mucosal barrier functions of juvenile channel catfish (Ictalurus punctatus), this study formulated two experimental diets: a control diet (CN group, without B. coagulans) and a B. coagulans-supplemented diet (BC group, containing 1×108 CFU/g B. coagulans). Each diet was assigned to three replicate tanks for an 8-week feeding trial. Compared with the CN group, the BC group exhibited a significantly lower feed co...",Frontiers in immunology,2026
42755181,Targeting the gut-bone axis in osteoporosis: probiotic interventions and other microbiota-based therapeutic strategies.,"Osteoporosis (OP) is a systemic bone metabolic disorder characterized by impaired bone homeostasis and increased fracture susceptibility. With the rapid aging of the global population, the number of fractures related to osteoporosis continues to increase, along with persistently high rates of disability and mortality, thereby imposing a huge and constantly growing burden on the healthcare system. Emerging evidence indicates that probiotics, as key regulators of host metabolic and immune networks...",Gut microbes,2026-Dec
42753171,"""Single-Cell Encapsulation of Lactiplantibacillus Plantarum Via Layer-by-Layer Technique for Enhanced Viability and Shelf Life: Insights on Multilayer Assembly on Bacteria"".","The efficacy of probiotics depends on their ability to survive gastrointestinal transit; however, conventional formulations often experience losses of 2-3 log units before reaching the intestine. Here, we report the single-cell encapsulation of Lactiplantibacillus plantarum C8 using the layer-by-layer (LbL) assembly of poly-L-lysine (PLL) and alginate (Alg), resulting in a protective two-layer coating. Coating assembly was monitored by flow cytometry and validated by quartz crystal microbalance ...",Macromolecular bioscience,2026-Sep
42753038,Polyunsaturated Fatty Acids and Diabetic Kidney Disease: What have We Learned so Far?,"Despite various renoprotective agents, diabetic kidney disease (DKD) still progresses in some patients necessitating further novel therapeutic options. With regard to diet and healthy eating patterns, one dietary intervention for DKD is polyunsaturated fatty acids (PUFAs) supplementation yet the full scope of these this intervention is incompletely understood. In this narrative review, we summarized the literature (both experimental and clinical studies) specifically investigating the relationsh...",Current nutrition reports,2026-Sep
42750461,"Probiotics in Cardiometabolic Diseases: Current Evidence, Postbiotic Perspectives, and Future Directions.","The rise in urbanization and sedentary lifestyles, along with the aging of the global population, is contributing to an increasing burden of life-threatening diseases. The cardiometabolic disease (CMD) spectrum, which includes heart failure, hypertension, coronary heart disease, and diabetes, is closely associated with metabolic syndrome components such as obesity and elevated hepatic lipid accumulation. The gut microbiome mediates these disorders through multiple signaling axes. Imbalance of th...",Journal of microbiology and biotechnology,2026-Sep
42750456,"Effects of Wilac D001 (Weissella confusa WIKIM51) Supplementation on Metabolic Parameters and Central Adiposity in Overweight Adults: A 12-Week Randomized, Double-Blind, Placebo-Controlled Trial.","Recent research has emphasized the importance of gut microbiota in regulating energy and lipid metabolism as well as gut hormone secretion, indicating that probiotics could contribute to improving metabolic parameters associated with excess adiposity. This study evaluated the metabolic effects of Weissella confusa WIKIM51 (Wilac D001) and explored the potential involvement of glucagon-like peptide-1 (GLP-1)-related mechanisms. First, GLP-1 secretory activity following Wilac D001 treatment was ev...",Journal of microbiology and biotechnology,2026-Sep
42750414,"Artificial Intelligence-Driven Multidimensional Phenotyping of Gut Metabolic States for Personalized Prebiotic, Probiotic, and Postbiotic Strategies.","This study presents multidimensional physicochemical phenotyping of human gut metabolic states using integrated multimodal profiling and machine learning. A total of 680 stool samples were analyzed using time-resolved optical, electrochemical, acoustic, magnetic, and spectral measurements implemented in a compact 3D-printed screening platform. Multivariate analysis explained 78.4% of structured variance, and cluster optimization identified seven primary clusters and 26 structurally retained subc...",Molecular nutrition & food research,2026-Sep
42749371,Effect of synbiotic supplementation and psychobiotic diet on prenatal and postnatal depression and anxiety in women with gestational diabetes: a three-arm randomised controlled trial protocol.,"Gestational diabetes mellitus (GDM) is one of the most prevalent metabolic disorders during pregnancy and may lead to various short-term and long-term complications for both the mother and the fetus. It is also associated with psychological disorders, such as anxiety and depression, the prevalence of which is reported to be two to four times higher than that among healthy pregnant women. Psychobiotics may improve cognitive and emotional function through modulation of the gut-brain axis. Therefor...",BMJ open,2026-Sep
42748218,Engineered probiotics for tumor-targeted combination chemoimmunotherapy.,"Achieving tumor-specific delivery and sustained activation of both cytotoxic and immune-modulating agents remains a critical challenge in chemoimmunotherapy. Here, a bacterial platform was engineered to combine enzyme/prodrug chemotherapy with immunotherapy, in which tumor-homing Escherichia coli Nissle 1917 expressed cytosine deaminase to convert the prodrug 5-fluorocytosine into the cytotoxic drug 5-fluorouracil and concurrently produced an IL-15 superagonist and a PD-L1 blocking nanobody in t...",Science translational medicine,2026-Sep
42747696,"Effects of a slow-release nutritional bolus on growth performance, oxidative status, and carcass traits in fattening Holstein bulls.","This study investigated the effects of a commercial slow-release bolus supplement (""Dietevit™ Tonic"") on growth performance, carcass characteristics, and oxidative stress biomarkers in fattening Holstein bulls. Twenty-four Holstein bulls (443.34 ± 25.47 kg) were randomly allocated into control and treatment groups (n = 12/group) and were fed the same basal ration under commercial farm conditions. Animals in the treatment group received a single oral bolus administration at the beginning of the t...",Tropical animal health and production,2026-Sep
42747634,Olive mill wastewater as a sustainable feed supplement in dairy cows: effects on milk composition and the occurrence of bioactive compounds.,"The use of agro-industrial by-products as feed supplements represents a promising approach to improve sustainability in dairy production systems. Olive mill wastewater (OMWW), a by-product of olive oil processing, is rich in phenolic compounds and natural antioxidants, which may contribute to an amelioration of the nutritional quality of animal-derived products. This study aimed to evaluate the feasibility of incorporating OMWW into dairy cow diets and to assess its effects on milk production pe...",Tropical animal health and production,2026-Sep
42747600,"Effects of a multi-strain probiotic on production performance, antioxidant indices, intestinal morphology, and fecal microbiota in heat-stressed quails.","This experiment aimed to assess the impact of a multi-strain probiotic cocktail containing spore-forming and lactic acid-producing species on the growth performance, intestinal morphometry, antioxidant indices, and fecal bacterial populations of Japanese quails reared under heat stress (HS) conditions. A total of 400 one-day-old unsexed Japanese quails were randomly allocated to four experimental groups (100 birds per group; four replicates of 25 birds each): (1) Control (normal temperature), (2...",Tropical animal health and production,2026-Sep
42746921,Vitamin D supplementation for prevention of vitamin D deficiency in preterm and low birth weight infants.,"Infants born prematurely or low birth weight (LBW) are at increased risk of vitamin D deficiency, poor bone health and rickets. Uncertainty exists regarding the need, dose and duration of vitamin D supplementation in preterm and LBW infants.",The Cochrane database of systematic reviews,2026-Sep
42745684,"From Identification to Enzymatic Activity Profiling: Comprehensive Characterization of BloCAβ, a Probiotic β-Carbonic Anhydrase From Bifidobacterium longum.","The microbiota comprises communities of microorganisms that establish complex relationships with the host and play key roles in physiology, metabolism, and immunity. Increasing evidence highlights microbiota alterations in several diseases, particularly those driven by oxidative stress-induced inflammation. Thus, identifying probiotic enzymes implicated in essential metabolic pathways is highly relevant to the development of future strategies targeting dysbiosis and related diseases. Herein, we ...",Archiv der Pharmazie,2026-Sep
42745534,Evaluating the Role of School-Based Weekly Iron-Folic Acid Supplementation in Shaping Common Morbidity and Growth Outcomes Among Adolescent Girls: Evidence From a Cluster-Randomized Controlled Trial in Central Ethiopia Region.,"Nutritional deficiencies and parasitic infections continue to undermine immune defenses and drive anemia rates among adolescents, creating a significant public health challenge in sub-Saharan Africa. Although multiple factors contribute to this burden, the prevention and treatment of iron deficiency (ID) remain the most critical levers for progress. The longer-term effects of weekly iron-folic acid supplementation (WIFAS) on morbidity symptoms and growth outcomes remain unclear. A cluster random...",Maternal & child nutrition,2026-Jul
42744363,"BLIS study: a feasibility randomised controlled trial assessing compliance, acceptability and colonisation with different dosing regimens of the probiotic supplement Streptococcus salivarius K12 (Bactoblis) in adults in England.","Streptococcus salivarius K12 (SsK12) is a bacterium used as a probiotic with some evidence for preventing acute sore throat/tonsillitis, but the optimal dosing strategy is unclear. This study aimed to evaluate two dosing regimens of SsK12 to establish (a) the prevalence and duration of colonisation with SsK12 and (b) the acceptability and feasibility of these regimens.",BMJ open,2026-Sep
42742757,Effect of Lactiplantibacillus plantarum SCS6 on pancreatic oxidative damage in mice with type 2 diabetes based on gut-pancreas axis.,"Type 2 diabetes (T2D) is a metabolic disorder closely associated with oxidative stress. In recent years, Lactiplantibacillus plantarum (L. plantarum), a probiotic lactic acid bacterium, has garnered significant attention due to its potent antioxidant properties and has been utilized in mitigating various chronic diseases mediated by oxidative stress. In this study, L. plantarum SCS6 was isolated from traditional Sichuan fermented sausages. We systematically evaluated the effects of different dos...",Antonie van Leeuwenhoek,2026-Sep
42742739,"Screening of largemouth bass-derived Bacillus subtilis and synergistic regulation of growth performance, intestinal health, and resistance against Edwardsiella piscicida infection.","In this study, 49 intestinal bacterial isolates were recovered from healthy Micropterus salmoides, among which five candidate Bacillus subtilis strains were screened via multi-index in vitro evaluation. An 8-week feeding trial covering six treatment groups was conducted to assess growth performance and survival upon Edwardsiella piscicida immersion challenge. Two strains (YB-4 and YB-15) with 95% disease protection rates were selected for further intestinal histological, biochemical and qRT-PCR ...",Archives of microbiology,2026-Sep
42742486,A Post-NGP Mitsuokella jalaludinii as a Therapeutic Candidate for Gout.,"Gout is a common inflammatory disease closely associated with hyperuricemia, and its global prevalence is increasing, highlighting the need for safer and more effective therapeutic strategies. Recently, microbiome-based therapeutics have emerged as promising alternatives, and the development of functionally validated NGP and their advanced forms, post-NGP strains, is gaining increasing attention. In this study, microbiome-derived bacterial strains were screened based on their in vitro uric acid ...",MicrobiologyOpen,2026-Oct
42742356,Global biogeography of Bifidobacterium infantis: stratification and precision probiotic design.,"Bifidobacterium longum and B. infantis are recognized as pivotal pioneer colonizers in the infant gut, playing instrumental roles in supporting growth, immune maturation, and pathogen resistance. Despite their significance, current genomic understanding is heavily biased toward a limited pool of historical isolates from high-income countries (HICs), leaving the natural diversity of strains circulating in low- and middle-income countries (LMICs) largely uncharted. To address this gap, Shao et al....",Gut microbes,2026-Dec
42742308,Mineral Supplement Use in Patients with Chronic Kidney Disease: What Nephrology Nurses Need to Know.,"Mineral supplements play a key role in the diet. Recom mendations for optimal intake are based on a person without kidney disease. Through a review of recent publications, four minerals and their relationship to a person with impaired kidney function will be discussed.",Nephrology nursing journal : journal of the American Nephrology Nurses' Association,2026
42739108,Effects of Nutritional Supplements on Inflammatory Biomarkers in Overweight and Obese Adults: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials.,"Background/Objectives: Obesity is frequently associated with chronic low-grade inflammation, which contributes to metabolic dysfunction. However, the comparative effects of nutritional supplements on inflammatory biomarkers in adults with overweight or obesity remain unclear. To address this gap, this paper presents a systematic review and network meta-analysis comparing 14 supplementation strategies for their effects on inflammatory biomarkers in this population. Methods: PubMed, Embase, EBSCO,...",Nutrients,2026-Sep
42739097,Investigating the Impact of Protein Supplementation from Different Sources on Advanced Glycation End Products in Older Adults in Singapore Following a Healthy Dietary Pattern.,"Background/Objectives: Protein supplementation may elevate advanced glycation end products (AGEs) through higher dietary AGE (dAGE) content and increase amino acid-driven endogenous formation. Protein supplementation from different sources may differentially affect AGE levels, possibly through differences in amino acid composition, digestion and metabolism, but evidence from randomized controlled trials (RCTs) remains limited. This study aimed to examine the effect of protein supplementation fro...",Nutrients,2026-Sep
42739093,"Supplement Safety Knowledge, Information Sources, and Self-Reported Safety-Related Behaviors Among Adults Aged 40 Years and Older: A Pilot Study.","Dietary supplement use is common in middle and later adulthood, but factual safety knowledge may not necessarily translate into safety-related behavior. This pilot study examined supplement use, supplement safety knowledge, information-source pathways, and self-reported safety-related behaviors among adults aged 40 years and older.",Nutrients,2026-Sep
42739087,Polyunsaturated Fatty Acid Supplementation in Multiple Sclerosis Management: A Scoping Review.,"Polyunsaturated fatty acids (PUFA) have long been investigated as potential adjunctive therapies for multiple sclerosis because of their immunomodulatory, anti-inflammatory, and neuroprotective properties. However, the available evidence remains heterogeneous and has not been comprehensively mapped. This scoping review aimed to characterize the evidence on PUFA supplementation, identify research trends and knowledge gaps, and contextualize findings from primary studies alongside systematic revie...",Nutrients,2026-Sep
42739081,Targeting Stress and the Gut-Brain Axis: Effects of Lifestyle and Psychobiotic Interventions on the Gut Microbiome in Adults-A Systematic Review of Randomized Controlled Trials.,"Background/Objectives: Stress is increasingly recognized as an important modulator of gut microbiome composition and function through the bidirectional microbiota-gut-brain axis. Dietary, psychobiotic, and other lifestyle-oriented interventions have therefore attracted growing interest as potential strategies for simultaneously influencing stress-related outcomes and the gut microbiome. This systematic review aimed to evaluate randomized controlled trials (RCTs) investigating the effects of life...",Nutrients,2026-Sep
42739058,A Specialized Multinutrient Formula Attenuates High-Fat-Diet-Associated Muscle Dysfunction and Sarcopenic Obesity-Related Features in Adult Mice.,"Background/Objectives: Sarcopenia is an age-associated skeletal muscle disorder that may be aggravated by a high-fat diet (HFD). Given the multifactorial pathogenesis of sarcopenia, single-nutrient interventions may be insufficient. This study investigated whether a specialized multinutrient formula could attenuate muscle dysfunction and intramuscular lipid accumulation in adult mice under standard-diet and HFD-fed conditions. Methods: Male C57BL/6J mice were assigned to five groups: young contr...",Nutrients,2026-Sep
42739057,Nicotinamide Supplementation in Glaucoma: A Systematic Review of Human Studies.,"Background/Objectives: Nicotinamide (NAM), a form of vitamin B3 and precursor of nicotinamide adenine dinucleotide (NAD), has emerged as a potential metabolic and neuroprotective strategy in glaucoma. This systematic review aimed to evaluate the available human evidence on NAM-containing and NAD-targeted strategies in glaucoma, integrating interventional, observational, and mechanistic evidence with particular attention to clinical outcomes, methodological quality, and safety. Methods: A systema...",Nutrients,2026-Sep
42739045,Acute Caffeine Administered in Chewing Gum May Improve Functional Firefighting Balance After Gamma-Aminobutyric Acid Supplementation: A Double-Blind Crossover Trial.,This study investigated whether caffeinated chewing gum enhances sympathetic activity and improves functional firefighting balance performance after gamma-aminobutyric acid (GABA) supplementation.,Nutrients,2026-Sep
42739040,Branched-Chain Amino Acid Supplementation Exerts Opposite Effects on Offspring Growth and Differentially Affects Maternal Glucose and Lipid Metabolism in Lactating Dams Fed Normal- or Low-Protein Diets.,"Background: Branched-chain amino acid (BCAA) is involved in glucose and lipid metabolism and energy homeostasis, but whether its effects on maternal metabolism and offspring growth during lactation depend on dietary protein level remains unclear. Methods: C57BL/6J lactating dams were randomized after delivery to a normal-protein control group (CN, 20% protein), low-protein group (LP, 10% protein), CN + BCAA group (CNB), or LP + BCAA group (LPB) (n = 11/group). Maternal body composition, glucose ...",Nutrients,2026-Sep
42739037,Oral Zinc Supplementation in Acne Vulgaris and Hidradenitis Suppurativa: An Updated Comprehensive Review.,"Oral zinc supplementation has emerged as a potential ⁠adjunctive strategy in inflammatory follicular disorders, including ⁠acne vulgaris and hidradenitis suppurativa. Beyond its role as an essential micronutrient, zinc modulates several pathways and biological processes directly ⁠relevant to these diseases, including innate immunity, oxidative stress, neutrophil-driven inflammation, antimicrobial defense, wound repair, and possibly sebaceous gland activity and androgen metabolism. In acne, avail...",Nutrients,2026-Sep
42739024,The Nutraceutical Potential of Blackcurrant (Ribes nigrum) for Glycemic Control and Metabolic Health: Mechanistic and Translational Insights.,"Diabetes mellitus is a pervasive global health crisis, with type 2 diabetes (T2D) representing the majority of cases. While conventional pharmacological therapies exist, suboptimal efficacy, adverse effects, and inadequate glycemic control in a substantial proportion of patients highlight the need for complementary strategies. There is growing scientific and clinical interest in plant-based functional foods, including Ribes nigrum L. (blackcurrant), which is rich in bioactive phytochemicals such...",Nutrients,2026-Sep
42739017,Vitamin D Status in Children with Primary Immunodeficiency Disorders Receiving Vitamin D Supplementation: A Retrospective Cross-Sectional Study.,"Background: Vitamin D plays an important immunomodulatory role, and vitamin D deficiency has been associated with an increased risk of infections and autoimmune disorders. Although patients with some primary immunodeficiency disorders (PID) exhibit higher rates of vitamin deficiency, there are currently no evidence-based recommendations regarding whether children with PIDs require higher vitamin D supplementation than healthy peers. This study aimed to evaluate the nutritional status of vitamin ...",Nutrients,2026-Aug
42739003,"Evaluation of Postbiotics from Lactiplantibacillus plantarum and Bacillus mojavensis Fermented in Aguamiel on Their Cytotoxic Effect in Breast Cancer Cells, Their In Vivo Effects, and Processing by Spray Drying.","Postbiotics derived from beneficial bacteria have emerged as promising bioactive ingredients owing to their enhanced stability, safety, and functional versatility relative to live microorganisms.",Nutrients,2026-Aug
42739002,Differential Regulation of Intestinal Glucose Transporters SGLT1 and GLUT2 by Lactobacillaceae-Derived Heat-Killed Probiotics and Cell-Free Probiotic Supernatants.,"Background/Objectives: Although paraprobiotics and postbiotics may beneficially affect glucose metabolism, their direct influence on intestinal glucose transporters remains poorly understood. This study investigated the in vitro effects of selected heat-killed Lactobacillaceae strains and cell-free supernatants from their viable counterparts on sodium-driven glucose cotransporter 1 (SGLT1) and facilitative glucose transporter 2 (GLUT2) expression and basolateral glucose accumulation. Methods: Ex...",Nutrients,2026-Aug
42738993,Does Omega-3 Help After All in Autism Spectrum Disorder? An Update Systematic Review and Meta-Analysis of Randomized Trials.,"Autism Spectrum Disorder (ASD) affects approximately 60 × 104 incident cases, 283.3 × 105 prevalent cases, and 43.1 × 105 DALYs globally and is frequently accompanied by irritability, hyperactivity, and social withdrawal linked to low-grade neuroinflammation. Omega-3 supplementation is among the most common complementary approaches used by families, but clinical evidence remains inconsistent, and prior meta-analyses have relied on a single outcome instrument. This study aimed to evaluate the eff...",Nutrients,2026-Aug
42738987,"Adjunctive Ashwagandha (Withania somnifera) Supplementation and Resistance-Training Adaptations in Healthy Adults: A Systematic Review and Random-Effects Meta-Analysis of Muscular Strength, Chest Circumference, and Body Composition.","Background/Objectives: Ashwagandha (Withania somnifera) is increasingly marketed as an adjunct that amplifies the strength and muscle-size gains produced by resistance training. Prior meta-analyses pooled trials across mixed exercise contexts rather than trials confined to structured resistance training. We therefore quantified adjunctive ashwagandha effects on muscular strength, chest circumference and body composition within such trials. Methods: We searched twelve bibliographic sources (inclu...",Nutrients,2026-Aug
42738981,Effect of a Defined Intake of a Soy-Based Protein-Rich Supplement on Body Composition and Eating Behaviour in Overweight Women: A Secondary Analysis of the ACOORH Trial.,"Background: High-protein dietary strategies have been shown to support weight reduction and improve body composition during lifestyle interventions. However, evidence regarding long-term dietary adaptations and their association with body composition in overweight women remains limited. This secondary analysis of the ACOORH randomised controlled trial investigated whether a protein-rich soy-based meal replacement promotes sustained dietary protein intake and favourable body composition changes i...",Nutrients,2026-Aug
42738974,Proteomic and Phosphoproteomic Signatures Link Molecular Remodeling to Behavioral Outcomes Following Elderberry and DHA Supplementation in Aging Mice.,"Background: Aging is a risk factor for Alzheimer's disease and related dementias, which are associated with synaptic dysfunction and cognitive decline. Elderberry (Sambucus spp.) is rich in anthocyanins with antioxidant and anti-inflammatory properties. Docosahexaenoic acid (DHA), an essential fatty acid, plays a key role in neuronal membrane integrity during brain aging. However, it remains unclear whether elderberry and DHA exert overlapping or distinct effects on brain aging and how these rel...",Nutrients,2026-Aug
42738968,"Comprehensive In Vitro, Genomic, Microbiota, and Subacute Toxicological Safety Characterization of Lactiplantibacillus plantarum ATA-LPC98052.","Lactiplantibacillus plantarum is a widely studied probiotic species; however, probiotic characteristics and safety profiles are strain-specific, requiring independent evaluation. This study characterized Lactiplantibacillus plantarum ATA-LPC98052 as a candidate probiotic raw material.",Nutrients,2026-Aug
42738967,Efficacy and Safety of Lactobacillus reuteri DSM 17938 in Pediatric Functional Abdominal Pain Disorders: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Lactobacillus reuteri DSM 17938 is among the most studied probiotic strains for pediatric functional abdominal pain disorders (FAPDs), but prior trials and systematic reviews have reached inconsistent conclusions. This systematic review and meta-analysis aimed to evaluate the efficacy and safety of L. reuteri DSM 17938 in children and adolescents with FAPDs.",Nutrients,2026-Aug
42738964,Probiotic-Herb-Peptide Combined Formula Alleviates Alcoholic Liver Damage Associated with Modulation of the Gut-Liver Axis and Ferroptosis.,"Background: Acute alcohol intoxication causes liver injury and delays recovery via oxidative stress, ferroptosis, inflammation, and gut dysbiosis. This study investigated whether pretreatment with an Alcohol Relief Formula (ARF), composed of soybean peptides, botanical extracts, and probiotics, protects against alcohol-induced liver damage in a preventive model and explored the underlying mechanisms. Methods: Mice with acute alcohol intoxication were pretreated with ARF. Liver damage, hepatic al...",Nutrients,2026-Aug
