pmid,title,abstract,journal,pub_date
41790713,Amorphous calcium carbonate supplementation and bone outcomes in rheumatoid arthritis: A prospective cohort study.,"Rheumatoid arthritis (RA) is associated with increased risks of osteoporosis and fracture. Amorphous calcium carbonate (ACC) may enhance osteogenic differentiation and increase bone mineral density (BMD). The effects of ACC supplementation on BMD and bone turnover markers (BTMs) in RA have not been explored. This study investigated the influence of ACC supplementation on BMD, BTMs, and the risk of osteoporotic fractures in RA patients. We enrolled 67 RA patients with osteopenia or osteoporosis. ...",Medicine,2026-Mar
41790680,Use of herbal and supplement products for weight loss among Jordanians: A cross-sectional study.,"There is limited evidence about the safety and efficacy of herbal products as there are no guidelines to regulate their use. This study aims to examine the use of herbal and supplement products for weight loss among the Jordanian general public. A cross-sectional study was conducted using an online self-administrated questionnaire for the duration between April 7, 2025 and June 1, 2025. The questionnaire was developed based an extensive literature review in the area of the use of herbal and supp...",Medicine,2026-Mar
41788069,INFLUENCE OF BIFIDOBACTERIUM ANIMALIS SUBSP. LACTIS BB-12 AND LACTOBACILLUS RHAMNOSUS GG ON POLARIZATION OF TUMOR-ASSOCIATED MACROPHAGES.,"The microbiota has a significant impact on the host's immune system. However, the influence of the microbiome is heavily dependent on species, strain, and context. The aim of this study was to evaluate the influence of Bifidobacterium animalis subsp. lactis BB-12 (BB-12) and Lactobacillus rhamnosus GG (LGG) supplementation on the polarization of tumor-associated macrophages (TAMs) in mice with Ehrlich carcinoma.",Experimental oncology,2026-Mar
41787942,Melatonin Supplementation in Adult Patients With Atopic Dermatitis: A Randomized Clinical Trial.,"This study aimed to evaluate the effects of melatonin supplementation on disease severity, sleep quality, and quality of life in adult patients with atopic dermatitis (AD). This study was designed as a randomized, double-blind, placebo-controlled clinical trial involving adult patients with mild to moderate AD. Eligible participants were randomly assigned to receive either a 10 mg melatonin tablet or a matching placebo once daily for 4 weeks. The primary outcome was the severity of AD, assessed ...",Journal of pineal research,2026-Mar
41787835,Effects of Phenolic-Rich Extra Virgin Olive Oil and Prebiotics on Sarcopenia in Older Adults: FOOP-Sarc Project.,"Management of sarcopenia by nutritional and lifestyle interventions is a challenge. The aim is to assess the effectiveness of a phenolic-rich extra virgin olive oil (EVOO), alone or combined with a prebiotic (PREB) (fructooligosaccharides and inulin), to improve skeletal muscle mass and function in home-dwelling older adults (60-80 years) with at least one sarcopenia parameter altered.","Journal of cachexia, sarcopenia and muscle",2026-Apr
41784670,Protective role of dietary cinnamon (Cinnamomum zeylancium) against waterborne lead toxicity in Labeo rohita.,"Cinnamon has emerged as a promising herbal supplement, revealing its potential in alleviating the harmful impacts of aquatic pollutants on various fish species. This study was conducted to investigate the protective potential of cinnamon (Cinnamomum zeylanicum) powder (CzP) in reducing waterborne-induced lead (Pb) toxicity in Labeo rohita. The research trial included six groups: a control group, a Pb-exposed group without CzP supplementation, and four Pb-exposed groups with CzP supplementation a...",Fish physiology and biochemistry,2026-Mar
41782495,Survey on Faecal Microbiota Transplantation and Probiotic Use in Equine Practice in France and Belgium.,Faecal microbiota transplantation (FMT) and probiotics are used in equine practice. Understanding veterinarians' perceptions and practices is crucial for effective implementation.,Veterinary medicine and science,2026-Mar
41781847,Revolutionising Keratoconus Management: Could Vitamin D Supplementation Play a Key Role in Stabilisation?,Null.,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,2026-Mar
41778161,Lacticaseibacillus rhamnosus B6 alleviates metabolic dysfunction-associated fatty liver disease by suppressing intestinal LPS synthesis and regulating lipid metabolism.,"Metabolic dysfunction-associated fatty liver disease (MAFLD) has become a global epidemic with an unclear etiology and no effective therapeutic options. Disruption of the gut-liver axis driven by intestinal dysbiosis is closely implicated in MAFLD pathogenesis, making gut microbiota-targeted probiotic interventions promising preventive strategies.",Frontiers in endocrinology,2026
41776814,"Effect of Probiotic Supplementation on Reproductive Outcomes of Women With Polycystic Ovary Syndrome Who Are Candidates for Intrauterine Insemination: A Randomized, Double-Blind, Placebo-Controlled Trial.","Evidence showed that microbial dysbiosis may lead to poor fertility outcomes. Today, therapy with probiotics, especially when using assisted reproductive technologies, is considered a potential method to improve outcomes. This study aimed to evaluate the effectiveness of probiotic consumption on reproductive outcomes in women with polycystic ovary syndrome (PCOS) who are candidates for Intrauterine Insemination (IUI).","Endocrinology, diabetes & metabolism",2026-Mar
