pmid,title,abstract,journal,pub_date
41454664,Targeting the microbiome in pediatric migraine: gastrointestinal manifestations and the therapeutic role of Bifidobacterium longum.,"Migraine is a disabling neurological disorder that often begins in childhood or adolescence and is frequently accompanied by gastrointestinal (GI) symptoms. However, the microbiota signatures and gut-brain interactions underlying pediatric migraine, particularly in the presence of GI disorder, remain poorly defined. This study aimed to explore the clinical and microbial features of pediatric migraine, as well as the therapeutic potential of probiotics.We prospectively enrolled 126 pediatric migr...",Gut microbes,2026-Dec
41452918,A scoping review of turmeric adulteration based on data from six continents.,"Turmeric (Curcuma longa) is widely used as a spice and in dietary/food supplements and herbal medicines. Reports assessing the authenticity of commercial products have shown that the ingredient is subject to adulteration with, among others, artificial dyes, undeclared diluents, and synthetic curcumin.",Pharmaceutical biology,2026-Dec
41450035,Probiotic Supplementation and Executive Function in Children With Attention-Deficit/Hyperactivity Disorder.,"Attention Deficit Hyperactivity Disorder (ADHD) is a prevalent neurodevelopmental condition marked by inattention, hyperactivity, and impulsivity, which substantially impacts children's academic and social performance. The aim of this research was to examine the effect of probiotic supplementation on executive functioning in children with ADHD.",Neuropsychopharmacology reports,2026-Mar
41449088,Drug Development.,"Gut microbiota disruptions have been implicated in Alzheimer's disease (AD) pathogenesis. Lactobacillus probiotics have demonstrated therapeutic potential in AD by modulating the gut microbiome, while Lactobacillus postbiotics, soluble factors secreted by live bacteria, confer similar effects with advantages like longer shelf life, lower cost, and reduced infection risk. Evidence of the benefits of postbiotics in AD is limited. This study compares the effectiveness of Lactobacillus probiotics an...",Alzheimer's & dementia : the journal of the Alzheimer's Association,2025-Dec
41448883,Drug Development.,"Mild cognitive impairment (MCI) represents the symptomatic pre-dementia stage of Alzheimer's disease (AD). Given the increasing prevalence of AD and its socioeconomic burden, delaying the progression of MCI to AD is critical. Modulating the microbiota-gut-brain (MGB) axis has emerged as a promising therapeutic approach. This study aimed to evaluate the efficacy and safety of MT104, a dietary supplement containing Cuscuta seeds and heat-killed probiotics, in regulating the MGB axis in patients wi...",Alzheimer's & dementia : the journal of the Alzheimer's Association,2025-Dec
41447292,Clinical Manifestations.,"Alzheimer's disease (AD), being a deteriorative and progressive neurocognitive condition, constitutes nearly 70% of all the cases related to dementia and has a prevalence of 50 million globally. This study aims to analyze the probiotic's effect on neurocognitive function and markers of inflammation and oxidative stress in AD patients.",Alzheimer's & dementia : the journal of the Alzheimer's Association,2025-Dec
41446366,"Demand- and supply-side barriers and facilitators of the weekly iron and folic acid supplementation programme in Sidama Region, Ethiopia.","The weekly iron and folic acid supplementation (WIFAS) programme is a school-based initiative designed to reduce iron and folate deficiency anaemia among adolescent girls. In Ethiopia, donor-supported pilot programmes are implementing WIFAS in schools, but evaluations of its demand- and supply-side barriers and facilitators remain limited. This study aimed to explore these barriers and facilitators in the Sidama Region of Ethiopia. An exploratory qualitative study collected data from ten WIFAS-t...",Journal of nutritional science,2025
41445099,Dementia Care Research and Psychosocial Factors.,"Brain metabolism, including the creatine (Cr) system, is impaired in Alzheimer's disease (AD). Creatine monohydrate (CrM) supplementation is suggested to improve AD pathophysiology and symptoms in AD mouse models. No human studies have been reported to date; thus, we investigated the feasibility of eight-week CrM supplementation in AD and generated preliminary evidence for its potential effects on bioenergetics and cognition.",Alzheimer's & dementia : the journal of the Alzheimer's Association,2025-Dec
41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,Gut microbiota modulation has been proposed as a potential intervention for managing obesity. This meta-analysis aimed to evaluate the effects of prebiotic/probiotic/synbiotic supplementation on metabolic syndrome risk factors in obese pediatrics.,BMC pediatrics,2025-Dec
41444308,Two-year outcomes of denosumab treatment for osteoporosis comparing the effects of calcium and vitamin D supplementation.,"Calcium and vitamin D supplementation is commonly recommended in conjunction with osteoporosis treatment. However, some patients are unable to tolerate or take these supplements due to various factors. This study aims to assess the impact of calcium and vitamin D supplementation on bone mineral density (BMD) changes over a two-year period in patients treated with denosumab, comparing those who received supplements with those who did not. This retrospective study included 344 patients who had rec...",Scientific reports,2025-Dec
41437716,Comparison of Postbiotics and Probiotics of Lactococcus lactis NZ9000 in Alleviating Liver Injury Induced by Bisphenol A via Binding and Removing Bisphenol A in Mouse Model.,"Studies have demonstrated the toxic effects of inevitable exposure of bisphenol A (BPA), especially liver injury via gut-liver axis. Probiotics are increasingly used as adjunctive therapy to ameliorate adversely effects induced by BPA. In view of safety concerns of probiotics, postbiotics are proposed as alternatives to probiotics in clinical applications. At present, no study has directly compared the ameliorative effect of probiotics and postbiotics. This study compares the effect of postbioti...",Molecular nutrition & food research,2026-Jan
41437132,The role of multivitamin and mineral supplements in supporting health and well-being: a retrospective cross-sectional study in Taiwan.,"Multivitamin and mineral (MVM) supplements have been shown to provide various health benefits, including enhanced energy, skin health, metabolism, and immune function. This study explored the impact of MVM supplements based on users' experience in Taiwan.","Journal of health, population, and nutrition",2025-Dec
41436848,Promising Results With NAD Supplementation in Rare Diseases With Premature Aging and DNA Damage.,"Nicotinamide adenine dinucleotide (NAD) has garnered significant attention in recent years due to its central role in cellular metabolism and its potential as a supplement to promote health and longevity. While numerous human studies indicate that NAD supplementation offers benefits with minimal or no side effects, some studies show no observable advantages. This discrepancy highlights the importance of identifying individuals who are most likely to benefit from NAD-based interventions. One crit...",Aging cell,2026-Jan
41435376,"Ibero-Latin American clinical practice guideline for the use of biotics in pediatric gastroenterology, hepatology, and nutrition: probiotics chapter.","In Ibero-Latin America, the use of probiotics in pediatrics has increased in recent decades; however, clinical practice shows significant variability across countries and specialties. This situation prompted the development of a regional consensus based on the best available evidence and expert experience.",Boletin medico del Hospital Infantil de Mexico,2025
41435290,Basic Science and Pathogenesis.,"Chronic consumption of a high-fat diet (HFD) alters gut microbiota, induces endotoxemia, and impairs cognitive function (1, 2). Previous studies have shown that the administration of probiotics, such as Lactobacillus paracasei HII01, attenuated gut dysbiosis, alleviated metabolic disturbance, improved brain mitochondrial function, and improved cognitive function in obese insulin-resistant rats. However, the effects of probiotics lactobacillus reuteri KUB-AC5 on these parameters in obese insulin-...",Alzheimer's & dementia : the journal of the Alzheimer's Association,2025-Dec
41435090,Public Health.,"The Mediterranean diet (MD) is associated with cardiovascular and cognitive health benefits. However, it is challenging for Western populations to replicate the recommended blend and quantity of fruits and vegetables. Polyphenols are a key bioactive found in MD with antioxidant and anti-inflammatory properties, and may also influence extracellular vesicle (EV) dynamics. DailyColors™, a polyphenol-rich formulation inspired by the MD, incorporates extracts from 16 fruits, vegetables, and herbs. Th...",Alzheimer's & dementia : the journal of the Alzheimer's Association,2025-Dec
41434879,Public Health.,"Preserved cognitive health with ageing is a public health imperative. Vitamin D deficiency is associated with poor cognition, but it is unclear whether supplementation would provide benefit, particularly in individuals with mild/moderate deficiencies which do not have other clinical risks. The objective of this study was to establish the impact of daily vitamin D supplementation on cognition in older adults with mild to moderate vitamin D deficiency.",Alzheimer's & dementia : the journal of the Alzheimer's Association,2025-Dec
