pmid,title,abstract,journal,pub_date
42247514,A sustained living coating for infectious keratitis therapy via probiotic consumption and production effects.,"Excessive inflammation and infection are critical factors leading to biomaterial failure and delayed wound healing. Surface modification of biomaterials with drug-loaded coatings can effectively address these issues. Traditional drug-loaded coatings often suffer from diminishing drug concentrations and the development of bacterial resistance. To address these issues, we developed a living coating using Lactobacillus plantarum as a metabolic factory for sustained anti-inflammatory and antimicrobi...",Science advances,2026-Jun
42234350,Targeted Supplementation and Nutritional Strategies for Healthy Aging: A Review of Physiological and Molecular Benefits.,"Aging is marked by progressive physiological decline driven by chronic inflammation, mitochondrial dysfunction, and impaired metabolic and musculoskeletal resilience. As the global population ages, dietary supplements have gained attention as potential tools to support healthy longevity. This review summarizes current evidence on nutritional compounds that target aging-related pathways, focusing on interventions that influence mitochondrial health, cognitive performance, immune function, metabol...",Current nutrition reports,2026-Jun
42231528,Multiomics insights into the effects of prebiotics on physical function and metabolism in adults with obesity and knee osteoarthritis.,"Knee osteoarthritis (OA) is a prevalent, painful, degenerative disease lacking effective disease-modifying drugs. The rise in obesity has increased the prevalence of metabolic OA, underscoring the need for effective management to delay or prevent knee replacement. Prebiotics confer improvement in physical function and metabolic health in adults with comorbid knee OA and obesity by unknown mechanisms. Here, we integrated metagenomic and metabolomic analyzes to investigate prebiotic fiber-linked m...",Gut microbes,2026-Dec
42230351,Gut Microbiota and Autoimmune Diseases: The Therapeutic Potential of Probiotics.,"In recent years, increasing attention has been directed toward the role of gut microbiota in the pathogenesis of autoimmune diseases such as type 1 diabetes (T1D), rheumatoid arthritis (RA), and multiple sclerosis (MS). Numerous studies have shown that gut dysbiosis-an imbalance in the intestinal microbial community-can influence host immune responses by modulating inflammatory pathways, gut barrier integrity, and immune cell function. Patients with T1D, RA, and MS often exhibit a decreased abun...",Current microbiology,2026-Jun
42230050,Enzymatic synthesis of oligodextran with prebiotic potential by a recombinant dextransucrase from Latilactobacillus sakei L3.,"Oligodextran exhibits considerable prebiotic potential and holds significant commercial promise for food and clinical applications. To facilitate its efficient production, the dextransucrase (Dex) gene from Latilactobacillus sakei L3 was heterologously expressed in Escherichia coli BL21(DE3). The recombinant enzyme demonstrated optimal activity at pH 5.0 and 30 °C, with its activity enhanced in the presence of Ca2+ or Mn2+ and inhibited by Cd2+, EDTA, and surfactants. Using 500 mM sucrose as the...",Carbohydrate polymers,2026-Aug
42229918,"Intake, Digestibility, Nitrogen Balance, Rumen, and Blood Parameters of Cattle Supplemented With Acacia mearnsii Extract.","This study aimed to evaluate the effect of increasing levels of Acacia mearnsii extract as a source of condensed tannins on feed intake, nutrient digestibility, nitrogen (N) balance, rumen fermentation, and blood parameters of feedlot-finished cattle. Eight rumen-cannulated bulls were distributed in a replicated 4 × 4 square Latin design. The treatments consisted of a control diet with no extract inclusion (0 g/kg) and three diets with 10, 30, and 50 g/kg on a dry matter (DM) basis of A. mearnsi...",Animal science journal = Nihon chikusan Gakkaiho,2026
42228225,"Effects of Broccoli Sprout Supplementation and Pilates Training on Liver Enzymes in Women with Nonalcoholic Fatty Liver Disease: A Double-Blind, Randomized Controlled Trial.","Nonalcoholic fatty liver disease is a prevalent metabolic disorder linked to lifestyle factors. This study aimed to evaluate the effects of Pilates exercise and broccoli sprout supplementation, individually and combined, on liver enzyme levels in women with nonalcoholic fatty liver disease. In this double-blind, randomized controlled trial, 32 women aged 30-45 years from Mashhad were allocated into four groups: Pilates plus broccoli sprout supplement(SP), Pilates plus placebo(PP), supplement onl...","Plant foods for human nutrition (Dordrecht, Netherlands)",2026-Jun
42228200,"Genomic and in Vitro Evaluation of Probiotic Traits in a Gut-Derived Bacillus cereus PX472023 from Farmed Lates Calcarifer, Asian Seabass.","An indigenous autochthonous bacterium, Bacillus cereus PX472023 isolated from the gut of Lates calcarifer was evaluated for its potential probiotic property. The isolated bacteria produced hydrolytic enzyme activities such as starch, esculin and casein hydrolysis along with positive result for biofilm formation. The isolate possessed desirable features like tolerance to low pH (3), high bile salt (up to 4%), pepsin (0.3%), high saline conditions (up to 3%), along with optimum hydrophobicity, aut...","Marine biotechnology (New York, N.Y.)",2026-Jun
42227307,"Vitamin B12 supplementation for growth, development, and cognition in children.","Vitamin B12 deficiency is an important public health problem in children, and has been associated with anaemia and impaired growth, cognition, and development. Vitamin B12 deficiency may develop in children due to lower content in breast milk, low dietary intake, and as requirements increase with age. Vitamin B12 supplementation may confer benefits to child growth and development, due to its role in DNA synthesis and methylation, red blood cell formation, and folate metabolism. However, no syste...",The Cochrane database of systematic reviews,2026-Jun
42226670,Synbiotic Supplementation With Heyndrickxia coagulans TBC169 Improves Chronic Constipation in Middle-Aged and Elderly.,"Chronic constipation is prevalent in middle-aged and elderly individuals and can markedly impair quality of life and increase comorbidity risk. However, safe and effective therapies for this population remain limited because of age-related physiological changes, polypharmacy, and concerns about long-term medication use.",Biotechnology journal,2026-Jun
