pmid,title,abstract,journal,pub_date
41420666,Effect of Maternal Vitamin B12 Status and Supplementation on Child Neurodevelopment and Cognition: A Systematic Review.,"This review aims to systematically evaluate clinical and observational studies that assessed the influence of maternal vitamin B12 supplementation and status on child neurodevelopment and cognition. Vitamin B12 plays an essential role in fetal neurodevelopment. However, to date, no study has focused on gathering conclusions about the effect of supplementation and maternal levels of vitamin B12 on neurodevelopment, focusing on child cognition. Therefore, the databases consulted included PubMed, S...",Current nutrition reports,2025-Dec
41420581,"[High-dose omega-3 fatty acid supplementation in patients with persistent allergic rhinitis sensitized to perennial allergens: a randomized, placebo-controlled clinical trial].",To evaluate the effect of high-dose eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) supplementation on the severity of allergic rhinitis and the quality of life of patients affected by this condition.,"Revista alergia Mexico (Tecamachalco, Puebla, Mexico : 1993)",2025-Dec
41419578,Impact of novel probiotic strains isolated from Algerian fermented butter and green tea waste on broilers' production quality.,"Probiotics have emerged as a promising alternative to antibiotic growth promoters, with increasing interest in strains isolated from traditional and agro-industrial sources due to their natural adaptation and functional potential in animal feeds. This study investigated the effect of four probiotic strains on the growth performance and meat quality of broiler chicken. The selected strains included Levilactobacillus brevis DC01-A and Lactiplantibacillus plantarum DC04 isolated from traditional Al...",Scientific reports,2025-Dec
41417588,"Probiotics in antibiotic treatment - an overview of effectiveness, risks, and recommended practices.","The administration of antibiotics is associated with the risk of diarrhea due to disruption of the natural gut microbiome, a condition that may persist for several months after the completion of treatment. Probiotics are often used to prevent antibiotic-associated diarrhea; however, their effectiveness in this indication remains a subject of discussion. Meta-analyses confirming the benefits of probiotics are critically assessed by the professional community, and for a long time, their administra...",Casopis lekaru ceskych,2025
41417400,Evaluation of Enterococcus faecium EF137v on colorectal carcinogenesis.,"Some probiotics bacterium such as Enterococcus faecium play an important role in the homeostasis of the gastrointestinal tract. It is therefore being a microorganism of interest in preventing the onset and progression of colorectal cancer (CRC). This study aimed to evaluate both the protective effect on colorectal carcinogenesis after the oral administration of Enterococcus faecium 137v - EF137v in an experimental model for CRC chemically induced by 1,2-dimethylhydrazine (DMH), and its hepatopro...",Anais da Academia Brasileira de Ciencias,2025
41417236,"Assessment of vitamin A, vitamin B2, vitamin B12, vitamin K, folate, and choline status following 4 months of multinutrient supplementation in healthy vegans: a randomised, double-blind, placebo-controlled trial.","The aim of the MultiVeg study, a double-blind, randomised controlled trial (RCT), was to investigate the nutritional status of healthy vegans following 4 months of multinutrient supplementation.",European journal of nutrition,2025-Dec
41417222,A new perspective on the association between maternal folic acid supplementation across the perinatal period and cognitive and behavioral outcomes in children at age 4: findings from the MABC birth cohort study.,The associations between maternal folic acid (FA) supplementation across the perinatal period and childhood cognitive development and behavioral problems remain unclear. This study aimed to evaluate the relationship between maternal FA supplementation throughout the perinatal period and offspring's cognitive function and behavioral problems at age 4.,European journal of nutrition,2025-Dec
41416636,"Negligible benefit of oral single-dose sodium bicarbonate on continuous running performance: systematic review with meta-analysis of randomized, double-blind, placebo-controlled trials.","Sodium bicarbonate (SB) supplementation may enhance short-term, high-intensity exercise performance through improved extracellular buffering capacity, but its effect on continuous running performance has not been systematically evaluated. We conducted a systematic review with meta-analysis of randomized, double-blind, placebo-controlled trials examining the effects of oral single-dose SB supplementation on continuous running performance.",Journal of the International Society of Sports Nutrition,2025-Dec
41416594,"Effect of diet supplemented with microbe-derived antioxidants on plasma oxidative stress, biochemical parameters and fecal microbiota in Beagle dogs.","The present study aimed to explore the effect of dietary microbe-derived antioxidants (MA) supplementation on plasma biochemical parameters, oxidative stress and fecal microbiota in Beagles dogs. Results showed that different dose of MA supplementation did not affect body weight (BW) of dogs after 30 days feeding. 1.5 g/kg MA (HMA) treatment decreased the content of plasma total antioxidant capacity (T-AOC) and activities of aspartate aminotransferase (AST) and lactate dehydrogenase (LDH), incre...",Polish journal of veterinary sciences,2025
41415290,Gut microbiota-driven dysbiosis of the SCFA-immune axis in pediatric allergic rhinitis-constipation comorbidity: mechanisms and synbiotic remodeling.,"The coexistence of allergic rhinitis (AR) and functional constipation (FC) in children reflects complex gut-immune interactions; however, the contribution of microbiota-derived short-chain fatty acids (SCFAs) to immune-metabolic dysregulation remains poorly defined.",Frontiers in immunology,2025
41414786,"Novel Application of Oral Postbiotics for Skin Condition in Healthy Middle-Aged Women: A Randomized, Double-Blind, and Placebo-Controlled Study.",Latilactobacillus sakei KABP-065 derived from pickled vegetables of East Asia can improve skin condition in patients with atopic dermatitis through a mechanism that suppresses immune hyperactivity. Here we investigated whether KABP-065 postbiotics can improve the facial skin condition of healthy middle-aged women.,Journal of cosmetic dermatology,2025-Dec
41413722,"Research on the demand, preference for oral nutritional supplementation in people with colorectal cancer in the postoperative period: A qualitative study.","People with colorectal cancer (CRC) in the postoperative period face a high prevalence of nutritional risk and malnutrition. Oral nutritional supplementation (ONS) is the guideline-recommended primary method of nutritional support for this population; however, its effectiveness is often undermined by low compliance among them. This study sought to investigate the needs and preferences of people with CRC in the postoperative period regarding ONS, offering a theoretical foundation for enhancing co...",Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2025-Dec
41412809,Bioactive compounds with adjuvant therapeutic potential in neurodegenerative diseases and peripheral neuropathy.,"Neurodegenerative diseases and peripheral neuropathies share several common pathophysiological mechanisms, including oxidative stress, neuroinflammation, and mitochondrial dysfunction. Although their clinical manifestations differ, similar neuroprotective therapeutic approaches are applied in both conditions.",Ceska a Slovenska farmacie : casopis Ceske farmaceuticke spolecnosti a Slovenske farmaceuticke spolecnosti,2025
41412644,The role of the yycF gene in regulating biofilm formation and probiotic properties in Lactobacillus reuteri.,"The YycF/G two-component system (TCS) is crucial for the environmental adaptation of probiotics. However, its molecular role in maintaining probiotic functions and physiological homeostasis in Lactobacillus reuteri (L. reuteri) remains incompletely understood. Accordingly, this study generated a yycF knockout mutant (ΔyycF) in L. reuteri using homologous recombination technology. Systematic analysis revealed that the mutant exhibits critical defects in cell wall integrity, growth retardation, an...","Food research international (Ottawa, Ont.)",2026-Jan
41411653,Leuconostoc citreum enhances the colonization ability of Lactiplantibacillus plantarum in the gut by synergistically modifying the intestinal niche.,"Lactiplantibacillus plantarum HNU082 (Lp082) exhibits a wide range of health-modulating effects. However, its limited ability to colonize the intestines has hindered long-term effects. To enhance the colonization capability of Lp082, we conducted an intermittent intervention trial in mice and humans. After two interventions, Lp082 strain rapidly mutated after the second intervention, with a greater number of mutations observed in the human gut. By analyzing the abundance of Lp082 and fluctuation...",Gut microbes,2025-Dec
41411401,Should Clinicians Be Agents of Anti-Aging?,"Pursuit of longevity has become both a biomedical frontier and a booming consumer enterprise. Popular ""anti-aging"" products-ranging from dietary supplements to skin care and hormone therapies-are commonly promoted as slowing or even reversing aging. At the same time, scientific advances in geroscience are yielding candidate gerotherapeutics and biomarkers for aging that will increasingly generate questions about their applicability, utility, safety, and ethical integration into care. While geros...",AMA journal of ethics,2025-Dec
41411309,Effect of creep-feeding supplementation during the pre-weaning phase on gene co-expression in Longissimus thoracis muscle of F1 Angus x Nellore calves at weaning.,"The aim of this study was to analyze gene co-expression in skeletal muscle of calves with or without creep-feeding during the pre-weaning phase. Forty-eight F1 uncastrated male Angus-Nellore calves were divided into two groups: G1 - no creep-feeding, and G2 - creep-feeding. After weaning (210 days), all animals were kept in the feedlot for 180 days under the same conditions. Weaning weight, backfat thickness, and intramuscular fat content were significantly higher in G2, with intramuscular fat a...",PloS one,2025
41405784,Isolation and characterization of potential probiotic Enterococcus faecalis strains from healthy lambs' feces.,"As global animal husbandry begins to reduce the use of antibiotics, finding safe and effective alternatives to antibiotics has become the key to ensuring the healthy and sustainable development of the industry. Probiotics are regarded as one of the most potential alternative strategies because of their functions of regulating intestinal microecological balance and inhibiting pathogenic bacteria.",Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],2025-Dec
41398893,The effectiveness and safety of the active form of folate on biochemical parameters in women of childbearing age: A systematic review and meta-analysis.,"Low folate levels in women of childbearing age can cause various health issues. Additionally, low perinatal folate concentrations are a significant cause of neural tube defects. Currently, folic acid supplements mainly consist of folic acid and the active form of folate. Therefore, this systematic review and meta-analysis aimed to evaluate the effectiveness and safety of the active form of folate in women of childbearing age.",Medicine,2025-Dec
41397381,Quality assessment of Andrographis paniculata products reveals significant labelling inaccuracies and contaminations.," Andrographis paniculata products have gained in popularity for the management of respiratory infections since the COVID-19 pandemic. None of these products holds marketing authorisation and all are sold as herbal food supplements. Current herbal food supplement regulations generally do not impose quality assessments prior to commercialisation, such that the quality of herbal food supplements available to consumers is largely unknown.",Swiss medical weekly,2025-Dec
41397121,Interstep compatibility of a model for the prebiotic synthesis of RNA consistent with Hadean natural history.,"Models for prebiotic syntheses often have many steps, each separately validated by laboratory experiments. The challenge then asks whether these steps work together in natural geological environments, absent human intervention. Here, we analyze a six-step Discontinuous Synthesis Model (DSM) for the prebiotic formation of RNA, proposed to be the first informational molecule to support Darwinian evolution, and life, on Earth and/or Mars. DSM requires that borate in multiple steps guide the formati...",Proceedings of the National Academy of Sciences of the United States of America,2025-Dec
41396893,Optimizing vitamin A supplementation: A comparative cost-effectiveness analysis of routine distribution strategies in northern Côte d'Ivoire.,"While recent data on vitamin A deficiency (VAD) prevalence is lacking, the 2004 Côte d'Ivoire Nutrition and Mortality Survey reported that 26.7% of children aged 6-59 months were affected by VAD, and approximately 60% were at risk. Since 2016, the government has transitioned from mass campaigns to routine vitamin A supplementation (VAS) delivery integrated into health services. However, evidence on the cost-effectiveness of the routine distribution approaches is limited. This study evaluated the...",PloS one,2025
41396280,Impact of Curcuma longa L. extract supplementation on the gut microbiota of hemodialysis patients.,The impact of curcumin on the gut microbiota of chronic kidney disease (CKD) patients is not well known. The aim of this study was to evaluate the effect of Curcuma longa L. on the gut microbiota of CKD patients undergoing hemodialysis (HD).,Jornal brasileiro de nefrologia,2026
41396260,"Lactic acid bacteria (LAB) in aquaculture: current insights, research gaps, and future directions for sustainability.","Rapid expansion of global aquaculture in recent decades has increased production but also amplified risks from pollution, pathogenic microbes, and bacterial infections. These issues have driven widespread antibiotic use, resulting in drug resistance, environmental degradation, and risks to human health. To combat this situation, probiotic bacteria are gaining popularity, and among the diverse group of probiotic candidates, lactic acid bacteria (LAB) have emerged as the most promising ones. Natur...",Archives of microbiology,2025-Dec
41392918,Analysis of Oral and Gut Microbiota Composition in Children with Dental Caries by NGS Approaches.,"This study aimed to characterize oral and gut microbiota of children with high dmft index and caries-free children at phylum, family and species levels as well as to evaluate the effect of Streptococcus salivarius M18 DSM 14685 (Carioblis) administration on microbiota composition of caries active children.",Recent advances in inflammation & allergy drug discovery,2025
41392829,Improving Functional Properties of Not-From-Concentrate Apple Juices Through Probiotic Fermentation as Enhancer of Bioactivity and Phenolic Stability.,"The growing demand for non-dairy functional foods makes probiotic-enriched apple juice-a lactose-free, polyphenol-rich alternative-an attractive product aligned with contemporary health trends, representing a significant market opportunity for juice industries. This study evaluated the feasibility of using two commercial Not-From-Concentrate (NFC) apple juices (AJ1, AJ2) as a matrix for four probiotic strains (Lacticaseibacillus casei ATCC 393, Lacticaseibacillus rhamnosus ATCC 53103, Lactobacil...",Journal of food science,2025-Dec
41391856,Effect of Probiotics on Immunosuppressive Drug Pharmacokinetics: Interaction between Bacillus subtilis and Tacrolimus in Mice.,"The pharmacokinetics of drugs significantly affects their efficacy and adverse effects. Clarifying and predicting individual pharmacokinetic differences is crucial for the appropriate use of pharmaceuticals. Recent studies have suggested that the metabolic potential of intestinal bacteria may influence individual differences in pharmacokinetics. The consumption of probiotics, including supplements and fermented foods, has increased as a recent health trend. However, probiotics may also influence...",Biological & pharmaceutical bulletin,2025
41391486,"In Vitro and In Vivo Safety Evaluation of Streptococcus salivarius eK12, a Genetically Modified Dietary Probiotic Derived from the Oral Probiotic S. salivarius K12.","Group A Streptococcus (GAS) pharyngitis is a common and recurrent childhood illness, usually treated with antibiotics. While effective, repeated antibiotic use contributes to antimicrobial resistance, disrupts host microbiota, and increases adverse effects. Streptococcus salivarius K12 is an extensively studied probiotic for oral health, particularly for reducing the incidence of GAS pharyngotonsillitis. A modified version, S. salivarius eK12, has recently been developed from the wild-type K12 t...",Journal of microbiology and biotechnology,2025-Dec
41388744,Antihypertensive Effects of Curcumin/Turmeric Supplementation in Prediabetes and Diabetes: A Systematic Review and Meta-Analysis of Randomised Controlled Trials.,"Hypertension is a major cardiovascular risk factor in individuals with prediabetes and type 2 diabetes (T2D). Curcumin, with its anti-inflammatory and antioxidant properties, has emerged as a potential adjunct therapy, but its effect on blood pressure in this population remains unclear.","Endocrinology, diabetes & metabolism",2026-Jan
41387300,"Maternal Folic Acid Supplement Use, Folate Intake, and Preterm Birth Among Infants With Spina Bifida.",We sought to assess the extent to which folic acid supplementation and dietary folate intake are associated with preterm delivery among infants with spina bifida.,Birth defects research,2025-Dec
41385355,Effects of supplemental protein in older people: an overview of meta-analyses.,Benefits of supplemental protein in older people in different health states and settings are uncertain. This review aimed to determine the effects of supplemental protein on health outcomes in older people.,Age and ageing,2025-Nov
41384023,Vitamin D supplementation and its impact on leptin and interleukin-6 in women following religious intermittent fasting: a controlled study.,"Vitamin D deficiency is highly prevalent in populations following intermittent or religious fasting, particularly Orthodox nuns with limited sun exposure and dietary restrictions. Vitamin D may modulate adipokines and inflammatory markers, but clinical evidence remains inconsistent.",Frontiers in endocrinology,2025
41381568,"Klebsiella ARO112 promotes microbiota recovery, pathobiont clearance and prevents inflammation in IBD mice.","Precise microbiota modulation towards improving immune function and metabolic homeostasis is a major goal in clinical research. It is also critical for reducing pathogen invasion or pathobiont expansion, contributors to epidemic Inflammatory Bowel Diseases (IBD), where recurrent antibiotic treatments often exacerbate microbiota imbalances. Within the thousands of strains of a natural gut microbiota, we previously identified a specific Klebsiella strain, ARO112, capable of promoting resistance to...",Nature communications,2025-Dec
41381406,Postbiotics as Emerging Therapeutics for Skin Wound Healing and Dermatological Care: Clinical Trends and Mechanistic Insights.,"Postbiotics, non-viable microbial components or metabolites derived from probiotics, represent a promising new class of therapeutic agents in dermatological and wound-healing science. This review highlights the bioactive potential of postbiotics in modulating inflammation, enhancing tissue regeneration, and restoring microbiota balance in skin wounds. Through analysis of recent experimental and clinical studies, postbiotics were found to accelerate wound closure, stimulate collagen synthesis, an...",International wound journal,2025-Dec
41381207,Identifying priority countries for scaling up small-quantity lipid-based nutrient supplements.,"Undernutrition is a cause of nearly half of all deaths among children under 5 years old. Small-quantity lipid-based nutrient supplements (SQ-LNS) have been shown to prevent child wasting, stunting, anaemia and mortality among children 6-23 months of age in low- and middle-income countries (LMICs). Scaling up effective preventive interventions is urgent given the current global food insecurity and nutrition crisis.",BMJ global health,2025-Dec
41379772,Effects of supplementing hemp (Cannabis sativa L.) leaves in concentrate diet on carcass traits and meat characteristics of Longissimus muscle in goat kids.,"The influence of dietary hemp (Cannabis sativa L.) leaf (HL) supplementation in a concentrate diet on carcass traits, physicochemical properties, amino acids, ribonucleotides, lipid oxidation, and fatty acids of Longissimus thoracis et lumborum (LTL) muscle in goat kids was evaluated. Fifteen entire Thai native x Boer bucks (body weight: 16.28 ± 0.35 kg; age: 4 months) were randomly assigned to concentrate diets containing 0% (HL-0), 2% (HL-2), or 4% (HL-4) HL for 150 days, after which they were...",PloS one,2025
41379184,EFFICACY OF PROBIOTICS IN PREVENTING CHEMOTHERAPY-INDUCED DIARRHEA IN GASTROINTESTINAL CANCER PATIENTS.,"Chemotherapy-induced diarrhea is a common and distressing side effect experienced by patients undergoing cancer treatment, particularly those with gastrointestinal cancer. It can lead to significant health complications, including dehydration, electrolyte imbalances, and treatment interruptions. Recent studies have shown that the gut microbiome plays an important role in the development and severity of chemotherapy-induced diarrhea. Modulating the gut microbiome with probiotics has emerged as a ...",Arquivos de gastroenterologia,2025
41378857,"The Role of Gut Microbiota in Migraine: Effects of Probiotics, Prebiotics, and Their Combinations.","Migraine, a common neurological disorder affecting about 15% of the global population, severely impacts quality of life and poses a significant economic burden. While the exact causes of migraine remain unclear, factors like oxidative stress, neurogenic inflammation, mitochondrial dysfunction, and gut dysbiosis are implicated. Through the gut-brain axis, the gut microbiota appears to play a key role in migraine pathophysiology. Patients with migraine often exhibit gastrointestinal comorbidities,...",The European journal of neuroscience,2025-Dec
41376509,Natural Phytosterols as the Nutraceuticals or Functional Agents: Insights Into Structure-Activity Relationship.,"Phytosterols are naturally occurring ingredients widely present in dietary sources, with over 250 types identified. Mounting studies have shown they possess various health-promoting benefits, such as lowering-cholesterol, anti-inflammatory, and anti-oxidation effects. With these advantages, they are regarded as important bioactive components that are allowed to be incorporated into foods. However, their characteristics of low absorption, rapid metabolism, and excretion significantly limit their ...",Comprehensive reviews in food science and food safety,2026-Jan
41376461,"Effects of High Levels of Enzyme Blend With Probiotic on Performance, Intestinal Morphology, Microbial Population, and Immune Response in Broiler Chickens.","Enzymes and probiotics are added to animal feed to enhance growth and feed efficiency. However, the effects of high levels of enzyme blends combined with probiotics in broiler nutrition remain underexplored.",Veterinary medicine and science,2026-Jan
41375196,Blood in Capsules: Multi-Technique Forensic Investigation of Suspicious Food Supplement.,"This study presents the results of a multi-technique forensic investigation of suspicious soft capsules seized by law enforcement during a criminal case. The unlabeled samples, sold as therapeutic and ""regenerative"" food supplements, were examined using liquid chromatography-tandem mass spectrometry (LC-MS/MS), Fourier-transform infrared spectroscopy with attenuated total reflection (ATR-FTIR), chemiluminescence, and brightfield/confocal microscopy. These complementary analytical approaches reve...","Molecules (Basel, Switzerland)",2025-Nov
41375109,"Evaluation of the Elemental Composition of Dietary Supplements Containing Iron Available on the Polish Market Using ICP-OES, FAAS and CVAAS Techniques.","The Polish dietary supplement market is undergoing rapid development, driven by an increasing societal interest in preventative healthcare and the utilisation of products that have demonstrated efficacy. Poland is a leading European dietary supplement market, driven by a number of factors, including increased nutritional awareness, an ageing population, and intensive marketing efforts by manufacturers. In this study, the elemental composition of 24 dietary supplements containing iron, folic acid...","Molecules (Basel, Switzerland)",2025-Nov
41374094,Oral Supplementation with Prunus domestica L. Extract Restores Recognition Memory Impairment Caused by D-Galactose in Rats.,"Background/Objectives: Aging-related cognitive decline, linked to oxidative stress and impaired hippocampal neurogenesis, is a major contributor to neurodegenerative disorders. In rodents, this condition can be modeled by D-galactose (D-gal) administration, which induces oxidative stress and recognition memory deficits. Prunus domestica L. (PD), rich in phenolic and flavonoid compounds with antioxidant properties, may counteract such impairments. This study evaluated the effects of PD extract on...",Nutrients,2025-Dec
41374085,"Baduanjin Exercise, With or Without Vitamin D, Outperforms Vitamin D Alone in Reducing Frailty Among Institutionalized Older Adults: A Cluster-Based Randomized Controlled Trial.","Background: Frailty is a common condition among older adults residing in long-term care facilities and is associated with adverse health outcomes. Physical exercise and vitamin D supplementation have been proposed as preventive and therapeutic strategies, yet the combined effects of the two interventions remain uncertain. This cluster-based randomized controlled trial evaluated the independent and combined effects of Baduanjin exercise and vitamin D supplementation on frailty among residents of ...",Nutrients,2025-Dec
41374052,"Probiotic Supplementation Can Alter Inflammation Parameters and Self-Reported Sleep After a Marathon: A Randomized, Double-Blind, Placebo-Controlled Study.","Background: Sleep is essential for athletes' physical performance and recovery. However, strenuous exercise has the potential to increase inflammation and worsen sleep. This study evaluated the effect of probiotic supplementation on self-reported sleep quality, daytime sleepiness, and inflammatory profile 24 h after a marathon. Methods: 27 marathon male runners were divided into the Probiotic group (Probiotic n = 14) or the Placebo group (Placebo n = 13). The Probiotic group consumed 1 × 1010 CF...",Nutrients,2025-Nov
41374046,Assessment of the Isolated and Combined Impact of β-Glucan and Lacticaseibacillus rhamnosus on Cystic Fibrosis Gut Microbiota Using a SHIME® System.,"Cystic fibrosis (CF) is a genetic disorder that disrupts gut microbiota composition, promoting dysbiosis associated with chronic inflammation, impaired nutrient absorption, and poor clinical outcomes. While modulation of the intestinal microbiota through prebiotics, probiotics, and synbiotics has been proposed as a therapeutic strategy, clinical evidence remains limited, especially in children.",Nutrients,2025-Nov
41374044,"Community Pharmacists' Knowledge, Attitudes, and Readiness to Provide Counseling on Food Supplements-A Scoping Review.","Food supplements (FSs) are widely used by the general population and are commonly available in community pharmacies. As highly accessible healthcare professionals, pharmacists are well positioned to provide evidence-based information and guidance regarding their safe and appropriate use. Adequate knowledge of FSs is essential for pharmacists to prevent adverse effects, identify potential interactions with other medications, and ensure rational use. The objective of this study was to assess commu...",Nutrients,2025-Nov
41374029,"Effects of L-Citrulline Supplementation on Endothelial Function, Arterial Stiffness, and Blood Glucose Level in the Fasted and Acute Hyperglycemic States in Middle-Aged and Older Adults with Type 2 Diabetes.","Background: Acute and chronic hyperglycemia in patients with type 2 diabetes mellitus (T2DM) causes endothelial dysfunction and arterial stiffness, contributing to early mortality from cardiovascular disease (CVD). Although L-citrulline (CIT) supplementation improves endothelial function in older women and decreases fasting glucose in those with T2DM, whether it improves vascular function and blood glucose during acute hyperglycemic states in T2DM is unknown. Methods: We randomized 16 patients w...",Nutrients,2025-Nov
41374026,"Dose-Response Effects of Short-Term Rhodiola rosea (Golden Root Extract) Supplementation on Anaerobic Exercise Performance and Cognitive Function in Resistance-Trained Athletes: A Randomized, Crossover, Double-Blind, and Placebo-Controlled Study.","Background: Rhodiola rosea (RR) is marketed as an adaptogen; however, evidence for acute/short-term effects-and especially dose-response effects-in trained adults across performance and cognition is limited. Objective: Test whether RR improves resistance performance (strength, power) and executive function in resistance-trained adults using a randomized crossover with placebo and a capsule-free baseline. Methods: In a randomized, double-blind, crossover trial with four conditions-no-capsule cont...",Nutrients,2025-Nov
41374014,Exploring Dietary Supplement Utilization Patterns Among African American Survivors of Prostate and Breast Cancer: A Cross-Sectional Analysis.,"Background/Objectives: Cancer survivors are a growing population in the United States, with projections of 22.5 million by 2030. Cancers of the prostate (PC) and breast (BC) are among the most prevalent. Despite a high burden of disease, African American survivors are underrepresented in health behavior research. Leveraging two large databases, this study uniquely characterizes dietary supplement (DS) use among African American cancer survivors to explore potential intervention points. Methods: ...",Nutrients,2025-Nov
