pmid,title,abstract,journal,pub_date
40931979,Probiotics for the prevention of Clostridioides difficile-associated diarrhea in adults and children.,"Antibiotics can disturb gastrointestinal microbiota, which may lead to reduced resistance to pathogens such as Clostridioides difficile. Probiotics are live microbial preparations that, when administered in adequate amounts, may confer a health benefit to the host, and are a potential C difficile infection prevention strategy.",The Cochrane database of systematic reviews,2025-Sep
40931813,Effects of the Probiotics Lactobacillus rhamnosus DM163 and Lactobacillus delbrueckii DPUL-F36 on Anxiety-Related and Emotional Behaviors in Male Wistar Rats Under an Altered Light-Dark Cycle.,"Anxiety and stress are prevalent mental health issues. Traditional drug treatments often come with unwanted side effects and may not produce the desired results. As an alternative, probiotics are being used as a treatment option due to their lack of specific side effects. Probiotics are live microorganisms that, in sufficient amounts, benefit the host's health. The human digestive tract naturally contains hundreds of different types of bacteria; among these bacteria, probiotic strains of Lactoba...",Brain and behavior,2025-Sep
40931392,"Chlorophylls and β-carotene in Spirulina platensis Dietary Supplements: Nano Liquid Chromatography Versus Diffuse Reflectance Spectroscopy for Establishing Composition, Quality Control, and Comparison of Commercial Products.","Spirulina is considered a superfood due to its chlorophylls. Two new methods for the determination of chlorophylls and β-carotene were developed here, one based on in-tube solid-phase microextraction (IT-SPME) coupled online to nanoliquid chromatography (nanoLC) with diode array detection (DAD), and the other on ultraviolet-visible diffuse reflectance spectroscopy (UV-vis DRS). A protocol to extract the pigments from spirulina was proposed using ethanol (1.5 mL). The aim is to provide fast and e...",Journal of separation science,2025-Sep
40930836,Effects of fermentable fiber and polyphenol supplementation on mood and cognition in adults during hypobaric hypoxia exposure.,"This study investigated the effects of fermentable fiber and polyphenol supplementation on mood and cognition following rapid ascent to simulated 4300 m. Healthy adults (n = 13, 21 ± 3 years) participated in a randomized, placebo-controlled crossover study consisting of three, 2-week phases separated by ≥1 week. Food products containing the fiber and polyphenol supplement or placebo were consumed during each phase. During the final 2 days of each phase, participants resided in a hypobaric chambe...",Physiological reports,2025-Sep
40929548,Iodine deficiency and iodine supplementation in pregnancy and lactation. A literature review.,"Aim: Iodine is an essential nutrient for the synthesis of thyroid hormones. It has a huge impact on the normal brain development of the foetus and the health of the pregnant woman. During pregnancy and lactation, the need for iodine increases significantly. This review aims to summarize the role of iodine supplementation in addressing these elevated demands and preventing associated health risks..",Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,2025
40927946,Effects of Walnut (Juglans regia L.) Green Husk Supplemented to Total Mixture Ration on In Vitro Rumen Fermentation Parameters and Microbial Protein Synthesis.,"The aim of this experiment was to determine the effects of walnut (Juglans regia L.) green husk (WGH) supplemented to ration on rumen fermentation by in vitro gas production technique. WGH was supplemented at different ratios (0%, 2%, 4%, 6%, 8%, and 10%) to the total mixture ration formed from 80%/20% roughage/concentrate feed. Experimental rations were incubated with 1/2 rumen fluid/artificial saliva mixture in in vitro gas production syringes in a water bath at 39°C ± 1°C for 24 h. WGH supple...",Animal science journal = Nihon chikusan Gakkaiho,2025
40924744,Nutritional supplement containing a nuclear fraction of bovine thymus gland increases the circulating levels of spermidine.,"Polyamines (PAs), including spermidine, spermine and their precursor, putrescine, are ubiquitous molecules that are vital for a variety of physiological processes. Recently, PAs gained research attention because of their roles in promoting longevity and preventing age-related diseases. Circulating and tissue levels of PAs appear to decline with age, while higher intake of PAs in humans is correlated with better health during aging. Many foods, including plants and offal (organ meats), are good s...",PloS one,2025
40923755,Genomic Analysis for the Safety Assessment of a Potential Probiotic Strain Pediococcus pentosaceus BBS1 Isolated From Lao Fermented Bamboo Shoots (Nor Mai Som).,"Currently, there is an increasing use of whole-genome sequencing (WGS) studies to investigate the molecular taxonomy, metabolic properties, enzyme capabilities, and bioactive substances of lactic acid bacteria (LAB) species. In this study, the genome of strain Pediococcus pentosaceus BBS1 was sequenced using the Illumina HiSeq. 2500 platform to determine its classification, annotate its main features, and evaluate its safety characteristics. Results showed an average nucleotide identity (ANI) va...",MicrobiologyOpen,2025-Oct
40922191,Conception of novel protein-polysaccharide complex coacervation based on Hemp proteins and Kudzu starch for the microencapsulation of Limosilactobacillus reuteri DSM 17938 probiotic strain.,"Limosilactobacillus reuteri probiotics were encapsulated in Kudzu starch (KS) and Hemp protein (HP) complex coacervates (CC), followed by spray drying, to enhance their stability and boost their viability. The optimized conditions for CC consisted of a KS:HP ratio of 1:2 (w/w) and pH 5.0. The techno-functional properties displayed the following decreasing order for water and fat holding capacities: KS > KS-HP (CC) > HP, with improved emulsifying properties for CC compared to the individual wall ...","Food research international (Ottawa, Ont.)",2025-Nov
40922182,Hydrogen-rich water supplementation attenuates oxidative stress and inflammation in chronic high-altitude disease patients: A double-blind randomized placebo-controlled study.,"Chronic high-altitude disease (CHAD) is primarily driven by oxidative damage and inflammation. Hydrogen-rich water (HRW) is a novel functional food with demonstrated antioxidant and anti-inflammatory properties. However, its potential effects on inflammation and oxidative stress in CHAD remain unexplored. In this study, 50 participants with CHAD were recruited and assigned to the HRW or placebo water (PW) group for 60 days. After seven participants were lost to follow-up, 43 participants (HRW, n...","Food research international (Ottawa, Ont.)",2025-Nov
