pmid,title,abstract,journal,pub_date
42286034,Dietary lactic acid and rosemary leaf supplementation enhances growth and immune responses in Nile tilapia (Oreochromis niloticus).,"The present study investigated the individual and combined effects of lactic acid and rosemary meal on growth performance, biochemical parameters, immune responses, the expression of growth and antioxidant-related genes, intestinal morphology, and oxidative status in Nile tilapia (Oreochromis niloticus). A total of 120 apparently healthy fish, with an average weight of 3.03 ± 0.02 g, were randomly assigned to four equal groups, each consisting of three replicates. Four experimental diets were fo...",Scientific reports,2026-Jun
42280427,The Influence of Bovine Colostrum and Sodium Butyrate Supplementation on Gut Microbiota and the Intestinal-Liver Axis in Weaned Piglets.,"Dietary supplementation with sodium butyrate or bovine colostrum modulates the gut-liver axis in weaned piglets. Sodium butyrate exerted beneficial effects on liver function and lipid parameters, while also inhibiting inflammation and promoting the maintenance of the intestinal barrier. A particularly pronounced effect was observed with bovine colostrum supplementation, which significantly increased average daily weight gain (p < 0.001). In addition, piglets receiving colostrum consumed more fee...",Nutrients,2026-Jun
42280420,Effect of a Very-Low-Protein Diet Supplemented with Ketoacid Analogues on Arteriovenous Fistula Maturation and Endothelial Function: A Prospective Observational Study.,"Arteriovenous fistula (AVF) maturation is a critical determinant for successful hemodialysis in patients with end-stage renal disease (ESRD). Endothelial dysfunction and arterial stiffness, which are highly prevalent in advanced chronic kidney disease (CKD), frequently impair AVF maturation. Emerging evidence suggests that a very-low-protein diet (VLPD) supplemented with ketoacid analogues (KA) mitigates nitrogenous waste accumulation and positively influences vascular health by reducing inflamm...",Nutrients,2026-May
42280407,Nutritional Interventions Targeting the Gut Microbiome in MASLD: From Prebiotics and Probiotics to Postbiotics and Fecal Microbiota Transplantation.,"Metabolic dysfunction-associated steatotic liver disease (MASLD) is a highly prevalent liver-centred manifestation of systemic metabolic dysfunction. The gut-liver axis provides a biologically credible therapeutic rationale because intestinal dysbiosis, impaired barrier integrity, microbial metabolites, bile acid signalling, short-chain fatty acids, and trimethylamine N-oxide may influence hepatic steatosis, inflammation, and fibrogenesis. This narrative review critically evaluates dietary patte...",Nutrients,2026-May
42280391,Maternal palmitoleic acid supplementation attenuates neurodegenerative programming in aged offspring exposed to gestational diabetes.,"Background/Objectives: Maternal hyperglycemia is associated with adverse neurodevelopmental outcomes in offspring; however, its long-term effects on brain aging remain unclear. This study investigated whether maternal hyperglycemia induces persistent molecular and behavioral alterations in aged male offspring and whether maternal palmitoleic acid supplementation exerts protective effects. Methods: The pregnant rats were divided into four groups: PCM, PDM, PDM/CPA, and PDM/TPA. Male offspring wer...",Nutrients,2026-May
42280386,Efficacy of Human Milk Oligosaccharide 6'-Sialyllactose Supplementation on Exercise Performance and Training Adaptations.,"Background/Objectives: The purpose of this proof-of-concept study was to examine the effects oligosaccharide 6'-sialyllactose (6'-SL) supplementation (900 mg/d) during training on exercise performance and training adaptations in recreationally active males. Methods: In a randomized, double-blind design, 19 healthy males (24.4 ± 6.0 yrs, 174.9 ± 5.9 cm, 82.0 ± 15.2 kg, 27.1 ± 4.7 kg/m2, 26.4 ± 6.9% body fat) ingested 3 × 300 mg/d of a placebo or 6'-SL for 12 weeks while partaking in a supervised ...",Nutrients,2026-May
42280382,Safety Assessment of Eubacterium limosum El1405 and Its Protective Effect Against Salmonella Typhimurium Infection in Mice.,"Background/Objectives:Eubacterium limosum El1405 is a novel probiotic candidate strain that has been shown to exert prominent anti-inflammatory and anti-tumor bioactivities, with potential antibacterial activity against pathogenic bacteria. This study aimed to systematically evaluate the safety of E. limosum El1405 and its probiotic functions and protective effects against pathogenic bacterial infection. Methods: The safety of E. limosum El1405 was assessed through in vitro assays of hemolytic a...",Nutrients,2026-May
42280367,Lactobacillus rhamnosus GG Alleviates Colitis by SLC5A12-Mediated Th17/Treg Cell Balance in Mice.,"Background/Objectives: Lactobacillus rhamnosus GG (LGG) is one of the most widely utilized probiotic strains with a variety of biological functions including prevention and treatment of gastro-intestinal infections and regulation of immune responses. Methods: Here, we explored the role of LGG in regulating the differentiation of naïve CD4+ T cells and its effect on alleviating the dextran sulfate sodium (DSS)-induced colitis in mice. Results: In vitro, we showed that LGG-derived metabolites not ...",Nutrients,2026-May
42280358,Comparative Analysis of L-Carnitine and Coenzyme Q10 Adverse Reaction Reports Using the EudraVigilance Database: Implications for Health and Sports Supplementation.,"Background/Objectives: L-carnitine and Coenzyme Q10 (CoQ10) are widely used in health and sports supplementation settings to improve energy metabolism, reduce fatigue, and support recovery. Although generally perceived as safe, their safety profiles are mainly based on pre-marketing studies and selected clinical populations, while real-world pharmacovigilance evidence remains limited. This study aimed to evaluate and compare the adverse drug reaction (ADR) reporting patterns associated with L-ca...",Nutrients,2026-May
42280350,Effect of L-Citrulline Supplementation on Endothelial Function and Body Composition in Post-COVID-19 Syndrome: A Randomized Clinical Trial.,"Background: Post-COVID-19 syndrome is associated with endothelial dysfunction (ED) and various sequelae, particularly in individuals who experienced critical illness during the acute phase, affecting lung function and the musculoskeletal system. L-citrulline, a nonessential amino acid, has been shown to improve endothelial function, systemic inflammation, blood pressure, and physical performance. This study aimed to assess the effects of L-citrulline supplementation on ED and body composition in...",Nutrients,2026-May
