pmid,title,abstract,journal,pub_date
40632831,The effect of vitamin supplementation on neurodevelopmental and clinical outcomes in very low birth weight and very preterm infants: A systematic review and meta-analysis.,"Nutrition is vital for preterm infant development. Vitamins play key roles as cofactors and gene regulators for metabolic and immune functions and are common added components of preterm infant nutrition. However, information on how vitamins impact in-hospital and neurodevelopmental outcomes is sparse. We aimed to determine the effect of fat- and water-soluble vitamin supplementation on clinical outcomes during neonatal care and later neurodevelopment of very preterm (≤32 weeks' gestation) and ve...",PloS one,2025
40629662,Different associations between dietary or supplemental vitamin C intake and HPV infection in American women: A cross-sectional study.,"Evidence regarding the relationship between dietary or supplemental vitamin C intake and human papillomavirus infection is limited. Therefore, this study aimed to evaluate if dietary and/or supplemental vitamin C intake is independently associated with human papillomavirus (HPV) infection and compare them. The analysis utilized data extracted from the National Health and Nutrition Examination Survey spanning from 2007 to 2016. The study cohort comprised 950 women within the age range of 18 to 59...",Medicine,2025-Jul
40611181,Public self-reported adverse experience and knowledge about use of herbal and dietary supplements.,"Herbs and dietary supplement (HDS) use has become increasingly used among the Thai population due to greater health awareness and easier product access. However, research on adverse events from HDS and information needs relating to HDS among the Thai population is limited. This study aims to explore use, adverse experiences, self-assessed knowledge and perspectives on HDS among the general public in Thailand.",BMC complementary medicine and therapies,2025-Jul
40584396,Efficacy of vitamin C supplementation during pregnancy in the prevention of preterm birth: a systematic review and meta-analysis.,"Preterm birth is a leading global cause of neonatal mortality and morbidity, with oxidative stress playing a role in its pathogenesis. Vitamin C, a powerful antioxidant, may help reduce this risk. This study assessed the effectiveness of vitamin C supplementation, both alone and with vitamin E, in preventing preterm birth compared to a placebo.",Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia,2025
40532258,Oral vitamin C supplementation decreased low-density lipoprotein in adults on hemodialysis: A systematic review and meta-analysis.,"Plasma concentration of vitamin C tends to be lower in hemodialysis (HD) patients. Factors that could contribute to this include losses during dialysis and insufficient intake of vitamin C. Furthermore, vitamin C deficiency in HD patients may be related to inflammatory state, oxidative stress, endothelial dysfunction, and cardiovascular disease. We hypothesized that oral vitamin C supplementation improves lipid profile and diminishes inflammation and oxidative stress. Randomized clinical trials ...","Nutrition research (New York, N.Y.)",2025-Jul
40508019,"A Plant-Based Dietary Supplement Exhibits Significant Effects on Markers of Oxidative Stress, Inflammation, and Immune Response in Subjects Recovering from Respiratory Viral Infection: A Randomized, Double-Blind Clinical Study Using Vitamin C as a Positive Control.","Respiratory viruses continue to present serious health challenges to human wellness. Growing evidence suggests that the more severe and damaging effects and symptoms of influenza, rhinovirus (RV), respiratory syncytial virus (RSV), and COVID-19 may primarily result from their common ability to disorganize the body's healthy immune response. The simultaneous over-stimulation of several reactive oxygen species (ROS) pathways and concurrent suppression of bioavailable Nitic Oxide (NO) contribute to...",International journal of molecular sciences,2025-May
40498939,Nutritional content of vitamin and mineral supplements aimed at children in the peruvian market: analysis of compliance with recommendations.,We described the nutritional content of vitamin and mineral dietary supplements for children on the Peruvian market and their compliance to the recommended dietary intake. A cross-sectional study was carried out with the information declared on the packaging of 34 products sold in pharmacies during 2022. The daily doses of each micronutrient were calculated according to the manufacturer's instructions; we also estimated the compliance with the recommended dietary allowance (RDA) and the tolerabl...,Revista peruana de medicina experimental y salud publica,2025-Jun
40465650,"Production of probiotic garden cress (Lepidium Sativum) using Bifidobacterium Bifidum and its evaluation of nutritional value, biocontrol and growth rate ability.","Probiotics are one of the most beneficial elements in human health. Several studies have confirmed the health benefits of probiotics. The consumption of fermented vegetables is widespread worldwide and represents an important component of the human diet for a growing global population. In recent years, consumers have become more aware of the relationship between food and health, which has led to an increase in interest in functional foods. The global market for probiotic foods is growing rapidly...",PloS one,2025
40449647,Vitamin C supplementation mitigates mild cognitive impairment in mice subjected to D-galactose: Insights into intestinal flora and derived SCFAs.,"With the acceleration of population ageing, there has been increasing attention to ageing-related diseases, especially mild cognitive impairment (MCI). Vitamin C (VC), known as ascorbic acid, has demonstrated potential anti-ageing effects and may offer protection against MCI. The study sought to investigate the underlying mechanisms by which VC protects against MCI induced by D-galactose (D-gal).",European journal of pharmacology,2025-Aug
40444640,"Effects of Vitamin C Supplementation on Total Antioxidant Status, Inflammation, and Histopathological Changes in Aged Rats.","This study aims to determine the effect of orally administered vitamin C (Vit C) supplementation on physiological and histopathological changes in aged rats of different genders. A total of 28 Sprague-Dawley aged male and female rats were randomly divided into four groups of seven animals per group. The study groups included the aged male control (MC), aged male with Vit C (MVC) (500 mg/kg vitamin C, orally) supplementation, female aged control (FC), and female aged with vitamin C (FVC) (500 mg/...",Journal of biochemical and molecular toxicology,2025-Jun
40436569,Dietary vitamin C improves muscle hardness and springiness associated with collagen and elastin synthesis in grass carp (Ctenopharyngodon idella).,"This study explored the effects of dietary vitamin C on growth performance, flesh quality, and collagen and elastin content in adult grass carp (Ctenopharyngodon idella). A total of 540 fish (initial weight 585.00 ± 0.96 g) were randomly distributed into six groups, with three replicates per group and 30 fish per replicate. Fish were fed six experimental diets containing 4.01, 44.13, 83.47, 124.17, and 167.18 mg/kg L-ascorbyl-2-polyphosphate (C2PP), as well as 82.82 mg/kg ethylcellulose-coated a...","Food research international (Ottawa, Ont.)",2025-Aug
40415164,Association of antioxidants intake in diet and supplements with risk of Alzheimer's disease: a systematic review and dose-response meta-analysis of prospective cohort studies.,"Previous studies have shown that antioxidants may be associated with risk of Alzheimer's disease (AD). However, some findings have failed to demonstrate a significant correlation. To rigorously evaluate this relationship, a comprehensive review and meta-analysis were conducted.",Aging clinical and experimental research,2025-May
40283009,Utilization of Dietary Supplements in People with the Atopic Triad in Korea: A Cross-Sectional Study Using KNHANES (2018-2021).,"Background and Objectives: Studies investigating the types of dietary supplements associated with the atopic triad using large-scale data remain limited. We assessed the prevalence of the atopic triad, the types of dietary supplements used, and their associations in Korean adults using a 4-year national survey data. Materials and Methods: This cross-sectional study utilized data from the Korea National Health and Nutrition Examination Survey (2018-2021). Adults aged ≥ 19 years were included. Des...","Medicina (Kaunas, Lithuania)",2025-Apr
