pmid,title,abstract,journal,pub_date
40963202,Single high-dose vitamin D supplementation impacts ultramarathon-induced changes in serum levels of bone turnover markers: a double-blind randomized controlled trial.,"Recent studies indicate a protective role of vitamin D supplementation against sports performance-induced dysregulation of body homeostasis. However, the effects of a single high dose of vitamin D on changes in bone formation and resorption markers due to ultramarathon running have yet to be explored. This study aimed to analyze the effect of a single high-dose vitamin D supplementation on serum levels of bone turnover markers after a mountain ultramarathon run.",Journal of the International Society of Sports Nutrition,2025-Dec
40944257,Vitamin D Supplementation Enhances Cognitive Outcomes in Physically Active Vitamin D-Deficient University Students in the United Arab Emirates: A 10-Week Intervention Study.,"Background/Objectives: Vitamin D deficiency is a global epidemic. In certain populations, such as the United Arab Emirates (UAE), low nutritional intake of vitamin D, inadequate exposure to sunlight, and cultural dress codes can lead to deficiencies in blood vitamin D levels, predisposing them to musculoskeletal disorders, diabetes, and cardiovascular diseases. There are also notable associations between vitamin D deficiency, physical inactivity, and lower cognitive performance. The aim of this ...",Nutrients,2025-Sep
40937940,[Liposomal technologies and the prospect of their use for creation of foods for special dietary uses].,"The most effective and expedient way to improve the supply of the population with the essential nutrients is additional enrichment of food and the use of functional food, food for special dietary uses and dietary supplements in nutrition. One of the micronutrient delivery systems is liposome - microscopic phospholipid vesicle. The purpose of the review was to characterize the methods of obtaining liposomal forms of nutrients, to analyze the range of liposomal forms of nutrients of domestic and f...",Voprosy pitaniia,2025
40776878,Impact of Vitamin D3 Supplementation on Androgens and Semen Parameters in Infertile Men: A Systematic Review and Meta-Analysis Based on Prospective Randomised Controlled Trials.,This study aims to investigate the effects of vitamin D3 supplementation on androgen levels and semen parameters in infertile men.,Archivos espanoles de urologia,2025-Jul
40735907,Vitamin D3 supplementation enhances the effect of aerobic water-based training on physical fitness indices in obese and overweight menopausal women: A randomized controlled trial.,"Obesity is associated with decreased physical performance, especially in older individuals. Some studies have examined the impact of exercise on obesity outcomes as part of a palliative care program.","Women's health (London, England)",2025
40680899,Very high-dose vitamin D₃ supplementation reduces the expression of genes and proteins engaged in β-oxidation in healthy pigs.,"Vitamin D plays a multifaceted role in the body, influencing a wide range of physiological processes. While its benefits in deficiency states are well recognized, the effects of high-dose vitamin D₃ supplementation in vitamin D-sufficient individuals remain poorly understood. In this study, we applied an integrative transcriptomic and proteomic approach to assess the dose-dependent effects of long-term dietary vitamin D₃ supplementation (5000 and 10,000 IU/kg feed) in healthy pigs. Despite the a...",The Journal of steroid biochemistry and molecular biology,2025-Nov
40646472,Effect of vitamin D3 supplementation starting mid-pregnancy on placental angiogenic factors and terminal villi: a secondary analysis of a randomized controlled trial in Bangladesh.,"Angiogenesis is essential for placental growth and development. Improper placental vascular development can reduce blood flow to the fetus and increase the risk of adverse pregnancy and birth outcomes. The objectives of this study were to examine the effect of prenatal vitamin D supplementation on placental angiogenic factors and terminal villi, and associations between angiogenic factors, terminal villi and birth outcomes.",BMC pregnancy and childbirth,2025-Jul
40646117,Impact of vitamin D3 supplementation on motor functionality and the immune response in Parkinson's disease patients with vitamin D deficiency.,"Parkinson's disease (PD) patients frequently exhibit vitamin D deficiency and an imbalance in T helper 17 (Th17) and regulatory T (Treg) cells, which may contribute to disease pathogenesis. Preclinical evidence suggests vitamin D regulates Th17/Treg balance, but the therapeutic effects of supplementation in PD remain unestablished. This randomized controlled trial investigated peripheral blood levels of vitamin D, Treg, and Th17 cells in PD patients, examined their associations with clinical out...",Scientific reports,2025-Jul
40582869,Relationship between Circulating Vitamin D Concentration and the Maternal Gut Microbiota during Early Pregnancy in Japanese Women: Results of a Pilot Study of Antenatal Vitamin D3 Supplementation.,"Recent studies have demonstrated a significant role for gut microbiota dysbiosis in the pathogenesis of various diseases, pregnancy outcomes, and fetal growth. Vitamin D modulates innate immunity and promotes immune tolerance, suggesting involvement in shaping the gut microbiota. However, the relationship between vitamin D and the gut microbiota during pregnancy has not been evaluated in detail. In this study, we administered a vitamin D3 supplement (VD) to pregnant Japanese women, starting duri...",Journal of nutritional science and vitaminology,2025
40523551,The Effect of Vitamin D3 supplementation on Flunitrazepam-Induced testicular dysfunction in Wistar rats.,"Prolonged flunitrazepam use has been reported to be increasing among young adolescents, and it has been reported to induce hyperprolactinemia, causing gross impairment of testicular function, ultimately resulting in male infertility. Hence, this current study seeks to examine the possible protective potential of the micronutrient Vitamin D3 in mitigating flunitrazepam-induced testicular dysfunction. Adult male rats (Wistar strain), weighing 200-220 g, were categorized into four groups: Vehicle [...",Steroids,2025-Sep
40507157,Improving Vitamin D Status in Preterm Newborns: A Randomized Trial of 800 vs. 400 IU/Day.,"Background and Aims: Preterm newborns are particularly susceptible to hypovitaminosis D, potentially impairing bone mineralization. In Thailand, data on its prevalence and standardized supplementation protocols remain limited. This study aimed to compare the efficacy of two vitamin D3 dosages (400 IU/day vs. 800 IU/day) in improving serum vitamin D concentrations and metabolic bone parameters in preterm newborns. Methods: A randomized controlled trial was conducted in preterm newborns born at ≤3...",Nutrients,2025-May
40492748,Boosting Testosterone Naturally in Hashimoto's: A Case Report on Trans-Geranylgeraniol Supplementation.,"This case report details an integrative nutrition approach for a 27-year-old male diagnosed with Hashimoto's thyroiditis, suboptimal testosterone levels, and gut dysbiosis. Initially diagnosed in 2020, the patient presented with persistent thyroid autoimmunity and vitamin D insufficiency, but maintained stable androgen levels until 2023. Early interventions focused on foundational strategies, including anti-inflammatory dietary modifications, removal of gluten and dairy, and repletion of key nut...",Alternative therapies in health and medicine,2025-Sep
40461092,Effectiveness of supplementation with different doses of calcifediol in HIV patients with vitamin D deficiency.,"People with HIV (PWH) often exhibit vitamin D deficiency, with ambiguous treatment guidelines. This study evaluates the effectiveness of three vitamin D3 calcifediol supplementation regimens over 48 weeks, aiming to identify patients whose serum levels do not increase above 20ng/mL.",Enfermedades infecciosas y microbiologia clinica (English ed.),2025
40452069,Effect of supplementation with vitamin D on biochemical markers of iron status and erythropoiesis in older people: BEST-D trial.,"Previous observational studies suggested that vitamin D may control the absorption of iron (Fe) by inhibition of hepcidin, but the causal relevance of these associations is uncertain. Using placebo-controlled randomisation, we assessed the effects of supplementation with vitamin D on biochemical markers of Fe status and erythropoiesis in community-dwelling older people living in the UK. The BEST-D trial, designed to establish the optimum dose of vitamin D3 for future trials, had 305 participants...",The British journal of nutrition,2025-Jul
40445221,Assessment of the effect of routine-dose vitamin D3 supplementation in Chinese women of childbearing age with vitamin D insufficiency.,"It was reported that vitamin D deficiency is common in Chinese women of childbearing age. Although most government dietary guidelines recommend routine-dose (400-800 IU/d), the evidence from intervention studies using routine-dose is quite limited.",European journal of nutrition,2025-May
40442818,Effects of vitamin D supplementation on symptoms and clinical outcomes in adults with different baseline vitamin D levels: an interventional study.,"Hypovitaminosis D or vitamin D deficiency is a significant public health issue. Several vitamin D preparations are currently available. However, there is no consensus on the optimal dose and duration of vitamin D supplementation. This study aimed to evaluate the effects of vitamin D supplementation on symptoms and clinical outcomes in adults with insufficient or deficient baseline vitamin D levels.","Journal of health, population, and nutrition",2025-May
40429727,"Association of Vitamin D Supplementation with Glutathione Peroxidase (GPx) Activity, Interleukine-6 (IL-6) Levels, and Anxiety and Depression Scores in Patients with Post-COVID-19 Condition.","Coronavirus disease 2019 (COVID-19) presents with various symptoms, and some patients develop post-COVID-19 condition (PCC). Vitamin D has shown therapeutic potential in COVID-19 and may offer benefits for PCC. The aim of this study was to evaluate the differences associated with two supplementation strategies (bolus and daily) on interleukin-6 (IL-6) levels, glutathione peroxidase (GPx) activity, and clinical outcomes in PCC patients, regardless of whether target 25 (OH) D levels reached the id...",International journal of molecular sciences,2025-May
40409468,Vitamin D3 and marine ω-3 fatty acids supplementation and leukocyte telomere length: 4-year findings from the VITamin D and OmegA-3 TriaL (VITAL) randomized controlled trial.,"Limited studies suggest that vitamin D or omega 3 fatty acids (n-3 FAs) supplementation may be beneficial for telomere maintenance, however, evidence from large randomized clinical trial is lacking.",The American journal of clinical nutrition,2025-Jul
40396728,Stronger together: harnessing natural algal communities as potential probiotics for inhibition of aquaculture pathogens.,"Intensive fish rearing in aquaculture is challenged by infectious diseases, and although vaccines have been successfully developed for mature fish, alternative disease control measures are needed for fish larvae and juveniles. Probiotics offer a promising alternative to antibiotics, with the potential to reduce the risk of antibiotic resistance. Probiotics are typically isolated and used as pure cultures; however, in natural environments, it is the concerted effort of the complex microbiome that...",Microbiology spectrum,2025-Jul
40358165,Impact of Chronic Cold Water Immersion and Vitamin D3 Supplementation on the Hippocampal Metabolism and Oxidative Stress in Rats.,"Chronic cold exposure is a stressor that may adversely affect the hippocampal structure and cognitive function. Critical for memory formation and learning processes, the hippocampus is particularly susceptible to hypothalamic-pituitary-adrenal (HPA) axis activity and elevated glucocorticoid levels. Vitamin D plays a complex role in regulating mitochondrial function and may provide neuroprotection. This study aimed to investigate the effects of chronic cold exposure on proteins associated with si...",Cells,2025-Apr
40332575,Updated Meta-Analysis on Vitamin Supplementation for Chronic Pruritus: Expanding Evidence Beyond Vitamin D.,"Chronic pruritus is a distressing condition associated with various dermatological and systemic diseases, significantly impairing patients' quality of life. While conventional treatments such as antihistamines and corticosteroids offer relief, their efficacy varies, and long-term use may lead to adverse effects. Emerging evidence suggests that certain vitamins, including vitamin D, vitamin E, vitamin B12, and niacinamide (B3), may play a role in alleviating pruritus through their anti-inflammato...",International journal of molecular sciences,2025-Apr
40310565,Effects of vitamin D supplementation on acute respiratory tract infections in 6-8-year-old children: a randomized clinical trial.,"Vitamin D supplementation during winter may protect children from acute respiratory tract infections (ARTI), especially at Northern latitudes where dermal vitamin D synthesis is negligible. This study aimed to investigate our hypothesis that vitamin D supplementation would have beneficial effects on ARTI in children during extended winter.",European journal of nutrition,2025-May
40277196,Effect of vitamin D supplementation on frozen embryo transfer cycle outcomes.,"The role of serum 25-OH D3 (D3) in the physiology and regulation of the female genital system has gained significant research interest. Recent data have suggested that sufficient D3 levels are associated with improved outcomes of in vitro fertilization (IVF), although other studies failed to confirm so. Screening for D3 levels before IVF is becoming common practice in many IVF centres, and D3 insufficiency is treated with supplements before treatment. However, little is known about the effect of...","Human fertility (Cambridge, England)",2025-Dec
40243375,The Effect of Vitamin D3 Supplementation on the Incidence of Diagnosed Dementia Among Healthy Older Adults-The Finnish Vitamin D Trial.,"Some short-term vitamin D supplementation trials suggest benefits on cognitive performance, but apart from observational studies, there is little evidence whether long-term vitamin D supplementation can prevent development of dementia. We investigated whether vitamin D3 supplementation could affect the incidence of diagnosed dementia in a generally healthy population.","The journals of gerontology. Series A, Biological sciences and medical sciences",2025-Jun
