pmid,title,abstract,journal,pub_date
40678824,Therapeutic Potential of Lactobacillus plantarum ATG-K2 in Bacterial Vaginosis: In Vitro and In Vivo Evidence.,"Bacterial vaginosis (BV) is characterized by reduced vaginal lactobacilli and pathogenic bacteria proliferation, leading to symptoms such as vaginal epithelial cell detachment and unpleasant odor, along with various complications. Most Lactobacillus species play a crucial role in not only inhibiting BV, but also maintaining vaginal health. We aimed to determine whether Lactobacillus plantarum ATG-K2 has therapeutic and preventive effects against Gardnerella vaginalis (GV), a representative patho...",Microbiology and immunology,2025-Sep
40492748,Boosting Testosterone Naturally in Hashimoto's: A Case Report on Trans-Geranylgeraniol Supplementation.,"This case report details an integrative nutrition approach for a 27-year-old male diagnosed with Hashimoto's thyroiditis, suboptimal testosterone levels, and gut dysbiosis. Initially diagnosed in 2020, the patient presented with persistent thyroid autoimmunity and vitamin D insufficiency, but maintained stable androgen levels until 2023. Early interventions focused on foundational strategies, including anti-inflammatory dietary modifications, removal of gluten and dairy, and repletion of key nut...",Alternative therapies in health and medicine,2025-Sep
40218907,Nutritional Support of Chronic Obstructive Pulmonary Disease.,"Background: COPD is a heterogenous disease of the respiratory tract caused by diverse genetic factors along with environmental and lifestyle-related effects such as industrial dust inhalation and, most frequently, cigarette smoking. These factors lead to airflow obstruction and chronic respiratory symptoms. Additionally, the increased risk of infections exacerbates airway inflammation in COPD patients. As a consequence of the complex pathomechanisms and difficulty in treatment, COPD is among the...",Nutrients,2025-Mar
40077685,Effects of One-Year Menaquinone-7 Supplementation on Vascular Stiffness and Blood Pressure in Post-Menopausal Women.,"Background/Objectives: Post-menopausal women are at an increased risk of developing cardiovascular disease. Menaquinone-7 (MK-7) is a fat-soluble vitamin involved in coagulation and maintaining vascular health. The aim of the post hoc analysis of this one-year study is to investigate the effects of MK-7 supplementation on the vascular parameters in pre-, peri-, and post-menopausal women. Methods: In a clinical intervention trial (NCT02404519), a total of 165 women with a low vitamin K status rec...",Nutrients,2025-Feb
40072649,Are there Effective Vegan-Friendly Supplements for Optimizing Health and Sports Performance? a Narrative Review.,"Veganism, characterized by the exclusion of all animal-derived products, has grown in popularity due to ethical, environmental, and health considerations. However, vegan athletes often face unique nutritional challenges related to dietary deficiencies of critical nutrients such as proteins, vitamin B12, iron, calcium, and omega-3 fatty acids, among others. This narrative review aims to explore the efficacy and benefits of vegan-friendly supplements specifically tailored to athletic performance, ...",Current nutrition reports,2025-Mar
39091191,Short-term impact of vitamin K2 supplementation on biochemical parameters and lipoprotein fractions.,"This study explored the short-term effects of vitamin K2 (VK2) supplementation on biochemical parameters (vitamin D, vitamin E, vitamin A, alkaline phosphatase, calcium, phosphorus (P), magnesium, metallothionein, triglycerides, cholesterol, high-density lipoprotein (HDL), low-density lipoprotein (LDL), and lipoprotein fractions (albumin, HDL, very low-density lipoprotein (VLDL), LDL, and chylomicrons). A short-term experiment (24 h, six probands) was performed to track changes in VK2 levels aft...",Electrophoresis,2025-Feb
37049490,Quality Control of the Dietary Supplements Containing Selected Fat-Soluble Vitamins D and K.,"Nowadays, the most important aspect related to the use of dietary supplements seems to be their quality. There are many reports indicating their insufficient quality primarily related to a much lower content of ingredients or even their absence. Currently, there is an increasing interest in supplementing the diet with various kinds of supplements, including those containing combinations of vitamins and minerals, among which preparations with vitamin D are very popular. This is probably due to th...",Nutrients,2023-Mar
35948142,Food safety assessment and toxicity study of the synbiotic consortium SBD111.,"The human gut microbiome plays a crucial role in skeletal homeostasis. The synbiotic consortium or Defined Microbial Assemblage™ (DMA™) food product, SBD111, consisting of probiotic microbes and prebiotic fibers was designed to promote bone health based on its capacity to produce short chain fatty acids (SCFA), the presence of genes for vitamin K2 production, and its ability to degrade plant fibers. A 28-day repeated administration study was performed to evaluate the oral toxicity of SBD111 in f...",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2022-Oct
35889769,"Randomized, Double-Blind, Placebo-Controlled Trial to Test the Effects of a Nutraceutical Combination Monacolin K-Free on the Lipid and Inflammatory Profile of Subjects with Hypercholesterolemia.","Nutraceutical combinations (NCs) against hypercholesterolemia are increasing in the marketplace. However, the availability of NCs without monacolin K is scarce even though the statin-intolerant population needs it.",Nutrients,2022-Jul
35156423,Development of a synbiotic that protects against ovariectomy-induced trabecular bone loss.,"The gut microbiome has the capacity to regulate bone mass. The aim of this study was to develop a nutritional synbiotic dietary assemblage at an optimal dose to maintain bone mass in ovariectomized (Ovx) mice. We performed genomic analyses and in vitro experiments in a large collection of bacterial and fungal strains (>4,000) derived from fresh fruit and vegetables to identify candidates with the synergistic capacity to produce bone-protective short-chain fatty acids (SCFA) and vitamin K2. The c...",American journal of physiology. Endocrinology and metabolism,2022-Apr
35086715,Intake of Bifidobacterium lactis Probio-M8 fermented milk protects against alcoholic liver disease.,"Alcoholic liver disease (ALD) is a liver disease caused by long-term heavy drinking, which is characterized by increased inflammation and oxidative stress in the liver and gut dysbiosis. The purpose of this study was to investigate the protective effect of administering ordinary and probiotic- (containing the Bifidobacterium animalis ssp. lactis Probio-M8 strain; M8) fermented milk to rats. Several biochemical parameters and the fecal metagenomes were monitored before (d 0) and after (d 42) the ...",Journal of dairy science,2022-Apr
34884471,Lactiplantibacillusplantarum ATG-K2 Exerts an Anti-Obesity Effect in High-Fat Diet-Induced Obese Mice by Modulating the Gut Microbiome.,"Obesity is a major health problem. Compelling evidence supports the beneficial effects of probiotics on obesity. However, the anti-obesity effect of probiotics remains unknown. In this study, we investigated the anti-obesity effects and potential mechanisms of Lactiplantibacillus plantarum ATG-K2 using 3T3-L1 adipocytes and high-fat diet (HFD)-induced obese mice. 3T3-L1 cells were incubated to determine the effect of lipid accumulation with lysate of L. plantarum ATG-K2. Mice were fed a normal f...",International journal of molecular sciences,2021-Nov
34834074,"Simultaneous Determination of Vitamins D3 (Calcitriol, Cholecalciferol) and K2 (Menaquinone-4 and Menaquinone-7) in Dietary Supplements by UHPLC.","The content and composition of dietary supplements is of great interest due to their increasing consumption and variety of available brand offered in the market. Accurate determination of vitamins is important for the improvement of dietary supplement quality and nutrition assessments. In this regard, the simultaneous determination of vitamin D3 (calcitriol-CT and cholecalciferol-CHL) and K2 (menaquinone-4-MK-4 and menaquinone-7-MK-7) in dietary supplements was developed by using ultra-high-pres...","Molecules (Basel, Switzerland)",2021-Nov
34486702,Effects of monacolin K-containing nutraceutical on cholesterol homeostasis re-establishment and CVD risk reduction in hypercholesterolemic subjects.,"Hypercholesterolemia is caused by cholesterol homeostasis (CH) disruption, and it contributes to cardiovascular diseases pathogenesis and progression. Status of CH can be assessed by measuring serum concentrations of non-cholesterol sterols (NCS) which serve as cholesterol synthesis and absorption surrogate markers. Monacolin K, isolated from red yeast rice, influences cholesterol synthesis by inhibiting HMG-CoA reductase activity and reduces serum total cholesterol (TC) concentration.",European review for medical and pharmacological sciences,2021-Aug
34115006,Vitamin K2 (Menaquinone-7) supplementation does not affect vitamin K-dependent coagulation factors activity in healthy individuals.,"Vitamin K has long been regarded as a procoagulant drug by physicians, and concerns have been raised with regard to its effects on hemostasis. Although many studies have shown that vitamin K supplementation is safe for thrombotic events, the effect of vitamin K supplementation on the activities of vitamin K dependent procoagulation factors in healthy individuals is not available.",Medicine,2021-Jun
33923142,Lactobacillus plantarum ATG-K2 and ATG-K6 Ameliorates High-Fat with High-Fructose Induced Intestinal Inflammation.,"Obesity has become a worldwide health problem, and many significant inflammatory markers have been associated with the risk of side effects of obesity and obesity-related diseases. After a normal diet or high-fat diet with high-fructose water (HFHF) for 8 weeks, male Wistar rats were divided randomly into four experimental groups according to body weight. Next, for 8 weeks, a normal diet, HFHF diet, and HFHF diet with L. plantarum strains ATG-K2 or ATG-K6 were administered orally. Compared to th...",International journal of molecular sciences,2021-Apr
33808652,Effects of Combined Vitamin K2 and Vitamin D3 Supplementation on Na[18F]F PET/MRI in Patients with Carotid Artery Disease: The INTRICATE Rationale and Trial Design.,"INTRICATE is a prospective double-blind placebo-controlled feasibility study, assessing the influence of combined vitamin K2 and vitamin D3 supplementation on micro-calcification in carotid artery disease as imaged by hybrid Sodium [18F]Fluoride (Na[18F]F) positron emission tomography (PET)/ magnetic resonance imaging (MRI). Arterial calcification is an actively regulated process and results from the imbalance between calcification promoting and inhibiting factors. Considering the recent advance...",Nutrients,2021-Mar
33802219,Supplementation with Octacosanol Affects the Level of PCSK9 and Restore Its Physiologic Relation with LDL-C in Patients on Chronic Statin Therapy.,"Dietary supplementation with sugar cane derivates may modulate low-density lipoprotein cholesterol (LDL-C) and proprotein convertase subtilisin/kexin type 9 (PCSK9) levels. The purpose of this study was to determine if dietary supplement (DS), containing Octacosanol (20 mg) and vitamin K2 (45 µg), could restore the disrupted physiologic relation between LDL-C and serum PCSK9. Double-blind, randomized, placebo-controlled, single-center study including 87 patients on chronic atorvastatin therapy w...",Nutrients,2021-Mar
33538554,Vitamin K2 Awareness in Sun-Protected Patients Supplementing With Vitamin D.,"Dermatologists often recommend vitamin D for sun-protected patients. Most patients are not aware of the key role vitamin K2 plays in vitamin D metabolism and do not receive sufficient dietary vitamin K2. A survey of 50 sun-protecting patients shows 4/50 understood the role of vitamin K2 and 1/50 was supplementing vitamin K2. Therefore, counseling on vitamin K2 supplementation may be of benefit to sun-protected dermatology patients. J Drugs Dermatol. 2021;20(2):228-229. doi:10.36849/JDD.5829.",Journal of drugs in dermatology : JDD,2021-Feb
