pmid,title,abstract,journal,pub_date
42568502,"Infection-driven gut dysbiosis and epigenetic programming of microglia: toward a systems level framework linking microbial metabolites, neuroinflammation, synaptic dysfunction, and probiotic modulation.",Neurodegenerative disorders such as Alzheimer's and Parkinson's diseases are increasingly viewed as conditions influenced by systemic immune and metabolic disturbances beyond the central nervous system (CNS). Emerging evidence suggests that infection-driven intestinal dysbiosis may function as an upstream contributor to systemic inflammation through disruption of gut barrier integrity. Increased permeability can facilitate the translocation of microbial components and metabolites into circulatio...,Frontiers in cellular and infection microbiology,2026
42566667,Ginger Supplementation and Blood Pressure in Adults: A GRADE-Based Systematic Review and Dose-Response Meta-Analysis of Randomized Controlled Trials.,"Ginger (Zingiber officinale L.) contains bioactive compounds with vasodilatory properties that may benefit blood pressure (BP) regulation. However, findings from studies remain inconsistent. This systematic review and meta-analysis aimed to evaluate the effect of ginger supplementation on BP in adults.",Journal of human nutrition and dietetics : the official journal of the British Dietetic Association,2026-Aug
42566627,Severe acute pancreatitis and toxic hepatitis after solitary dietary supplement ingestion: A case report.,"Although many products have been approved for weight loss, their efficacy remains debatable owing to the insufficient scientific evidence in the relevant literature. Furthermore, because of the limited clinical data and research, the adverse effects of these products remain unelucidated.",Medicine,2026-Aug
42566044,"Modulation of experimental colitis by Enterococcus faecalis, Enterococcus faecium, and Bacillus subtilis: insights from infectious and chemical models.","The roles of Enterococcus faecium (E. faecium), Enterococcus faecalis (E. faecalis), and Bacillus subtilis (B. subtilis) in colitis remain poorly defined, with existing literature presenting inconsistent and often contradictory evidence. This study aimed to elucidate their contributions to inflammatory bowel disease (IBD) using both infectious (non-typhoidal Salmonella enterica serovar Typhimurium, S. typhimurium) and chemical (dextran sulfate sodium, DSS)-induced colitis models. Colitis was ind...",Archives of microbiology,2026-Aug
42565981,"The Effect of Using Different Probiotics on the Performance, Digestibility of Nutrients, Feces Score, Blood Parameters and Skeletal Indices of Suckling Holstein's Calves.","Rearing suckling calves is critical for dairy herd productivity, but this period often involves digestive disorders, poor nutrient digestibility and loose faeces, which impair growth. Probiotics are promising, yet their comprehensive effects on blood parameters and skeletal development in suckling Holstein calves remain unclear.",Veterinary medicine and science,2026-Sep
42565884,Optimization and application of probiotics complex for grouper based on dynamic model.,"This study applied systematic microecological method to develop multi-strain probiotics for grouper aquaculture, focusing on rational strain selection and interaction optimization. Five strains from marine source were initially screened through functional and safety assessments. Based on single-strain growth kinetics and pairwise interaction data, the generalized Lotka-Volterra model and multiple linear regression were employed to identify an optimal consortium consisting of Bacillus subtilis, B...",World journal of microbiology & biotechnology,2026-Aug
42565847,Prospective efficacy of a novel dual-pronged strategy combining the probiotic Lactobacillus casei and Microalga Chlorella vulgaris in preventing postmenopausal bone loss in ovariectomized rats.,"Estrogen deficiency drives postmenopausal osteoporosis and increases fracture risk via accelerated bone resorption. This study evaluated the protective efficacy of a dual intervention combining the probiotic Lactobacillus casei (LC) and the microalga Chlorella vulgaris (CV) in a well-established ovariectomized (OVX) rat model of postmenopausal bone loss. Adult female Sprague-Dawley rats (n = 40) underwent sham operation or bilateral ovariectomy. Three months' post-surgery, OVX rats received dail...",Archives of microbiology,2026-Aug
42565253,Conjunctival Sac-Derived Lactobacillus mucosae MM-1 Metabolite Indole-3-Lactic Acid Attenuates Lens-Induced Myopia in Mice via AHR Activation and TGF-β/Smad Inhibition.,"Emerging research has revealed a diverse microbiota in the high myopia (HM) conjunctival sac, highlighting the therapeutic potential of modulating this community to influence disease outcomes. However, current research on targeted modulation of this microbiota for myopia intervention lacks in-depth investigation and definitive conclusions regarding its efficacy and underlying mechanisms. In this study, high-throughput sequencing and culturomics were first used to screen the conjunctival sac micr...",Microbial biotechnology,2026-Aug
42564675,National Athletic Trainers' Association Position Statement: Evaluation of Dietary Supplements for Athlete Safety and Performance.,"To (1) support athletic trainers (ATs) as they help athletes and other active individuals navigate dietary supplement use while prioritizing health, safety, legality, performance, and a food-first but not always food-only approach and (2) ensure that ATs have the reliable resources they need to provide general education and evaluate the use of dietary supplements.",Journal of athletic training,2026-Aug
42563659,Concerns regarding toxicity associated with caffeine-containing pre-workout supplements.,-.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,2026-Jul
42563438,Effects of Probiotic Supplementation on Circadian Rhythm-Related Gene Expression and Body Weight in Mice With Disturbed Circadian Rhythms.,"Given the limited knowledge of probiotic effects on clock genes, this study investigated whether probiotics that regulate gut integrity and microbiota balance influence central circadian clock gene expression. In this study conducted on three groups [control group (CG), shifted group (SG), and shifted and probiotic supplement group (SPG)] of eight BALB/c mice each, Clock, Bmal1, and Per2 gene expressions and weight gain were evaluated. Although body weights at baseline, week 8, and week 16 were ...",Molecular nutrition & food research,2026-Aug
42563179,Gut-protective metabolic phenotype for diarrhoeal remission caused by an environmental probiotic thermophile.,"Controlling diarrhoea in humans and livestock is a global challenge with diverse aetiologies. However, the dynamics of the microbiome for diarrhoeal remission are not sufficiently understood, and effective intervention strategies based on environmental microorganisms have not been fully explored.",Microbiome,2026-Aug
