pmid,title,abstract,journal,pub_date
41999161,Postbiotic_Loaded Hyalurosome: Investigating Their Potential as Antimicrobial and Antioxidant Agents.,"The skin microbiota supports skin health by defending against pathogens and regulating immunity, while its imbalance can lead to disorders. With rising interest in natural ingredients, postbiotics (bioactive metabolites from probiotic fermentation) are emerging as natural antimicrobial and antioxidant agents.",Journal of cosmetic dermatology,2026-Apr
41998117,"Natural liquid betaine dietary supplementation improves growth performance, immuno-antioxidant responses, and stress resistance in Nile tilapia subjected to acute ammonia challenge.","This work investigated the effects of natural liquid betaine (NATURA BETAINE) dietary supplementation on physiological performance and alleviation of acute ammonia toxicity in Nile tilapia. Four diets supplemented with 0.0, 0.8, 1.6, and 2.4 mL of liquid betaine /kg diet, representing the experimental treatments B0, B800, B1600, and B2400, respectively, in triplicates were used. Each replicate included 15 Nile tilapia fingerlings (N = 180, initial weight: 9.5 ± 0.429 g). Fish were fed at the rat...",Scientific reports,2026-Apr
41996041,Effect of Probiotics on the Clinical Outcome and Inflammatory Response in Gastric Cancer Surgery: A Double Blinded Randomized Control Trial.,"Gut dysbiosis contributes to postoperative complications and worsens the inflammatory and immune dysfunction in gastric cancer (GC) patients. Probiotics may mitigate these effects by modulating gut microbiota. This study aimed to evaluate the effect of probiotics on the length of hospital stay, other post-operative clinical outcomes, nutritional status, inflammatory and immune markers in patients undergoing gastrectomy for gastric cancer.",Journal of gastrointestinal cancer,2026-Apr
41994207,The interplay between probiotics and mast cells in gut inflammation: a mini-review.,"Mast cells (MCs) are myeloid-derived immune cells that differentiate in peripheral tissues, where they are strategically located near epithelial surfaces. In the gastrointestinal tract, MCs regulate immune response through the release of mediators such as histamine, cytokines, and proteases; however, their excessive activation promotes inflammation, increases intestinal permeability, and contributes to disorders such as food allergies, inflammatory bowel disease, and chronic intestinal inflammat...",Frontiers in cellular and infection microbiology,2026
41993186,Prophylactic immune priming with heat-killed Lacticaseibacillus rhamnosus combined with therapeutic Lactiplantibacillus plantarum cell-free supernatant protects against Pseudomonas aeruginosa lung infection in mice.,"Pseudomonas aeruginosa is a leading cause of severe respiratory infections in immunocompromised individuals, and its increasing antibiotic resistance poses a major global health challenge. Antibiotic-resistant strains exhibit enhanced biofilm-forming capacity, contributing to persistent infection, immune evasion, and poor clinical outcomes. Innovative non-antibiotic strategies that simultaneously enhance host immunity and directly target bacterial virulence are urgently needed.",Frontiers in immunology,2026
41993168,A probiotic bacterium modulates antitumour γδ T-cell responses in lung cancer.,"The link between the intestinal microflora and cancer outcomes has been recognized for over a decade. Several recent studies have demonstrated that the gut microbiome is associated with the efficiency of T-cell checkpoint blockade therapy for cancer, raising interest in strategies to harness this effect via consumption of live microorganisms (probiotics). The probiotic Clostridium butyricum strain MIYAIRI 588 (CBM588) improves response rates and overall survival in patients receiving immune chec...",Frontiers in immunology,2026
41987902,Comparative metagenomic analysis of diarrheal and non-diarrheal gut microbiome delineating the identification of prospective prognostic markers and probiotics to protect from diarrhea: a brief report.,"Diarrhea is a leading contributor of mortality globally. To mitigate its disease burden, improved prognosis and alternative therapeutic approaches must be deployed. A cross-sectional gut microbiome analysis of 23 non-diarrheal and 5 diarrheal fecal samples was conducted with the aim of meeting the WHO's GAPPD (Global Action Plan for Pneumonia and Diarrhea) goals.",Frontiers in cellular and infection microbiology,2026
41986915,When probiotics guidelines differ: a practical guide for clinicians and researchers.,"Many professional organizations publish clinical practice guidelines for the use of probiotics in gastrointestinal disorders. Generally, no two guidelines align perfectly, and some differ markedly. These discrepancies occur because clinical practice guidelines are not purely mechanical outputs of data synthesis. They are shaped by structured interpretation, value judgments, and predefined thresholds for uncertainty. These elements become particularly visible when effect sizes are small, heteroge...",Gut microbes,2026-Dec
41985021,The impact of linguistic features on CTR in Instagram ads: A study of supplement and cosmetic products.,"This study analyzes linguistic features impacting click-through rate (CTR) in Japanese Instagram ads (21,692 ads; July 2021-June 2023, Meta's Marketing API). CTR was computed as link clicks/impressions from Meta's Ads Manager. Using J-LIWC2015, we quantified psycholinguistic dimensions, predominantly in Japanese. Multivariate regression models, controlling for caption length, log-transformed impressions, and product-level fixed effects, identified distinct linguistic patterns predicting CTR by p...",PloS one,2026
41983800,Effects of maternal arginine supplementation during lactation on offspring growth and wound healing in an experimental rat model of intrauterine malnutrition.,"To evaluate the effects of maternal arginine-enriched diet during lactation, following gestational undernutrition, on offspring growth and wound healing.",Acta cirurgica brasileira,2026
