pmid,title,abstract,journal,pub_date
41273628,Oral Administrations of Short-Chain Fatty Acids or Probiotics Extend the Survival Times and Mitigate the Neuropathological Damages in the Scrapie-Infected Hamsters.,"Prion diseases (PrDs) are fatal neurodegenerative conditions marked by brain spongiform degeneration, prion protein scrapie (PrPSc) accumulation, neuronal loss, and gliosis. Currently, there are no effective treatments or preventive measures for these disorders. This study evaluated the therapeutic potential of short-chain fatty acids (SCFAs) and probiotics on PrDs using hamsters intracerebrally inoculated with the 263K scrapie strain. Treatments included oral administration of SCFAs (sodium pro...",Molecular neurobiology,2025-Nov
41273488,"Lactobacillus fermentum ATCC 9338 ameliorates immune dysregulation via indoleamine 2, 3-dioxygenase through modulating gut microbial diversity of chronic unpredictable mild stressed mouse.","Gut microbiota (GM) plays a significant role in the pathophysiology of neuropsychiatric diseases like depression. A complex two-way system between gut and brain termed as gut-brain axis (GBA) dependent on intestinal GM and central nervous system (CNS). Alterations in the GM can affect behavior and brain neurochemistry including tryptophan metabolism through immune mediated pathways. Researchers focused to understand immune challenges involving kynurenine action via indoleamine-2,3-dioxygenase (I...",Metabolic brain disease,2025-Nov
41273201,Emerging Nonthermal Technologies for the Production of Postbiotics.,"Postbiotics, defined as nonliving microbial cells and their components that confer health benefits to the host, represent a significant advancement in functional foods and dietary supplements. Compared to probiotics and prebiotics, postbiotics offer advantages in product stability, safety, and formulation flexibility. In general practice, heat killing is a widely used method to produce postbiotics. However, heat-killed postbiotics incur few drawbacks, such as burnt flavor, denaturation of immuno...",Comprehensive reviews in food science and food safety,2025-Nov
41273166,Exploring Microbial and Biophysical Aspects of Dry Skin: In Vivo Test of a Novel Skincare Formulation.,"Dry skin is a prevalent dermatological concern influenced by environmental factors and characterized by compromised skin barrier integrity. In addition to this, skin microbiota is involved and plays a crucial role in maintaining microbial flora balance. This study aims to investigate dry skin condition and microbiota then the efficacy of a novel skincare formulation (Nourish 3-Biotic Rich Serum) containing prebiotics, probiotics and postbiotics in addressing dry skin symptoms and rebalancing ski...",Journal of cosmetic dermatology,2025-Dec
41272855,"Comparison of efficacy of rifaximin, probiotics and L-ornithine L-aspartate in overt hepatic encephalopathy: a randomized, phase IV, lactulose controlled clinical trial.","Pakistan has a high prevalence of HCV and HBV, causing cirrhosis, leading to hepatic encephalopathy in approximately 30-45% of cirrhotic patients. Overt hepatic encephalopathy (OHE) is a serious type of hepatic encephalopathy that refers to brain dysfunction resulting from acute or chronic liver disease. Patients present flapping tremors and mental alterations leading to a coma, which disrupts daily activities and patient health-related quality of life. OHE can be treated by lactulose, rifaximin...",Trials,2025-Nov
41272370,Evaluation of Nutritional Profile and Effect of Heat Treatment on Nutraceutical Potential of Suyuquelite (Ipomoea dumosa) Leaves.,"Quelites are plants whose leaves, tender stems, and, occasionally, immature inflorescences are consumed as cooked vegetables. The objective of this study was to analyze the nutritional properties and the effect of heat treatment on I. dumosa leaves collected in the spring and fall of two consecutive years to evaluate the stability of their nutraceutical potential. Significant amounts of crude fiber (14.73%), protein (4.26%), Fe, P, Mn, and Cu (52.26, 922.04, 5.41, and 2.18 mg·100 g- 1, respectiv...","Plant foods for human nutrition (Dordrecht, Netherlands)",2025-Nov
41272135,"Fermented rice polishings dietary supplementation sustainably enhanced growth performance, gut morphology, immune response and antioxidant status of Nile tilapia.","Fermentation of plant-derived by-products, including rice polishings (RP), is suggested for the sustainability of the aquafeed industry. In this study, fermented rice polishings (FRP) were incorporated into Nile tilapia diets at various levels: 0, 100, 200, 300, and 400 g/kg. Nile tilapia with an average initial weight of 19.25 ± 0.25 g/fish were divided into five groups (triplicates) and fed five test diets (R0, R10, R20, R30, and R40) for 85 days. Dietary FRP substantially increased final body...",Scientific reports,2025-Nov
41271412,Association between glucosamine use and albuminuria in the UK: a cohort and Mendelian randomisation study.,"Glucosamine is a commonly used 'over the counter' dietary supplement. Previous research has identified an association between glucosamine use and several positive health outcomes. However, a plausible biological mechanism for these associations has not yet been identified, meaning the causality of these relationships remains unclear. A protective effect of glucosamine on the vascular endothelium has been suggested as one such possible mechanism. Albuminuria is an early marker of endothelial dysf...",BMJ open,2025-Nov
41271348,Unveiling the survivability of probiotic CA15 strain with and without fluconazole co-administration and its effect on gut microbiota and metabolome through SHIME® model.,"The aim of the present study was to investigate the survival and functional impact of the probiotic Lacticaseibacillus rhamnosus CA15 strain on gut microbiota and metabolome, under simulated gastrointestinal conditions, through the SHIME® model. The experimental design included both fed and fasted conditions, and co-administration of fluconazole. A colonic incubation of up to 24 h was carried out, and CA15 availability was assessed using strain-specific RT-qPCR. In addition, the effects of the C...","Food research international (Ottawa, Ont.)",2025-Dec
41271328,Postbiotics alleviate cognitive impairment and neuroinflammation via gut-brain axis and TLR4/MyD88/NLRP3 pathway.,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder characterized by cerebral amyloid-β deposition, neurofibrillary tangles of hyperphosphorylated tau, and chronic neuroinflammation. Growing evidence underscores the role of the gut-brain axis in mediating bidirectional communication between the gut and the central nervous system. Postbiotics, non-viable microorganisms and/or ingredients that are beneficial to the host's health, have emerged as promising modulators of brain funct...","Food research international (Ottawa, Ont.)",2025-Dec
41271321,Modulation of gut microbiota and storage stability of yogurt fortified with novel EPS-producing Lactiplantibacillus plantarum DPA1C.,"Lactic acid bacteria (LAB)-derived exopolysaccharides (EPS) can enhance the viscosity and texture of fermented dairy products while imparting functional properties to the product. In this study, the novel EPS-producing Lactiplantibacillus (L.) plantarum DPA1C, known for its blood glucose-lowering potential, was combined with a commercial starter culture at 1: 1 ratio to develop a functional yogurt. Prior to yogurt fermentation, whole-genome analysis and probiotic characterization confirmed that ...","Food research international (Ottawa, Ont.)",2025-Dec
41269386,The Effect of Acerola Intake on Metabolic and Immunological Parameters in Elite Athletes.,"Acerola is an edible tropical fruit known for its high antioxidant activity. It is recommended as a superfood to improve general health. However, its role in elite sport has not been studied in detail so far. Therefore, the objective of the study was to assess the effect of regular use of acerola on parameters of the immune system, oxidative stress, and metabolism in elite athletes. The study was carried out in 22 elite endurance athletes (mean age = 24.4 ± 4 years; M:F ratio = 1.75), who were s...","Plant foods for human nutrition (Dordrecht, Netherlands)",2025-Nov
41268882,Determination of Effect of Morus alba Extract and Lactobacillus rhamnosus on Vaginal Microbiota and SAP Gene (1-10) Profile With Candida albicans Exosome Administration in Rats.,"Vaginal microbiota is essential for mucosal immunity, pathogen defense, and homeostasis. Disruption of this balance can promote opportunistic infections, notably by Candida albicans. This study investigates the therapeutic potential of Morus alba (MA) extract and Lactobacillus rhamnosus (LR) in a rat model exposed to Candida albicans exosomes (CAE). CAE induced a 1.3-5.1-fold upregulation in SAP1-10 gene expression, with SAP4 showing the highest increase (p ≤ 0.05). MA and LR monotherapies selec...",MicrobiologyOpen,2025-Dec
