pmid,title,abstract,journal,pub_date
40692981,The Effects of Probiotic-Prebiotic Use on Acute Inflammatory Parameters in Patients Receiving Pelvic Radiotherapy: A Prospective Multicenter Study.,"Background: This is the first prospective clinical study to evaluate the impact of prebiotic and probiotic use on acute radiation-induced pelvic side effects and associated changes in serum cytokine levels in patients with pelvic malignancies. Methods: This multicenter prospective study included 80 patients with pelvic cancers treated at two centers between 2021 and 2023. Patients were divided into three groups: probiotic + prebiotic, prebiotic only, and nonsupplemented. Serum cytokine levels (t...",Mediators of inflammation,2025
40692551,Dietary supplementation with glutamate improves the flesh quality of gibel carp (Carassius gibelio) by altering muscle texture characteristics and increasing the deposition of flavour substances.,"Nutrition intervention is an effective way to improve flesh qualities of fish. The effect of feed supplementation with glutamate (Glu) on flesh quality of gibel carp (Carassius gibelio) was investigated. In trial 1, the fish (initial weight: 37.49 ± 0.08 g) were fed two practical diets with 0 and 2% Glu supplementation. In trial 2, the fish (37.26 ± 0.04 g) were fed two purified diets with 0 and 3% Glu supplementation. The results after feeding trials showed that dietary Glu supplementation incr...",Journal of nutritional science,2025
40692549,Randomised controlled trial: nutritional supplements to relieve irritable bowel syndrome symptoms by targeting the gut microbiota.,"In individuals with irritable bowel syndrome (IBS), eliminating dietary triggers can alleviate symptoms but may lead to nutrient deficiencies and overall health decline. Although various nutritional supplements show promising results in relieving IBS symptoms due to their potential to alter the microbiome, conclusive scientific evidence remains lacking. This exploratory study aims to assess the bifidogenic properties of four nutritional supplement interventions and their impact on IBS-symptoms, ...",Journal of nutritional science,2025
40691769,Determination of the effect of pyocyanin and Saccharomyces boulardii on gut microbiota and TLR4/MyD88/NF-κB and NLRP3 signaling pathways in sepsis induced by cecal ligation and puncture in rats.,"Sepsis is a life-threatening systemic inflammatory condition marked by a dysregulated host response to infection. The intestinal microbiota plays a pivotal role in maintaining immune homeostasis and epithelial barrier integrity, whereas dysbiosis significantly contributes to the pathogenesis of sepsis. This study investigates the effects of the Pseudomonas aeruginosa-derived metabolite Pyocyanin and the probiotic Saccharomyces boulardii (S. boulardii) on microbial composition and the TLR4/MyD88/...",BMC infectious diseases,2025-Jul
40691565,Lactobacilli-based postbiotic differentially affects chicken macrophage-like HD11 cells depending on stimulatory lipopolysaccharide dosage.,"This study investigated the dose-dependent effects of a lactobacilli-based postbiotic (Post) on the transcriptional reprogramming of the chicken macrophage-like HD11 cell line when exposed to Escherichia coli lipopolysaccharide (LPS). First, the HD11cells were treated with 0, 3, 30 and 300 ng/mL LPS in combination with 0, 0.2, 0.4, 0.6 and 0.8% v/v Post. Nitric oxide (NO) production was quantified at 20 h incubation and the early transcriptome reprogramming was analysed in a subset of treatments...",BMC veterinary research,2025-Jul
40691449,Probiotic-mediated modulation of gut microbiome in students exposed to academic stress: a randomized controlled trial.,"Probiotics have been widely tested for their effect on mental well-being, albeit with heterogeneous outcomes. Direct and indirect effects through the gut microbiome might lie at the basis of these observations. Here, in a post-hoc analysis, we assessed the effect of 4-week consumption of a probiotic candidate strain on the gut microbiome in students exposed to academic stress. Healthy students were randomized to consume a fermented milk product with Lacticaseibacillus rhamnosus CNCM I-3690 (N = ...",NPJ biofilms and microbiomes,2025-Jul
40691411,The influence of antioxidant supplementation on adverse effects and tumor interaction during radiotherapy: a systematic review.,"Radiotherapy is essential in cancer treatment, using ionizing radiation to generate free radicals in the irradiated tissue or to directly damage DNA. Despite comprehensive safety measures, healthy tissue is also irradiated, causing side effects like oral mucositis and dermatitis. Antioxidants, which are known for scavenging free radicals, may reduce these adverse effects, but their impact on radiotherapy efficacy remains unclear. The aim of this systematic review was to evaluate the influence of...",Clinical and experimental medicine,2025-Jul
40690049,"New Insights in Adriatic Seaweed (Ulva spp.): Nutraceutical and Bioactive Potential and Green Extraction Techniques for Pigments, Antioxidants, and Phenolic Compounds.","Seaweeds, particularly those from the genus Ulva, have gained increasing attention due to their health benefits for humans and their promising bioactive properties, which are applicable as pharmaceuticals and nutraceuticals. However, the potential of Ulva species from the Adriatic Sea (Boka Kotorska Bay) remains largely unexploited. This study aimed to optimize the extraction protocol for key bioactive compounds to maximize their utilization. The chemical composition, physicochemical characteris...","Marine biotechnology (New York, N.Y.)",2025-Jul
40690043,Preliminary evaluation on the effect of oral omega-3 supplementation from herring caviar oil in primary open-angle glaucoma patients.,The study aimed to assess the neuroprotective effect of phospholipid-rich omega-3 fatty acids from herring caviar oil in POAG patients with intraocular pressure (IOP) control.,International ophthalmology,2025-Jul
40685452,Evaluation of semi prepared probiotic dessert containing phycoerythrin and Lactobacillus plantarum for period of up to two months within the refrigerator.,"The isolation of functional bioactive compounds from microalgae as sustainable sources has emerged as a new area of focus in pharmacology and functional food research. The use of natural ingredients in food products has become very popular today, while desserts made with preservatives and artificial colors have been shown to significantly increase the risk of cancer. Therefore, this study aimed to extract phycoerythrin (PE) from the cyanobacterium Nostoc sp. and produce and evaluate a semi-prepa...",Scientific reports,2025-Jul
40684074,Inappropriate vitamin D supplementation among multimorbid older patients: a multicountry analysis.,"The prevalence of vitamin D supplementation and the percentage of participants with a lack of appropriate vitamin D supplementation (""potential underuse"") or potentially inappropriate vitamin D supplementation (""potential overuse"") and risk factors for these are currently unclear.",BMC geriatrics,2025-Jul
40682390,Maternal Tryptophan Supplementation Alters Offspring Gut-Brain Axis and Behavior in a Sex-Specific Manner.,"The maternal diet is a key determinant of offspring neurodevelopment, influencing gut microbiota composition and the gut-brain axis. These interactions are critical in shaping sex-specific vulnerabilities to neuropsychiatric disorders. Tryptophan, an essential amino acid and precursor to serotonin, plays a pivotal role in neurodevelopment and immune function. However, the impact of maternal tryptophan supplementation on healthy offspring's neurochemical and behavioral outcomes remains unclear. T...",Journal of neurochemistry,2025-Jul
40682175,The effectiveness and safety of nanocurcumin supplementation for diabetic peripheral neuropathy in patients with type 2 diabetes: a randomized double-blind clinical trial.,"Diabetic neuropathy is the most prevalent complication of diabetes mellitus, affecting up to 50% of patients with type 2 diabetes mellitus (T2DM). Among the various types of diabetic neuropathy, diabetic peripheral neuropathy (DPN) is the most common. Numerous animal studies have highlighted a strong association between the improvement of DPN and curcumin supplementation, particularly due to curcumin's anti-inflammatory and antioxidant properties. However, the effects of curcumin on DPN have bee...",Nutrition journal,2025-Jul
40681519,Parabacteroides as a promising target for disease intervention: current stage and pending issues.,"Parabacteroides, a promising candidate for the next generation of probiotics, plays a significant role in various diseases. In this review, we provide a comprehensive examination of the biological properties of Parabacteroides, summarize its effects on host health and potential associations with diseases, and discuss unresolved scientific questions regarding this genus. Our aim is to offer novel insights for the development of targeted gut microbiota interventions and their translational applica...",NPJ biofilms and microbiomes,2025-Jul
40681474,Response of the Ruminal Microbial Environment to a High-Dose Supplementation of Blended Essential Oils.,"We conducted two experiments to investigate the effects of a high-dose blend of essential oils (BEO) on rumen microbial community structure and methane (CH4) production. The first was an in vitro study that measured gas production, methane emissions, and microbial composition when two BEO levels (0.1% and 1.0% of the substrate) were added to a forage-based substrate incubated with rumen fluid from dry cows. The second was a feeding trial using a crossover design with four Japanese native goats t...",Animal science journal = Nihon chikusan Gakkaiho,2025
40681204,"Interventions with milk proteins supplementation combined with exercise on musculoskeletal function in older adults with sarcopenia, osteoporosis and osteosarcopenia: a systematic review protocol of randomised controlled trials.","Sarcopenia, osteoporosis and osteosarcopenia are conditions prevalent in ageing that impair muscle strength and bone density, increasing the risks of fractures, falls, disability and mortality. Recent studies highlight the benefits of milk protein supplementation (MPS) combined with exercises to improve musculoskeletal health in the older population. This systematic review protocol will enable the production of a compilation of evidence that will elucidate the effects of MPS combined with aerobi...",BMJ open,2025-Jul
40679696,Lactobacillus plantarum and supernatant: vaginal health and reproductive parameters of ewes synchronized with fluorogestone or medroxyprogesterone acetate.,"This study investigated the effects of Lactobacillus plantarum (LAC) and its cell-free supernatant (CFS) on vaginal health and reproductive performance in ewes. The ewes were synchronized using fluorogestone acetate (FGA) or medroxyprogesterone acetate (MPA) impregnated intravaginal sponges. A total of 196 Merino ewes were randomly assigned to four groups in a 2 × 2 factorial design. Intravaginal sponges remained for 14 days, and vaginal discharge, sponge weight change, estrus response, and preg...",Tropical animal health and production,2025-Jul
40676109,"Efficacy and safety of Latilactobacillus sakei LB-P12 in patients with knee osteoarthritis: an exploratory randomized, double-blind, placebo-controlled clinical trial.","Knee osteoarthritis (OA) is a prevalent degenerative joint disease among middle-aged and older adults, leading to chronic pain, functional limitations, and decreased quality of life. While probiotics have shown anti-inflammatory potential in preclinical studies, their therapeutic role in OA has not been well established in human research. This exploratory randomized controlled trial (RCT) aimed to evaluate the efficacy and safety of Latilactobacillus sakei LB-P12 in improving knee OA symptoms. I...",Scientific reports,2025-Jul
40676012,Spontaneously fermented Allium cepa L. as a source of lactic acid bacteria with probiotic potential.,"Onions (Allium cepa L.) are widely recognized for their nutritional and medicinal properties. This study investigates the suitability of spontaneously fermented onions as a natural source of lactic acid bacteria (LAB) with probiotic potential. The isolated LAB were identified as Lactiplantibacillus plantarum, Lactiplantibacillus pentosus, and Levilactobacillus brevis. Comprehensive analysis were conducted to evaluate their ability to ferment various carbohydrates, enzymatic activity, resistance ...",Scientific reports,2025-Jul
40675653,Hepatotoxicity induced by MK-677.,"MK-677, a growth hormone secretagogue, is gaining popularity among performance-enhancing supplements. While its side effects include oedema, increased appetite and muscle pain, reports of hepatotoxicity are scarce. Here we present the case of an otherwise healthy man in his early 30s, who developed transaminitis after consuming MK-677 for 2 months before presentation. Liver function tests eventually returned to normal limits after stopping the supplement.",BMJ case reports,2025-Jul
40673730,Creatine monohydrate supplementation for older adults and clinical populations.,"The biological process of aging is typically associated with a decrease in muscle quantity, muscle performance (primarily strength), bone mass and architecture, functionality and neurological/cognitive function. From a healthy aging perspective, interventions that have the potential to overcome or attenuate these decrements are clinically relevant.",Journal of the International Society of Sports Nutrition,2025-Sep
40673005,The role of probiotics in adolescents' obesity.,"The prevalence of adolescent obesity continues to rise globally, posing significant public health challenges by affecting both physical and psychological wellness and increasing the risk of metabolic diseases in adulthood. Probiotics may influence obesity through various mechanisms, including restoring gut microbiota balance, reducing chronic inflammation, modulating lipid metabolism, aiding in weight control, and improving metabolic health. This review aims to explore the mechanisms by which pr...",Frontiers in cellular and infection microbiology,2025
40671239,Bacterial Dynamics in Newly Settled Acropora kenti: Insights From Inoculations With Individual Probiotic Candidates.,"Bacterial probiotics hold promise for enhancing coral health and stress resilience; however, their application to coral juveniles, which are critical for restorative aquaculture, remains underexplored. Here, we show that the microbiome of newly settled Acropora kenti is amenable to manipulation, with individual probiotic candidates inducing distinct microbiome responses that differed in their stability after the final inoculation. Three of the eight tested strains, Halomonas smyrnensis, Endozoic...",Environmental microbiology,2025-Jul
40668816,Adherence to Iron and Folic Acid Supplementation and its determinants among pregnant women in East Africa: Analysis of Demographic and Health Surveys data from nine East African countries.,"Anemia due to deficiency of nutrients like iron and folic acid (IFA) is one of the global public health issues that has contributed to an unacceptably high proportion of maternal and childhood morbidity and mortality. IFA supplementation (IFAS) during pregnancy is critical for reducing anemia and related undesired outcomes. However, comprehensive evidence on the magnitude of adherence to IFA supplementation and its associated factors in East Africa remains limited.",PloS one,2025
40668431,Indigenous aseel chicken-derived probiotics as biofactories of antifungal metabolites to control mycotoxin contamination in poultry feed.,"Fungal and mycotoxin contamination threaten poultry health, feed safety, and global food security. Mycotoxins result in reduced poultry growth, nutrient absorption, and a compromised immune system, causing severe financial losses. The rise of antibiotic resistance due to excessive antibiotic use in poultry also necessitates alternative strategies.",Molecular biology reports,2025-Jul
40666055,The impact of a complete nutrition diabetic formula on glycemic control and nutritional status in hospitalized patients with diabetes mellitus.,"The clinical application of specialized oral nutritional supplements (ONS) in managing hospitalized patients with diabetes mellitus necessitates rigorous evaluation of their effects on glycemic stability and nutritional parameters. This prospective study aimed to investigate the impact of a diabetes-specific ONS, Complete Nutrition Diabetic Formula, on glycemic control and key nutritional indices in diabetic inpatients. Forty adult inpatients diagnosed with diabetes mellitus requiring nutritiona...",Frontiers in endocrinology,2025
40665361,A mixed immediate and delayed allergy to oral vitamin D supplementation: a case report.,"Vitamin D deficiency is common worldwide and of particular concern for populations at higher latitudes, including those in developed areas such as Australia. The role of vitamin D in modulating bone health and the immune system is well recognized. Patients frequently have vitamin D deficiency identified and managed in the primary healthcare setting. Despite the high prevalence of use in Australia, allergies to supplemental vitamin D are uncommon.",Journal of medical case reports,2025-Jul
40665094,Unraveling the role of shrimp hydrolysate as a food supplement in the immune function and fecal microbiota of beagle dogs.,"The inclusion of protein hydrolysates from animal by-products in petfood may enhance the industry's sustainability, while contributing to dogs' health due to their nutritional and functional properties. However, inconsistent results of protein hydrolysates on gut microbiota, immune responses, among other health parameters, have been observed in dogs. This study aimed to evaluate the effects of diets supplemented with 5% shrimp hydrolysate, compared to non-supplemented diets, on hematological par...",Scientific reports,2025-Jul
40664872,Effects of cartilage-supporting nutritional supplementation on knee osteoarthritis symptoms and quality of life in a 12-week randomized double-blind placebo-controlled pilot study.,"Osteoarthritis (OA) is a prevalent degenerative joint disease, often affecting the elderly, characterized by cartilage degradation and bone remodelling, leading to pain, stiffness, and impaired movement. This 12-week, randomized, double-blind, placebo-controlled pilot study investigated the efficacy of a formulation containing collagen type II, glucosamine hydrochloride and chondroitin sulfate, in alleviating knee OA symptoms in subjects with mild to moderate knee pain. Fifty-four participants w...",Scientific reports,2025-Jul
40663206,Paraprobiotics Mitigate Inflammation and Anxiety-Like Behavior in a Lipopolysaccharide-Induced Mouse Model.,"This study evaluated the effects of supplementing five different paraprobiotics on anxiety-like behavior, intestinal health, anti-inflammatory activity, and oxidative and nitrosative stress in an animal model of acute inflammation. Male adult Balb/C mice were divided into twelve groups and received either saline solution or paraprobiotic supplements daily for 15 days at a concentration of 100 mg/animal/day. Following the supplementation period, some groups were administered an inflammatory insul...",Current microbiology,2025-Jul
40663123,The Adverse Effects of Artri King: A Systematic Review and Case Series.,"There has been an uptrend in patients taking Artri King, an over-the-counter supplement marketed for joint pain despite Food and Drug Administration warnings of it containing undeclared substances such as diclofenac and dexamethasone. Despite the popularity of this supplement, there is a lack of awareness of the deleterious, adverse effects. To our knowledge, there has not been a systematic review evaluating outcomes of patients taking Artri King. A comprehensive literature search was performed ...",Southern medical journal,2025-Jul
40662344,"""Common questions and misconceptions about dietary supplements and the industry - What does science and the law really say?"".","Dietary supplement use is popular among fitness enthusiasts as well as competitive athletes. There is, however, confusion regarding the regulatory framework as well as the basic science regarding the use of supplements. Although there is an extensive body of scientific and legal writings on dietary supplements, several misconceptions persist vis-à-vis this category. Thus, the following questions will be addressed in this review. 1) Are dietary supplements regulated by the Food and Drug Administr...",Journal of the International Society of Sports Nutrition,2025-Dec
40661744,"Targeting gut microbiota for diabetic nephropathy treatment: probiotics, dietary interventions, and fecal microbiota transplantation.","Diabetic nephropathy (DN) stands as a prominent microvascular complication of diabetes mellitus and presents a significant global health challenge. Despite advancements in glycemic control and renin-angiotensin system inhibition, current treatments merely delay disease progression without targeting fundamental pathological processes. This review explores gut microbiota modulation as a promising treatment strategy for DN through probiotic supplementation, dietary interventions, and fecal microbio...",Frontiers in endocrinology,2025
40661741,Association between dietary selenium intake and endometriosis risk: a cross-sectional analysis.,"Endometriosis (EMs) is a common chronic inflammatory disorder with estrogen dependency, and its causes and progression are not fully understood. With limited treatment options available, the dietary impact on EMs incidence has gained research interest. This study explores the link between dietary selenium intake and EMs risk, noting selenium's key antioxidant role in reducing oxidative stress and inflammation, and its potential to modulate immune responses, offering protective effects.",Frontiers in endocrinology,2025
