pmid,title,abstract,journal,pub_date
40750856,Association of alterations in transcriptomics and intestinal immune responses with Bifidobacterium longum BAA2573 in improving dextran sulfate sodium-induced colitis.,"Preliminary studies have demonstrated the potential of Bifidobacterium longum (B. longum) BAA2573 in alleviating dextran sulfate sodium (DSS)-induced colitis; however, the underlying mechanisms are still unclear.",BMC gastroenterology,2025-Aug
40750778,A multicellular self-organized probiotic platform for oral delivery enhances intestinal colonization.,"Stable gut colonization of probiotics is essential for sustained therapeutic effects, however traditional oral probiotic supplements often fail to adapt to the gut environment. Here, based on the observation that multicellular microcolonies instead of planktonic bacteria display a more advantageous gene pattern for colonization, we design a system encapsulating multicellular self-organized probiotic microcolonies, termed Express Microcolony Service (EMS), for efficient oral delivery and enhanced...",Nature communications,2025-Aug
40749709,Harnessing Lactiplantibacillus plantarum EP21 and its membrane vesicles to inhibit myopia development.,"Lactiplantibacillus plantarum, a probiotic that is frequently found in fermented foods, is well known for its numerous health-enhancing properties. This study explored the potential of Lactiplantibacillus plantarum EP21 and its membrane vesicles (MVs) in mitigating myopia progression. In animal models of form-deprivation and TGF-β2-induced myopia, EP21 reduced axial elongation and refractive error shifts. EP21 administration suppressed retinal inflammation by inhibiting nuclear factor-κB activat...",Gut microbes,2025-Dec
40748912,Adherence to iron-folic acid supplementation and its associated factors among pregnant women in Kenya: A multilevel data analysis of the 2022 Kenyan Demographic and Health Survey.,"Iron and folic acid deficiency is a global public health issue, particularly in low- and middle-income countries. Adherence to iron-folic acid supplementation (IFAS) remains low in Kenya. Despite several studies on IFAS adherence in Kenya, they do not assess the national scope and clustering effects using advanced analytical models. Therefore, we aimed to assess IFAS adherence and its associated factors among pregnant women in Kenya using data from the 2022 Kenyan Demographic and Health Survey.",PloS one,2025
40748505,"Probiotic potential and antimicrobial efficacy of a dairy isolate, Enterococcus faecium MBBL3.","Enterococcus faecium is a promising probiotic with potential antimicrobial effects. This study aimed to evaluate the probiotic and antimicrobial properties of E. faecium MBBL3, isolated from healthy cow milk, against bovine mastitis pathogens Klebsiella pneumoniae MBBL2 (Kp MBBL2) and Escherichia coli MBBL4 (Ec MBBL4), using comprehensive genomic and functional analyses. The genome assembly and functional annotations of MBBL3 unveiled many important probiotic traits, and comparative genomic anal...",Applied microbiology and biotechnology,2025-Aug
40747696,Effects of maternal allergy and supplementation with ω-3 fatty acid and probiotic on human milk oligosaccharides.,"Human milk oligosaccharides (HMOs) are complex carbohydrates that act as prebiotics, supporting infants' gut microbial colonization and immune development. HMO levels are influenced by several maternal factors, including genetics, diet, and health status. In this study, we aim to investigate the effects of ω-3 PUFA (polyunsaturated fatty acids) and Limosilactobacillus (L.) reuteri supplementation on HMO levels in colostrum and mature milk. Another aim is to compare HMO levels between allergic an...",Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,2025-Aug
40746956,Intramuscular iron supplementation enhances intestinal barrier function in weaned piglets challenged with enterotoxigenic Escherichia coli.,"Since iron is an essential mineral for both host and microbial communities, how to scientifically replenish the iron in the context of bacterial infection has become a critical issue. The aim of this study was to compare the influence of intramuscular and oral iron supplementation on the progression of bacterial infection.",Frontiers in cellular and infection microbiology,2025
40745652,The role of probiotics and dietary interventions in the treatment of periodontitis: a pilot randomized controlled clinical trial.,The aim of this pilot study was to evaluate the effects of probiotic supplementation and diet-supported probiotic use on periodontal clinical parameters in individuals with periodontitis.,BMC oral health,2025-Jul
40745399,Exogenous Nucleotides Supplementation Attenuates Age-Related Sarcopenia.,"Sarcopenia, an age-related clinical syndrome characterized by reduced skeletal muscle mass and strength, often leads to a loss of physical function. Nucleotides (NTs) supplementation is a potential strategy for preventing age-related sarcopenia as evidence suggests that NTs declined in muscles with aging, and 5'-CMP, 5'-UMP can mitigate muscle atrophy in C2C12 myotubes. This study aimed to investigate the effects of NTs supplementation on sarcopenia and its possible mechanism.","Journal of cachexia, sarcopenia and muscle",2025-Aug
40745339,Chronic urticaria and vitamin D supplementations: a systematic review.,"Chronic urticaria (CU), especially chronic spontaneous urticaria (CSU), is a long-term inflammatory skin condition marked by wheals and/or angioedema lasting over six weeks. Emerging evidence suggests a link between vitamin D deficiency and immune dysregulation associated with CU. Given vitamin D's immunomodulatory and anti-inflammatory effects, this review explores the therapeutic potential of vitamin D supplementation in CU management.",European journal of medical research,2025-Jul
40744977,Lacticaseibacillus rhamnosus attenuates uremic toxins in patients with nondialysis chronic kidney disease through the anti-inflammatory molecules.,"Because of the strain-dependent effect and the lack of simultaneous in vitro test with limited clinical data on Lacticaseibacillus rhamnosus L34 (L34) isolated from the Thai population, L34 was tested and compared with L. rhamnosus GG (LGG). The before and after test using L34 and a randomized placebo-controlled trial using placebo, L34, and LGG, for 4 weeks in patients with non-dialysis chronic kidney disease stage 3-5 (CKD) together with the in vitro experiments using indoxyl sulfate (IS, a re...",Scientific reports,2025-Jul
40741634,Extracellular vesicles of Gram-negative and Gram-positive probiotics.,"Extracellular vesicles derived from probiotics have received considerable attention for their pivotal role in bacterial‒host communication. These nanosized, bilayer-encapsulated vesicles carry diverse bioactive molecules, such as proteins, lipids, nucleic acids, and metabolites. Currently, ample evidence has emerged that probiotic extracellular vesicles may modulate several processes of host physiological hemostasis and offer therapeutic benefits. This review examines the biogenesis, composition...","Journal of microbiology (Seoul, Korea)",2025-Jul
40741631,Prebiotic potential of proso millet and quinoa: Effects on gut microbiota composition and functional metabolic pathways.,"Prebiotics are indigestible dietary components that improve host health by stimulating the growth and metabolic activity of beneficial intestinal microbes. The whole grains are rich in non-digestible carbohydrates, which may confer prebiotic potential. Among them, millet and quinoa have gained attention as dietary alternatives due to the growing popularity of gluten-free diets. In this study, we examined the effects of proso millet and quinoa on the human gut microbiota using an in vitro fecal i...","Journal of microbiology (Seoul, Korea)",2025-Jul
40740780,The effect of co-administration of vitamin E and C supplements on plasma oxidative stress biomarkers and antioxidant capacity: a GRADE-assessed systematic review and meta-analysis of randomized controlled trials with meta-regression.,There is no conclusion on the effect of vitamins E and C on plasma biomarkers of oxidative stress and antioxidant status. We conducted this meta-analysis to gain a clearer view of this area.,Frontiers in immunology,2025
40739108,Phytobacter sp. RSE02 is a rice seed endophytic plant probiotic bacterium with human probiotic features and cholesterol-lowering ability.,"Research on seed microbiota has gained significant attention due to its role as a primary inoculum that enhances seedling growth, fitness, and productivity. This study explores the characteristics of the plant-probiotic seed-endophyte Phytobacter sp. RSE02, which demonstrates distinctive beneficial probiotic features in animal models. We examine the safety and probiotic potential of RSE02 in human cell lines, zebrafish, and mice. Notably, RSE02 can utilize cholesterol as its sole carbon source; ...",Scientific reports,2025-Jul
40738913,"Optimistic effects of dual nano-encapsulated probiotics on breeders laying performance, intestinal barrier functions, immunity and resistance against Salmonella Typhimurium challenge.","Dual nano encapsulation of multi-strain probiotic bacteria can enhance their viability within the avian gastrointestinal tract and improve their effectiveness in disease prevention. So that this study spotted the light on the effect of dual nano encapsulated multi strain of probiotics (LEBB-NPs) contained Enterococcus faecium NCTC 7171, Bacillus amyloliquefaciens probiotic CECT 5940, Lacticasei bacillus casei ATTC334 and Bifidobacterium breve JCM1192 on laying performance, egg quality, immune de...",Scientific reports,2025-Jul
40738889,A combination of potential psychobiotics alleviates anxiety and depression behaviors induced by chronic unpredictable mild stress.,"Strains of Roseburia inulinivorans, Bacteroides uniformis, and Eubacterium rectale have exhibited multi-pathway therapeutic efficacy against anxiety and depression-like behaviors in chronic unpredictable mild stress (CUMS) rats. However, the combined therapeutic effects of these strains remain to be elucidated. Behavioral tests showed that a mixture of these strains reduced anxiety and depression-like behaviors. 16S rRNA sequencing revealed that the mixtures decrease the relative abundance of po...",NPJ biofilms and microbiomes,2025-Jul
40738727,Multivitamin-mineral supplementation prevents acute upper respiratory tract infections.,Large-scale studies on the role of multivitamin-mineral (MVM) supplementation in preventing and managing acute respiratory infections (AURIs) are limited in Chinese populations. This study evaluated the impact of routine MVM use on AURI prevalence and symptom severity in a community-based Chinese cohort.,Asia Pacific journal of clinical nutrition,2025-Aug
