pmid,title,abstract,journal,pub_date
41107737,Role of vitamin D supplementation in prevention of new onset atrial fibrillation in post-coronary artery bypass graft patients in vitamin D deficient and insufficient populations: a systematic review and meta-analysis.,"Postoperative atrial fibrillation (POAF) is a common complication following coronary artery bypass grafting (CABG), contributing to increased morbidity, prolonged hospitalization, and elevated healthcare costs. Emerging evidence suggests that vitamin D (Vit. D), via its anti-inflammatory effects and modulation of the renin-angiotensin-aldosterone system (RAAS), may have a cardioprotective role.",BMC cardiovascular disorders,2025-Oct
41107432,Metabolic impact of dietary glycine supplementation in individuals with severe obesity.,"Glycine plays a central role in human metabolism, and an adequate supply is required for synthesizing glutathione (GSH), eliminating excess metabolites as acylglycine via the glycine conjugation detoxification pathway, and maintaining 1-carbon cycle activity. However, glycine is deficient in individuals with severe obesity, which may compromise these pathways and metabolic health. This exploratory study examines whether dietary glycine supplementation could correct glycine deficiency and impairm...",Scientific reports,2025-Oct
41105179,Bacillus subtilis natto NTU-18 attenuates atherosclerosis progression by modulating peripheral immune cell alterations.,"Atherosclerosis is a chronic inflammatory disease characterized by lipid accumulation and immune dysregulation, including expansion of pro-inflammatory monocytes and effector T cells, alongside reduced regulatory T cells (Tregs). Bacillus subtilis natto, a spore-forming probiotic, has shown anti-atherosclerotic effects, though its systemic immunomodulatory mechanisms remain unclear. In this study, we employed an AAV-mPCSK9-induced murine atherosclerotic model to investigate the effects of daily ...",Applied microbiology and biotechnology,2025-Oct
41103441,Akkermansia muciniphila alleviates cognitive impairment and neuroinflammation induced by blunt chest trauma.,"Blunt chest trauma, commonly caused by traffic accidents, falls, and violent incidents, results in both direct mechanical injury to the thoracic cavity-leading to increased intrathoracic pressure and vascular rupture-and indirect effects on the central nervous system (CNS), causing extensive damage that severely impacts patient health and quality of life. Akkermansia muciniphila (AKK), a probiotic bacterium inhabiting the gut mucus layer, modulates gut microbiota and metabolites, with potential ...",Frontiers in immunology,2025
41100554,Efficacy of 8-week oral iron supplementation on fatigue and physical capacity in young women with iron deficiency anemia: An uncontrolled pilot clinical trial.,"This study aims to investigate the effect of 8 weeks of ferrous sulfate supplementation (160 mg elemental iron/day) on fatigue and physical performance in young women with iron deficiency anemia (IDA). In this uncontrolled pilot clinical trial, twenty-three women with IDA aged between 18 and 30 years participated in this study. Aerobic fitness, muscle strength and muscle endurance were performed to evaluate physical capacities. Moreover, the multidimensional fatigue inventory (MFI-20) was used t...",PloS one,2025
41099949,"Synbiotic laden with Faecalibacterium prausnitzii, fructooligosaccharides, and galactooligosaccharides mitigates quinpirole-induced OCD-like symptoms in rats.","Obsessive-compulsive disorder (OCD) is a mental illness of unwanted recurrent thoughts and compulsive behaviors. The significance of the microbiota-gut-brain axis has been increasingly documented in the manifestation of neuropsychiatric disorders. Herein, we investigated the impact of synbiotic containing Faecalibacterium prausnitzii ATCC 27,766 (F. prausnitzii) and prebiotics [fructooligosaccharides (FOS) and galactooligosaccharides (GOS)] on quinpirole-induced OCD-like symptoms in rats. Repeat...",Metabolic brain disease,2025-Oct
41098674,The role of the myo-inositol for the prevention of the gestational diabetes mellitus: systematic review.,This review evaluated myo-inositol supplementation's effectiveness in pregnant women at high risk for Gestational Diabetes Mellitus (GDM).,Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia,2025
41098119,"Open-Label, Prospective Study of a Prebiotic Gel Cream on Its Efficacy of Mild to Moderate Acne Management and Effects on the Functional Skin Microbiome.","Acne vulgaris is a chronic inflammatory condition, which is estimated to affect greater than 85% of the population. Acne is a multifactorial condition, which can be influenced by diet, environment, and the microbiome.",Journal of cosmetic dermatology,2025-Oct
41097819,Probiotic oral immunotherapy for egg and milk allergy induces sustained unresponsiveness.,"High-dose rapid-escalation oral immunotherapy (OIT) with adjunct probiotic is effective at inducing sustained unresponsiveness (SU) of peanut allergy, but the efficacy of this approach for other food allergies is untested. This open-label study aimed to confirm the safety and tolerability of high-dose egg and milk oral immunotherapy (OIT) with probiotic in children.",Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,2025-Oct
41097411,"Spray-Dried Phenolic Compounds from Olive Mill Waste Water as Animal Feed Supplement: Impact on the Aromatic Profile of ""Caciotta Cheese"".","This study evaluated the effect of dietary supplementation with different levels of spray-dried phenolic compounds, extracted from olive mill wastewater, on the volatile compound profile of Caciotta cheese produced from cow's milk. Thirty dairy cows were divided into three groups and fed diets containing 0% (C), 0.1% (T0.1), and 0.2% (T0.2) polyphenols on a dry matter basis. Milk from each group was used in three cheesemaking sessions, and 27 cheese samples ripened for 21 days were analyzed. Vol...","Molecules (Basel, Switzerland)",2025-Oct
