pmid,title,abstract,journal,pub_date
41689364,ROS-triggerable dual nanocoated probiotics for inflammatory bowel disease treatment.,"Inflammatory bowel disease (IBD), an immune-mediated chronic gastrointestinal disease, is difficult to treat because its specific pathogenic mechanisms are currently unclear, and its recurrence rate is high. Probiotic therapies have been used to treat IBD; however, challenges, including poor digestive stability and unstable treatment effects, remain. Catechins are natural flavonoids with anti-inflammatory and anti-oxidant properties. In this study, we link catechins to the amino side chain of et...",Drug delivery,2026-Dec
41685663,A comprehensive review of the physiology and evidence base to guide the use of ergogenic and medical supplements for enhanced cycling performance.,A growing body of evidence supports the use of supplements to enhance cycling performance through both direct and indirect mechanisms.,Journal of the International Society of Sports Nutrition,2026-Dec
41684286,Encapsulation of Pediococcus acidilactici in Sodium Alginate-Calcium Lactate-Skim Milk Gel Beads: Characterization and Simulated Digestion Analysis.,"This study aimed to develop a composite hydrogel matrix of sodium alginate (SA) and skim milk for encapsulating Pediococcus acidilactici CCFM18 and exploring the synergy of these components on protecting the activity and stability of P. acidilactici CCFM18. The synthesis process was optimized using response surface methodology, yielding optimal conditions: calcium lactate (CL) concentration of 4.18% (w/v), curing time of 47 min, and curing temperature of 41°C. The resulting gel beads achieved an...",Journal of food science,2026-Feb
41683964,"The Role of Probiotics Limosilactobacillus reuteri, Ligilactobacillus salivarius, and Lactobacillus johnsonii in Inhibziting Pathogens, Maintaining Gut Health, and Improving Disease Outcomes.","As the critical component of the gastrointestinal tract, which lives in trillions of gut microorganisms, in a healthy state, the host interacts with the gut microbiota and is symbiotic. The species Limosilactobacillus reuteri, Ligilactobacillus salivarius, and Lactobacillus johnsonii are indigenous gut commensal bacteria that are mainly found in the digestive tracts. These three bacteria possess a variety of characteristics that reflect their ability to adapt to the gastrointestinal environment....",International journal of molecular sciences,2026-Feb
41683934,"Special Issue ""Studies on Lactic Acid Bacteria and Their Products in Health and Diseases: 2nd Edition"".",Lactic acid bacteria (LAB) provide essential benefits for both animal and human health due to their probiotic potential and their role in maintaining gut microbiome homeostasis [...].,International journal of molecular sciences,2026-Feb
41683750,Interactions Between Nutraceuticals and α-Synuclein Conformational States: Molecular Mechanisms and Neuroprotective Implications in Parkinson's Disease.,"Synucleinopathies, including Parkinson's disease (PD), are neurodegenerative disorders characterized by aberrant aggregation of α-synuclein (α-syn), a presynaptic protein with an intrinsic disorder nature. The transition of soluble monomers into oligomeric and fibrillar species represents a key molecular event driving neuronal dysfunction and neurodegeneration. Emerging evidence suggests that nutraceuticals, bioactive compounds derived from dietary sources, can modulate α-syn aggregation at mult...",International journal of molecular sciences,2026-Jan
41683721,"Microbiota-Derived Regulation of AhR and VDR Signaling in Intestinal Inflammation: Protective Roles of Prebiotics, Probiotics, and Postbiotics.","Microbiota-derived indoles and short-chain fatty acids (SCFAs) modulate intestinal immunity via the aryl hydrocarbon receptor (AhR) and vitamin D receptor (VDR). This review proposes an operational AhR-VDR axis-three testable models (sequential, parallel, reciprocal)-to explain how indoles (AhR) and SCFAs/vitamin D (VDR) may cooperate to drive IL-22-mediated repair, antimicrobial peptide production, autophagy, and tight-junction restoration. We critically evaluate prebiotics, probiotics, and pos...",International journal of molecular sciences,2026-Jan
41683363,High-Dose Zinc Supplementation Therapy Does Not Improve Survival Rates in Severe Trauma Patients: A Single-Center Retrospective Observational Study.,"Background/Objectives: Hypozincemia associated with severe trauma contributes to immune dysfunction and poor prognosis; however, the clinical utility and optimal dosage of zinc supplementation remain unclear. In particular, it is unclear whether high-dose administration exceeding standard recommendations improves prognosis. Thus, we aimed to verify this in patients with severe trauma requiring mechanical ventilation. Methods: This single-center retrospective observational study included patients...",Nutrients,2026-Feb
41683362,Effect of 21-Day Omega-3 Polyunsaturated Fatty Acid Supplementation on Exercise-Induced Secretory Factors and Inflammation Status in Young Men: A Randomized Double-Blind Trial.,"Objectives: The objective of this study was to evaluate the effect of 21-day dietary omega-3 fatty acid supplementation on the levels of postexercise inflammation response, oxidative stress, and selected exerkine secretion among physically active young men. Methods: In a randomized double-blind study, 24 physically active men were assigned to two groups: a supplementation group (n = 12), receiving 3250 mg of n-3 polyunsaturated fatty acids (PUFAs) daily, and a placebo group (n = 12). Blood sampl...",Nutrients,2026-Feb
41683347,"Impact of Mango Puree Supplementation on Inflammatory, Muscle Damage, and Selected T-Cell Biomarkers in Elite Beach Volleyball Players During Regular Training.","Background/Objectives: Mango is a tropical fruit rich in polyphenols and carotenoids that may support recovery-related physiological responses during athletic training. This study examined the effects of mango puree supplementation on inflammatory biomarkers, muscle damage, and selected T-cell subsets in Thai men's national beach volleyball players during regular training. Methods: Fifteen male athletes completed a pilot randomized, single-blind, crossover trial. Participants consumed the mango ...",Nutrients,2026-Feb
41683346,"Muno-IgY Supplementation Improves Respiratory Health, Immune Response, and Exercise-Induced Physiological Stress in Healthy Adults: A Randomized Controlled Pilot Study.","Upper respiratory tract infections (URTIs) and exercise-induced immune perturbations are common in adults and may adversely affect quality of life, productivity, and physical performance. Immunoglobulin Y (IgY), a food-derived antibody with broad antimicrobial activity, has demonstrated immunomodulatory potential in preclinical and limited clinical studies. This study evaluated the effects of a multi-pathogen-specific IgY supplement (Muno-IgY) on respiratory health, immune and inflammatory marke...",Nutrients,2026-Feb
41683345,A Multi-Component Nutraceutical Formulation for the Management of Vascular and Inflammatory Alterations Characteristic of the Oedema Disorders.,"Background: Oedema is a multifactorial condition arising from the interplay between increased microvascular permeability, impaired lymphatic clearance, and sustained inflammation. Conventional treatments often fail, highlighting alternative therapies. This study explores a novel nutraceutical formulation (NF) based on the combination of different natural extracts, i.e., Melilotus officinalis L., Olea europaea L., Morinda citrifolia L., Quercus robur L., and bromelain, aimed at reducing inflammat...",Nutrients,2026-Feb
41683342,Xanthohumol: Mechanistic Actions and Emerging Evidence as a Multi-Target Natural Nutraceutical.,"Xanthohumol (XN), a prenylated chalcone flavonoid derived from hops (Humulus lupulus), is increasingly recognized as a highly pleiotropic natural compound.",Nutrients,2026-Feb
41683333,Adipo-Myokine Modulation in Obesity: Integrative Effects of Spinach Thylakoids and Functional Training in Men with Obesity: A Randomized Controlled Clinical Trial.,"Objective: This study evaluated the effects of a 12-week High-Intensity Functional Training (HIFT) program combined with thylakoid supplementation on plasma adipo-myokine levels (Decorin, Myostatin, Follistatin, Activin A, and TGF-β1) in men with obesity. Secondary outcomes included anthropometric indices, lipid profiles, and insulin resistance markers. Methods: Sixty men with obesity (age: 27.6 ± 8.4 years; BMI: 32.6 ± 2.6 kg/m2) were randomly assigned to four groups (n = 15 per group): Placebo...",Nutrients,2026-Feb
41683320,Safety and Tolerability of the Gut Bacterium Phascolarctobacterium faecium DSM 32890.,"The prevalence of the commensal gut bacterium species, Phascolarctobacterium faecium, has been associated with normal weight in humans. Preclinical evidence suggests that the strain P. faecium DSM 32890 exerts beneficial effects on metabolic and immune function in diet-induced obesity. Herein, we aimed to evaluate the safety and tolerability of this strain in a preclinical study and a pilot interventional trial in humans.",Nutrients,2026-Feb
41683312,Botulinum Toxin Effects and Its Association with Vitamin and Mineral Supplementation: A Narrative Review.,"Background: With the emerging global popularity of botulinum neurotoxin (BoNT), both for aesthetical and medical purposes, there is a rising need for achieving better outcomes. The aim of this narrative review was to comprehensively cover the effect of BoNT, as well as its possible interactions with everyday mineral and vitamin supplementation. Results: It is well established that BoNT exerts its paralytic effects through zinc-dependent cleavage of SNARE proteins, blocking acetylcholine release ...",Nutrients,2026-Feb
41683304,The Combined Use of Hydroxymethylbutyrate and Branched-Chain Amino Acids to Counteract Uremic Sarcopenia.,"Hemodialysis (HD) patients frequently develop muscle wasting and chronic inflammation, conditions associated with functional decline and reduced quality of life (QoL). Nutritional strategies that provide targeted anabolic support without increasing nitrogen load may offer clinical benefits. The aim of this study was to evaluate the possible impact of a food for special medical purposes (FFSMP), composed of free-form branched-chain amino acids, β-hydroxy-β-methylbutyrate, and zinc, on muscle mass...",Nutrients,2026-Feb
41683299,The Effects of Vitamin D Replacement with a High-Dose Treat-to-Goal Strategy.,"Vitamin D deficiency [25(OH)D < 30 ng/mL] is widely prevalent globally and the efforts to tackle it have been rather unsuccessful to date. Despite different cutoffs used to define it, many clinicians adhere to the 2011 Endocrine Society definition. We present a special treat-to-target protocol aiming to restore and maintain vitamin D sufficiency.",Nutrients,2026-Feb
41683264,Impact of Powdered Tart Cherry Supplementation on Performance Recovery Following Repeated Sprint Exercise.,"Due to its high polyphenol content and purported capability to mitigate post-exercise muscle soreness and promote recovery, tart cherry (TC) supplementation has been proposed to enhance recovery and athletic performance. This study examined the effects of powdered TC supplementation on various recovery and performance metrics following a repeated sprint exercise protocol in physically active young adults.",Nutrients,2026-Jan
41683255,The Effects of Interval Resistance-Aerobic Training and Fisetin Supplementation on Asprosin and Selected Adipokines in Obese Men: A Double-Blind Randomized Control Trial.,"Objective: This double-blind, parallel-group randomized controlled trial is the first to investigate the synergistic effects of interval resistance plus progressive aerobic training with fisetin supplementation on adipokines in obesity. Methods: Sixty sedentary men with obesity (BMI < 30 kg/m2) completed 12 weeks of thrice-weekly interval resistance training (eight exercises, 3 × 13 reps at 60% 1RM with 20% 1RM active rest), immediately followed by staged aerobic bouts (50-70% HRmax). Participan...",Nutrients,2026-Jan
41683239,Dietary Use of Hericium coralloides for NAFLD Prevention.,"Introduction: Today, scientists are searching for alternative approaches to preventing metabolic diseases, particularly non-alcoholic fatty liver disease, which reduces the healthy life expectancy of the working population. Fungi, such as Hericium coralloides (Scop.) Pers., are promising raw materials for extracting bioactive substances with preventative potential. Materials and Methods: This review covered review and research articles published over the last 42 years and indexed in the database...",Nutrients,2026-Jan
41683230,Supplementation of Yoghurt with Apilactobacillus kunkeei Strain Ameliorates Non-Alcoholic Fatty Liver Disease in Rat Model.,"Background/Objectives: This study evaluated whether yoghurt containing Apilactobacillus kunkeei DSM 12361 protects rats against non-alcoholic fatty liver disease (NAFLD). We hypothesized that this fructophilic probiotic, with anti-inflammatory properties, may affect NAFLD progression by improving the gut microbiome, lowering intestinal ethanol production, and modulating inflammatory and metabolic pathways linked to hepatic fat accumulation. Methods: Wister rats were randomized into three groups;...",Nutrients,2026-Jan
41683223,Lactiplantibacillus plantarum GUANKE Enhances Antiviral Defense Against Respiratory Syncytial Virus Through the STING-TBK1-IRF3-IFN Pathway.,"Background/Objectives: To investigate the antagonistic effect of probiotic Lactiplantibacillus plantarum GUANKE against respiratory syncytial virus (RSV) and its underlying molecular mechanisms. Methods: in vitro cell models (A549 and HEp2 cells) and an in vivo mouse model (BALB/c mice) were employed. RT-qPCR, TCID50 assay, immunofluorescence, ELISA, Western blot, and histopathological analysis were used to investigate the effects of GUANKE on RSV replication, inflammatory responses, and the typ...",Nutrients,2026-Jan
41683214,Assessing Nutraceuticals for Hepatic Steatosis: A Standardized In Vitro Approach.,"Background/Objectives: Nutraceuticals, including short-chain fatty acids (SCFAs) and antioxidants (AOXs), are nutrient-derived bioactive compounds considered as potential treatments for metabolic-associated steatotic liver disease (MASLD). However, in vitro studies of their effects are limited by inconsistent experimental conditions, including differences in cell lines, methods of steatosis induction, and culture media, and by reliance on qualitative rather than quantitative assessments. Here, w...",Nutrients,2026-Jan
41683197,Antenatal Care Attendance and Multiple Micronutrient Supplementation Intake: Perspectives from Women and Antenatal Care Service Providers in Rwanda.,"Emerging evidence suggests that multiple micronutrient supplements (MMS) provide additional benefits for maternal and neonatal health compared with iron and folic acid (IFA) supplements. To achieve effective coverage, acceptability, and adherence-and to inform a nationwide rollout of MMS-it is essential to understand the context-specific factors that shape implementation. This study evaluated the pilot implementation of MMS in Rwanda to identify key enablers, areas for improvement, and challenge...",Nutrients,2026-Jan
41683196,"Prebiotics and Gut Health: Mechanisms, Clinical Evidence, and Future Directions.","Prebiotics, which are non-digestible compounds that selectively modulate gut microbiota, are recognized for their potential to promote host health. Although their bifidogenic effect is well documented, a systematic synthesis of how this microbial modulation translates into clinical gastrointestinal (GI) and metabolic outcomes across diverse populations is needed. This review aims to integrate mechanistic insights with clinical evidence to elucidate the pathway from prebiotic structures to tangib...",Nutrients,2026-Jan
