pmid,title,abstract,journal,pub_date
41045919,[From Preconception to Breastfeeding: What Healthcare Professionals and Women Think about Vitamin Supplementation].,"Pregnancy is a period when adopting healthy habits, such as a balanced diet and vitamin supplementation, is crucial for maternal and fetal health. Nutritional deficiencies can lead to fetal malformations, and organizations like the Directorate-General of Health recommend supplementation with folic acid and iodine. However, guidelines for other micronutrients, such as iron and zinc, remain less defined, causing uncertainty among healthcare professionals. A descriptive study conducted between Marc...",Acta medica portuguesa,2025-Oct
41036339,Effect of dietary inclusion of indigenous probiotics on the growth and intestinal histomorphology of guinea pigs (Cavia porcellus).,"Probiotics play an important role in improving host animal growth and influence intestinal morphology development. However, this effect varies depending on the type of probiotic used and the form of its administration.",Open veterinary journal,2025
41019033,Parenteral micronutrient supplementation enhances mammary immune function and colostrum-milk quality by modulating cytokine profiles and oxidative stress in transition crossbred cows.,The transition period in dairy cattle is marked by oxidative stress and immune suppression linked to altered micromineral status. This study evaluated whether parenteral supplementation with trace elements and vitamins could enhance mammary health and improve the immunonutritional quality of colostrum and milk.,Frontiers in immunology,2025
41010456,"House Cricket (Acheta domesticus) and Spirulina (Arthrospira platensis) as Non-Conventional Sources of Nutrients and Bioactive Ingredients-Evaluation of Physicochemical, Nutraceutical, and Sensory Properties of Supplemented Muffins.","Background: Non-conventional protein sources, such as edible insects and microalgae, are gaining popularity due to their high nutritional value and environmental benefits. The presented study aimed to examine the effect of a 4% addition of house cricket and spirulina powders on selected properties of muffins. The effects of non-conventional additives on color, textural properties, nutritional value, amino acid composition, and mineral content were determined. Methods: Antioxidant activity was ev...",Nutrients,2025-Sep
40996763,Antioxidant Treatment and the Chance to Conceive in Men Seeking Fertility Care: The SUMMER Randomized Clinical Trial.,"Treatments for men seeking fertility care are limited. Antioxidant supplements have been widely studied as a new treatment option, but these studies have had conflicting results.",JAMA network open,2025-Sep
40942093,The Roles of Micronutrition and Nutraceuticals in Enhancing Wound Healing and Tissue Regeneration: A Systematic Review.,"Micronutrients and nutraceuticals play crucial roles in wound healing and tissue regeneration, supporting various physiological processes. This review aims to synthesize and evaluate the functions of various micronutrients and nutraceuticals, emphasizing the synergistic interactions among different nutrients that facilitate wound healing processes. A thorough literature review was performed using electronic databases, including PubMed, Scopus, Web of Science, Embase, Google Scholar, and Cochrane...","Molecules (Basel, Switzerland)",2025-Aug
40883514,"Hydroxychloride zinc and copper supplementation improves growth, feed efficiency, and gut health in broiler chickens.",High-dose copper (Cu) supplementation is used as an alternative to antibiotic growth promoters for improving gut health in broiler chickens. The aim of this study was to evaluate the effects of hydroxychloride Zn (HyZ) and Cu (HyC) at different inclusion levels on productive traits and gut health biomarkers in broiler chickens. A total of 990 Ross 308 broilers were assigned to 55 floor pens (18 birds per pen) and received five dietary treatments as follows: (T1) an inorganic diet (INO) with 15 m...,Scientific reports,2025-Aug
40869412,Postbiotic pA1c®HI for Preventing Insulin Resistance and Obesity in a Caenorhabditis elegans Model of Prediabetes.,"Cardiometabolic diseases such as obesity, prediabetes (PreD), and type 2 diabetes (T2D) are global health challenges linked to metabolic dysfunction. While probiotics show promise, postbiotics offer advantages in stability, safety, and food incorporation. This study evaluates the postbiotic pA1c®HI, a heat-inactivated form of the probiotic pA1c®, for its potential in modulating glucose and lipid metabolism in Caenorhabditis elegans, compared to its live form. Worms were supplemented with pA1c®HI...",International journal of molecular sciences,2025-Aug
40857795,Effect of dietary micronutrient supplementation on growth and reproductive parameters in bull calves.,"Optimal nutrition during early growth is crucial for enhancing calves' development and future productivity. This study evaluated the impact of supra-nutritional supplementation of specific micronutrients on growth, antioxidant status, immunity, and reproductive parameters in Sahiwal bull calves. Eighteen male calves (6 months old) were randomly assigned to three groups (n = 6): T1 (basal diet), T2 (25 % higher Zn, Mn, Vit. A & E than in the basal diet), and T3 (50 % higher than in the basal diet...",Journal of thermal biology,2025-Aug
40836314,The Efficacy of Zinc Supplementation Alone or in Combination for Improving Pregnancy and Infant Outcomes: A Systematic Review and Meta-Analysis.,"To evaluate zinc supplementation's efficacy in pregnancy, addressing gaps in previous reviews regarding high-risk subgroups and combination therapies.",Journal of evidence-based medicine,2025-Sep
40831556,Dietary supplementation with nano-zinc modulates the expression of the antiviral immune gene IRF3: a novel report.,"In the era of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the application of zinc has increased worldwide. It has the potential to increase the body's antioxidant status and provide better immune makeup. Currently, zinc is indiscriminately used as a therapeutic agent, and this creates an unwanted antagonism with the other interacting micronutrients that are present in the gut and causes secondary deficiencies of other critical micronutrients, which often leads to various compli...",Frontiers in immunology,2025
40813142,Efficacy of zinc supplementation for young infants with clinical severe infection in Tanzania: study protocol for a randomised controlled trial.,"Innovative interventions will be essential for countries in sub-Saharan Africa to achieve the 2030 Sustainable Development Goal for child mortality. Infections among young infants, including sepsis, meningitis and pneumonia, continue to cause a large burden of morbidity and mortality in low-income and middle-income countries. Zinc is an essential micronutrient with a well-established role in human health and immune system function, and supplementation may improve survival and treatment outcomes ...",BMJ paediatrics open,2025-Aug
40806128,Role of Micronutrient Supplementation in Promoting Cognitive Healthy Aging in Latin America: Evidence-Based Consensus Statement.,"Background: Cognitive decline is a growing public health concern in Latin America, driven by rapid aging, widespread micronutrient inadequacies, and socioeconomic disparities. Despite the recognized importance of nutrition, many older adults struggle to meet daily dietary micronutrients requirements, increasing the risk of mild cognitive impairment (MCI). This study aimed to establish expert consensus on the role of Multivitamin and Mineral supplements (MVMs) in promoting cognitive healthy aging...",Nutrients,2025-Aug
40787612,Micronutrient and protein-energy supplementation enhance vaccine responses in undernourished children: Evidence from a systematic review.,"Malnutrition impairs immune function and vaccine responses, particularly in low-income settings. This can lead to reduced seroconversion rates and compromised herd immunity in children. Nutritional interventions have been proposed to enhance vaccine immunogenicity, yet evidence remains scattered and context specific.",F1000Research,2025
40773863,Plant-based protein supplements as emerging sources of metal exposure: A risk assessment study.,"The growing demand for plant-based diets has prompted the food industry to develop nutritional supplements, particularly plant-based protein supplements (PS), designed to meet the needs of vegans and vegetarians. While these supplements offer essential nutrients, they may also contain potentially toxic elements (PTEs) that pose health risks. This study assessed the metal content of 56 plant-based PS samples from European sources using Inductively Coupled Plasma Optical Emission Spectrometry (ICP...",Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),2025-Oct
