pmid,title,abstract,journal,pub_date
42319543,"Biophytum sensitivum: a promising herbal diet supplement for enhancing growth, immune response, antioxidant status, and disease resistance in Nile tilapia (Oreochromis niloticus).","The present study evaluated growth performance, immune responses, antioxidant activity, and disease resistance to S. agalactiae infection in Nile tilapia (Oreochromis niloticus) supplemented with Biophytum sensitivum (B. sensitivum), commonly known as Little Tree Plant, Sensitive Plant, or Mukkutti. Three hundred Nile tilapia (15 ± 2 g/fish) were randomly distributed into four groups (25 fish per tank) in triplicate. The four experimental groups included a control (C) with no B. sensitivum suppl...",Fish physiology and biochemistry,2026-Jun
42319540,Postbiotic Lactobacillus reuteri LRE02 Enriched with Sodium Selenite Demonstrates Antidepressant- and Anxiolytic-Like Effects in Mice.,"Postbiotics, including inactivated microorganisms and their bioactive components, have emerged as innovative candidates for microbiota-targeted therapies. Among them, Lactobacillus reuteri-derived postbiotics represent a promising and underexplored strategy for modulating host physiology without the risks associated with live bacteria. Selenium enrichment may further enhance these benefits by strengthening antioxidant defenses and regulating inflammation, two central mechanisms to microbiota-gut...",Molecular neurobiology,2026-Jun
42318828,Adolescent Acceptability of School and Home Micronutrient Supplementation and Nutrition Curriculum in Mozambique.,"Iron-deficiency anemia is the most common micronutrient deficiency and a leading cause of disability-adjusted life years among adolescent girls and young women (AGYW) globally. Although multiple micronutrient supplementation (MMS) provides a broader range of micronutrients than iron-folic acid supplementation (IFAS) prior to conception, the acceptability of MMS and home-based supplementation strategies remains underexplored. We assessed the acceptability of MMS, IFAS, and a contextualized nutrit...",Maternal & child nutrition,2026-Jul
42315264,Facilitators and barriers to implementing national iron and folic acid supplementation programmes for adolescents in India: a protocol for systematic review.,"Anaemia remains a major public health concern among Indian adolescents, particularly girls. National-level and state-level initiatives led by the Government of India, such as the Weekly Iron and Folic Acid Supplementation, Anaemia Mukt Bharat and the Intensified National Iron Plus Initiative, aim to control iron-deficiency anaemia through systematic supplementation and behaviour change communication strategies. However, implementation challenges persist. Given the limited evidence on barriers, f...",BMJ open,2026-Jun
42313732,"Pharmacists Knowledge, Attitudes, and Practices Regarding Probiotics and Prebiotics: A Cross-Sectional Study from Palestine.","Probiotics and prebiotics are increasingly used globally as part of complementary health intervention for various disorders. Pharmacists, as accessible healthcare providers, are key in guiding safe and effective use. However, little is known about Palestinian pharmacists' knowledge, attitudes, and practices (KAP) towards these products. This study aimed to assess pharmacists' KAP regarding probiotics and prebiotics in Palestine and to identify demographic and professional factors associated with...",PloS one,2026
42313570,Probiotics and Their Functional Role in Mitigating Antinutrient Effects In Vivo-A Systematic Review and Meta-Analysis.,"Antinutrients like phytic acid and oxalates reduce mineral bioavailability by forming insoluble complexes with iron, zinc, and calcium. Probiotic supplementation may counteract these effects through enzymatic activity (e.g., phytase, oxalate decarboxylase) and microbiota modulation. This PRISMA-based meta-analysis evaluated 27 in vivo studies (chickens, mice, rats) published between 2005 and 2025. Controlled trials assessing probiotic effects on mineral absorption under antinutrient-rich diets w...",Comprehensive reviews in food science and food safety,2026-Jul
42311683,Gut microbiota modulation in the prevention and treatment of heat stroke.,"In recent years, heat stroke (HS) have been reported with increasing frequency, and this trend is hard to separate from broader environmental changes, including climate change, recurrent extreme heat events, and air pollution. When people are exposed to high-temperature environments for a prolonged period, especially during intense physical activity, the condition may progress to HS. HS is an acute and potentially fatal disorder that can deteriorate rapidly if not treated in time. The intestine ...",Frontiers in immunology,2026
42310225,Bacillus Subtilis THC1I Restores Intestinal Barrier Integrity and Gut Microbiota Balance in a Mouse Model of Antibiotic-Associated Diarrhea.,"Antibiotic-associated diarrhea (AAD) remains a common complication of antibiotic therapy. While probiotics show therapeutic potential, the novel strain Bacillus subtilis THC1I has not been previously evaluated for AAD treatment. This study aimed to assess the effects of B. subtilis THC1I on intestinal barrier integrity and gut microbiota dysbiosis in an AAD mouse model. Fifty mice were randomized into five groups (n = 10): control, model, positive control (Enterogermina®, B. clausii), and a B. s...",Current microbiology,2026-Jun
42308284,Effects of carnosine supplementation on physical endurance: a placebo-controlled randomized clinical trial.,"Carnosine (β-alanine-L-histidine) is an endogenous dipeptide found in abundance in highly metabolic tissues such as skeletal muscle and the brain, where it is thought to play a role in intracellular buffering, and thereby, promote anaerobic glycolysis. Due to its perceived ability to support muscle energetics, carnosine, and its precursor, β-alanine, have found widespread use as performance-enhancing supplements. Nevertheless, the utility and efficacy of carnosine in enhancing physical performan...",Journal of the International Society of Sports Nutrition,2026-Dec
42307328,Probiotic Bacillus spp. modulate biofilm microbial assembly in Litopenaeus vannamei culture water.,"Shrimp aquaculture faces persistent challenges arising from microbial imbalances and pathogenic dominance, often linked to biofilm-forming bacterial communities. Probiotics, particularly Bacillus spp., offer a sustainable alternative to antibiotic and chemical management; however, their structural and ecological roles in biofilm modulation remain insufficiently understood. This study applied an integrative approach combining Scanning Electron Microscopy (SEM), 16S rRNA amplicon sequencing, and n...",Brazilian journal of biology = Revista brasleira de biologia,2026
