pmid,title,abstract,journal,pub_date
42668206,Multi-omics integration deciphered microbial and metabolite dynamics during flavor development of probiotic-fermented Gastrodia elata Blume.,"This study examined the succession of metabolites and microorganisms during the fermentation of Gastrodia elata Blume (GE) and their interrelationships. A total of 739 volatile compounds (VCs) were identified, with four recognized as key VCs: dimethyl disulfide, dimethyl trisulfide, 2-nonenal, and damascenone. The dominant bacteria in the prime fermentation liquid (PFL) and secondary fermentation liquid (SFL) stages exhibited dynamic changes influenced by total acid, total polyphenols, total fla...",Food microbiology,2027-Jan
42668201,"Synergistic effects of binary probiotics and oat β-glucan on brown yogurt quality: Physicochemical, flavor, sensory, and metabolomic evaluation.","In this study, synbiotic brown yogurt was developed using Lactiplantibacillus plantarum S58, Lacticaseibacillus rhamnosus T53, and oat β-glucan. Compared to the CON group, the synbiotic groups exhibited significantly elevated levels of key flavor compounds, including 2-decanone, benzoic acid, and octanoic acid. Sensory evaluation indicated that synbiotic incorporation did not adversely affect overall sensory quality. Metabolomic analysis revealed a significant accumulation of beneficial metaboli...",Food microbiology,2027-Jan
42667531,A comparative study of composite probiotic yogurt on LPS-induced acute inflammation and immunomodulation in mice.,"To elucidate the anti-inflammatory and immunomodulatory mechanisms of composite probiotic yogurt, this study established a lipopolysaccharide (LPS)-induced acute inflammation model using specific pathogen-free (SPF) male C57BL/6J mice to investigate the regulatory effects of different doses/forms of composite probiotic yogurt on inflammation and immunity inmice. Fifty mice were divided into 5 groups. After 4 weeks of oral intervention, all groups except the control group were intraperitoneally i...",World journal of microbiology & biotechnology,2026-Aug
42667193,Association of Omega-3 PUFA Oral Nutritional Supplementation with Hematological and Nutritional Status in Discharged Malnourished GI Cancer Patients.,"Short-term associations of omega-3 polyunsaturated fatty acids (PUFA)-enriched oral nutritional supplementation (ONS) with hematological, nutritional, and immune-inflammatory outcomes were evaluated in a retrospective cohort of 87 malnourished or nutritionally at-risk patients with gastrointestinal (GI) cancer. During a 3-week observation period, 46 patients received omega-3 PUFA-enriched ONS plus dietary counseling, whereas 41 received dietary counseling alone. The groups differed at baseline i...",Journal of visualized experiments : JoVE,2026-Aug
42664206,Vitamin D supplement use in Egypt and Jordan and associated factors: A survey-based study.,"The use of vitamin supplements is widespread throughout the world. In the Middle East, vitamin D deficiency is common. Therefore, this study aimed to examine the prevalence of vitamin D supplement use and associated factors among Egyptians and Jordanians. In addition, practices for maintaining adequate vitamin D levels were investigated. The study was cross-sectional and included 1,181 subjects from Jordan and Egypt. Participant recruitment was conducted from April to October 2024. The results s...",PloS one,2026
42663991,Nutrition Supplements and Serum Albumin in Hemodialysis: A Meta-Analysis.,"The present meta-analysis was designed to examine the effect of oral nutrition supplements (ONS) and/or intradialytic parenteral nutrition (IDPN) therapy on serum albumin, a marker of malnutrition risk in adults on hemodialysis (HD).",The American journal of managed care,2026-Aug
42663747,Dietary supplementation with black soldier fly (Hermetia illucens) larval meal modulates hepatic lipid homeostasis and reduces TNF-α expression in mice.,"Black soldier fly (Hermetia illucens L.) larval meal has attracted growing interest as a sustainable food ingredient due to its nutritional composition and potential biological effects. The present study evaluated the effects of dietary supplementation with H. illucens larval meal on body composition, biochemical parameters, and hepatic markers in mice.",Molecular biology reports,2026-Aug
42663691,"Weissella as an emerging probiotic candidate for IBD: current evidence, challenges, and future perspectives"".","Inflammatory Bowel Disease (IBD) is a chronic, relapsing inflammatory affliction that causes gut dysbiosis, impaired mucosal integrity and disrupted immune regulation/responses. Conventional therapies, which aim to suppress inflammation or immune flare-ups, are associated with adverse effects and have limited long-term management efficacy. Therefore, the focus has shifted to the use of microbe-mediated therapeutics, such as multi-strain probiotic blends, for alleviating inflammation and lengthen...",Antonie van Leeuwenhoek,2026-Aug
42662103,Single strain versus multi-strain probiotics in aquaculture: comparative impacts on gut microbiota and immune responses in fish and shellfish.,"Probiotics have gained wide popularity as environmentally sustainable replacement for antibiotics in aquaculture due to their ability to up-regulate the host immune competence and boost disease resistance. However, considerable knowledge is yet to gain regarding differential efficacies and mechanisms of actions of Single-strain vs multi-strain probiotics. In the present review, the differences between the immunomodulatory potentials of Single-strain and multi-strain probiotics in fish and shellf...",Frontiers in immunology,2026
42661636,Probiotic supplementation as a nutritional strategy for the prevention and management of sarcopenia in older adults.,"Sarcopenia, defined as the loss of skeletal muscle mass, strength, and functional capacity over time, poses a significant health burden among older adults. A growing body of evidence indicates that the gut microbiota contributes to inflammation and metabolic regulation, mitochondrial function, and anabolic signaling, thereby shaping the gut-muscle axis. Probiotic supplementation has gained traction as a nutritional approach for the regulation of microbiome-derived metabolites. The present study ...",Frontiers in cellular and infection microbiology,2026
